time,low,high,open,close,volume,symbol
1724256000,0.389,0.415,0.413,0.3908,113257.2,ACX-USD
1724259600,0.3927,0.3991,0.3955,0.397,15030.9,ACX-USD
1724263200,0.3907,0.3991,0.3963,0.3982,70941.8,ACX-USD
1724266800,0.3911,0.4127,0.3945,0.3992,33699.2,ACX-USD
1724270400,0.3857,0.3993,0.3993,0.3885,20661.6,ACX-USD
1724274000,0.3888,0.3936,0.3917,0.3914,1859.2,ACX-USD
1724277600,0.3898,0.394,0.3898,0.3918,10917.8,ACX-USD
1724281200,0.3904,0.3945,0.3915,0.3933,10713.6,ACX-USD
1724284800,0.3931,0.3973,0.3933,0.3951,9889.2,ACX-USD
1724288400,0.3931,0.3942,0.3939,0.3931,16419.2,ACX-USD
1724292000,0.3892,0.3981,0.3942,0.3915,52477.3,ACX-USD
1724295600,0.3864,0.3931,0.3898,0.3903,5795.7,ACX-USD
1724299200,0.3907,0.3952,0.3907,0.3909,1825.8,ACX-USD
1724302800,0.3911,0.3955,0.392,0.3919,4453.1,ACX-USD
1724306400,0.3918,0.3918,0.3918,0.3918,34.1,ACX-USD
1724310000,0.3906,0.3949,0.3929,0.3906,2579.6,ACX-USD
1724313600,0.3917,0.3934,0.3934,0.392,218.3,ACX-USD
1724317200,0.3915,0.3947,0.3933,0.3929,785.9,ACX-USD
1724320800,0.3914,0.394,0.3914,0.3937,1451.7,ACX-USD
1724324400,0.38,0.3962,0.3937,0.3817,25308.3,ACX-USD
1724328000,0.3759,0.3847,0.3824,0.3823,11239.3,ACX-USD
1724331600,0.3761,0.3812,0.3812,0.3799,11677.1,ACX-USD
1724335200,0.3701,0.3815,0.381,0.3701,43615.4,ACX-USD
1724338800,0.3672,0.3739,0.3701,0.3738,9737.4,ACX-USD
1724342400,0.3728,0.3786,0.3728,0.3771,5115.1,ACX-USD
1724346000,0.3769,0.3797,0.3769,0.378,582.1,ACX-USD
1724349600,0.3748,0.3833,0.3825,0.3748,48642.2,ACX-USD
