time,low,high,open,close,volume,symbol
1640995200,0.0975,0.099,0.0975,0.0987,273726.4,ARPA-USD
1640998800,0.0983,0.0992,0.0987,0.0987,262412.7,ARPA-USD
1641002400,0.0986,0.0996,0.0986,0.0996,390065.0,ARPA-USD
1641006000,0.0985,0.0995,0.0995,0.0987,278768.8,ARPA-USD
1641009600,0.0976,0.0988,0.0988,0.0979,318752.3,ARPA-USD
1641013200,0.0979,0.0997,0.0981,0.0988,437901.0,ARPA-USD
1641016800,0.0987,0.0994,0.0989,0.0988,320751.8,ARPA-USD
1641020400,0.0985,0.0993,0.0988,0.099,220910.1,ARPA-USD
1641024000,0.0989,0.0996,0.099,0.0989,47332.6,ARPA-USD
1641027600,0.0978,0.0989,0.0989,0.0986,709013.8,ARPA-USD
1641031200,0.097,0.0986,0.0986,0.0979,110397.9,ARPA-USD
1641034800,0.0976,0.0982,0.0978,0.0978,60912.5,ARPA-USD
1641038400,0.0979,0.0988,0.098,0.0986,31090.0,ARPA-USD
1641042000,0.098,0.0988,0.0987,0.0982,229332.4,ARPA-USD
1641045600,0.0979,0.0984,0.0982,0.0981,285268.5,ARPA-USD
1641049200,0.098,0.0997,0.098,0.0993,298859.2,ARPA-USD
1641052800,0.0988,0.0996,0.0993,0.0989,125342.7,ARPA-USD
1641056400,0.0988,0.0997,0.099,0.0992,298410.9,ARPA-USD
1641060000,0.0989,0.0995,0.0995,0.0993,285516.3,ARPA-USD
1641063600,0.0989,0.0994,0.0993,0.099,247302.5,ARPA-USD
1641067200,0.099,0.0995,0.0992,0.0993,310908.8,ARPA-USD
1641070800,0.0988,0.0997,0.0993,0.0991,463962.5,ARPA-USD
1641074400,0.0988,0.0992,0.099,0.099,217334.7,ARPA-USD
1641078000,0.0986,0.1002,0.099,0.0999,240925.2,ARPA-USD
1641081600,0.0988,0.1002,0.1002,0.0998,261817.0,ARPA-USD
1641085200,0.0989,0.0998,0.0998,0.0989,222303.4,ARPA-USD
1641088800,0.0989,0.0995,0.099,0.0993,242697.9,ARPA-USD
1641092400,0.099,0.0995,0.0994,0.0992,226157.7,ARPA-USD
1641096000,0.0984,0.0998,0.0991,0.0988,392800.5,ARPA-USD
1641099600,0.0984,0.0994,0.0987,0.0993,528274.5,ARPA-USD
1641103200,0.0989,0.0993,0.0993,0.0991,391309.9,ARPA-USD
1641106800,0.0991,0.0996,0.0991,0.0991,235980.8,ARPA-USD
1641110400,0.0987,0.0999,0.099,0.0997,297587.9,ARPA-USD
1641114000,0.0997,0.1019,0.0999,0.1009,736428.5,ARPA-USD
1641117600,0.1002,0.101,0.1009,0.1004,720014.0,ARPA-USD
1641121200,0.1003,0.1009,0.1005,0.1003,160184.6,ARPA-USD
1641124800,0.0999,0.1007,0.1003,0.1004,83548.0,ARPA-USD
1641128400,0.0995,0.1004,0.1004,0.0998,165342.6,ARPA-USD
1641132000,0.0997,0.1011,0.1,0.1011,364157.0,ARPA-USD
1641135600,0.1012,0.1041,0.1012,0.1034,5481340.6,ARPA-USD
1641139200,0.1028,0.1047,0.1033,0.1031,3492542.9,ARPA-USD
1641142800,0.1022,0.1036,0.1032,0.1024,678981.7,ARPA-USD
1641146400,0.1002,0.1024,0.1024,0.1014,286702.3,ARPA-USD
1641150000,0.1008,0.1018,0.1013,0.1012,253687.8,ARPA-USD
1641153600,0.1007,0.1015,0.1012,0.1011,178719.2,ARPA-USD
1641157200,0.1003,0.1011,0.101,0.1004,133535.8,ARPA-USD
1641160800,0.1005,0.1038,0.1005,0.1021,2672573.7,ARPA-USD
1641164400,0.0995,0.1024,0.1024,0.1,3462534.0,ARPA-USD
1641168000,0.0992,0.1003,0.1001,0.0998,1166573.1,ARPA-USD
1641171600,0.0987,0.1001,0.0998,0.0987,3021150.1,ARPA-USD
1641175200,0.0983,0.0989,0.0987,0.0986,787739.5,ARPA-USD
1641178800,0.098,0.0987,0.0985,0.098,219753.5,ARPA-USD
1641182400,0.0981,0.099,0.0981,0.0987,1084882.1,ARPA-USD
1641186000,0.0986,0.0996,0.0987,0.0994,260403.4,ARPA-USD
1641189600,0.0986,0.0996,0.0991,0.0986,299617.4,ARPA-USD
1641193200,0.0984,0.0991,0.0989,0.099,149679.1,ARPA-USD
1641196800,0.0989,0.1001,0.0989,0.1001,343405.7,ARPA-USD
1641200400,0.0989,0.1004,0.1002,0.0998,320841.3,ARPA-USD
1641204000,0.0995,0.1021,0.0999,0.101,1375772.8,ARPA-USD
1641207600,0.1005,0.102,0.101,0.101,1611629.1,ARPA-USD
1641211200,0.1004,0.1017,0.1011,0.1004,289476.1,ARPA-USD
1641214800,0.1006,0.1021,0.1006,0.1015,1245677.8,ARPA-USD
1641218400,0.1007,0.1018,0.1014,0.1011,362961.3,ARPA-USD
1641222000,0.0999,0.1012,0.101,0.1006,381048.7,ARPA-USD
1641225600,0.0986,0.1008,0.1007,0.0998,1679173.9,ARPA-USD
1641229200,0.1,0.1016,0.1002,0.1003,1189420.3,ARPA-USD
1641232800,0.1,0.1022,0.1007,0.1019,1920039.7,ARPA-USD
1641236400,0.0994,0.102,0.102,0.0995,1152858.6,ARPA-USD
1641240000,0.0976,0.0998,0.0993,0.099,710754.7,ARPA-USD
1641243600,0.0986,0.0996,0.0989,0.099,198047.6,ARPA-USD
1641247200,0.0989,0.1003,0.099,0.1001,77738.3,ARPA-USD
1641250800,0.0996,0.1004,0.1002,0.1004,420781.2,ARPA-USD
1641254400,0.099,0.1008,0.1005,0.0993,491012.4,ARPA-USD
1641258000,0.0989,0.0999,0.0993,0.0994,989249.4,ARPA-USD
1641261600,0.0985,0.0996,0.0995,0.0995,260594.7,ARPA-USD
1641265200,0.0987,0.0996,0.0995,0.0994,174129.2,ARPA-USD
1641268800,0.0991,0.1,0.0992,0.0996,241306.3,ARPA-USD
1641272400,0.0991,0.1001,0.0995,0.1,350711.7,ARPA-USD
1641276000,0.0992,0.1013,0.1,0.1013,1310898.7,ARPA-USD
1641279600,0.1004,0.1016,0.101,0.1012,1598849.2,ARPA-USD
1641283200,0.1009,0.103,0.1013,0.1026,1550950.4,ARPA-USD
1641286800,0.1013,0.1029,0.1024,0.1017,730210.5,ARPA-USD
1641290400,0.1016,0.103,0.1019,0.102,669019.3,ARPA-USD
1641294000,0.102,0.1028,0.1021,0.1024,172037.4,ARPA-USD
1641297600,0.1011,0.1023,0.1022,0.1021,692126.0,ARPA-USD
1641301200,0.1012,0.1023,0.102,0.1021,204105.6,ARPA-USD
1641304800,0.1016,0.1028,0.1023,0.1024,436982.9,ARPA-USD
1641308400,0.1011,0.1029,0.1025,0.1013,296363.2,ARPA-USD
1641312000,0.1011,0.1021,0.1013,0.102,252076.6,ARPA-USD
1641315600,0.1014,0.1023,0.102,0.1018,203335.0,ARPA-USD
1641319200,0.0985,0.1022,0.1018,0.0993,316380.9,ARPA-USD
1641322800,0.0984,0.1006,0.0989,0.0996,786325.1,ARPA-USD
1641326400,0.0992,0.1006,0.0996,0.1001,257825.2,ARPA-USD
1641330000,0.1,0.1028,0.1003,0.1011,1268625.2,ARPA-USD
1641333600,0.099,0.1009,0.1008,0.0994,1712940.6,ARPA-USD
1641337200,0.0988,0.0997,0.0993,0.0994,633686.5,ARPA-USD
1641340800,0.0986,0.0998,0.0992,0.0998,169988.5,ARPA-USD
1641344400,0.0991,0.1,0.0996,0.0994,153822.9,ARPA-USD
1641348000,0.0993,0.1005,0.0995,0.1002,292477.4,ARPA-USD
1641351600,0.1004,0.1016,0.1004,0.1014,709064.8,ARPA-USD
