time,low,high,open,close,volume,symbol
1640995200,24.33,24.72,24.47,24.68,2878.141,AUCTION-USD
1640998800,24.62,25.39,24.63,24.99,5084.644,AUCTION-USD
1641002400,24.53,25.09,25.0,24.56,876.894,AUCTION-USD
1641006000,24.5,24.95,24.56,24.89,2198.825,AUCTION-USD
1641009600,24.32,24.89,24.89,24.82,2913.861,AUCTION-USD
1641013200,24.59,25.0,24.78,24.98,952.074,AUCTION-USD
1641016800,24.7,25.16,24.95,24.72,623.967,AUCTION-USD
1641020400,24.49,24.87,24.69,24.53,673.854,AUCTION-USD
1641024000,24.48,24.66,24.53,24.48,149.728,AUCTION-USD
1641027600,24.25,24.52,24.48,24.32,319.885,AUCTION-USD
1641031200,24.16,24.55,24.33,24.36,529.259,AUCTION-USD
1641034800,24.1,24.39,24.36,24.1,709.614,AUCTION-USD
1641038400,24.1,24.54,24.14,24.3,560.397,AUCTION-USD
1641042000,24.11,24.39,24.36,24.11,1236.712,AUCTION-USD
1641045600,24.05,24.23,24.11,24.14,593.458,AUCTION-USD
1641049200,24.1,24.42,24.14,24.37,1079.415,AUCTION-USD
1641052800,24.34,24.68,24.4,24.47,1451.093,AUCTION-USD
1641056400,24.42,24.75,24.43,24.66,1164.84,AUCTION-USD
1641060000,24.42,24.82,24.66,24.54,1493.725,AUCTION-USD
1641063600,24.53,24.68,24.54,24.64,579.15,AUCTION-USD
1641067200,24.56,24.83,24.64,24.58,1093.37,AUCTION-USD
1641070800,24.2,24.63,24.58,24.21,3288.631,AUCTION-USD
1641074400,24.15,24.7,24.21,24.65,2339.596,AUCTION-USD
1641078000,24.2,24.74,24.7,24.52,3959.07,AUCTION-USD
1641081600,24.42,24.68,24.46,24.63,2644.815,AUCTION-USD
1641085200,24.5,24.66,24.63,24.52,301.181,AUCTION-USD
1641088800,24.52,24.75,24.52,24.69,794.292,AUCTION-USD
1641092400,24.29,25.26,24.67,24.6,5731.074,AUCTION-USD
1641096000,24.26,24.77,24.6,24.44,1411.527,AUCTION-USD
1641099600,24.29,24.71,24.44,24.62,2327.852,AUCTION-USD
1641103200,24.46,24.67,24.67,24.46,383.152,AUCTION-USD
1641106800,24.45,24.56,24.5,24.52,237.973,AUCTION-USD
1641110400,24.28,24.64,24.54,24.57,1523.916,AUCTION-USD
1641114000,24.5,25.33,24.57,24.89,3234.288,AUCTION-USD
1641117600,24.43,24.92,24.92,24.44,1017.784,AUCTION-USD
1641121200,24.4,24.78,24.44,24.53,2987.615,AUCTION-USD
1641124800,24.49,24.7,24.53,24.66,459.651,AUCTION-USD
1641128400,24.47,24.7,24.66,24.49,281.407,AUCTION-USD
1641132000,24.41,24.61,24.48,24.42,587.911,AUCTION-USD
1641135600,24.41,24.6,24.41,24.6,990.729,AUCTION-USD
1641139200,24.51,24.78,24.54,24.74,1008.978,AUCTION-USD
1641142800,24.5,24.78,24.78,24.51,910.127,AUCTION-USD
1641146400,24.05,24.53,24.52,24.3,1723.579,AUCTION-USD
1641150000,24.14,24.38,24.3,24.34,583.115,AUCTION-USD
1641153600,24.27,24.39,24.34,24.32,122.061,AUCTION-USD
1641157200,24.19,24.59,24.33,24.56,995.036,AUCTION-USD
1641160800,24.3,24.68,24.58,24.36,2381.379,AUCTION-USD
1641164400,24.32,24.48,24.41,24.45,297.184,AUCTION-USD
1641168000,24.22,24.46,24.4,24.24,724.452,AUCTION-USD
1641171600,24.07,24.39,24.23,24.39,1865.959,AUCTION-USD
1641175200,24.13,24.36,24.36,24.19,887.578,AUCTION-USD
1641178800,24.0,24.32,24.19,24.01,1756.837,AUCTION-USD
1641182400,23.99,24.17,24.01,24.14,1204.714,AUCTION-USD
1641186000,23.97,24.42,24.12,24.42,1166.177,AUCTION-USD
1641189600,24.37,25.33,24.42,25.28,3480.948,AUCTION-USD
1641193200,24.64,25.59,25.21,25.55,7715.097,AUCTION-USD
1641196800,24.41,25.67,25.55,24.53,5057.907,AUCTION-USD
1641200400,24.53,25.0,24.53,24.82,2852.327,AUCTION-USD
1641204000,24.64,24.91,24.8,24.66,553.948,AUCTION-USD
1641207600,24.66,24.8,24.66,24.74,499.954,AUCTION-USD
1641211200,24.7,25.12,24.76,24.99,1394.551,AUCTION-USD
1641214800,24.82,25.5,25.0,24.87,3927.683,AUCTION-USD
1641218400,24.74,25.44,24.86,24.83,2000.995,AUCTION-USD
1641222000,24.52,25.15,24.81,24.53,1630.05,AUCTION-USD
1641225600,24.11,24.69,24.53,24.44,2075.604,AUCTION-USD
1641229200,24.44,24.73,24.44,24.55,1704.04,AUCTION-USD
1641232800,24.32,24.5,24.5,24.35,764.398,AUCTION-USD
1641236400,24.31,24.43,24.36,24.36,360.854,AUCTION-USD
1641240000,23.55,24.41,24.36,23.88,3272.738,AUCTION-USD
1641243600,23.82,24.16,23.93,23.86,1695.554,AUCTION-USD
1641247200,23.85,24.29,23.86,24.21,985.602,AUCTION-USD
1641250800,24.21,24.82,24.21,24.65,2708.89,AUCTION-USD
1641254400,24.17,24.74,24.64,24.24,2055.221,AUCTION-USD
1641258000,24.07,24.7,24.21,24.24,4025.054,AUCTION-USD
1641261600,24.1,24.58,24.24,24.14,1253.523,AUCTION-USD
1641265200,24.07,24.58,24.14,24.51,1573.538,AUCTION-USD
1641268800,24.02,24.69,24.55,24.17,3057.002,AUCTION-USD
1641272400,24.06,24.62,24.1,24.1,961.551,AUCTION-USD
1641276000,24.09,24.41,24.1,24.19,1769.955,AUCTION-USD
1641279600,24.18,24.54,24.19,24.37,723.288,AUCTION-USD
1641283200,24.36,24.56,24.37,24.39,306.009,AUCTION-USD
1641286800,24.36,24.46,24.39,24.37,208.848,AUCTION-USD
1641290400,24.17,24.52,24.36,24.32,779.395,AUCTION-USD
