time,low,high,open,close,volume,symbol
1662480000,1.347,1.399,1.368,1.35,53606.47,AURORA-USD
1662483600,1.26,1.361,1.35,1.305,9709.4,AURORA-USD
1662487200,1.224,1.292,1.292,1.234,11364.72,AURORA-USD
1662490800,1.219,1.241,1.235,1.238,6624.53,AURORA-USD
1662494400,1.219,1.237,1.235,1.231,490.62,AURORA-USD
1662498000,1.236,1.275,1.236,1.25,3500.1,AURORA-USD
1662501600,1.252,1.268,1.257,1.261,963.5,AURORA-USD
1662505200,1.255,1.272,1.26,1.259,2314.29,AURORA-USD
1662508800,1.245,1.259,1.259,1.245,212.08,AURORA-USD
1662512400,1.201,1.243,1.243,1.221,13399.4,AURORA-USD
1662516000,1.201,1.222,1.222,1.213,325.87,AURORA-USD
1662523200,1.214,1.215,1.214,1.215,10.78,AURORA-USD
1662526800,1.209,1.223,1.223,1.209,355.94,AURORA-USD
1662544800,1.197,1.214,1.214,1.211,1798.39,AURORA-USD
1662548400,1.211,1.214,1.211,1.214,201.07,AURORA-USD
1662552000,1.202,1.219,1.214,1.214,672.08,AURORA-USD
1662555600,1.202,1.217,1.214,1.212,2854.86,AURORA-USD
1662559200,1.198,1.216,1.209,1.216,111.06,AURORA-USD
1662562800,1.213,1.238,1.222,1.238,4086.03,AURORA-USD
1662566400,1.221,1.275,1.25,1.232,23134.12,AURORA-USD
1662570000,1.201,1.244,1.232,1.227,4737.75,AURORA-USD
1662573600,1.225,1.279,1.227,1.271,7182.62,AURORA-USD
1662577200,1.26,1.287,1.272,1.273,13909.55,AURORA-USD
1662580800,1.26,1.283,1.262,1.282,7525.98,AURORA-USD
1662584400,1.258,1.288,1.282,1.274,4234.08,AURORA-USD
1662588000,1.255,1.287,1.275,1.27,4215.65,AURORA-USD
1662591600,1.263,1.284,1.274,1.284,2448.5,AURORA-USD
1662595200,1.282,1.32,1.284,1.292,11462.94,AURORA-USD
1662595200,1.282,1.32,1.284,1.292,11462.94,AURORA-USD
1662598800,1.282,1.331,1.292,1.316,12505.89,AURORA-USD
1662602400,1.301,1.334,1.316,1.316,6936.11,AURORA-USD
1662606000,1.305,1.324,1.305,1.318,1738.43,AURORA-USD
1662609600,1.307,1.336,1.318,1.336,2362.99,AURORA-USD
1662613200,1.315,1.339,1.331,1.333,12410.82,AURORA-USD
1662616800,1.308,1.333,1.333,1.317,1109.77,AURORA-USD
1662620400,1.307,1.327,1.32,1.324,351.72,AURORA-USD
1662624000,1.316,1.328,1.324,1.326,701.93,AURORA-USD
1662627600,1.311,1.328,1.314,1.328,844.72,AURORA-USD
1662631200,1.301,1.333,1.327,1.304,4903.04,AURORA-USD
