time,low,high,open,close,volume,symbol
1757440800,0.276,0.395,0.276,0.3501,2323989.3,AVNT-USD
1757444400,0.3288,0.4099,0.3488,0.3741,3627650.3,AVNT-USD
1757448000,0.32,0.371,0.371,0.3262,2141487.8,AVNT-USD
1757451600,0.2831,0.3323,0.3262,0.3277,3027019.3,AVNT-USD
1757455200,0.3,0.345,0.3272,0.309,3536964.1,AVNT-USD
1757458800,0.2515,0.3158,0.3049,0.27,3000402.8,AVNT-USD
1757462400,0.225,0.2843,0.27,0.2336,3824903.1,AVNT-USD
1757466000,0.231,0.2879,0.2331,0.27,3531785.6,AVNT-USD
1757469600,0.245,0.278,0.2681,0.2532,4804767.5,AVNT-USD
1757473200,0.2368,0.2592,0.2532,0.2494,2918043.3,AVNT-USD
1757476800,0.2301,0.2593,0.2487,0.2483,3646873.8,AVNT-USD
1757480400,0.2404,0.2798,0.2488,0.2644,2741357.5,AVNT-USD
1757484000,0.2276,0.2749,0.2649,0.2295,5912925.0,AVNT-USD
1757487600,0.2105,0.23,0.2295,0.2123,9178083.8,AVNT-USD
1757491200,0.2039,0.25,0.2125,0.2356,12304906.1,AVNT-USD
1757494800,0.2343,0.3016,0.2355,0.2636,10081940.7,AVNT-USD
1757498400,0.2585,0.3235,0.2636,0.3115,9529997.7,AVNT-USD
1757502000,0.283,0.3318,0.311,0.2907,7660110.9,AVNT-USD
1757505600,0.2707,0.3233,0.2909,0.3098,7581742.0,AVNT-USD
1757509200,0.3025,0.3619,0.3105,0.313,11198965.9,AVNT-USD
1757512800,0.28,0.3409,0.3136,0.3297,11689734.3,AVNT-USD
1757516400,0.3202,0.3594,0.3304,0.3431,10930975.6,AVNT-USD
1757520000,0.3269,0.3965,0.3434,0.3724,16458049.4,AVNT-USD
1757523600,0.3384,0.388,0.3721,0.3536,12753648.9,AVNT-USD
1757527200,0.3305,0.3812,0.3529,0.3787,9328408.5,AVNT-USD
1757530800,0.3366,0.38,0.3781,0.3475,7558949.8,AVNT-USD
1757534400,0.3414,0.3689,0.3476,0.3565,6145507.4,AVNT-USD
1757538000,0.3484,0.38,0.3561,0.3553,7652944.6,AVNT-USD
1757541600,0.3261,0.3572,0.3548,0.3335,6425549.9,AVNT-USD
1757545200,0.3285,0.3588,0.3335,0.3522,4481633.3,AVNT-USD
1757548800,0.3429,0.3679,0.3518,0.3515,4797518.3,AVNT-USD
1757552400,0.3355,0.3603,0.3515,0.3561,4746665.8,AVNT-USD
1757556000,0.3472,0.3777,0.3561,0.3617,6096243.5,AVNT-USD
