time,low,high,open,close,volume,symbol
1640995200,93.17,94.49,93.17,94.38,7088.263,AXS-USD
1640998800,93.88,94.83,94.38,93.98,1489.104,AXS-USD
1641002400,93.93,94.5,93.98,94.31,1691.633,AXS-USD
1641006000,93.73,94.34,94.31,93.8,2271.108,AXS-USD
1641009600,93.4,93.86,93.83,93.56,1214.097,AXS-USD
1641013200,93.51,95.25,93.51,94.45,1973.948,AXS-USD
1641016800,93.6,94.6,94.41,93.67,1571.801,AXS-USD
1641020400,93.44,94.25,93.67,94.01,2501.087,AXS-USD
1641024000,93.89,94.3,93.96,94.1,453.73,AXS-USD
1641027600,93.23,94.21,94.14,93.4,5929.503,AXS-USD
1641031200,91.91,93.74,93.41,92.14,3229.476,AXS-USD
1641034800,91.34,92.29,92.13,91.94,1855.799,AXS-USD
1641038400,91.9,92.9,92.0,92.68,2883.689,AXS-USD
1641042000,92.51,92.96,92.67,92.78,1971.397,AXS-USD
1641045600,92.36,92.83,92.77,92.49,3114.129,AXS-USD
1641049200,92.37,93.3,92.47,92.82,1661.049,AXS-USD
1641052800,92.71,93.87,92.75,93.02,2549.663,AXS-USD
1641056400,92.91,94.21,93.09,93.89,3110.282,AXS-USD
1641060000,93.27,94.01,93.89,93.69,2682.015,AXS-USD
1641063600,93.4,93.83,93.69,93.77,1666.199,AXS-USD
1641067200,93.71,94.32,93.77,93.84,2145.874,AXS-USD
1641070800,93.55,94.08,93.91,93.78,1340.552,AXS-USD
1641074400,93.49,93.9,93.79,93.83,831.773,AXS-USD
1641078000,93.45,94.24,93.78,94.19,1234.659,AXS-USD
1641081600,93.65,94.29,94.07,94.29,1137.041,AXS-USD
1641085200,94.08,94.37,94.32,94.09,2186.341,AXS-USD
1641088800,93.77,94.24,94.11,93.87,2038.004,AXS-USD
1641092400,93.84,94.36,93.87,94.06,1589.993,AXS-USD
1641096000,93.21,94.33,94.08,93.57,1815.293,AXS-USD
1641099600,93.51,94.19,93.57,94.11,3486.581,AXS-USD
1641103200,93.78,94.13,94.09,93.83,1004.592,AXS-USD
1641106800,93.71,94.08,93.8,93.87,586.756,AXS-USD
1641110400,93.61,94.76,93.84,94.22,3856.634,AXS-USD
1641114000,94.12,94.85,94.26,94.2,1020.002,AXS-USD
1641117600,94.13,94.61,94.2,94.52,471.918,AXS-USD
1641121200,94.02,94.74,94.54,94.06,706.347,AXS-USD
1641124800,93.73,94.61,94.13,94.38,536.634,AXS-USD
1641128400,94.13,94.6,94.34,94.48,1396.601,AXS-USD
1641132000,94.52,95.6,94.53,95.25,2001.607,AXS-USD
1641135600,95.18,95.83,95.3,95.42,4850.242,AXS-USD
1641139200,95.33,96.48,95.42,96.39,2510.282,AXS-USD
1641142800,95.63,96.66,96.4,95.95,3044.597,AXS-USD
1641146400,94.46,96.03,95.96,95.13,3869.401,AXS-USD
1641150000,94.68,95.53,95.17,95.16,5085.987,AXS-USD
1641153600,94.98,95.49,95.15,95.31,2175.555,AXS-USD
1641157200,95.05,95.78,95.24,95.61,2603.793,AXS-USD
1641160800,95.51,96.18,95.55,96.11,1246.836,AXS-USD
1641164400,96.1,96.73,96.1,96.42,1371.531,AXS-USD
1641168000,95.91,96.4,96.34,96.08,2058.177,AXS-USD
1641171600,95.19,96.09,96.05,95.97,1659.762,AXS-USD
1641175200,95.23,96.04,95.97,95.47,2359.716,AXS-USD
1641178800,95.01,95.62,95.5,95.07,915.376,AXS-USD
1641182400,95.0,96.06,95.0,95.8,1043.786,AXS-USD
1641186000,95.87,96.58,95.93,96.29,1245.002,AXS-USD
1641189600,95.5,96.63,96.22,95.55,2500.129,AXS-USD
1641193200,95.46,96.4,95.53,96.14,848.163,AXS-USD
1641196800,96.0,96.62,96.29,96.15,1373.484,AXS-USD
1641200400,95.66,96.41,96.12,96.3,696.155,AXS-USD
1641204000,96.18,97.11,96.47,97.07,1425.543,AXS-USD
1641207600,97.04,97.93,97.06,97.54,2189.262,AXS-USD
1641211200,96.79,97.93,97.52,97.24,2311.752,AXS-USD
1641214800,97.06,97.92,97.29,97.39,1829.704,AXS-USD
1641218400,96.71,97.71,97.38,96.76,3117.69,AXS-USD
1641222000,95.6,97.06,96.76,95.69,2086.572,AXS-USD
1641225600,93.86,96.04,95.62,94.5,3902.714,AXS-USD
