time,low,high,open,close,volume,symbol
1640995200,1.204,1.252,1.205,1.251,703724.39,BAT-USD
1640998800,1.244,1.265,1.251,1.248,470627.92,BAT-USD
1641002400,1.24,1.254,1.249,1.24,112353.96,BAT-USD
1641006000,1.236,1.245,1.24,1.238,59663.95,BAT-USD
1641009600,1.224,1.239,1.239,1.226,96049.93,BAT-USD
1641013200,1.222,1.252,1.224,1.239,127406.35,BAT-USD
1641016800,1.218,1.237,1.237,1.22,196220.96,BAT-USD
1641020400,1.217,1.238,1.22,1.236,39291.74,BAT-USD
1641024000,1.23,1.239,1.236,1.231,51734.43,BAT-USD
1641027600,1.222,1.235,1.231,1.231,5651.99,BAT-USD
1641031200,1.206,1.232,1.229,1.219,131901.84,BAT-USD
1641034800,1.217,1.224,1.22,1.219,63746.17,BAT-USD
1641038400,1.218,1.233,1.22,1.233,95735.55,BAT-USD
1641042000,1.227,1.237,1.233,1.23,35954.18,BAT-USD
1641045600,1.219,1.232,1.23,1.222,44655.4,BAT-USD
1641049200,1.222,1.237,1.224,1.23,55975.25,BAT-USD
1641052800,1.232,1.241,1.232,1.232,119358.85,BAT-USD
1641056400,1.231,1.249,1.233,1.247,66847.17,BAT-USD
1641060000,1.24,1.25,1.246,1.25,68544.78,BAT-USD
1641063600,1.24,1.255,1.249,1.245,248435.35,BAT-USD
1641067200,1.243,1.256,1.247,1.247,173330.15,BAT-USD
1641070800,1.244,1.254,1.249,1.248,52696.23,BAT-USD
1641074400,1.243,1.249,1.248,1.249,43487.76,BAT-USD
1641078000,1.242,1.26,1.248,1.257,65178.95,BAT-USD
1641081600,1.245,1.258,1.256,1.249,82465.85,BAT-USD
1641085200,1.24,1.25,1.25,1.243,66071.76,BAT-USD
1641088800,1.236,1.244,1.243,1.239,51405.99,BAT-USD
1641092400,1.237,1.247,1.239,1.246,18967.53,BAT-USD
1641096000,1.223,1.249,1.246,1.231,97595.33,BAT-USD
1641099600,1.226,1.236,1.229,1.233,94786.55,BAT-USD
1641103200,1.23,1.236,1.231,1.233,13151.77,BAT-USD
1641106800,1.229,1.236,1.233,1.229,91109.69,BAT-USD
1641110400,1.225,1.277,1.231,1.268,332449.84,BAT-USD
1641114000,1.266,1.311,1.267,1.303,748496.66,BAT-USD
1641117600,1.293,1.315,1.306,1.294,300069.41,BAT-USD
1641121200,1.289,1.3,1.296,1.294,384194.15,BAT-USD
1641124800,1.285,1.303,1.293,1.297,183336.29,BAT-USD
1641128400,1.286,1.3,1.297,1.292,324327.07,BAT-USD
1641132000,1.282,1.308,1.291,1.307,218844.02,BAT-USD
1641135600,1.304,1.326,1.308,1.318,622548.03,BAT-USD
1641139200,1.306,1.321,1.32,1.318,260891.48,BAT-USD
1641142800,1.305,1.322,1.319,1.309,231009.54,BAT-USD
1641146400,1.287,1.32,1.307,1.302,666930.05,BAT-USD
1641150000,1.302,1.349,1.303,1.315,647604.79,BAT-USD
1641153600,1.302,1.319,1.314,1.304,148980.57,BAT-USD
1641157200,1.296,1.308,1.303,1.298,82217.13,BAT-USD
1641160800,1.295,1.305,1.3,1.301,119236.79,BAT-USD
1641164400,1.297,1.302,1.302,1.299,65006.2,BAT-USD
1641168000,1.294,1.311,1.297,1.294,194012.93,BAT-USD
1641171600,1.276,1.297,1.294,1.286,304251.83,BAT-USD
1641175200,1.285,1.344,1.285,1.32,818536.56,BAT-USD
1641178800,1.295,1.322,1.319,1.297,167850.64,BAT-USD
1641182400,1.292,1.328,1.295,1.315,402141.44,BAT-USD
1641186000,1.314,1.325,1.315,1.317,194864.64,BAT-USD
1641189600,1.296,1.316,1.316,1.296,144595.54,BAT-USD
1641193200,1.292,1.299,1.295,1.295,112656.5,BAT-USD
1641196800,1.282,1.298,1.296,1.283,57719.71,BAT-USD
1641200400,1.282,1.295,1.286,1.291,32231.35,BAT-USD
1641204000,1.29,1.31,1.292,1.308,212053.52,BAT-USD
1641207600,1.303,1.341,1.308,1.336,314806.82,BAT-USD
1641211200,1.312,1.338,1.334,1.315,265616.87,BAT-USD
1641214800,1.312,1.324,1.315,1.318,153155.41,BAT-USD
1641218400,1.297,1.318,1.318,1.3,93890.21,BAT-USD
1641222000,1.283,1.303,1.3,1.288,82818.52,BAT-USD
1641225600,1.255,1.293,1.288,1.267,332547.41,BAT-USD
1641229200,1.266,1.291,1.267,1.283,255285.84,BAT-USD
1641232800,1.277,1.287,1.282,1.281,131053.3,BAT-USD
1641236400,1.278,1.29,1.279,1.282,82371.18,BAT-USD
1641240000,1.262,1.283,1.281,1.275,317942.63,BAT-USD
1641243600,1.267,1.284,1.274,1.273,101408.85,BAT-USD
1641247200,1.272,1.291,1.273,1.283,137051.06,BAT-USD
1641250800,1.283,1.303,1.287,1.301,249607.75,BAT-USD
1641254400,1.279,1.306,1.303,1.282,190429.27,BAT-USD
1641258000,1.262,1.284,1.281,1.262,200810.28,BAT-USD
1641261600,1.251,1.269,1.263,1.261,212874.29,BAT-USD
1641265200,1.252,1.27,1.26,1.268,171160.79,BAT-USD
1641268800,1.256,1.272,1.268,1.258,82122.79,BAT-USD
1641272400,1.257,1.292,1.257,1.292,207492.6,BAT-USD
1641276000,1.282,1.301,1.293,1.296,127230.62,BAT-USD
1641279600,1.294,1.332,1.294,1.33,507158.58,BAT-USD
1641283200,1.321,1.34,1.33,1.324,233170.6,BAT-USD
1641286800,1.31,1.331,1.324,1.315,177873.74,BAT-USD
1641290400,1.311,1.328,1.317,1.326,73314.3,BAT-USD
1641294000,1.318,1.331,1.326,1.323,99414.52,BAT-USD
1641297600,1.298,1.323,1.321,1.309,269868.77,BAT-USD
1641301200,1.293,1.324,1.309,1.317,85113.01,BAT-USD
1641304800,1.31,1.33,1.319,1.325,204681.01,BAT-USD
1641308400,1.316,1.337,1.326,1.335,175573.41,BAT-USD
1641312000,1.328,1.364,1.336,1.353,515905.04,BAT-USD
1641315600,1.33,1.363,1.354,1.334,386704.95,BAT-USD
1641319200,1.279,1.343,1.331,1.283,481459.08,BAT-USD
1641322800,1.272,1.32,1.281,1.315,243359.31,BAT-USD
