time,low,high,open,close,volume,symbol
1719428400,0.02301,0.025,0.025,0.02338,4177664,BLAST-USD
1719432000,0.02337,0.0295,0.02338,0.0247,10173081,BLAST-USD
1719435600,0.0247,0.028,0.0248,0.02781,14528583,BLAST-USD
1719439200,0.0268,0.0305,0.02789,0.02767,14243264,BLAST-USD
1719442800,0.027,0.029,0.02767,0.02808,6282941,BLAST-USD
1719446400,0.02722,0.0305,0.02803,0.0294,7915712,BLAST-USD
1719450000,0.0271,0.02945,0.0294,0.02794,6187365,BLAST-USD
1719453600,0.02483,0.02906,0.02794,0.02524,5711396,BLAST-USD
1719457200,0.02481,0.02719,0.02519,0.02662,4833006,BLAST-USD
1719460800,0.02417,0.02662,0.02657,0.02577,4643774,BLAST-USD
1719464400,0.0244,0.0265,0.02577,0.02532,2644972,BLAST-USD
1719468000,0.02509,0.02648,0.02532,0.02524,3334202,BLAST-USD
1719471600,0.02404,0.0258,0.02512,0.02467,1527595,BLAST-USD
1719475200,0.02365,0.02512,0.02467,0.02457,1308071,BLAST-USD
1719478800,0.02386,0.0245,0.02446,0.02449,1530278,BLAST-USD
1719482400,0.02449,0.02649,0.02449,0.02522,2376620,BLAST-USD
1719486000,0.02445,0.02533,0.02522,0.02476,2533152,BLAST-USD
1719489600,0.0235,0.02479,0.02467,0.02421,10910408,BLAST-USD
1719493200,0.02301,0.02447,0.02432,0.02343,7012782,BLAST-USD
1719496800,0.02289,0.02401,0.02336,0.02361,6686558,BLAST-USD
1719500400,0.02273,0.02353,0.02353,0.02314,5222863,BLAST-USD
1719504000,0.02273,0.02357,0.02305,0.02317,5241064,BLAST-USD
1719507600,0.02305,0.02415,0.02314,0.02409,5346712,BLAST-USD
1719511200,0.02371,0.02428,0.02409,0.02396,2327828,BLAST-USD
1719514800,0.02351,0.02418,0.02399,0.0241,2185254,BLAST-USD
1719518400,0.02409,0.02452,0.0241,0.02415,5320660,BLAST-USD
1719522000,0.0237,0.02477,0.02416,0.02448,5133709,BLAST-USD
1719525600,0.02447,0.02497,0.02458,0.02458,4057654,BLAST-USD
1719529200,0.02426,0.02481,0.02462,0.02457,2624291,BLAST-USD
1719532800,0.02376,0.02489,0.02454,0.024,6414409,BLAST-USD
1719536400,0.02348,0.02415,0.02389,0.024,3933449,BLAST-USD
1719540000,0.02295,0.02406,0.02404,0.02295,3222300,BLAST-USD
1719543600,0.02265,0.02322,0.02305,0.02296,5316196,BLAST-USD
1719547200,0.02232,0.02292,0.0229,0.02271,3871927,BLAST-USD
1719550800,0.02253,0.02288,0.02266,0.0226,2700463,BLAST-USD
1719554400,0.022,0.02262,0.02257,0.02213,4257898,BLAST-USD
1719558000,0.02178,0.02245,0.02213,0.02206,4370778,BLAST-USD
1719561600,0.02198,0.02276,0.02199,0.02232,3811150,BLAST-USD
1719565200,0.02229,0.02284,0.02232,0.0227,2640007,BLAST-USD
1719568800,0.02233,0.02312,0.02269,0.02245,1226519,BLAST-USD
1719572400,0.02237,0.02274,0.02246,0.02257,2071336,BLAST-USD
1719576000,0.02224,0.0226,0.0226,0.02228,1690434,BLAST-USD
1719579600,0.02195,0.02262,0.02225,0.0222,3802462,BLAST-USD
1719583200,0.02131,0.0223,0.0222,0.02182,4247508,BLAST-USD
1719586800,0.02135,0.02195,0.02178,0.02175,4106176,BLAST-USD
