time,low,high,open,close,volume,symbol
1640995200,3.21,3.27,3.22,3.26,13982.007245,BNT-USD
1640998800,3.26,3.29,3.26,3.27,9777.119907,BNT-USD
1641002400,3.25,3.28,3.27,3.25,11221.533783,BNT-USD
1641006000,3.25,3.27,3.26,3.25,4787.653982,BNT-USD
1641009600,3.23,3.26,3.26,3.24,6132.074818,BNT-USD
1641013200,3.23,3.29,3.24,3.26,29621.388899,BNT-USD
1641016800,3.24,3.27,3.27,3.24,17642.983097,BNT-USD
1641020400,3.24,3.27,3.24,3.26,17096.181793,BNT-USD
1641024000,3.26,3.27,3.26,3.27,10032.320987,BNT-USD
1641027600,3.25,3.27,3.26,3.26,3001.785899,BNT-USD
1641031200,3.23,3.26,3.26,3.26,8381.469954,BNT-USD
1641034800,3.25,3.27,3.26,3.25,7285.296975,BNT-USD
1641038400,3.25,3.28,3.25,3.28,14805.651647,BNT-USD
1641042000,3.26,3.29,3.28,3.28,5951.873569,BNT-USD
1641045600,3.25,3.28,3.26,3.26,8252.210263,BNT-USD
1641049200,3.26,3.3,3.26,3.29,10504.141642,BNT-USD
1641052800,3.29,3.32,3.29,3.3,8175.590466,BNT-USD
1641056400,3.29,3.34,3.29,3.34,12730.876561,BNT-USD
1641060000,3.31,3.35,3.34,3.32,26518.604285,BNT-USD
1641063600,3.31,3.33,3.32,3.31,6257.844905,BNT-USD
1641067200,3.31,3.34,3.32,3.33,10408.932133,BNT-USD
1641070800,3.32,3.33,3.33,3.33,5966.030396,BNT-USD
1641074400,3.3,3.34,3.33,3.32,26427.183591,BNT-USD
1641078000,3.31,3.35,3.32,3.35,12084.551398,BNT-USD
1641081600,3.33,3.37,3.35,3.35,14913.588678,BNT-USD
1641085200,3.33,3.36,3.35,3.33,7363.271378,BNT-USD
1641088800,3.33,3.35,3.34,3.34,5367.025048,BNT-USD
1641092400,3.33,3.36,3.34,3.36,17925.829458,BNT-USD
1641096000,3.31,3.36,3.36,3.32,11549.248286,BNT-USD
1641099600,3.31,3.35,3.32,3.34,15736.817994,BNT-USD
1641103200,3.33,3.34,3.33,3.33,10349.751855,BNT-USD
1641106800,3.33,3.36,3.33,3.34,21188.929736,BNT-USD
1641110400,3.32,3.35,3.33,3.35,21564.251674,BNT-USD
1641114000,3.34,3.4,3.35,3.34,14685.638531,BNT-USD
1641117600,3.34,3.35,3.35,3.35,12021.084134,BNT-USD
1641121200,3.34,3.36,3.34,3.34,5475.653134,BNT-USD
1641124800,3.34,3.37,3.34,3.36,2121.768967,BNT-USD
1641128400,3.35,3.37,3.36,3.35,11279.574762,BNT-USD
1641132000,3.35,3.37,3.36,3.36,2774.032917,BNT-USD
1641135600,3.35,3.38,3.36,3.37,2396.321598,BNT-USD
1641139200,3.37,3.44,3.37,3.42,16326.383536,BNT-USD
1641142800,3.4,3.44,3.42,3.42,22432.709143,BNT-USD
1641146400,3.37,3.42,3.42,3.37,5905.253936,BNT-USD
1641150000,3.37,3.4,3.38,3.39,15516.264515,BNT-USD
1641153600,3.38,3.41,3.39,3.4,13230.39777,BNT-USD
1641157200,3.38,3.4,3.39,3.4,11532.694135,BNT-USD
1641160800,3.38,3.4,3.4,3.4,7546.586547,BNT-USD
1641164400,3.38,3.4,3.4,3.39,4579.704297,BNT-USD
1641168000,3.38,3.4,3.4,3.38,10166.893707,BNT-USD
1641171600,3.37,3.4,3.4,3.37,10787.281133,BNT-USD
1641175200,3.35,3.38,3.38,3.38,12541.793485,BNT-USD
1641178800,3.36,3.38,3.37,3.36,13909.900757,BNT-USD
1641182400,3.34,3.37,3.36,3.37,12038.54274,BNT-USD
1641186000,3.36,3.39,3.37,3.38,7341.090099,BNT-USD
1641189600,3.37,3.39,3.39,3.37,3458.965246,BNT-USD
1641193200,3.37,3.39,3.38,3.39,488.044181,BNT-USD
1641196800,3.39,3.41,3.39,3.4,3179.574044,BNT-USD
1641200400,3.39,3.42,3.41,3.4,19693.027761,BNT-USD
1641204000,3.41,3.44,3.41,3.44,14433.01222,BNT-USD
1641207600,3.43,3.44,3.44,3.44,7852.46595,BNT-USD
1641211200,3.41,3.44,3.43,3.42,5987.535047,BNT-USD
1641214800,3.42,3.46,3.43,3.46,11405.935854,BNT-USD
1641218400,3.43,3.47,3.45,3.43,33258.280355,BNT-USD
1641222000,3.4,3.45,3.43,3.41,13453.378259,BNT-USD
1641225600,3.36,3.42,3.41,3.37,23937.015873,BNT-USD
1641229200,3.37,3.42,3.38,3.4,32025.275804,BNT-USD
1641232800,3.39,3.43,3.41,3.4,27378.141844,BNT-USD
1641236400,3.39,3.42,3.4,3.39,13141.570725,BNT-USD
1641240000,3.34,3.4,3.38,3.34,41400.131924,BNT-USD
1641243600,3.34,3.39,3.34,3.38,13071.411205,BNT-USD
1641247200,3.38,3.43,3.38,3.4,12473.352906,BNT-USD
1641250800,3.4,3.44,3.4,3.43,6818.528644,BNT-USD
1641254400,3.39,3.44,3.44,3.41,24340.595074,BNT-USD
1641258000,3.39,3.43,3.4,3.39,12904.328663,BNT-USD
1641261600,3.36,3.39,3.38,3.37,14947.457146,BNT-USD
1641265200,3.36,3.4,3.38,3.4,7616.417621,BNT-USD
1641268800,3.36,3.4,3.39,3.36,14290.205037,BNT-USD
1641272400,3.37,3.4,3.37,3.39,11856.263534,BNT-USD
1641276000,3.38,3.42,3.39,3.42,17603.241986,BNT-USD
1641279600,3.4,3.42,3.42,3.42,3488.886502,BNT-USD
1641283200,3.42,3.45,3.42,3.44,14669.546882,BNT-USD
1641286800,3.42,3.46,3.44,3.43,27397.574895,BNT-USD
1641290400,3.42,3.46,3.43,3.45,12761.489358,BNT-USD
1641294000,3.45,3.48,3.46,3.48,18345.428798,BNT-USD
1641297600,3.44,3.47,3.47,3.47,8891.725331,BNT-USD
1641301200,3.45,3.49,3.48,3.47,22771.271045,BNT-USD
1641304800,3.47,3.51,3.49,3.48,11397.723709,BNT-USD
1641308400,3.45,3.5,3.49,3.45,19433.039511,BNT-USD
1641312000,3.44,3.48,3.45,3.48,21300.758561,BNT-USD
1641315600,3.47,3.51,3.48,3.47,34396.040478,BNT-USD
1641319200,3.39,3.5,3.48,3.4,49726.313984,BNT-USD
1641322800,3.4,3.46,3.4,3.44,49838.993022,BNT-USD
1641326400,3.42,3.46,3.44,3.44,115016.865142,BNT-USD
1641330000,3.42,3.45,3.44,3.43,44741.765783,BNT-USD
1641333600,3.39,3.43,3.42,3.43,68708.35527,BNT-USD
1641337200,3.39,3.43,3.43,3.39,32523.151048,BNT-USD
1641340800,3.4,3.46,3.4,3.46,20899.589151,BNT-USD
1641344400,3.46,3.5,3.46,3.47,49549.834435,BNT-USD
1641348000,3.47,3.51,3.47,3.5,16381.214761,BNT-USD
1641351600,3.49,3.51,3.5,3.51,18352.910542,BNT-USD
1641355200,3.49,3.53,3.5,3.51,30106.418874,BNT-USD
1641358800,3.49,3.51,3.51,3.5,4333.896781,BNT-USD
1641362400,3.49,3.51,3.5,3.51,4512.079965,BNT-USD
1641366000,3.48,3.5,3.5,3.5,4001.621849,BNT-USD
1641369600,3.49,3.52,3.5,3.51,7118.885216,BNT-USD
1641373200,3.51,3.53,3.51,3.52,11552.262306,BNT-USD
1641376800,3.52,3.54,3.53,3.52,3502.115543,BNT-USD
1641380400,3.48,3.52,3.52,3.49,9453.34642,BNT-USD
1641384000,3.47,3.5,3.49,3.48,23068.421283,BNT-USD
1641387600,3.48,3.54,3.49,3.54,37687.999747,BNT-USD
1641391200,3.51,3.54,3.53,3.54,38279.268476,BNT-USD
1641394800,3.52,3.56,3.53,3.55,26755.410667,BNT-USD
1641398400,3.52,3.57,3.55,3.53,35637.843447,BNT-USD
1641402000,3.49,3.55,3.53,3.51,14091.909379,BNT-USD
1641405600,3.46,3.53,3.5,3.5,45594.570322,BNT-USD
1641409200,3.38,3.49,3.49,3.38,68913.901633,BNT-USD
1641412800,3.3,3.41,3.38,3.3,122838.786131,BNT-USD
1641416400,3.27,3.35,3.31,3.27,36713.715166,BNT-USD
1641420000,3.16,3.28,3.27,3.27,46579.815321,BNT-USD
1641423600,3.26,3.35,3.28,3.29,20423.288807,BNT-USD
1641427200,3.26,3.32,3.29,3.3,9224.053505,BNT-USD
1641430800,3.24,3.3,3.3,3.26,13410.841789,BNT-USD
1641434400,3.21,3.27,3.25,3.25,22926.721272,BNT-USD
1641438000,3.2,3.25,3.24,3.2,19462.502824,BNT-USD
1641441600,3.17,3.23,3.2,3.21,29998.83496,BNT-USD
1641445200,3.22,3.26,3.22,3.23,33105.491711,BNT-USD
1641448800,3.19,3.24,3.23,3.21,83861.33369,BNT-USD
1641452400,3.19,3.24,3.2,3.21,126037.888272,BNT-USD
1641456000,3.16,3.22,3.22,3.17,46829.004576,BNT-USD
1641459600,3.11,3.17,3.16,3.13,26082.58665,BNT-USD
1641463200,3.12,3.17,3.14,3.16,18342.65515,BNT-USD
1641466800,3.13,3.17,3.16,3.16,10285.336374,BNT-USD
1641470400,3.13,3.18,3.16,3.18,14563.883549,BNT-USD
1641474000,3.17,3.2,3.18,3.2,8378.509827,BNT-USD
1641477600,3.18,3.22,3.21,3.19,19612.989928,BNT-USD
1641481200,3.17,3.2,3.19,3.19,18771.946877,BNT-USD
1641484800,3.18,3.21,3.19,3.21,14163.963844,BNT-USD
1641488400,3.2,3.23,3.21,3.23,9302.84649,BNT-USD
1641492000,3.22,3.28,3.22,3.27,15249.15865,BNT-USD
1641495600,3.25,3.28,3.26,3.27,11721.155333,BNT-USD
1641499200,3.23,3.28,3.27,3.24,14177.354026,BNT-USD
1641502800,3.22,3.25,3.24,3.23,7727.046624,BNT-USD
1641506400,3.21,3.25,3.23,3.25,6706.908839,BNT-USD
1641510000,3.22,3.25,3.24,3.22,5870.230925,BNT-USD
1641513600,3.18,3.25,3.23,3.2,7563.651084,BNT-USD
1641517200,3.17,3.2,3.19,3.2,26870.642988,BNT-USD
1641520800,3.17,3.21,3.19,3.17,7293.058181,BNT-USD
1641524400,3.06,3.18,3.17,3.07,42573.746797,BNT-USD
1641528000,3.0,3.08,3.07,3.08,108446.354023,BNT-USD
1641531600,3.07,3.11,3.08,3.09,9172.356896,BNT-USD
1641535200,3.02,3.08,3.08,3.02,12979.672685,BNT-USD
1641538800,3.0,3.06,3.02,3.05,10574.014687,BNT-USD
1641542400,3.05,3.14,3.06,3.11,20499.210832,BNT-USD
1641546000,3.11,3.15,3.11,3.12,2999.989315,BNT-USD
1641549600,3.11,3.15,3.13,3.11,3959.918981,BNT-USD
1641553200,3.11,3.16,3.11,3.15,15562.937999,BNT-USD
1641556800,3.14,3.16,3.15,3.14,12889.865939,BNT-USD
1641560400,3.04,3.17,3.14,3.08,34964.238501,BNT-USD
1641564000,3.08,3.13,3.08,3.12,24725.02828,BNT-USD
1641567600,3.01,3.14,3.13,3.06,45094.517706,BNT-USD
1641571200,3.03,3.17,3.08,3.17,26215.588721,BNT-USD
1641574800,3.12,3.17,3.17,3.14,23733.800824,BNT-USD
1641578400,3.1,3.15,3.14,3.12,4185.055221,BNT-USD
1641582000,3.1,3.15,3.12,3.15,4571.56797,BNT-USD
1641585600,3.13,3.17,3.15,3.15,6771.186683,BNT-USD
1641589200,3.13,3.16,3.16,3.13,2290.774361,BNT-USD
1641592800,3.08,3.14,3.13,3.11,10421.563859,BNT-USD
1641596400,3.09,3.13,3.12,3.13,5790.508925,BNT-USD
1641600000,3.11,3.17,3.13,3.16,3734.342539,BNT-USD
1641603600,3.14,3.18,3.17,3.15,1897.785654,BNT-USD
1641607200,3.13,3.15,3.15,3.14,2879.288959,BNT-USD
1641610800,3.12,3.15,3.14,3.13,2806.248808,BNT-USD
1641614400,3.13,3.18,3.15,3.16,7314.605953,BNT-USD
1641618000,3.13,3.17,3.16,3.13,10651.468129,BNT-USD
1641621600,3.13,3.16,3.15,3.16,9594.745355,BNT-USD
1641625200,3.14,3.17,3.17,3.15,7568.328072,BNT-USD
1641628800,3.14,3.18,3.16,3.15,3672.03904,BNT-USD
1641632400,3.13,3.17,3.15,3.16,2063.612644,BNT-USD
1641636000,3.12,3.16,3.15,3.13,6954.445381,BNT-USD
1641639600,3.12,3.14,3.13,3.14,2637.550863,BNT-USD
1641643200,3.11,3.15,3.14,3.12,1379.535548,BNT-USD
1641646800,3.11,3.14,3.12,3.12,4513.537294,BNT-USD
1641650400,3.1,3.14,3.13,3.1,7755.866147,BNT-USD
1641654000,3.06,3.1,3.09,3.06,19607.566036,BNT-USD
1641657600,3.04,3.09,3.08,3.05,18092.98375,BNT-USD
1641661200,2.97,3.05,3.05,2.97,12295.805273,BNT-USD
1641664800,2.95,3.02,2.98,2.96,37666.859463,BNT-USD
1641668400,2.96,3.01,2.96,3.0,47051.31773,BNT-USD
1641672000,2.98,3.02,3.01,3.02,17334.142559,BNT-USD
1641675600,3.01,3.08,3.02,3.06,15945.746248,BNT-USD
1641679200,3.07,3.13,3.07,3.11,6867.510949,BNT-USD
1641682800,3.06,3.11,3.11,3.06,7537.012937,BNT-USD
1641686400,3.05,3.12,3.06,3.12,3250.306734,BNT-USD
1641690000,3.07,3.12,3.12,3.1,4202.232707,BNT-USD
1641693600,3.11,3.16,3.11,3.14,9486.655993,BNT-USD
1641697200,3.13,3.16,3.14,3.14,6900.927461,BNT-USD
1641700800,3.13,3.17,3.14,3.17,2489.384909,BNT-USD
1641704400,3.12,3.16,3.16,3.14,2376.583961,BNT-USD
1641708000,3.13,3.15,3.13,3.14,2276.362226,BNT-USD
1641711600,3.13,3.14,3.14,3.13,8092.094379,BNT-USD
1641715200,3.1,3.15,3.13,3.1,5176.780937,BNT-USD
1641718800,3.09,3.12,3.11,3.09,2254.056406,BNT-USD
1641722400,3.08,3.13,3.11,3.12,5099.471229,BNT-USD
1641726000,3.12,3.15,3.13,3.15,6795.064816,BNT-USD
1641729600,3.12,3.14,3.14,3.12,5317.725236,BNT-USD
1641733200,3.1,3.15,3.12,3.1,8096.579918,BNT-USD
1641736800,3.09,3.14,3.1,3.12,7078.453859,BNT-USD
1641740400,3.09,3.14,3.12,3.12,11592.077969,BNT-USD
1641744000,3.11,3.2,3.12,3.19,13756.953339,BNT-USD
1641747600,3.17,3.21,3.19,3.18,8512.886754,BNT-USD
1641751200,3.17,3.2,3.18,3.18,4910.886795,BNT-USD
1641754800,3.17,3.22,3.17,3.22,6006.060605,BNT-USD
1641758400,3.19,3.22,3.21,3.2,6293.276177,BNT-USD
1641762000,3.2,3.21,3.21,3.21,293.558724,BNT-USD
1641765600,3.18,3.22,3.21,3.18,2812.289272,BNT-USD
1641769200,3.15,3.19,3.19,3.16,4668.850205,BNT-USD
1641772800,3.15,3.19,3.16,3.16,8235.192855,BNT-USD
1641776400,3.16,3.18,3.16,3.17,13396.165547,BNT-USD
1641780000,3.16,3.18,3.17,3.17,4182.697073,BNT-USD
1641783600,3.16,3.17,3.17,3.16,4985.599507,BNT-USD
1641787200,3.16,3.2,3.16,3.19,1679.980217,BNT-USD
1641790800,3.18,3.2,3.2,3.18,385.723588,BNT-USD
1641794400,3.17,3.19,3.18,3.19,6508.957603,BNT-USD
1641798000,3.19,3.21,3.2,3.2,3425.942289,BNT-USD
1641801600,3.16,3.2,3.19,3.16,7326.098233,BNT-USD
1641805200,3.15,3.17,3.16,3.16,8898.820297,BNT-USD
1641808800,3.14,3.16,3.15,3.14,7546.660781,BNT-USD
1641812400,3.11,3.13,3.13,3.11,14289.698539,BNT-USD
1641816000,3.06,3.12,3.11,3.06,23404.456062,BNT-USD
1641819600,3.04,3.08,3.06,3.04,22757.74402,BNT-USD
1641823200,2.96,3.06,3.04,3.05,96779.483169,BNT-USD
1641826800,3.01,3.07,3.05,3.04,22945.870659,BNT-USD
1641830400,3.03,3.12,3.03,3.11,26171.142834,BNT-USD
1641834000,3.03,3.12,3.11,3.07,57644.702106,BNT-USD
1641837600,3.05,3.1,3.07,3.09,10214.364091,BNT-USD
