time,low,high,open,close,volume,symbol
1654617600,0.7053,0.77,0.75,0.7194,269949.99,C98-USD
1654621200,0.7015,0.7249,0.7202,0.709,183370.16,C98-USD
1654624800,0.6982,0.7146,0.709,0.6982,60723.26,C98-USD
1654628400,0.6909,0.7063,0.7018,0.7015,77398.37,C98-USD
1654632000,0.6967,0.7179,0.7015,0.6972,108351.01,C98-USD
1654635600,0.6971,0.7197,0.6971,0.7181,125890.4,C98-USD
1654639200,0.6752,0.7313,0.7181,0.6954,220503.45,C98-USD
1654642800,0.6829,0.7022,0.693,0.6849,135616.99,C98-USD
1654646400,0.6789,0.7078,0.6835,0.6959,106929.09,C98-USD
1654650000,0.6918,0.7064,0.6996,0.7064,69288.87,C98-USD
1654653600,0.7089,0.7298,0.7089,0.7149,45108.58,C98-USD
1654657200,0.6894,0.7375,0.714,0.7012,58700.08,C98-USD
1654660800,0.6959,0.7219,0.6963,0.7063,70575.02,C98-USD
1654664400,0.7063,0.7244,0.7064,0.7187,11309.53,C98-USD
1654668000,0.7038,0.7207,0.7172,0.7091,25560.89,C98-USD
1654671600,0.6951,0.7155,0.705,0.7155,7666.18,C98-USD
1654675200,0.7107,0.7218,0.7156,0.7218,10266.61,C98-USD
1654678800,0.7167,0.7416,0.7188,0.7277,29286.29,C98-USD
1654682400,0.7102,0.726,0.7254,0.7208,10681.91,C98-USD
1654686000,0.7163,0.7318,0.7202,0.7261,15387.91,C98-USD
1654689600,0.7129,0.729,0.725,0.721,20549.25,C98-USD
1654693200,0.7185,0.7408,0.7248,0.7351,22472.19,C98-USD
1654696800,0.7258,0.7368,0.7328,0.7259,10426.84,C98-USD
1654700400,0.7258,0.738,0.7266,0.7328,16317.39,C98-USD
1654704000,0.7185,0.7339,0.7339,0.7215,62359.31,C98-USD
1654707600,0.7124,0.7274,0.7226,0.7153,51916.09,C98-USD
1654711200,0.7028,0.7184,0.7157,0.7094,62709.55,C98-USD
1654714800,0.7032,0.7145,0.709,0.7046,15568.34,C98-USD
1654718400,0.6984,0.7101,0.7055,0.7005,18542.26,C98-USD
1654722000,0.6975,0.7078,0.6975,0.7078,22271.44,C98-USD
1654725600,0.6992,0.7107,0.7078,0.7032,15442.77,C98-USD
1654729200,0.6864,0.7118,0.702,0.6939,12724.99,C98-USD
1654732800,0.6857,0.6973,0.6961,0.6933,8230.74,C98-USD
1654736400,0.6916,0.6989,0.6918,0.6916,7964.59,C98-USD
1654740000,0.6898,0.6966,0.6921,0.6924,8466.86,C98-USD
1654743600,0.6901,0.6958,0.6928,0.6928,4788.47,C98-USD
1654747200,0.6927,0.6989,0.6928,0.6978,7933.63,C98-USD
1654750800,0.6934,0.705,0.6955,0.701,15334.51,C98-USD
1654754400,0.6975,0.7029,0.7005,0.7014,16889.43,C98-USD
1654758000,0.6932,0.7011,0.7,0.6961,2053.41,C98-USD
1654761600,0.6963,0.7049,0.6974,0.7026,3389.78,C98-USD
1654765200,0.7033,0.7119,0.7036,0.7067,2642.13,C98-USD
1654768800,0.7082,0.7141,0.7094,0.7082,1760.09,C98-USD
1654772400,0.6992,0.7105,0.71,0.7005,7431.64,C98-USD
1654776000,0.695,0.704,0.7001,0.6981,6065.22,C98-USD
1654779600,0.6986,0.7176,0.7007,0.7161,5411.46,C98-USD
1654783200,0.7057,0.7188,0.7163,0.7081,4659.24,C98-USD
1654786800,0.7017,0.7214,0.707,0.7214,24167.9,C98-USD
1654790400,0.7113,0.7262,0.7193,0.7262,31109.08,C98-USD
1654794000,0.7249,0.7371,0.7262,0.736,10310.15,C98-USD
1654797600,0.7143,0.7369,0.7369,0.7143,101504.66,C98-USD
1654801200,0.7034,0.7187,0.7154,0.7041,8690.2,C98-USD
1654804800,0.7026,0.7141,0.7058,0.7102,5804.87,C98-USD
1654808400,0.7074,0.7141,0.7116,0.7094,6508.59,C98-USD
1654812000,0.7051,0.7117,0.7108,0.7084,4051.35,C98-USD
1654815600,0.7027,0.7137,0.7078,0.7136,4194.15,C98-USD
1654819200,0.6944,0.7249,0.7135,0.7077,6096.09,C98-USD
1654822800,0.7047,0.7207,0.7114,0.7177,4482.11,C98-USD
1654826400,0.7176,0.7399,0.7176,0.7399,18799.63,C98-USD
1654830000,0.7345,0.7734,0.7375,0.7704,79180.42,C98-USD
1654833600,0.759,0.7898,0.7704,0.7674,82623.79,C98-USD
1654837200,0.7577,0.7734,0.7652,0.7715,25898.22,C98-USD
1654840800,0.7615,0.7774,0.7689,0.7671,21405.15,C98-USD
1654844400,0.7495,0.7668,0.7668,0.754,16369.98,C98-USD
1654848000,0.7439,0.7603,0.755,0.7512,7608.07,C98-USD
