time,low,high,open,close,volume,symbol
1640995200,4.87,5.02,4.87,4.99,35391.7,CGLD-USD
1640998800,4.96,5.12,4.99,5.07,42494.59,CGLD-USD
1641002400,5.05,5.15,5.09,5.12,31720.87,CGLD-USD
1641006000,5.09,5.15,5.12,5.09,13766.57,CGLD-USD
1641009600,5.03,5.11,5.1,5.03,21012.96,CGLD-USD
1641013200,5.03,5.16,5.05,5.09,20055.35,CGLD-USD
1641016800,5.07,5.16,5.1,5.07,24000.83,CGLD-USD
1641020400,5.05,5.2,5.08,5.17,65891.76,CGLD-USD
1641024000,5.07,5.19,5.18,5.11,36613.12,CGLD-USD
1641027600,5.0,5.12,5.12,5.04,9028.48,CGLD-USD
1641031200,4.99,5.09,5.05,5.09,20801.02,CGLD-USD
1641034800,5.07,5.25,5.07,5.12,99334.82,CGLD-USD
1641038400,5.09,5.15,5.13,5.1,20532.24,CGLD-USD
1641042000,5.05,5.12,5.09,5.08,9491.75,CGLD-USD
1641045600,5.06,5.13,5.08,5.13,18465.79,CGLD-USD
1641049200,5.1,5.19,5.12,5.12,27430.84,CGLD-USD
1641052800,5.05,5.14,5.12,5.07,51763.95,CGLD-USD
1641056400,5.06,5.12,5.07,5.1,17447.13,CGLD-USD
1641060000,5.09,5.2,5.1,5.12,56667.97,CGLD-USD
1641063600,5.07,5.14,5.13,5.07,16555.11,CGLD-USD
1641067200,5.05,5.09,5.08,5.05,20423.52,CGLD-USD
1641070800,5.04,5.08,5.05,5.04,8038.74,CGLD-USD
1641074400,5.02,5.09,5.06,5.09,45034.36,CGLD-USD
1641078000,5.05,5.14,5.09,5.12,31710.79,CGLD-USD
1641081600,5.06,5.14,5.14,5.12,19984.6,CGLD-USD
1641085200,5.09,5.2,5.12,5.2,61230.76,CGLD-USD
1641088800,5.19,5.39,5.2,5.36,239817.77,CGLD-USD
1641092400,5.28,5.38,5.38,5.29,311500.2,CGLD-USD
1641096000,5.13,5.28,5.28,5.2,81120.38,CGLD-USD
1641099600,5.2,5.27,5.21,5.26,21882.31,CGLD-USD
1641103200,5.22,5.29,5.26,5.24,11255.32,CGLD-USD
1641106800,5.17,5.28,5.24,5.2,26472.41,CGLD-USD
1641110400,5.17,5.22,5.19,5.22,3929.61,CGLD-USD
1641114000,5.21,5.29,5.21,5.23,39992.76,CGLD-USD
1641117600,5.2,5.25,5.22,5.21,8264.26,CGLD-USD
1641121200,5.18,5.24,5.23,5.18,10647.96,CGLD-USD
1641124800,5.15,5.23,5.18,5.2,14519.25,CGLD-USD
1641128400,5.13,5.21,5.2,5.13,15502.96,CGLD-USD
1641132000,5.1,5.15,5.12,5.12,31666.18,CGLD-USD
1641135600,5.09,5.18,5.12,5.16,12949.92,CGLD-USD
