time,low,high,open,close,volume,symbol
1640995200,0.5561,0.5637,0.5563,0.5631,1947103.7,CRO-USD
1640998800,0.5617,0.5687,0.5631,0.5665,2738259.9,CRO-USD
1641002400,0.5626,0.5678,0.5667,0.564,1644109.4,CRO-USD
1641006000,0.5623,0.566,0.5639,0.5631,1272511.1,CRO-USD
1641009600,0.5611,0.565,0.5631,0.5636,1549361.8,CRO-USD
1641013200,0.5631,0.5739,0.5636,0.5692,2615314.9,CRO-USD
1641016800,0.5671,0.5711,0.569,0.5682,1092424.4,CRO-USD
1641020400,0.567,0.5718,0.5682,0.5704,1374656.0,CRO-USD
1641024000,0.5687,0.5734,0.5704,0.5697,1613734.1,CRO-USD
1641027600,0.5662,0.5709,0.5698,0.5694,701071.6,CRO-USD
1641031200,0.5626,0.57,0.569,0.5639,1299910.7,CRO-USD
1641034800,0.5617,0.566,0.5639,0.5617,975162.9,CRO-USD
1641038400,0.5617,0.5695,0.562,0.5687,971318.8,CRO-USD
1641042000,0.5667,0.5709,0.5685,0.5703,803590.9,CRO-USD
1641045600,0.5667,0.5706,0.5703,0.5668,866171.3,CRO-USD
1641049200,0.566,0.5724,0.5668,0.5697,1297557.2,CRO-USD
1641052800,0.5684,0.5729,0.57,0.5693,1504464.8,CRO-USD
1641056400,0.5689,0.579,0.5694,0.5786,2371224.0,CRO-USD
1641060000,0.5746,0.5797,0.5785,0.5783,2825903.6,CRO-USD
1641063600,0.5768,0.584,0.5786,0.5787,3946000.5,CRO-USD
1641067200,0.577,0.5819,0.5786,0.5813,1750445.2,CRO-USD
1641070800,0.5788,0.5838,0.5813,0.5806,2337424.4,CRO-USD
1641074400,0.5781,0.5816,0.5806,0.5813,1935926.0,CRO-USD
1641078000,0.5794,0.5864,0.5813,0.5853,2878312.4,CRO-USD
1641081600,0.5811,0.5859,0.5854,0.5821,2157844.8,CRO-USD
1641085200,0.5743,0.5829,0.5822,0.5752,2317986.0,CRO-USD
1641088800,0.5723,0.5783,0.5751,0.5772,2228466.4,CRO-USD
1641092400,0.577,0.5819,0.577,0.5809,1547496.2,CRO-USD
1641096000,0.574,0.5822,0.5809,0.5768,2178466.6,CRO-USD
1641099600,0.5754,0.5815,0.5765,0.5813,1489523.0,CRO-USD
1641103200,0.58,0.5863,0.5813,0.5854,1972204.3,CRO-USD
1641106800,0.5835,0.5875,0.5854,0.5859,1299051.2,CRO-USD
1641110400,0.5805,0.5862,0.5859,0.5852,1216345.7,CRO-USD
1641114000,0.5842,0.5881,0.5854,0.5863,1210417.4,CRO-USD
1641117600,0.5833,0.5879,0.586,0.5847,578624.8,CRO-USD
1641121200,0.5842,0.5876,0.5844,0.5846,627165.6,CRO-USD
1641124800,0.5816,0.5868,0.5846,0.5848,967148.2,CRO-USD
1641128400,0.582,0.5856,0.5851,0.5846,977620.1,CRO-USD
1641132000,0.5802,0.5856,0.5844,0.5809,1820387.5,CRO-USD
1641135600,0.5799,0.5841,0.581,0.5834,1544568.5,CRO-USD
1641139200,0.583,0.588,0.5835,0.588,1707350.5,CRO-USD
1641142800,0.5841,0.59,0.5879,0.5862,3992762.6,CRO-USD
1641146400,0.5742,0.5862,0.5862,0.5782,2964287.7,CRO-USD
1641150000,0.5752,0.5803,0.5782,0.5768,2919258.6,CRO-USD
1641153600,0.5754,0.5795,0.5768,0.5791,1360004.4,CRO-USD
1641157200,0.5778,0.5816,0.5789,0.5793,1489201.7,CRO-USD
1641160800,0.5792,0.5863,0.5793,0.5851,1538949.8,CRO-USD
1641164400,0.585,0.5885,0.5854,0.5872,1967351.0,CRO-USD
1641168000,0.5821,0.5875,0.5871,0.5821,1923003.5,CRO-USD
1641171600,0.5784,0.5834,0.582,0.5806,1736829.7,CRO-USD
1641175200,0.5775,0.5805,0.5804,0.5788,2090385.4,CRO-USD
1641178800,0.575,0.5796,0.5788,0.5756,1601138.0,CRO-USD
1641182400,0.5732,0.5758,0.5755,0.5745,1245073.2,CRO-USD
1641186000,0.5733,0.579,0.5745,0.5787,2092836.5,CRO-USD
1641189600,0.5767,0.5795,0.5787,0.5777,1343179.3,CRO-USD
1641193200,0.5763,0.5803,0.5777,0.5795,1580085.9,CRO-USD
1641196800,0.5776,0.5806,0.5794,0.5797,739260.7,CRO-USD
1641200400,0.5771,0.5808,0.5796,0.5793,1184889.0,CRO-USD
1641204000,0.5792,0.5827,0.5795,0.5821,633745.0,CRO-USD
1641207600,0.5816,0.586,0.582,0.5827,1205793.1,CRO-USD
1641211200,0.5803,0.5854,0.583,0.5808,1097254.2,CRO-USD
1641214800,0.5798,0.5846,0.5808,0.5811,1360931.0,CRO-USD
1641218400,0.577,0.5832,0.5811,0.5785,2590941.2,CRO-USD
1641222000,0.5738,0.5806,0.5786,0.5746,1857442.8,CRO-USD
1641225600,0.5574,0.5746,0.5746,0.5653,9207431.5,CRO-USD
1641229200,0.5645,0.5717,0.5651,0.5696,2024305.2,CRO-USD
1641232800,0.5675,0.5717,0.5695,0.5683,1497228.8,CRO-USD
1641236400,0.5675,0.5714,0.5685,0.5705,2301405.2,CRO-USD
1641240000,0.5569,0.5709,0.5705,0.5597,6282688.8,CRO-USD
1641243600,0.5579,0.5627,0.5597,0.5604,2685707.8,CRO-USD
1641247200,0.56,0.5679,0.5604,0.5651,1627615.2,CRO-USD
1641250800,0.565,0.5695,0.5651,0.5668,1634186.8,CRO-USD
1641254400,0.5605,0.5677,0.5671,0.5615,2086453.9,CRO-USD
1641258000,0.5567,0.5634,0.5615,0.5567,2506537.0,CRO-USD
1641261600,0.5553,0.5598,0.5566,0.5564,2611292.4,CRO-USD
1641265200,0.5558,0.5624,0.5564,0.5615,1676351.2,CRO-USD
1641268800,0.5561,0.563,0.5612,0.5599,1849765.9,CRO-USD
1641272400,0.5552,0.5606,0.5601,0.5588,3990084.7,CRO-USD
1641276000,0.5572,0.5603,0.5587,0.559,1984617.1,CRO-USD
1641279600,0.5582,0.5616,0.5589,0.5616,1833661.1,CRO-USD
1641283200,0.5596,0.5634,0.5616,0.5609,944886.2,CRO-USD
1641286800,0.5572,0.5618,0.5608,0.558,679998.5,CRO-USD
1641290400,0.5579,0.5622,0.5582,0.5599,1028369.0,CRO-USD
1641294000,0.5599,0.5644,0.5599,0.5643,1034667.3,CRO-USD
1641297600,0.5605,0.5652,0.5643,0.5639,1296122.8,CRO-USD
1641301200,0.5597,0.5704,0.5637,0.5693,2490498.2,CRO-USD
1641304800,0.5664,0.5754,0.5693,0.5728,2194141.7,CRO-USD
1641308400,0.5663,0.5756,0.5729,0.5674,2651257.8,CRO-USD
1641312000,0.5631,0.5675,0.5675,0.5635,2315606.5,CRO-USD
1641315600,0.5592,0.5651,0.5635,0.5592,2517914.2,CRO-USD
1641319200,0.5464,0.5612,0.5591,0.5483,3977197.4,CRO-USD
1641322800,0.5462,0.5567,0.5482,0.5514,3675135.8,CRO-USD
1641326400,0.55,0.5569,0.5516,0.555,2131300.6,CRO-USD
1641330000,0.5517,0.5553,0.555,0.5538,1814572.0,CRO-USD
1641333600,0.5503,0.5551,0.5538,0.5544,969112.3,CRO-USD
1641337200,0.5502,0.5547,0.5544,0.5512,1991430.8,CRO-USD
1641340800,0.5496,0.5564,0.5512,0.5557,2204016.1,CRO-USD
1641344400,0.5533,0.5573,0.5557,0.5536,1540204.4,CRO-USD
1641348000,0.5536,0.5584,0.5536,0.5554,1931011.0,CRO-USD
1641351600,0.5549,0.5597,0.5554,0.5585,2016137.9,CRO-USD
1641355200,0.5525,0.5587,0.5585,0.5547,1620820.8,CRO-USD
1641358800,0.551,0.5552,0.5548,0.5518,1350167.8,CRO-USD
1641362400,0.5515,0.5561,0.5517,0.5557,1240987.3,CRO-USD
1641366000,0.5533,0.5564,0.5557,0.5542,1070760.5,CRO-USD
1641369600,0.5524,0.5559,0.5545,0.5553,1185040.0,CRO-USD
1641373200,0.5542,0.5589,0.5552,0.5577,1850369.7,CRO-USD
1641376800,0.5537,0.559,0.5578,0.5555,1242342.1,CRO-USD
1641380400,0.5476,0.5557,0.5555,0.5498,1436142.0,CRO-USD
1641384000,0.545,0.5512,0.5498,0.5494,2125630.5,CRO-USD
1641387600,0.5473,0.5509,0.5492,0.55,1703709.9,CRO-USD
1641391200,0.5463,0.5526,0.5503,0.5514,3320186.0,CRO-USD
1641394800,0.547,0.5529,0.5516,0.5496,2540517.8,CRO-USD
1641398400,0.5428,0.5502,0.5496,0.5434,5414882.8,CRO-USD
1641402000,0.5327,0.5453,0.5434,0.5333,4897033.4,CRO-USD
1641405600,0.5276,0.5366,0.5334,0.5304,6428944.1,CRO-USD
1641409200,0.51,0.5326,0.5304,0.5113,9972594.6,CRO-USD
1641412800,0.5023,0.5147,0.5116,0.5036,13358200.4,CRO-USD
1641416400,0.4992,0.5102,0.5034,0.4995,9944466.0,CRO-USD
1641420000,0.481,0.502,0.4995,0.4976,12754475.3,CRO-USD
1641423600,0.4962,0.5071,0.4976,0.502,7276741.4,CRO-USD
1641427200,0.4997,0.5097,0.5025,0.5077,5082620.5,CRO-USD
1641430800,0.5006,0.5097,0.5083,0.5049,3716632.9,CRO-USD
1641434400,0.496,0.5057,0.5048,0.4979,4130995.7,CRO-USD
1641438000,0.4901,0.4986,0.4978,0.4906,4017288.7,CRO-USD
1641441600,0.488,0.4961,0.4906,0.4933,5718893.1,CRO-USD
1641445200,0.4911,0.4975,0.4934,0.4955,3143544.4,CRO-USD
1641448800,0.4925,0.4976,0.4955,0.4961,2636032.7,CRO-USD
1641452400,0.4946,0.4994,0.4963,0.4988,1806135.6,CRO-USD
1641456000,0.4925,0.4991,0.4986,0.4945,2157928.9,CRO-USD
1641459600,0.4842,0.4949,0.4945,0.4857,2549130.5,CRO-USD
1641463200,0.4843,0.4903,0.4858,0.4874,2253525.8,CRO-USD
1641466800,0.4857,0.49,0.4873,0.4886,2405069.5,CRO-USD
1641470400,0.485,0.4904,0.4885,0.4902,2435827.6,CRO-USD
1641474000,0.4896,0.4987,0.4901,0.4984,3048156.0,CRO-USD
1641477600,0.4927,0.5011,0.4981,0.4954,4442841.2,CRO-USD
1641481200,0.4926,0.5027,0.4953,0.5001,3962815.3,CRO-USD
1641484800,0.4971,0.5144,0.5002,0.4999,4595853.4,CRO-USD
1641488400,0.4992,0.5062,0.4998,0.5048,3491360.9,CRO-USD
1641492000,0.5046,0.5113,0.505,0.5111,3171597.4,CRO-USD
1641495600,0.508,0.5149,0.5108,0.5135,3694693.6,CRO-USD
1641499200,0.505,0.5156,0.5133,0.5071,4223713.2,CRO-USD
1641502800,0.504,0.5079,0.5072,0.5047,3124214.8,CRO-USD
1641506400,0.5023,0.5076,0.5047,0.5043,2893193.2,CRO-USD
1641510000,0.5027,0.5056,0.5041,0.5032,1646450.8,CRO-USD
1641513600,0.4965,0.5046,0.503,0.4983,3152447.0,CRO-USD
1641517200,0.497,0.5,0.4982,0.4997,1846297.7,CRO-USD
1641520800,0.4967,0.4998,0.4997,0.4979,1487285.1,CRO-USD
1641524400,0.4837,0.4996,0.498,0.4843,6111377.5,CRO-USD
1641528000,0.4703,0.486,0.4844,0.4798,10943399.5,CRO-USD
1641531600,0.4751,0.4831,0.4797,0.4818,4753994.3,CRO-USD
1641535200,0.4736,0.4823,0.4822,0.4752,4112952.4,CRO-USD
1641538800,0.4682,0.4753,0.4749,0.4742,3823686.8,CRO-USD
1641542400,0.4726,0.4832,0.4742,0.4778,2804357.2,CRO-USD
1641546000,0.4775,0.4852,0.4778,0.4829,1803501.6,CRO-USD
1641549600,0.481,0.4848,0.4828,0.481,1328689.0,CRO-USD
1641553200,0.4808,0.485,0.4811,0.4836,1778290.6,CRO-USD
1641556800,0.4835,0.4871,0.4835,0.4863,2137012.1,CRO-USD
1641560400,0.4708,0.4875,0.4863,0.4733,5403284.0,CRO-USD
1641564000,0.473,0.482,0.4734,0.4795,3315521.4,CRO-USD
1641567600,0.4656,0.4797,0.4796,0.4702,6475863.9,CRO-USD
1641571200,0.4635,0.4801,0.4698,0.478,5652372.3,CRO-USD
1641574800,0.4715,0.4785,0.4781,0.4755,3340743.7,CRO-USD
1641578400,0.4654,0.4755,0.4752,0.4694,4110565.6,CRO-USD
1641582000,0.4656,0.4698,0.4694,0.4681,2746016.9,CRO-USD
1641585600,0.4656,0.4717,0.4681,0.4687,3598799.0,CRO-USD
1641589200,0.4675,0.471,0.4687,0.4681,2388107.5,CRO-USD
1641592800,0.4633,0.4682,0.4681,0.4655,2155781.6,CRO-USD
1641596400,0.4611,0.4655,0.4655,0.4636,3003534.0,CRO-USD
1641600000,0.4625,0.4715,0.4638,0.4706,2442158.4,CRO-USD
1641603600,0.469,0.4748,0.4705,0.4719,3531873.7,CRO-USD
1641607200,0.4677,0.4729,0.472,0.4716,1825459.7,CRO-USD
1641610800,0.4688,0.4725,0.4713,0.4712,1834077.3,CRO-USD
1641614400,0.4707,0.476,0.4713,0.4739,2315297.7,CRO-USD
1641618000,0.4729,0.4771,0.4736,0.4756,2029807.8,CRO-USD
1641621600,0.4721,0.4758,0.4755,0.4755,1366456.3,CRO-USD
1641625200,0.4752,0.4788,0.4756,0.4779,1116444.7,CRO-USD
1641628800,0.4776,0.4817,0.4781,0.4804,1685877.0,CRO-USD
1641632400,0.4793,0.4837,0.4803,0.4833,1387904.0,CRO-USD
1641636000,0.4757,0.4836,0.4833,0.4766,1418004.1,CRO-USD
1641639600,0.4727,0.4766,0.4765,0.4749,1282884.3,CRO-USD
1641643200,0.4709,0.4769,0.4751,0.4722,1690113.7,CRO-USD
1641646800,0.4687,0.4738,0.4721,0.472,1961132.2,CRO-USD
1641650400,0.4707,0.474,0.4722,0.4712,1877747.3,CRO-USD
1641654000,0.4679,0.4724,0.4714,0.4699,2436929.0,CRO-USD
1641657600,0.4645,0.4711,0.4698,0.4652,2419928.7,CRO-USD
1641661200,0.4494,0.4659,0.465,0.4505,8543877.1,CRO-USD
1641664800,0.4404,0.462,0.4505,0.4438,9861334.5,CRO-USD
1641668400,0.4414,0.4489,0.4438,0.4435,7139619.3,CRO-USD
1641672000,0.4423,0.4486,0.4435,0.4463,4209626.9,CRO-USD
1641675600,0.4451,0.4596,0.4463,0.4566,3773072.9,CRO-USD
1641679200,0.4559,0.4629,0.4566,0.4576,3559557.1,CRO-USD
1641682800,0.4529,0.459,0.4578,0.4533,3023178.9,CRO-USD
1641686400,0.4501,0.4582,0.4534,0.4576,3226108.3,CRO-USD
1641690000,0.4535,0.4588,0.4571,0.4575,1778890.5,CRO-USD
1641693600,0.4563,0.4634,0.4574,0.4619,1777678.5,CRO-USD
1641697200,0.4579,0.4619,0.4618,0.4597,1868726.2,CRO-USD
1641700800,0.4595,0.466,0.4596,0.4659,2576014.1,CRO-USD
1641704400,0.4601,0.4664,0.4656,0.4611,2250006.8,CRO-USD
1641708000,0.4597,0.4659,0.461,0.4639,1371640.0,CRO-USD
1641711600,0.461,0.4646,0.4638,0.4617,718265.8,CRO-USD
1641715200,0.4565,0.463,0.4619,0.457,1118530.2,CRO-USD
1641718800,0.4539,0.4588,0.4567,0.4543,915324.4,CRO-USD
1641722400,0.4521,0.4569,0.4543,0.4549,1236925.5,CRO-USD
1641726000,0.4549,0.4594,0.4549,0.4578,891887.0,CRO-USD
