time,low,high,open,close,volume,symbol
1655395200,0.306,0.31,0.308,0.308,32804.11,DAR-USD
1655395200,0.306,0.31,0.308,0.308,32804.11,DAR-USD
1655398800,0.301,0.31,0.308,0.303,85267.4,DAR-USD
1655402400,0.301,0.308,0.303,0.304,23238.02,DAR-USD
1655406000,0.295,0.306,0.304,0.297,22067.11,DAR-USD
1655409600,0.295,0.301,0.299,0.3,11570.33,DAR-USD
1655413200,0.298,0.304,0.3,0.298,34063.98,DAR-USD
1655416800,0.294,0.304,0.298,0.296,113769.93,DAR-USD
1655420400,0.289,0.294,0.291,0.294,57343.19,DAR-USD
1655424000,0.292,0.3,0.293,0.297,32649.5,DAR-USD
1655427600,0.297,0.308,0.297,0.308,33532.0,DAR-USD
1655431200,0.3,0.308,0.307,0.3,27584.68,DAR-USD
1655434800,0.3,0.306,0.302,0.3,31571.15,DAR-USD
1655438400,0.298,0.305,0.3,0.303,17032.87,DAR-USD
1655442000,0.302,0.308,0.302,0.306,10031.54,DAR-USD
1655445600,0.303,0.311,0.304,0.308,30558.58,DAR-USD
1655449200,0.305,0.31,0.308,0.307,8108.35,DAR-USD
1655452800,0.306,0.31,0.306,0.308,64970.7,DAR-USD
1655456400,0.304,0.308,0.306,0.308,10185.87,DAR-USD
1655460000,0.305,0.309,0.308,0.309,13595.58,DAR-USD
1655463600,0.305,0.31,0.309,0.306,32077.44,DAR-USD
1655467200,0.299,0.307,0.305,0.299,28347.76,DAR-USD
1655470800,0.299,0.308,0.3,0.306,38705.22,DAR-USD
1655474400,0.3,0.307,0.307,0.304,34125.93,DAR-USD
1655478000,0.299,0.304,0.304,0.302,49751.06,DAR-USD
1655481600,0.301,0.305,0.303,0.304,57391.99,DAR-USD
1655485200,0.301,0.304,0.302,0.302,27692.99,DAR-USD
1655488800,0.302,0.306,0.303,0.302,38614.42,DAR-USD
1655492400,0.3,0.304,0.303,0.303,20712.33,DAR-USD
1655496000,0.303,0.308,0.303,0.305,10132.53,DAR-USD
1655499600,0.304,0.306,0.305,0.305,3502.48,DAR-USD
1655503200,0.302,0.305,0.305,0.304,22223.25,DAR-USD
1655506800,0.303,0.31,0.303,0.304,128270.75,DAR-USD
1655510400,0.303,0.312,0.303,0.309,36510.74,DAR-USD
1655514000,0.301,0.311,0.309,0.302,47226.54,DAR-USD
1655517600,0.298,0.303,0.301,0.3,39520.02,DAR-USD
1655521200,0.299,0.303,0.301,0.303,25184.2,DAR-USD
1655524800,0.301,0.303,0.302,0.302,40496.32,DAR-USD
1655528400,0.299,0.303,0.302,0.3,21556.48,DAR-USD
1655532000,0.287,0.301,0.3,0.288,37970.45,DAR-USD
1655535600,0.277,0.289,0.289,0.279,131488.99,DAR-USD
1655539200,0.272,0.282,0.279,0.277,79691.54,DAR-USD
1655542800,0.276,0.281,0.276,0.281,44798.91,DAR-USD
1655546400,0.281,0.285,0.281,0.284,57186.47,DAR-USD
1655550000,0.281,0.285,0.283,0.282,58958.81,DAR-USD
1655553600,0.279,0.283,0.281,0.281,50688.78,DAR-USD
1655557200,0.28,0.283,0.281,0.282,19074.75,DAR-USD
1655560800,0.279,0.283,0.282,0.281,40004.95,DAR-USD
1655564400,0.278,0.281,0.279,0.279,17445.86,DAR-USD
1655568000,0.277,0.281,0.279,0.278,50608.48,DAR-USD
1655571600,0.272,0.278,0.278,0.274,34560.4,DAR-USD
1655575200,0.271,0.274,0.273,0.271,49165.41,DAR-USD
1655578800,0.261,0.272,0.272,0.261,39545.16,DAR-USD
1655582400,0.254,0.264,0.261,0.258,33716.42,DAR-USD
1655586000,0.26,0.272,0.26,0.269,28484.27,DAR-USD
1655589600,0.269,0.278,0.269,0.278,61685.18,DAR-USD
1655593200,0.276,0.279,0.279,0.277,25487.76,DAR-USD
1655596800,0.275,0.28,0.279,0.275,34140.78,DAR-USD
1655600400,0.27,0.275,0.274,0.271,29813.11,DAR-USD
1655604000,0.268,0.272,0.272,0.269,18870.82,DAR-USD
1655607600,0.265,0.273,0.27,0.265,18159.9,DAR-USD
1655611200,0.262,0.27,0.266,0.269,105283.58,DAR-USD
1655614800,0.262,0.273,0.269,0.264,64550.64,DAR-USD
1655618400,0.263,0.269,0.263,0.266,18411.48,DAR-USD
1655622000,0.266,0.27,0.266,0.266,4883.67,DAR-USD
1655625600,0.264,0.27,0.266,0.27,1742.17,DAR-USD
1655629200,0.27,0.275,0.27,0.274,491.15,DAR-USD
1655632800,0.272,0.284,0.272,0.283,5609.37,DAR-USD
1655636400,0.279,0.284,0.284,0.282,3166.82,DAR-USD
1655640000,0.276,0.284,0.281,0.278,14420.0,DAR-USD
1655643600,0.276,0.28,0.278,0.276,3928.71,DAR-USD
1655647200,0.275,0.279,0.277,0.278,4732.01,DAR-USD
1655650800,0.276,0.284,0.276,0.281,1674.29,DAR-USD
1655654400,0.279,0.281,0.28,0.279,5486.07,DAR-USD
1655658000,0.277,0.28,0.278,0.28,1506.66,DAR-USD
1655661600,0.279,0.287,0.281,0.287,1538.39,DAR-USD
1655665200,0.283,0.288,0.285,0.288,4644.59,DAR-USD
1655668800,0.286,0.294,0.286,0.292,6151.7,DAR-USD
1655672400,0.289,0.292,0.292,0.29,9013.54,DAR-USD
1655676000,0.288,0.293,0.291,0.289,14537.29,DAR-USD
1655679600,0.288,0.293,0.29,0.293,35792.16,DAR-USD
1655683200,0.282,0.292,0.292,0.284,21431.46,DAR-USD
1655686800,0.279,0.283,0.283,0.281,10904.22,DAR-USD
1655690400,0.278,0.283,0.282,0.281,21800.76,DAR-USD
1655694000,0.281,0.284,0.281,0.283,12485.14,DAR-USD
1655697600,0.279,0.284,0.282,0.279,11738.33,DAR-USD
1655701200,0.278,0.285,0.279,0.285,15593.71,DAR-USD
1655704800,0.283,0.289,0.285,0.289,17284.44,DAR-USD
1655708400,0.282,0.29,0.289,0.286,21131.92,DAR-USD
1655712000,0.286,0.292,0.286,0.29,22657.94,DAR-USD
1655715600,0.289,0.293,0.291,0.291,35545.58,DAR-USD
1655719200,0.289,0.297,0.291,0.296,28072.7,DAR-USD
1655722800,0.293,0.3,0.296,0.295,28192.5,DAR-USD
1655726400,0.291,0.295,0.295,0.295,18484.64,DAR-USD
1655730000,0.288,0.295,0.294,0.293,29071.11,DAR-USD
1655733600,0.292,0.298,0.293,0.297,12835.1,DAR-USD
1655737200,0.292,0.297,0.297,0.296,24194.23,DAR-USD
