time,low,high,open,close,volume,symbol
1640995200,133.83,135.85,133.88,135.68,1077.15123812,DASH-USD
1640998800,134.86,136.43,135.7,135.18,1897.11118321,DASH-USD
1641002400,135.1,136.07,135.23,135.59,610.89054384,DASH-USD
1641006000,135.08,135.73,135.61,135.14,511.40809057,DASH-USD
1641009600,134.15,135.46,135.31,134.36,560.51062435,DASH-USD
1641013200,134.09,136.31,134.28,135.24,686.142,DASH-USD
1641016800,134.98,136.27,135.31,135.3,858.97345131,DASH-USD
1641020400,134.8,136.34,135.3,135.35,761.84881931,DASH-USD
1641024000,135.27,135.85,135.35,135.56,198.30675911,DASH-USD
1641027600,134.69,135.67,135.63,135.14,211.82651667,DASH-USD
1641031200,133.67,135.54,135.22,134.51,226.92846596,DASH-USD
1641034800,134.54,135.18,134.64,134.88,259.17723515,DASH-USD
1641038400,134.73,136.35,134.76,135.95,150.94480409,DASH-USD
1641042000,135.62,136.47,136.04,135.97,348.65069651,DASH-USD
1641045600,135.97,136.51,136.06,136.4,287.39,DASH-USD
1641049200,136.05,137.48,136.18,137.19,326.8793744,DASH-USD
1641052800,137.06,137.72,137.22,137.59,554.32277142,DASH-USD
1641056400,137.32,139.39,137.61,138.62,577.69790229,DASH-USD
1641060000,137.56,138.83,138.75,138.04,859.85578772,DASH-USD
1641063600,137.68,138.29,137.97,137.94,171.75574126,DASH-USD
1641067200,137.89,138.88,138.05,138.04,251.66756603,DASH-USD
1641070800,137.23,138.53,138.11,137.7,761.876,DASH-USD
1641074400,137.27,137.76,137.58,137.33,125.77766877,DASH-USD
1641078000,136.96,138.1,137.2,138.03,291.43509156,DASH-USD
1641081600,137.29,138.63,138.17,138.06,264.04152849,DASH-USD
1641085200,137.45,137.87,137.87,137.66,245.86286855,DASH-USD
1641088800,137.54,138.54,137.54,138.37,333.99167689,DASH-USD
1641092400,137.86,138.65,138.48,138.18,127.6285133,DASH-USD
1641096000,136.5,138.65,138.2,136.88,324.87505734,DASH-USD
1641099600,136.83,137.83,136.83,137.76,651.44946516,DASH-USD
1641103200,137.22,137.68,137.67,137.29,124.22474378,DASH-USD
1641106800,137.12,137.66,137.32,137.23,141.6939808,DASH-USD
1641110400,136.36,137.74,137.16,137.58,91.09161607,DASH-USD
1641114000,137.44,138.61,137.59,137.77,52.3325478,DASH-USD
1641117600,137.23,138.04,137.77,137.23,62.25025862,DASH-USD
1641121200,137.36,138.57,137.36,138.27,1257.179,DASH-USD
1641124800,137.48,138.9,138.32,138.66,429.381,DASH-USD
1641128400,138.23,138.8,138.53,138.43,211.27558341,DASH-USD
1641132000,138.33,139.16,138.4,139.02,259.202,DASH-USD
1641135600,138.88,140.0,139.06,139.6,425.54032873,DASH-USD
1641139200,139.5,142.22,139.5,142.01,549.6401699,DASH-USD
1641142800,141.24,142.89,142.2,142.14,723.43086527,DASH-USD
1641146400,139.6,142.17,142.17,141.08,309.05082404,DASH-USD
1641150000,140.99,142.26,141.18,141.46,384.33847053,DASH-USD
1641153600,141.23,142.54,141.36,142.39,296.05093653,DASH-USD
1641157200,142.04,143.1,142.39,142.04,666.54154368,DASH-USD
1641160800,141.98,142.7,142.02,142.7,231.37271699,DASH-USD
1641164400,141.92,143.23,142.77,141.99,798.63862108,DASH-USD
1641168000,140.82,142.24,141.93,140.97,246.70596633,DASH-USD
1641171600,140.81,142.48,140.95,142.48,181.5544432,DASH-USD
1641175200,141.48,142.8,142.48,142.27,297.89674562,DASH-USD
1641178800,140.73,142.61,142.37,141.33,259.87819016,DASH-USD
1641182400,141.32,142.86,141.34,142.24,301.45854061,DASH-USD
1641186000,141.21,142.83,142.24,141.28,1152.99810057,DASH-USD
1641189600,140.1,141.72,141.41,140.1,234.29898588,DASH-USD
1641193200,139.75,140.57,140.23,139.75,157.00528695,DASH-USD
1641196800,139.39,140.31,139.82,139.58,144.258,DASH-USD
1641200400,138.58,140.01,139.89,139.56,180.948,DASH-USD
1641204000,139.39,140.42,139.57,140.2,94.42227757,DASH-USD
1641207600,140.3,141.28,140.3,141.13,154.09563921,DASH-USD
1641211200,140.43,141.21,141.15,140.74,163.40847362,DASH-USD
1641214800,140.71,142.17,140.71,141.64,377.70129839,DASH-USD
1641218400,140.44,142.01,141.44,141.01,383.52602328,DASH-USD
1641222000,139.87,141.41,141.03,140.63,351.80539495,DASH-USD
1641225600,137.11,140.59,140.56,138.47,541.48796613,DASH-USD
1641229200,138.06,139.74,138.59,139.41,277.86398824,DASH-USD
1641232800,138.71,139.69,139.39,139.11,210.36360208,DASH-USD
1641236400,138.09,139.75,139.04,138.09,301.8033411,DASH-USD
1641240000,136.17,138.34,138.09,137.3,611.41010216,DASH-USD
1641243600,136.78,138.44,137.1,137.57,151.40763731,DASH-USD
1641247200,137.5,139.38,137.51,139.0,276.58899075,DASH-USD
1641250800,138.65,139.79,138.97,139.05,343.63130366,DASH-USD
1641254400,137.41,139.88,139.15,138.01,305.80811747,DASH-USD
1641258000,136.58,138.72,138.01,136.6,346.01239386,DASH-USD
1641261600,135.45,136.98,136.83,135.97,503.56175145,DASH-USD
1641265200,135.04,136.29,135.95,135.8,309.49409574,DASH-USD
1641268800,135.04,136.14,136.09,135.06,147.71609831,DASH-USD
1641272400,135.0,136.2,135.03,135.78,171.76475839,DASH-USD
1641276000,135.52,136.86,135.7,136.8,161.65187912,DASH-USD
1641279600,136.37,137.16,136.9,137.16,176.55515493,DASH-USD
1641283200,136.6,137.54,137.1,137.16,847.78619072,DASH-USD
1641286800,136.53,137.59,137.26,136.74,176.228,DASH-USD
1641290400,136.52,138.0,136.91,137.76,213.14147009,DASH-USD
1641294000,137.93,138.84,138.04,138.84,357.012,DASH-USD
1641297600,135.17,138.9,138.86,136.62,11243.83342404,DASH-USD
1641301200,135.64,137.77,136.64,137.55,1700.43402542,DASH-USD
1641304800,136.94,138.3,137.67,138.14,816.40566828,DASH-USD
1641308400,136.72,138.33,138.19,136.72,601.1081124,DASH-USD
1641312000,136.58,138.06,136.73,137.84,206.57749785,DASH-USD
1641315600,137.05,138.16,137.81,137.08,218.82195887,DASH-USD
1641319200,133.62,137.8,137.17,134.09,467.29532877,DASH-USD
1641322800,133.26,136.8,134.11,135.19,2259.86572027,DASH-USD
1641326400,135.01,136.83,135.64,136.47,334.51081725,DASH-USD
1641330000,135.68,136.82,136.54,136.34,237.42718536,DASH-USD
1641333600,135.64,136.32,136.27,135.93,147.70136563,DASH-USD
1641337200,134.24,135.87,135.82,134.45,321.00466122,DASH-USD
1641340800,133.64,135.06,134.45,134.73,525.96925244,DASH-USD
1641344400,133.58,135.18,134.72,133.58,582.92183682,DASH-USD
1641348000,133.5,134.62,133.94,134.5,484.69041947,DASH-USD
1641351600,134.37,135.04,134.49,134.73,1042.0806853,DASH-USD
