time,low,high,open,close,volume,symbol
1656010800,0.1855,0.29,0.19,0.23,186259.3,DEXT-USD
1656014400,0.17,0.27,0.23,0.214,1517680.9,DEXT-USD
1656018000,0.1636,0.216,0.214,0.165,520543.7,DEXT-USD
1656021600,0.1604,0.18,0.1748,0.167,241485.2,DEXT-USD
1656025200,0.1624,0.1861,0.1677,0.175,146622.8,DEXT-USD
1656028800,0.1705,0.214,0.1705,0.199,307770.4,DEXT-USD
1656032400,0.1766,0.1998,0.1921,0.1772,166872.0,DEXT-USD
1656036000,0.1704,0.1886,0.1868,0.1823,130125.8,DEXT-USD
1656039600,0.1703,0.1824,0.1821,0.1815,187899.7,DEXT-USD
1656043200,0.1713,0.188,0.1802,0.1878,150048.2,DEXT-USD
1656046800,0.16,0.1879,0.1879,0.1684,64508.0,DEXT-USD
1656050400,0.1502,0.1684,0.163,0.1682,14962.5,DEXT-USD
1656054000,0.1594,0.1684,0.1682,0.1684,5308.1,DEXT-USD
1656057600,0.15,0.1684,0.1684,0.1515,17107.1,DEXT-USD
1656061200,0.15,0.1715,0.152,0.16,993.1,DEXT-USD
1656068400,0.1711,0.1713,0.1711,0.1713,1264.8,DEXT-USD
1656072000,0.142,0.1713,0.1713,0.1499,34713.5,DEXT-USD
1656075600,0.14,0.156,0.15,0.1549,76948.8,DEXT-USD
1656079200,0.1451,0.1595,0.1459,0.1505,42553.1,DEXT-USD
1656082800,0.1409,0.1575,0.1466,0.1409,27437.0,DEXT-USD
1656086400,0.1407,0.153,0.1409,0.147,56709.3,DEXT-USD
1656090000,0.1367,0.153,0.14,0.1523,63962.3,DEXT-USD
1656093600,0.14,0.153,0.1523,0.14,107328.7,DEXT-USD
1656097200,0.1385,0.1501,0.1425,0.1402,309914.5,DEXT-USD
1656100800,0.137,0.145,0.1448,0.1446,38491.7,DEXT-USD
1656104400,0.1369,0.145,0.137,0.142,180406.4,DEXT-USD
1656108000,0.141,0.1459,0.1441,0.1451,83154.7,DEXT-USD
1656111600,0.1426,0.1451,0.1451,0.145,22464.6,DEXT-USD
1656115200,0.1436,0.1459,0.1436,0.145,33778.2,DEXT-USD
1656118800,0.1432,0.157,0.1436,0.157,105249.4,DEXT-USD
1656122400,0.151,0.1575,0.157,0.1517,86403.2,DEXT-USD
1656126000,0.1493,0.154,0.1539,0.1513,14746.0,DEXT-USD
1656129600,0.1449,0.1514,0.1513,0.147,100489.0,DEXT-USD
1656133200,0.1461,0.1496,0.1486,0.1462,19780.1,DEXT-USD
1656136800,0.1458,0.1479,0.1462,0.1459,25235.7,DEXT-USD
1656140400,0.1459,0.1479,0.1459,0.1479,716.9,DEXT-USD
1656144000,0.1479,0.148,0.1479,0.1479,1789.3,DEXT-USD
1656147600,0.1416,0.1468,0.1468,0.1438,11251.9,DEXT-USD
1656151200,0.1424,0.1479,0.1438,0.1472,12352.6,DEXT-USD
1656154800,0.1442,0.1472,0.1472,0.1448,37169.0,DEXT-USD
1656158400,0.144,0.1466,0.1466,0.1461,11669.2,DEXT-USD
1656162000,0.1399,0.146,0.1441,0.1404,49540.5,DEXT-USD
1656165600,0.1362,0.1419,0.1405,0.1412,108209.0,DEXT-USD
1656169200,0.1412,0.1632,0.1412,0.1629,282496.2,DEXT-USD
1656172800,0.1438,0.1632,0.1628,0.153,250510.2,DEXT-USD
1656176400,0.1495,0.1639,0.1546,0.152,126147.4,DEXT-USD
1656180000,0.1441,0.1522,0.1522,0.1491,76084.7,DEXT-USD
1656183600,0.1439,0.1532,0.1506,0.1458,53990.6,DEXT-USD
1656187200,0.1451,0.148,0.1458,0.1469,20300.0,DEXT-USD
1656190800,0.1469,0.1528,0.1469,0.1494,54540.5,DEXT-USD
1656194400,0.1474,0.1513,0.1494,0.15,45818.2,DEXT-USD
1656198000,0.1451,0.149,0.1489,0.149,38529.2,DEXT-USD
1656201600,0.1452,0.149,0.1482,0.1466,36003.0,DEXT-USD
1656205200,0.1452,0.147,0.1466,0.1452,8602.7,DEXT-USD
1656208800,0.1452,0.1462,0.1461,0.1462,1549.0,DEXT-USD
1656212400,0.1379,0.1465,0.1452,0.1465,110794.8,DEXT-USD
1656216000,0.1445,0.1465,0.1446,0.1445,5917.5,DEXT-USD
1656219600,0.1387,0.1445,0.1445,0.1414,48626.4,DEXT-USD
1656223200,0.139,0.1428,0.1428,0.1403,60380.6,DEXT-USD
1656226800,0.1402,0.1411,0.1402,0.1402,629.6,DEXT-USD
1656230400,0.1403,0.1411,0.141,0.1403,78461.8,DEXT-USD
1656234000,0.1403,0.141,0.1403,0.141,217.6,DEXT-USD
1656237600,0.1403,0.141,0.1403,0.141,2182.4,DEXT-USD
1656241200,0.1386,0.1402,0.1399,0.1386,7392.2,DEXT-USD
1656244800,0.1382,0.1411,0.1402,0.1408,85097.3,DEXT-USD
1656248400,0.1423,0.1424,0.1423,0.1423,1714.8,DEXT-USD
1656252000,0.1388,0.1428,0.1423,0.1428,32471.5,DEXT-USD
1656255600,0.1424,0.1446,0.1428,0.1442,16030.7,DEXT-USD
1656259200,0.1424,0.1441,0.1441,0.1424,5923.1,DEXT-USD
1656262800,0.1418,0.1441,0.1441,0.1418,12480.5,DEXT-USD
1656266400,0.1366,0.1445,0.1445,0.1382,44589.4,DEXT-USD
1656270000,0.1382,0.1395,0.1395,0.1383,3879.3,DEXT-USD
1656273600,0.1382,0.1395,0.1395,0.1395,7239.6,DEXT-USD
1656277200,0.1353,0.1395,0.1395,0.1366,45348.2,DEXT-USD
1656280800,0.1354,0.1366,0.1366,0.1366,1482.4,DEXT-USD
1656284400,0.1354,0.1366,0.1366,0.1354,1263.3,DEXT-USD
1656288000,0.1353,0.1366,0.1354,0.1366,4480.4,DEXT-USD
1656291600,0.1349,0.1366,0.1354,0.1349,15318.9,DEXT-USD
1656295200,0.135,0.1366,0.1365,0.135,674.3,DEXT-USD
1656295200,0.135,0.1366,0.1365,0.135,674.3,DEXT-USD
1656298800,0.135,0.1366,0.1364,0.135,2341.7,DEXT-USD
1656302400,0.1347,0.1357,0.135,0.1356,11162.2,DEXT-USD
1656309600,0.1341,0.1356,0.1356,0.1356,749.7,DEXT-USD
1656316800,0.1346,0.1356,0.1356,0.1356,45.4,DEXT-USD
1656320400,0.1344,0.1356,0.1356,0.1356,373.1,DEXT-USD
1656324000,0.1344,0.1356,0.1356,0.1344,227.7,DEXT-USD
1656327600,0.1344,0.1356,0.1356,0.1344,1104.6,DEXT-USD
1656331200,0.1344,0.1376,0.1344,0.1376,1147.3,DEXT-USD
1656334800,0.136,0.1376,0.1361,0.1376,3527.7,DEXT-USD
1656338400,0.136,0.1376,0.1362,0.136,7307.1,DEXT-USD
1656342000,0.136,0.1425,0.136,0.1425,30515.3,DEXT-USD
1656345600,0.137,0.1425,0.1425,0.137,58850.4,DEXT-USD
1656349200,0.1393,0.1408,0.1393,0.1408,7682.5,DEXT-USD
1656352800,0.1356,0.1428,0.1407,0.1363,104808.3,DEXT-USD
1656356400,0.1363,0.1377,0.1363,0.1377,3674.2,DEXT-USD
1656360000,0.1355,0.1382,0.1363,0.1373,68892.8,DEXT-USD
1656363600,0.1362,0.1378,0.1372,0.1378,475.8,DEXT-USD
1656367200,0.1366,0.1391,0.1378,0.1368,51385.3,DEXT-USD
1656374400,0.1356,0.1383,0.1379,0.1381,7122.9,DEXT-USD
1656378000,0.1383,0.1383,0.1383,0.1383,887.0,DEXT-USD
1656381600,0.1351,0.1383,0.137,0.1371,5875.9,DEXT-USD
1656385200,0.136,0.1371,0.137,0.137,1957.3,DEXT-USD
1656388800,0.1351,0.1384,0.137,0.1351,28719.1,DEXT-USD
1656392400,0.135,0.1367,0.1367,0.1367,1559.5,DEXT-USD
1656403200,0.1366,0.1373,0.1366,0.1372,20861.3,DEXT-USD
1656406800,0.1356,0.1372,0.1372,0.1356,1008.0,DEXT-USD
1656410400,0.1357,0.1372,0.1357,0.137,293.5,DEXT-USD
1656414000,0.1358,0.137,0.137,0.1358,1421.4,DEXT-USD
1656417600,0.1338,0.1371,0.1368,0.1338,74817.0,DEXT-USD
1656421200,0.1335,0.1364,0.1364,0.1339,3971.4,DEXT-USD
1656424800,0.1343,0.1435,0.1345,0.1386,81473.9,DEXT-USD
1656428400,0.1377,0.141,0.1391,0.1389,11403.8,DEXT-USD
1656432000,0.1379,0.1392,0.1392,0.1379,1513.0,DEXT-USD
1656435600,0.1358,0.1394,0.1379,0.1358,61975.6,DEXT-USD
1656439200,0.1359,0.1371,0.137,0.1368,29483.4,DEXT-USD
1656442800,0.1373,0.1416,0.1373,0.1391,255646.9,DEXT-USD
1656446400,0.1359,0.1394,0.1391,0.1359,5461.0,DEXT-USD
1656450000,0.131,0.1359,0.1359,0.1316,193136.3,DEXT-USD
1656453600,0.13,0.1311,0.1304,0.1311,533.0,DEXT-USD
1656457200,0.13,0.1311,0.1302,0.1311,814.2,DEXT-USD
