time,low,high,open,close,volume,symbol
1640995200,0.128,0.13,0.128,0.1295,307395.9,DNT-USD
1640998800,0.1293,0.1298,0.1298,0.1294,78331.2,DNT-USD
1641002400,0.1296,0.13,0.1296,0.1296,39230.0,DNT-USD
1641006000,0.1294,0.13,0.1295,0.1296,231653.9,DNT-USD
1641009600,0.1282,0.1298,0.1298,0.1287,69789.7,DNT-USD
1641013200,0.128,0.13,0.1287,0.1297,512683.2,DNT-USD
1641016800,0.1291,0.1299,0.1297,0.1291,126870.4,DNT-USD
1641020400,0.1291,0.1298,0.1291,0.1298,32099.4,DNT-USD
1641024000,0.1298,0.13,0.1298,0.1298,10662.5,DNT-USD
1641031200,0.1294,0.13,0.13,0.1296,15917.4,DNT-USD
1641034800,0.1297,0.1298,0.1297,0.1297,282.3,DNT-USD
1641038400,0.1295,0.131,0.1296,0.131,46846.5,DNT-USD
1641042000,0.1306,0.1317,0.1308,0.1306,27539.1,DNT-USD
1641045600,0.1306,0.1314,0.1306,0.1314,850.0,DNT-USD
1641049200,0.1314,0.133,0.1314,0.1326,18710.3,DNT-USD
1641052800,0.133,0.134,0.133,0.1339,62301.4,DNT-USD
1641056400,0.1336,0.135,0.1339,0.135,35865.0,DNT-USD
1641060000,0.135,0.136,0.135,0.1353,25593.3,DNT-USD
1641063600,0.1346,0.1355,0.135,0.1353,31536.1,DNT-USD
1641067200,0.1337,0.1352,0.1352,0.1341,31330.5,DNT-USD
1641070800,0.1333,0.1339,0.1339,0.1333,45955.3,DNT-USD
1641074400,0.133,0.1337,0.1333,0.1334,54362.2,DNT-USD
1641078000,0.133,0.1339,0.1334,0.1332,3953.2,DNT-USD
1641081600,0.133,0.134,0.1331,0.1336,28858.9,DNT-USD
1641085200,0.133,0.1387,0.1337,0.1348,655848.8,DNT-USD
1641088800,0.1341,0.1373,0.1344,0.1354,84354.1,DNT-USD
1641092400,0.1347,0.1359,0.1353,0.1347,28318.3,DNT-USD
1641096000,0.1332,0.1353,0.1347,0.1339,20806.7,DNT-USD
1641099600,0.1333,0.1345,0.1333,0.1342,25374.3,DNT-USD
1641103200,0.1338,0.135,0.1343,0.1338,45362.2,DNT-USD
1641106800,0.1337,0.1338,0.1338,0.1337,361.3,DNT-USD
1641110400,0.1333,0.1348,0.1336,0.1348,1945.6,DNT-USD
1641114000,0.1347,0.1367,0.1349,0.1355,105038.5,DNT-USD
1641117600,0.1353,0.1363,0.1355,0.1359,23975.0,DNT-USD
1641121200,0.1352,0.1364,0.1359,0.1352,16451.2,DNT-USD
1641124800,0.1351,0.1363,0.1353,0.1359,5574.7,DNT-USD
1641128400,0.1343,0.1364,0.136,0.135,489163.0,DNT-USD
1641132000,0.1348,0.1408,0.1348,0.1408,336628.2,DNT-USD
1641135600,0.1379,0.1416,0.1409,0.1385,730974.1,DNT-USD
1641139200,0.138,0.1404,0.1392,0.1396,82231.5,DNT-USD
1641142800,0.1377,0.14,0.1397,0.139,225624.2,DNT-USD
1641146400,0.1358,0.1385,0.1385,0.1365,41658.9,DNT-USD
1641150000,0.136,0.137,0.137,0.1362,21890.8,DNT-USD
1641153600,0.136,0.1374,0.136,0.1373,89324.8,DNT-USD
1641157200,0.1366,0.1384,0.1367,0.1366,60139.0,DNT-USD
1641160800,0.1366,0.1377,0.1366,0.1377,66446.1,DNT-USD
1641164400,0.1367,0.1383,0.1378,0.1367,98901.2,DNT-USD
1641168000,0.1364,0.1393,0.1366,0.138,232435.4,DNT-USD
1641171600,0.1367,0.1379,0.1379,0.1367,2442.5,DNT-USD
1641175200,0.1353,0.1367,0.1367,0.1361,89748.0,DNT-USD
1641178800,0.1353,0.1362,0.1362,0.1358,49312.9,DNT-USD
1641182400,0.1355,0.1361,0.1356,0.1355,15370.2,DNT-USD
1641186000,0.1355,0.1365,0.1357,0.1365,2645.1,DNT-USD
1641189600,0.1355,0.1367,0.1367,0.1355,563.2,DNT-USD
1641193200,0.1352,0.1357,0.1352,0.1357,7894.5,DNT-USD
1641196800,0.1356,0.1371,0.136,0.1371,12113.2,DNT-USD
1641200400,0.136,0.1394,0.1371,0.1377,54034.4,DNT-USD
1641204000,0.1378,0.1399,0.1378,0.139,25889.7,DNT-USD
1641207600,0.1392,0.1398,0.1394,0.1398,20047.5,DNT-USD
1641211200,0.1384,0.14,0.1398,0.1386,172976.8,DNT-USD
1641214800,0.1384,0.1421,0.1384,0.1409,177684.4,DNT-USD
1641218400,0.1388,0.1404,0.1404,0.1396,11504.7,DNT-USD
1641222000,0.1374,0.14,0.14,0.1381,42692.6,DNT-USD
1641225600,0.136,0.1383,0.1382,0.1383,113579.7,DNT-USD
1641229200,0.1363,0.138,0.138,0.1379,27239.8,DNT-USD
1641232800,0.1366,0.1376,0.1376,0.1366,70895.5,DNT-USD
1641236400,0.136,0.1368,0.1365,0.1361,39662.0,DNT-USD
1641240000,0.1336,0.1362,0.136,0.134,82824.9,DNT-USD
1641243600,0.1338,0.1351,0.1347,0.1348,16219.6,DNT-USD
1641247200,0.1346,0.1355,0.1346,0.1352,71693.0,DNT-USD
1641250800,0.1347,0.1357,0.1347,0.1355,66539.9,DNT-USD
1641254400,0.1346,0.1356,0.1355,0.1351,74664.7,DNT-USD
1641258000,0.1341,0.1345,0.1345,0.1341,5028.7,DNT-USD
1641261600,0.1334,0.134,0.134,0.134,33188.0,DNT-USD
1641265200,0.1345,0.1349,0.1347,0.1348,2086.9,DNT-USD
1641268800,0.134,0.135,0.1349,0.1345,20792.7,DNT-USD
1641272400,0.1345,0.135,0.1345,0.135,54348.0,DNT-USD
1641276000,0.135,0.1359,0.1351,0.135,15683.1,DNT-USD
1641279600,0.135,0.1354,0.1354,0.1353,3145.0,DNT-USD
1641283200,0.1345,0.1356,0.1353,0.1348,51820.1,DNT-USD
1641286800,0.1348,0.1357,0.1348,0.1357,20527.1,DNT-USD
1641290400,0.1359,0.1363,0.1359,0.1363,22995.8,DNT-USD
1641294000,0.1362,0.1365,0.1362,0.1362,22066.1,DNT-USD
1641297600,0.1358,0.1366,0.1366,0.1358,163.4,DNT-USD
1641301200,0.1357,0.1376,0.1357,0.1376,62549.4,DNT-USD
1641304800,0.1365,0.1392,0.1376,0.1386,16183.8,DNT-USD
1641308400,0.137,0.1385,0.1385,0.1372,33299.5,DNT-USD
1641312000,0.1358,0.1376,0.137,0.137,115874.4,DNT-USD
1641315600,0.1362,0.1372,0.137,0.1362,90388.0,DNT-USD
1641319200,0.1334,0.1367,0.1362,0.1334,23244.3,DNT-USD
1641322800,0.1338,0.136,0.1338,0.1351,23868.5,DNT-USD
1641326400,0.1351,0.1363,0.1351,0.1354,2675.3,DNT-USD
1641330000,0.1327,0.1351,0.1351,0.133,184772.1,DNT-USD
1641333600,0.1324,0.1348,0.1327,0.1336,181047.9,DNT-USD
1641337200,0.1319,0.1333,0.1333,0.1319,108076.7,DNT-USD
1641340800,0.1317,0.1335,0.1318,0.1335,9491.7,DNT-USD
1641344400,0.1322,0.1339,0.1336,0.1325,91503.4,DNT-USD
1641348000,0.1312,0.1327,0.1327,0.1321,78973.7,DNT-USD
1641351600,0.1319,0.1321,0.1321,0.132,23296.8,DNT-USD
1641355200,0.132,0.1325,0.132,0.1323,38696.5,DNT-USD
1641358800,0.1324,0.1327,0.1324,0.1327,11979.2,DNT-USD
1641362400,0.1327,0.1331,0.1327,0.1331,31019.3,DNT-USD
1641366000,0.1333,0.1334,0.1333,0.1334,965.5,DNT-USD
1641369600,0.1333,0.1347,0.1334,0.1343,55329.8,DNT-USD
1641376800,0.1335,0.1349,0.1348,0.1335,2050.6,DNT-USD
1641380400,0.1324,0.1334,0.1334,0.133,2850.9,DNT-USD
1641384000,0.1318,0.1331,0.133,0.1329,31347.0,DNT-USD
1641387600,0.1326,0.1334,0.1329,0.1334,1016.5,DNT-USD
1641391200,0.1313,0.1338,0.1334,0.1332,495529.2,DNT-USD
1641394800,0.1323,0.1331,0.133,0.1331,48715.9,DNT-USD
1641398400,0.1322,0.1333,0.1326,0.1332,97179.7,DNT-USD
1641402000,0.1304,0.1332,0.1332,0.1304,108326.1,DNT-USD
1641405600,0.1306,0.1321,0.1311,0.1313,202674.6,DNT-USD
1641409200,0.1287,0.1314,0.1314,0.1287,307854.3,DNT-USD
1641412800,0.1249,0.1293,0.1289,0.125,649346.7,DNT-USD
1641416400,0.1241,0.1258,0.125,0.1241,218002.4,DNT-USD
1641420000,0.1177,0.1243,0.1241,0.1223,788470.7,DNT-USD
1641423600,0.122,0.1235,0.1224,0.1229,239351.5,DNT-USD
1641427200,0.122,0.1243,0.1229,0.1241,324035.8,DNT-USD
1641430800,0.1209,0.1242,0.1241,0.1209,173941.6,DNT-USD
1641434400,0.1193,0.1219,0.1211,0.1194,332849.6,DNT-USD
1641438000,0.1186,0.1208,0.1196,0.1186,291439.9,DNT-USD
1641441600,0.1176,0.1197,0.119,0.1196,196241.1,DNT-USD
1641445200,0.1188,0.1209,0.1188,0.1203,102208.2,DNT-USD
1641448800,0.12,0.1211,0.12,0.1205,42436.4,DNT-USD
1641452400,0.1203,0.1213,0.1206,0.1211,18201.9,DNT-USD
1641456000,0.1194,0.121,0.1209,0.1196,58049.3,DNT-USD
1641459600,0.1177,0.1197,0.1197,0.1187,86029.1,DNT-USD
1641463200,0.1178,0.1192,0.1182,0.119,23371.3,DNT-USD
1641466800,0.118,0.1192,0.1186,0.1187,101702.8,DNT-USD
1641470400,0.1181,0.1197,0.119,0.1197,73922.8,DNT-USD
1641474000,0.1189,0.1206,0.1191,0.1206,23988.8,DNT-USD
1641477600,0.1192,0.1207,0.1202,0.1199,41263.1,DNT-USD
1641481200,0.1193,0.1205,0.1196,0.1203,160172.1,DNT-USD
1641484800,0.1199,0.1216,0.12,0.1211,75808.0,DNT-USD
1641488400,0.1209,0.1221,0.1216,0.1215,75495.9,DNT-USD
1641492000,0.1212,0.1227,0.1221,0.1225,42602.5,DNT-USD
