time,low,high,open,close,volume,symbol
1640995200,2.57,2.63,2.58,2.61,89499.21,ENJ-USD
1640998800,2.59,2.63,2.62,2.61,96265.76,ENJ-USD
1641002400,2.59,2.61,2.6,2.59,63832.71,ENJ-USD
1641006000,2.58,2.62,2.59,2.6,84001.86,ENJ-USD
1641009600,2.57,2.6,2.6,2.59,57035.3,ENJ-USD
1641013200,2.58,2.63,2.59,2.61,77287.9,ENJ-USD
1641016800,2.59,2.62,2.6,2.6,36353.74,ENJ-USD
1641020400,2.58,2.62,2.6,2.61,28652.95,ENJ-USD
1641024000,2.6,2.62,2.6,2.61,29635.38,ENJ-USD
1641027600,2.59,2.62,2.6,2.61,24261.47,ENJ-USD
1641031200,2.56,2.62,2.61,2.59,30984.41,ENJ-USD
1641034800,2.58,2.6,2.59,2.59,59277.58,ENJ-USD
1641038400,2.58,2.62,2.59,2.62,19364.88,ENJ-USD
1641042000,2.59,2.62,2.61,2.6,32991.4,ENJ-USD
1641045600,2.59,2.61,2.61,2.59,38937.82,ENJ-USD
1641049200,2.58,2.62,2.59,2.61,47960.31,ENJ-USD
1641052800,2.6,2.63,2.62,2.61,83377.19,ENJ-USD
1641056400,2.6,2.66,2.61,2.64,77976.4,ENJ-USD
1641060000,2.63,2.66,2.65,2.65,255110.02,ENJ-USD
1641063600,2.63,2.66,2.64,2.65,85193.4,ENJ-USD
1641067200,2.64,2.67,2.65,2.67,95847.21,ENJ-USD
1641070800,2.65,2.67,2.67,2.66,69674.1,ENJ-USD
1641074400,2.65,2.67,2.66,2.67,52330.16,ENJ-USD
1641078000,2.65,2.7,2.66,2.68,87296.83,ENJ-USD
1641081600,2.66,2.74,2.68,2.72,133061.21,ENJ-USD
1641085200,2.72,2.78,2.73,2.76,169626.12,ENJ-USD
1641088800,2.73,2.79,2.76,2.74,215102.78,ENJ-USD
1641092400,2.71,2.76,2.75,2.73,71406.17,ENJ-USD
1641096000,2.67,2.73,2.73,2.68,65089.76,ENJ-USD
1641099600,2.67,2.7,2.68,2.69,70412.91,ENJ-USD
1641103200,2.68,2.71,2.7,2.7,58338.98,ENJ-USD
1641106800,2.69,2.74,2.69,2.73,76633.17,ENJ-USD
1641110400,2.69,2.76,2.72,2.75,55793.15,ENJ-USD
1641114000,2.72,2.76,2.75,2.74,88870.57,ENJ-USD
1641117600,2.72,2.74,2.74,2.73,26447.87,ENJ-USD
1641121200,2.72,2.76,2.73,2.74,29598.29,ENJ-USD
1641124800,2.71,2.77,2.74,2.73,61140.35,ENJ-USD
1641128400,2.72,2.76,2.74,2.72,33329.5,ENJ-USD
1641132000,2.72,2.76,2.72,2.74,48303.12,ENJ-USD
1641135600,2.74,2.78,2.74,2.78,108977.58,ENJ-USD
1641139200,2.77,2.83,2.77,2.81,107981.64,ENJ-USD
1641142800,2.8,2.85,2.82,2.84,156751.09,ENJ-USD
