time,low,high,open,close,volume,symbol
1749744000,1.2912,1.3489,1.348,1.3038,911552.98,FARTCOIN-USD
1749747600,1.3009,1.377,1.3063,1.359,844829.87,FARTCOIN-USD
1749751200,1.2937,1.3658,1.3583,1.3119,399746.84,FARTCOIN-USD
1749754800,1.2698,1.3636,1.3131,1.29,363711.34,FARTCOIN-USD
1749758400,1.273,1.3325,1.2887,1.2985,404757.78,FARTCOIN-USD
1749762000,1.244,1.3069,1.2988,1.2492,346958.15,FARTCOIN-USD
1749765600,1.22,1.2647,1.2559,1.232,220472.04,FARTCOIN-USD
1749769200,1.2162,1.2387,1.2317,1.224,189379.74,FARTCOIN-USD
1749772800,1.1171,1.2224,1.2219,1.1556,2910574.86,FARTCOIN-USD
1749776400,1.0747,1.1529,1.1529,1.0876,1656822.09,FARTCOIN-USD
1749780000,1.063,1.12,1.0874,1.1072,1376332.58,FARTCOIN-USD
1749783600,1.0993,1.129,1.1065,1.1176,740072.04,FARTCOIN-USD
1749787200,1.095,1.1211,1.1184,1.1098,442467.11,FARTCOIN-USD
1749790800,1.0788,1.1085,1.1085,1.0841,396232.17,FARTCOIN-USD
1749794400,1.067,1.1068,1.0829,1.1065,411388.94,FARTCOIN-USD
1749798000,1.0877,1.1075,1.1071,1.1037,308830.41,FARTCOIN-USD
1749801600,1.1016,1.1504,1.1034,1.118,481237.52,FARTCOIN-USD
1749805200,1.0938,1.1207,1.1173,1.1045,462401.46,FARTCOIN-USD
1749808800,1.073,1.1098,1.1044,1.0883,518987.43,FARTCOIN-USD
1749812400,1.0754,1.1046,1.0891,1.0923,672122.61,FARTCOIN-USD
1749816000,1.0853,1.1204,1.0928,1.1036,1022506.09,FARTCOIN-USD
1749819600,1.083,1.15,1.1037,1.1293,1568800.92,FARTCOIN-USD
1749823200,1.0995,1.1703,1.1315,1.1685,1936629.36,FARTCOIN-USD
1749826800,1.1537,1.2092,1.1694,1.1879,1643717.9,FARTCOIN-USD
1749830400,1.1606,1.2288,1.1882,1.1851,1317161.05,FARTCOIN-USD
1749834000,1.145,1.1854,1.185,1.1666,660638.21,FARTCOIN-USD
1749837600,1.1394,1.1765,1.1665,1.1706,1175668.47,FARTCOIN-USD
1749841200,1.1548,1.1944,1.1709,1.1895,935004.34,FARTCOIN-USD
1749844800,1.1852,1.278,1.1898,1.2626,2028685.17,FARTCOIN-USD
1749848400,1.2448,1.2875,1.2624,1.2832,921215.28,FARTCOIN-USD
1749852000,1.267,1.2972,1.2834,1.2746,1173352.69,FARTCOIN-USD
1749855600,1.2731,1.2991,1.2747,1.2873,1126871.38,FARTCOIN-USD
1749859200,1.2561,1.2911,1.2871,1.2626,938411.29,FARTCOIN-USD
1749862800,1.23,1.2674,1.2622,1.2431,808517.62,FARTCOIN-USD
1749866400,1.2335,1.2462,1.243,1.24,212857.6,FARTCOIN-USD
1749870000,1.2199,1.2523,1.2402,1.2357,726808.52,FARTCOIN-USD
1749873600,1.2309,1.2446,1.2346,1.2431,238703.46,FARTCOIN-USD
1749877200,1.2329,1.2486,1.2436,1.2416,238503.53,FARTCOIN-USD
1749880800,1.2247,1.2555,1.242,1.2288,316585.23,FARTCOIN-USD
1749884400,1.2147,1.236,1.2284,1.2251,429569.64,FARTCOIN-USD
1749888000,1.2101,1.2265,1.2254,1.2147,226305.68,FARTCOIN-USD
1749891600,1.2041,1.2161,1.2157,1.2063,168576.13,FARTCOIN-USD
1749895200,1.2064,1.2253,1.2064,1.2154,176730.08,FARTCOIN-USD
1749895200,1.2064,1.2253,1.2064,1.2154,176730.08,FARTCOIN-USD
1749898800,1.2053,1.2288,1.2152,1.2112,179199.25,FARTCOIN-USD
1749902400,1.1898,1.215,1.211,1.1982,495155.54,FARTCOIN-USD
1749906000,1.1968,1.2224,1.1985,1.2157,1182198.27,FARTCOIN-USD
1749909600,1.1934,1.2167,1.2153,1.1967,331812.81,FARTCOIN-USD
1749913200,1.1579,1.2031,1.1969,1.184,1024871.25,FARTCOIN-USD
1749916800,1.1533,1.1887,1.184,1.156,565729.85,FARTCOIN-USD
1749920400,1.1537,1.1808,1.1625,1.165,236472.04,FARTCOIN-USD
1749924000,1.1402,1.1727,1.1649,1.1537,371714.92,FARTCOIN-USD
1749927600,1.128,1.16,1.154,1.1337,395573.45,FARTCOIN-USD
1749931200,1.1162,1.1465,1.1341,1.1449,797065.85,FARTCOIN-USD
1749934800,1.1418,1.1706,1.1446,1.1676,1320412.93,FARTCOIN-USD
1749938400,1.1655,1.1865,1.1677,1.1818,886742.64,FARTCOIN-USD
1749942000,1.1778,1.2066,1.1821,1.1879,844986.92,FARTCOIN-USD
1749945600,1.1881,1.2115,1.1881,1.2057,662442.03,FARTCOIN-USD
1749949200,1.1837,1.2074,1.2056,1.1879,562983.12,FARTCOIN-USD
1749952800,1.187,1.2006,1.1873,1.1886,554920.57,FARTCOIN-USD
1749956400,1.1793,1.1951,1.1887,1.1826,389992.97,FARTCOIN-USD
1749960000,1.1818,1.1944,1.1832,1.1912,239446.48,FARTCOIN-USD
1749963600,1.1797,1.2289,1.1911,1.2274,759450.74,FARTCOIN-USD
1749967200,1.1878,1.2334,1.227,1.19,901573.47,FARTCOIN-USD
1749970800,1.1785,1.1959,1.1899,1.1851,488956.54,FARTCOIN-USD
1749974400,1.1709,1.1889,1.1857,1.177,356892.75,FARTCOIN-USD
1749978000,1.1679,1.1829,1.177,1.1708,315352.48,FARTCOIN-USD
1749981600,1.1702,1.1909,1.1709,1.1894,525943.87,FARTCOIN-USD
1749985200,1.1811,1.2124,1.1895,1.206,440663.56,FARTCOIN-USD
1749988800,1.1986,1.2234,1.2062,1.2176,707001.67,FARTCOIN-USD
1749992400,1.2062,1.2331,1.2174,1.2224,783101.45,FARTCOIN-USD
1749996000,1.2,1.2588,1.2226,1.251,1654730.42,FARTCOIN-USD
1749999600,1.2176,1.2568,1.252,1.221,1910282.07,FARTCOIN-USD
1750003200,1.2194,1.238,1.2214,1.2336,619114.7,FARTCOIN-USD
1750006800,1.2174,1.2407,1.2335,1.2349,439040.19,FARTCOIN-USD
1750010400,1.2132,1.2405,1.2348,1.2259,779197.08,FARTCOIN-USD
1750014000,1.198,1.2366,1.2256,1.2059,788568.5,FARTCOIN-USD
1750017600,1.1525,1.2072,1.2067,1.1659,1144021.18,FARTCOIN-USD
1750021200,1.1616,1.2077,1.1657,1.2051,776464.98,FARTCOIN-USD
1750024800,1.1987,1.231,1.2054,1.2189,1363151.42,FARTCOIN-USD
1750028400,1.2066,1.2235,1.219,1.2106,655402.13,FARTCOIN-USD
1750032000,1.1952,1.2174,1.2108,1.2038,683076.53,FARTCOIN-USD
1750035600,1.1926,1.2485,1.2046,1.2485,1276159.91,FARTCOIN-USD
1750039200,1.2425,1.2838,1.2472,1.2603,1445164.22,FARTCOIN-USD
1750042800,1.2538,1.2743,1.2597,1.2597,946271.7,FARTCOIN-USD
1750046400,1.259,1.2847,1.2599,1.2737,1119020.22,FARTCOIN-USD
1750050000,1.2608,1.2918,1.2736,1.2729,836318.3,FARTCOIN-USD
1750053600,1.269,1.2954,1.2735,1.2885,1096512.18,FARTCOIN-USD
1750057200,1.2843,1.3036,1.2891,1.2905,886482.66,FARTCOIN-USD
1750060800,1.2714,1.299,1.2906,1.2752,682891.39,FARTCOIN-USD
1750064400,1.2641,1.2805,1.2752,1.2778,440027.46,FARTCOIN-USD
1750068000,1.246,1.2848,1.2779,1.254,557308.74,FARTCOIN-USD
1750071600,1.2337,1.2551,1.254,1.2446,1971513.44,FARTCOIN-USD
1750075200,1.2337,1.266,1.2446,1.2414,1221379.98,FARTCOIN-USD
1750078800,1.223,1.2584,1.2411,1.2562,2205951.94,FARTCOIN-USD
1750082400,1.24,1.2873,1.2557,1.2469,4244853.95,FARTCOIN-USD
1750086000,1.2294,1.264,1.2469,1.2315,3351618.5,FARTCOIN-USD
1750089600,1.2134,1.249,1.2315,1.2263,1540741.43,FARTCOIN-USD
1750093200,1.2168,1.2482,1.2263,1.2482,1689500.04,FARTCOIN-USD
1750096800,1.2436,1.2917,1.2484,1.2859,1629654.08,FARTCOIN-USD
1750100400,1.2726,1.3144,1.2856,1.276,1733960.51,FARTCOIN-USD
1750104000,1.2589,1.2963,1.2767,1.287,1068343.22,FARTCOIN-USD
1750107600,1.2696,1.3245,1.2865,1.3013,1703699.86,FARTCOIN-USD
1750111200,1.2037,1.3141,1.3016,1.2294,3213795.64,FARTCOIN-USD
1750114800,1.175,1.2536,1.2294,1.1818,3456289.94,FARTCOIN-USD
1750118400,1.1344,1.1857,1.1816,1.184,3725605.87,FARTCOIN-USD
1750122000,1.1534,1.1872,1.184,1.1596,2477662.03,FARTCOIN-USD
1750125600,1.1388,1.176,1.1596,1.1755,1625402.74,FARTCOIN-USD
1750129200,1.1716,1.2062,1.1756,1.1782,1700001.72,FARTCOIN-USD
1750132800,1.1536,1.1816,1.1778,1.1641,698968.69,FARTCOIN-USD
1750136400,1.1548,1.1734,1.164,1.1649,612073.77,FARTCOIN-USD
1750140000,1.1587,1.186,1.1644,1.1842,614766.3,FARTCOIN-USD
1750143600,1.1666,1.1937,1.1832,1.1688,447528.38,FARTCOIN-USD
1750147200,1.157,1.1732,1.1682,1.1607,565581.06,FARTCOIN-USD
1750150800,1.1542,1.1679,1.1609,1.1611,468945.69,FARTCOIN-USD
1750154400,1.1401,1.1629,1.161,1.16,499583.26,FARTCOIN-USD
1750158000,1.1335,1.16,1.1596,1.1521,397119.63,FARTCOIN-USD
1750161600,1.1332,1.1629,1.152,1.1388,954976.56,FARTCOIN-USD
1750165200,1.1177,1.1453,1.1374,1.1291,1320455.82,FARTCOIN-USD
1750168800,1.1256,1.1538,1.1292,1.1344,853789.11,FARTCOIN-USD
1750172400,1.112,1.1456,1.1339,1.1344,1163334.69,FARTCOIN-USD
1750176000,1.0877,1.135,1.1344,1.0975,1700513.28,FARTCOIN-USD
1750179600,1.094,1.1231,1.0969,1.1022,1043635.09,FARTCOIN-USD
1750183200,1.0817,1.1346,1.1022,1.1342,967035.37,FARTCOIN-USD
1750186800,1.1282,1.1619,1.1343,1.1426,1426738.36,FARTCOIN-USD
1750190400,1.1201,1.1551,1.1429,1.1266,969474.77,FARTCOIN-USD
1750194000,1.1157,1.1378,1.1267,1.1319,592680.11,FARTCOIN-USD
1750197600,1.1093,1.1335,1.1321,1.1115,1095094.23,FARTCOIN-USD
1750201200,1.094,1.1228,1.1115,1.0974,616709.48,FARTCOIN-USD
1750204800,1.0809,1.112,1.098,1.1104,1122317.63,FARTCOIN-USD
1750208400,1.0977,1.1293,1.1105,1.1003,984032.9,FARTCOIN-USD
1750212000,1.087,1.1066,1.1004,1.0913,619450.06,FARTCOIN-USD
1750215600,1.0902,1.104,1.0912,1.1,733564.58,FARTCOIN-USD
1750219200,1.0938,1.1234,1.1002,1.1231,533157.07,FARTCOIN-USD
1750222800,1.1086,1.1274,1.1232,1.1143,603331.09,FARTCOIN-USD
1750226400,1.0969,1.1259,1.1143,1.1044,572144.19,FARTCOIN-USD
1750230000,1.0981,1.1126,1.104,1.1025,400388.08,FARTCOIN-USD
1750233600,1.0513,1.1121,1.1026,1.0864,971505.83,FARTCOIN-USD
1750237200,1.073,1.0968,1.0865,1.0857,444828.62,FARTCOIN-USD
1750240800,1.0668,1.0873,1.0861,1.071,713221.76,FARTCOIN-USD
1750244400,1.0681,1.0928,1.0709,1.0891,351962.76,FARTCOIN-USD
1750248000,1.0682,1.0892,1.0867,1.0694,1135707.04,FARTCOIN-USD
1750251600,1.0441,1.0824,1.0688,1.0781,812722.68,FARTCOIN-USD
1750255200,1.0704,1.1218,1.0779,1.1068,1510900.79,FARTCOIN-USD
1750258800,1.099,1.1253,1.1072,1.112,997372.84,FARTCOIN-USD
1750262400,1.101,1.1177,1.1116,1.1166,793111.24,FARTCOIN-USD
1750266000,1.1038,1.1482,1.1156,1.1391,1043231.88,FARTCOIN-USD
1750269600,1.1114,1.1568,1.1389,1.1134,1692562.6,FARTCOIN-USD
1750273200,1.1036,1.1442,1.1133,1.1048,1390634.64,FARTCOIN-USD
1750276800,1.0944,1.1586,1.105,1.1471,1401626.68,FARTCOIN-USD
1750280400,1.1232,1.1552,1.1473,1.1472,973969.17,FARTCOIN-USD
1750284000,1.1138,1.1529,1.147,1.1173,654561.98,FARTCOIN-USD
1750287600,1.1047,1.1231,1.1174,1.1218,697978.94,FARTCOIN-USD
1750291200,1.109,1.1442,1.122,1.1138,609648.94,FARTCOIN-USD
1750294800,1.102,1.115,1.1138,1.1045,567135.44,FARTCOIN-USD
1750298400,1.0995,1.1196,1.1043,1.1051,438868.51,FARTCOIN-USD
1750302000,1.1041,1.1178,1.105,1.1131,361892.55,FARTCOIN-USD
1750305600,1.09,1.1138,1.1131,1.102,618272.88,FARTCOIN-USD
1750309200,1.0863,1.1093,1.102,1.089,423383.88,FARTCOIN-USD
1750312800,1.0822,1.0967,1.0889,1.0864,328793.67,FARTCOIN-USD
1750316400,1.085,1.0949,1.0868,1.0885,273618.33,FARTCOIN-USD
1750320000,1.0832,1.0978,1.0887,1.0832,310756.17,FARTCOIN-USD
1750323600,1.0801,1.104,1.0833,1.0993,380287.96,FARTCOIN-USD
1750327200,1.0926,1.1035,1.0998,1.094,461463.28,FARTCOIN-USD
1750330800,1.0808,1.0953,1.0944,1.0847,334515.32,FARTCOIN-USD
1750334400,1.0736,1.0901,1.0845,1.0826,489335.64,FARTCOIN-USD
1750338000,1.06,1.085,1.0833,1.0674,1091801.09,FARTCOIN-USD
1750341600,1.0175,1.0732,1.0672,1.0245,1493927.14,FARTCOIN-USD
1750345200,0.9928,1.0326,1.0243,1.0044,3253130.51,FARTCOIN-USD
1750348800,1.0002,1.0379,1.0043,1.0086,2945092.2,FARTCOIN-USD
1750352400,1.0049,1.0503,1.0088,1.0303,1571405.32,FARTCOIN-USD
1750356000,1.0203,1.0402,1.0304,1.0301,645761.49,FARTCOIN-USD
1750359600,1.0093,1.037,1.0299,1.0103,734530.52,FARTCOIN-USD
1750363200,1.005,1.0267,1.0105,1.0105,648918.75,FARTCOIN-USD
1750366800,1.0062,1.0176,1.01,1.0134,496995.27,FARTCOIN-USD
1750370400,1.0126,1.0443,1.0136,1.0368,872417.78,FARTCOIN-USD
1750374000,1.0297,1.0444,1.0371,1.0358,602508.91,FARTCOIN-USD
1750377600,1.0297,1.0443,1.036,1.0371,940805.32,FARTCOIN-USD
1750381200,1.0225,1.0421,1.0367,1.0407,478969.63,FARTCOIN-USD
1750384800,1.0289,1.0437,1.0409,1.0384,145691.98,FARTCOIN-USD
1750388400,1.0309,1.0427,1.0383,1.0344,208749.75,FARTCOIN-USD
1750392000,1.0129,1.038,1.0343,1.0161,363376.25,FARTCOIN-USD
1750395600,1.0113,1.0226,1.0163,1.0216,226221.86,FARTCOIN-USD
1750399200,1.0127,1.0306,1.0218,1.0131,352544.09,FARTCOIN-USD
1750402800,1.0079,1.0543,1.0132,1.0513,1042505.56,FARTCOIN-USD
1750406400,1.0364,1.06,1.0516,1.0375,808331.49,FARTCOIN-USD
1750410000,1.0266,1.0481,1.0381,1.0355,373227.32,FARTCOIN-USD
1750413600,1.0276,1.0463,1.0354,1.0391,284595.5,FARTCOIN-USD
1750417200,1.0268,1.0502,1.0389,1.0499,394196.25,FARTCOIN-USD
1750420800,1.0386,1.0518,1.05,1.043,435265.25,FARTCOIN-USD
1750424400,1.0169,1.0552,1.043,1.0198,977195.61,FARTCOIN-USD
1750428000,0.94,1.0265,1.0196,0.9465,3482765.2,FARTCOIN-USD
1750431600,0.9251,0.9559,0.9465,0.9393,2095289.37,FARTCOIN-USD
1750435200,0.8985,0.9414,0.9394,0.9075,4008845.73,FARTCOIN-USD
1750438800,0.8821,0.936,0.9071,0.9315,4445331.02,FARTCOIN-USD
1750442400,0.9215,0.9491,0.932,0.9233,2903163.19,FARTCOIN-USD
1750446000,0.914,0.9314,0.9226,0.9232,1285612.66,FARTCOIN-USD
1750449600,0.9209,0.9629,0.9223,0.9504,1931490.53,FARTCOIN-USD
1750453200,0.9352,0.9522,0.9497,0.9407,801892.37,FARTCOIN-USD
1750456800,0.9255,0.9414,0.9404,0.9332,606773.01,FARTCOIN-USD
1750460400,0.9242,0.9358,0.9332,0.931,575231.71,FARTCOIN-USD
1750464000,0.9211,0.9318,0.931,0.9276,415120.65,FARTCOIN-USD
1750467600,0.9244,0.9378,0.9276,0.9306,357087.77,FARTCOIN-USD
1750471200,0.9282,0.9386,0.9308,0.9335,315176.6,FARTCOIN-USD
1750474800,0.9298,0.943,0.9329,0.9379,361561.47,FARTCOIN-USD
1750478400,0.9293,0.9406,0.9378,0.9327,305051.16,FARTCOIN-USD
1750482000,0.9308,0.94,0.9328,0.9335,220535.64,FARTCOIN-USD
1750485600,0.9263,0.9346,0.9336,0.9307,198448.62,FARTCOIN-USD
