time,low,high,open,close,volume,symbol
1646784000,0.5,0.53,0.53,0.5025,63071.4,GLM-USD
1646787600,0.479,0.5055,0.504,0.4862,48645.7,GLM-USD
1646791200,0.4857,0.4989,0.4898,0.4981,32531.9,GLM-USD
1646794800,0.4935,0.4999,0.4981,0.4935,36442.7,GLM-USD
1646798400,0.4924,0.5014,0.4935,0.4961,28933.6,GLM-USD
1646802000,0.4928,0.5013,0.5012,0.4981,905.6,GLM-USD
1646805600,0.4928,0.5016,0.4969,0.4987,19197.8,GLM-USD
1646809200,0.4941,0.5007,0.4998,0.4942,12233.4,GLM-USD
1646812800,0.4925,0.4993,0.4942,0.497,14495.0,GLM-USD
1646816400,0.4935,0.5097,0.4945,0.509,20527.7,GLM-USD
1646820000,0.5031,0.5098,0.5077,0.5075,17228.7,GLM-USD
1646823600,0.5074,0.5216,0.5074,0.5215,20127.4,GLM-USD
1646827200,0.507,0.52,0.52,0.5113,16494.8,GLM-USD
1646830800,0.5072,0.5129,0.5112,0.5081,21675.1,GLM-USD
1646838000,0.5059,0.5099,0.5077,0.5099,8481.0,GLM-USD
1646841600,0.4986,0.5099,0.5099,0.4993,11177.2,GLM-USD
1646845200,0.4967,0.5027,0.4995,0.5004,18841.2,GLM-USD
1646848800,0.4989,0.504,0.4992,0.504,289.7,GLM-USD
1646852400,0.5018,0.5098,0.5032,0.5018,9059.0,GLM-USD
1646859600,0.5046,0.5049,0.5049,0.5046,2224.8,GLM-USD
1646863200,0.5036,0.51,0.5047,0.5099,12887.7,GLM-USD
1646866800,0.5035,0.5196,0.5093,0.5076,55322.6,GLM-USD
1646870400,0.4954,0.5074,0.5074,0.4957,14520.2,GLM-USD
1646874000,0.487,0.4967,0.4959,0.4903,37950.9,GLM-USD
1646877600,0.4871,0.4941,0.4896,0.4941,28928.1,GLM-USD
1646881200,0.4903,0.4937,0.4926,0.4916,3671.6,GLM-USD
1646884800,0.4837,0.4917,0.4917,0.4838,22421.5,GLM-USD
1646888400,0.4769,0.4998,0.4819,0.4952,34185.5,GLM-USD
1646892000,0.4834,0.497,0.4945,0.4953,3948.8,GLM-USD
1646895600,0.4821,0.4866,0.4856,0.4848,8173.5,GLM-USD
1646899200,0.4786,0.4849,0.4844,0.4786,7382.5,GLM-USD
1646902800,0.476,0.4801,0.4786,0.476,896.5,GLM-USD
1646906400,0.4659,0.4849,0.4787,0.471,7458.9,GLM-USD
1646910000,0.4644,0.4874,0.4874,0.4644,506.5,GLM-USD
1646913600,0.4632,0.4849,0.4849,0.4698,1071.8,GLM-USD
1646917200,0.465,0.4862,0.4728,0.4859,19216.2,GLM-USD
1646920800,0.4651,0.4859,0.4859,0.472,10699.6,GLM-USD
1646924400,0.4679,0.4741,0.4731,0.4728,46451.6,GLM-USD
1646928000,0.4686,0.4721,0.4721,0.4697,1123.5,GLM-USD
1646931600,0.464,0.4696,0.4696,0.4647,12987.2,GLM-USD
1646935200,0.4596,0.4649,0.4648,0.4596,26388.4,GLM-USD
1646938800,0.4559,0.4663,0.4577,0.4635,20744.4,GLM-USD
1646942400,0.4527,0.4663,0.4657,0.4623,33159.0,GLM-USD
1646946000,0.461,0.4655,0.4626,0.4617,2877.5,GLM-USD
1646949600,0.4589,0.469,0.4618,0.4681,3452.3,GLM-USD
1646953200,0.4623,0.4686,0.4675,0.4624,2607.7,GLM-USD
1646956800,0.449,0.4633,0.4606,0.4524,9365.3,GLM-USD
1646960400,0.4384,0.4521,0.4521,0.4418,12090.8,GLM-USD
1646964000,0.4394,0.4633,0.4394,0.45,68618.4,GLM-USD
1646967600,0.442,0.4725,0.4624,0.4725,25690.2,GLM-USD
1646971200,0.4725,7.2997,0.4725,0.5624,3018431.3,GLM-USD
1646974800,0.4603,0.5799,0.5601,0.477,4045402.2,GLM-USD
1646978400,0.4701,0.5001,0.4701,0.4939,849218.5,GLM-USD
1646982000,0.4788,0.504,0.4938,0.4872,405883.6,GLM-USD
1646985600,0.4742,0.5011,0.4874,0.4872,340831.3,GLM-USD
1646989200,0.4808,0.5098,0.495,0.4886,527713.8,GLM-USD
1646992800,0.4849,0.502,0.4885,0.4908,267033.5,GLM-USD
1646996400,0.4835,0.5,0.4863,0.4864,208987.6,GLM-USD
1647000000,0.4785,0.5027,0.4897,0.4986,411226.1,GLM-USD
1647003600,0.4841,0.5168,0.496,0.4849,565996.5,GLM-USD
1647007200,0.482,0.5049,0.4849,0.4939,481854.2,GLM-USD
1647010800,0.4712,0.497,0.4939,0.4786,718659.6,GLM-USD
1647014400,0.47,0.4885,0.4784,0.4741,230555.7,GLM-USD
1647018000,0.4652,0.48,0.4739,0.48,339245.0,GLM-USD
1647021600,0.4738,0.495,0.4752,0.4889,507111.6,GLM-USD
1647025200,0.4739,0.495,0.4889,0.4852,328663.7,GLM-USD
1647028800,0.4746,0.495,0.4801,0.4916,524031.8,GLM-USD
1647032400,0.4901,0.74,0.4916,0.5249,4725880.8,GLM-USD
1647036000,0.4912,0.5544,0.5249,0.5037,2404168.7,GLM-USD
