time,low,high,open,close,volume,symbol
1658422800,153.0,154.29,154.28,154.28,5.8634,GNO-USD
1658426400,150.6,154.27,154.27,150.9,38.2978,GNO-USD
1658430000,151.0,152.68,151.0,152.43,31.3795,GNO-USD
1658433600,152.68,154.73,152.68,153.86,48.4876,GNO-USD
1658437200,153.51,155.0,154.55,155.0,44.6044,GNO-USD
1658440800,152.23,154.66,154.66,153.16,90.7908,GNO-USD
1658444400,152.41,154.05,153.16,153.68,63.8663,GNO-USD
1658448000,152.67,154.17,153.68,153.84,75.9025,GNO-USD
1658451600,153.01,153.86,153.66,153.16,26.8448,GNO-USD
1658455200,152.02,154.35,152.96,152.53,67.6816,GNO-USD
1658458800,151.25,153.46,153.14,151.94,26.6712,GNO-USD
1658462400,151.4,152.04,151.94,151.42,19.4105,GNO-USD
1658466000,151.41,152.47,152.0,152.47,47.4589,GNO-USD
1658469600,152.67,154.43,152.88,154.24,60.4589,GNO-USD
1658473200,154.21,155.23,154.21,155.05,81.8538,GNO-USD
1658476800,154.65,155.44,154.65,155.24,21.5131,GNO-USD
1658480400,155.59,157.54,155.59,156.74,66.8837,GNO-USD
1658484000,156.74,157.88,156.74,157.5,30.7756,GNO-USD
1658487600,156.41,157.53,157.27,157.32,68.149,GNO-USD
1658491200,156.36,157.61,157.31,157.22,56.9698,GNO-USD
1658494800,155.07,158.75,157.23,155.07,92.2514,GNO-USD
1658498400,154.27,155.69,155.69,154.68,20.2115,GNO-USD
1658502000,150.72,155.16,155.15,151.1,73.8395,GNO-USD
1658505600,150.2,151.76,151.1,151.76,76.0721,GNO-USD
1658509200,151.12,152.18,151.12,151.77,10.1956,GNO-USD
1658512800,151.52,152.86,151.77,152.24,46.1539,GNO-USD
1658516400,148.25,153.1,152.24,148.59,73.2354,GNO-USD
1658520000,148.12,149.92,148.59,149.92,7.3388,GNO-USD
1658523600,148.07,150.34,148.12,150.21,13.2726,GNO-USD
1658527200,148.18,150.74,148.35,148.34,35.1661,GNO-USD
1658530800,148.09,150.36,150.27,150.34,3.1118,GNO-USD
1658534400,148.0,150.38,148.15,150.35,5.3576,GNO-USD
1658538000,149.0,150.13,149.34,149.0,4.8901,GNO-USD
1658541600,149.01,151.27,149.01,151.22,9.988,GNO-USD
1658545200,151.13,151.72,151.16,151.21,8.1969,GNO-USD
1658548800,151.05,152.83,151.49,152.83,14.263,GNO-USD
1658552400,152.39,155.99,152.87,153.38,95.8188,GNO-USD
1658556000,152.87,153.43,152.94,153.43,2.5166,GNO-USD
1658559600,152.84,153.21,153.11,152.84,1.1854,GNO-USD
1658563200,151.13,153.21,152.63,151.13,3.3542,GNO-USD
1658566800,150.44,151.31,151.09,150.63,15.4147,GNO-USD
1658570400,150.39,151.57,150.64,150.62,33.0215,GNO-USD
1658574000,149.47,151.04,150.62,149.54,24.6807,GNO-USD
1658577600,149.06,150.0,149.34,149.06,16.3269,GNO-USD
1658581200,148.79,149.77,149.23,149.77,9.224,GNO-USD
1658584800,148.86,150.23,149.84,149.48,9.843,GNO-USD
1658588400,148.02,149.72,148.54,149.49,9.8074,GNO-USD
1658592000,147.96,149.98,149.41,149.51,8.9809,GNO-USD
1658595600,146.42,149.46,149.46,146.42,27.6493,GNO-USD
1658599200,146.42,148.47,147.97,146.61,6.3251,GNO-USD
1658602800,145.53,147.91,147.37,146.52,34.8041,GNO-USD
1658606400,145.93,147.14,146.52,147.14,16.5915,GNO-USD
1658610000,146.4,147.17,146.4,146.59,3.046,GNO-USD
1658613600,146.31,149.27,146.32,148.87,15.5046,GNO-USD
1658617200,148.59,150.44,149.69,150.44,9.2914,GNO-USD
1658620800,150.44,151.7,150.45,151.7,32.1492,GNO-USD
1658624400,151.46,155.26,151.71,151.72,132.9717,GNO-USD
1658628000,151.04,152.34,151.46,152.2,43.9105,GNO-USD
1658631600,151.26,152.24,152.22,151.66,10.3636,GNO-USD
1658635200,151.37,151.85,151.39,151.72,5.6485,GNO-USD
1658638800,151.16,154.12,151.53,154.1,18.9401,GNO-USD
1658642400,153.83,154.7,154.12,154.05,11.748,GNO-USD
1658646000,153.94,154.92,153.94,154.4,27.5986,GNO-USD
1658649600,153.89,154.44,154.13,153.93,2.4393,GNO-USD
1658653200,153.94,154.8,153.94,154.52,9.3801,GNO-USD
1658656800,154.03,154.64,154.61,154.09,16.7148,GNO-USD
1658660400,153.4,155.96,153.55,155.61,93.4093,GNO-USD
1658664000,153.67,156.24,155.61,153.95,50.3778,GNO-USD
1658667600,153.5,154.42,153.55,153.8,21.882,GNO-USD
1658671200,153.56,154.94,154.06,154.59,26.5795,GNO-USD
1658674800,154.38,155.09,154.59,154.77,11.9785,GNO-USD
1658678400,154.12,155.27,155.27,154.12,7.1282,GNO-USD
1658682000,154.09,155.17,154.53,154.89,14.4709,GNO-USD
1658685600,155.0,155.77,155.11,155.0,37.4913,GNO-USD
1658689200,154.54,155.45,155.41,155.14,11.203,GNO-USD
1658692800,155.17,155.9,155.43,155.86,24.9847,GNO-USD
1658696400,155.38,156.47,155.86,156.47,34.9316,GNO-USD
1658700000,155.54,158.05,156.46,155.54,47.7454,GNO-USD
1658703600,153.34,156.17,155.52,153.34,53.9531,GNO-USD
1658707200,151.33,154.04,154.04,151.54,52.8668,GNO-USD
1658710800,149.05,151.51,151.49,149.05,37.8528,GNO-USD
1658714400,144.48,149.22,149.21,146.76,175.1752,GNO-USD
1658718000,146.05,147.52,146.05,146.3,27.6939,GNO-USD
1658721600,145.43,147.38,146.47,147.38,15.0423,GNO-USD
1658725200,146.69,147.57,147.36,147.18,3.6455,GNO-USD
1658728800,146.98,147.56,147.19,147.0,11.8249,GNO-USD
1658732400,146.78,147.65,147.04,146.78,3.3499,GNO-USD
1658736000,147.21,148.35,147.57,148.34,4.4028,GNO-USD
1658739600,147.84,148.68,148.46,147.87,1.1978,GNO-USD
1658743200,148.12,149.12,148.52,148.77,0.9799,GNO-USD
1658746800,148.11,149.68,149.68,148.62,4.1561,GNO-USD
1658750400,147.88,148.7,148.55,147.95,4.483,GNO-USD
1658754000,147.36,149.16,149.16,147.45,10.8238,GNO-USD
1658757600,147.38,148.74,147.41,148.39,14.8203,GNO-USD
1658761200,147.07,148.77,147.13,147.41,8.8189,GNO-USD
1658764800,147.21,148.66,148.65,148.66,5.2143,GNO-USD
1658768400,146.59,148.97,147.24,146.83,50.1371,GNO-USD
1658772000,146.59,147.08,146.83,146.59,5.1229,GNO-USD
1658775600,143.16,148.19,146.44,146.43,22.6857,GNO-USD
1658779200,146.06,148.09,148.09,146.53,12.1391,GNO-USD
1658782800,146.31,149.73,147.27,146.48,44.501,GNO-USD
1658786400,143.88,149.47,147.81,144.1,59.0354,GNO-USD
1658790000,141.27,145.69,143.87,141.27,23.1043,GNO-USD
1658793600,139.45,141.0,140.98,140.47,18.2395,GNO-USD
1658797200,137.5,140.39,140.16,138.55,24.5622,GNO-USD
1658800800,138.0,141.02,138.03,138.22,30.3155,GNO-USD
1658804400,137.56,140.89,138.27,140.89,24.8383,GNO-USD
