time,low,high,open,close,volume,symbol
1640995200,24.41,25.04,24.43,25.02,42799.7724,ICP-USD
1640998800,24.9,25.23,25.01,24.98,30903.7511,ICP-USD
1641002400,24.97,25.17,24.98,25.08,29279.613,ICP-USD
1641006000,25.01,25.13,25.06,25.02,17304.5787,ICP-USD
1641009600,24.76,25.08,25.03,24.84,31428.1493,ICP-USD
1641013200,24.79,25.34,24.86,25.1,81019.7502,ICP-USD
1641016800,25.03,25.28,25.1,25.17,21321.4906,ICP-USD
1641020400,25.0,25.35,25.17,25.25,26692.2488,ICP-USD
1641024000,25.14,25.39,25.22,25.17,34896.8308,ICP-USD
1641027600,24.88,25.22,25.17,25.04,25199.7226,ICP-USD
1641031200,24.65,25.18,25.05,24.87,36229.8365,ICP-USD
1641034800,24.82,25.02,24.88,24.83,12328.0263,ICP-USD
1641038400,24.82,25.16,24.83,25.11,11969.0754,ICP-USD
1641042000,24.91,25.15,25.11,24.95,14520.8316,ICP-USD
1641045600,24.85,25.01,24.95,24.87,13555.868,ICP-USD
1641049200,24.86,25.28,24.87,25.15,18424.7222,ICP-USD
1641052800,25.12,25.34,25.17,25.17,17317.1744,ICP-USD
1641056400,25.16,25.64,25.17,25.47,23252.6749,ICP-USD
1641060000,25.28,25.59,25.48,25.35,16184.4142,ICP-USD
1641063600,25.35,25.71,25.36,25.63,77420.3778,ICP-USD
1641067200,25.48,26.01,25.65,25.75,20368.5018,ICP-USD
1641070800,25.4,25.85,25.76,25.48,74236.5093,ICP-USD
1641074400,25.43,25.62,25.48,25.54,11706.145,ICP-USD
1641078000,25.39,25.67,25.54,25.61,14022.683,ICP-USD
1641081600,25.39,26.63,25.62,26.56,110058.8348,ICP-USD
1641085200,26.25,27.03,26.54,26.87,66353.4145,ICP-USD
1641088800,26.53,27.87,26.87,27.33,130171.5444,ICP-USD
1641092400,27.19,27.93,27.34,27.59,70166.5058,ICP-USD
1641096000,27.21,28.27,27.58,27.65,105410.5442,ICP-USD
1641099600,27.54,28.06,27.64,27.71,56883.1178,ICP-USD
1641103200,27.45,27.83,27.66,27.56,35949.7582,ICP-USD
1641106800,27.28,27.65,27.55,27.51,22925.9208,ICP-USD
1641110400,27.22,27.9,27.53,27.65,26731.4517,ICP-USD
1641114000,27.49,27.84,27.66,27.49,16815.957,ICP-USD
1641117600,27.29,27.59,27.51,27.35,13169.1566,ICP-USD
1641121200,27.35,27.6,27.37,27.53,11957.9882,ICP-USD
1641124800,27.1,27.98,27.53,27.7,64417.1635,ICP-USD
1641128400,27.36,27.87,27.71,27.41,45119.4739,ICP-USD
1641132000,27.0,27.41,27.41,27.15,71888.5768,ICP-USD
1641135600,27.04,27.63,27.14,27.49,26599.1384,ICP-USD
1641139200,27.48,27.94,27.48,27.9,28107.3913,ICP-USD
1641142800,27.58,28.6,27.92,28.13,115607.5084,ICP-USD
1641146400,27.13,28.13,28.12,27.44,87720.4341,ICP-USD
1641150000,27.23,27.57,27.44,27.27,17550.6964,ICP-USD
1641153600,27.18,27.5,27.29,27.43,11757.2102,ICP-USD
1641157200,27.15,27.52,27.4,27.18,12939.313,ICP-USD
1641160800,27.19,27.48,27.2,27.43,10937.0842,ICP-USD
1641164400,27.25,27.51,27.47,27.33,19671.1266,ICP-USD
1641168000,26.66,27.48,27.33,26.67,104715.2222,ICP-USD
1641171600,26.6,27.0,26.66,26.96,27843.9617,ICP-USD
1641175200,26.63,27.0,26.97,26.93,20859.8621,ICP-USD
1641178800,26.5,27.06,26.96,26.75,33631.2207,ICP-USD
1641182400,26.68,27.06,26.7,26.87,9523.7624,ICP-USD
1641186000,26.85,27.33,26.87,27.24,25117.5771,ICP-USD
1641189600,26.66,27.26,27.23,26.68,17214.0998,ICP-USD
1641193200,26.69,26.93,26.7,26.87,7523.5694,ICP-USD
1641196800,26.86,27.2,26.93,26.92,18770.7637,ICP-USD
1641200400,26.67,27.08,26.92,27.03,11064.48,ICP-USD
1641204000,27.03,27.47,27.03,27.1,50002.3358,ICP-USD
1641207600,27.09,27.55,27.11,27.41,16754.2874,ICP-USD
1641211200,27.19,27.6,27.4,27.28,16268.3287,ICP-USD
1641214800,27.21,28.14,27.27,27.97,108754.3025,ICP-USD
1641218400,27.95,29.2,28.0,28.58,168452.9604,ICP-USD
1641222000,28.32,28.96,28.61,28.51,70841.8817,ICP-USD
1641225600,27.49,28.8,28.51,27.93,105499.8931,ICP-USD
1641229200,27.88,28.63,27.92,28.33,46143.7657,ICP-USD
1641232800,27.97,28.46,28.33,28.07,24566.6323,ICP-USD
1641236400,28.0,28.66,28.12,28.12,28773.3159,ICP-USD
1641240000,27.49,28.76,28.11,27.95,82342.0302,ICP-USD
