time,low,high,open,close,volume,symbol
1728489600,1.813,1.858,1.858,1.813,57668.87,IO-USD
1728493200,1.792,1.817,1.817,1.802,6199.64,IO-USD
1728496800,1.786,1.808,1.806,1.792,4207.61,IO-USD
1728500400,1.775,1.79,1.785,1.788,3867.62,IO-USD
1728504000,1.741,1.784,1.784,1.742,5736.4,IO-USD
1728507600,1.732,1.777,1.739,1.777,4809.42,IO-USD
1728511200,1.762,1.78,1.768,1.774,1924.58,IO-USD
1728514800,1.764,1.781,1.777,1.769,2941.53,IO-USD
1728518400,1.744,1.772,1.768,1.765,14446.27,IO-USD
1728522000,1.76,1.797,1.76,1.789,29042.52,IO-USD
1728525600,1.777,1.789,1.783,1.785,7710.46,IO-USD
1728529200,1.785,1.791,1.785,1.787,823.2,IO-USD
1728532800,1.774,1.781,1.781,1.777,1351.35,IO-USD
1728536400,1.777,1.794,1.777,1.794,1033.44,IO-USD
1728540000,1.784,1.791,1.79,1.784,135.83,IO-USD
1728543600,1.757,1.783,1.783,1.757,165.1,IO-USD
1728547200,1.728,1.757,1.747,1.728,1712.58,IO-USD
1728550800,1.705,1.731,1.731,1.709,4261.06,IO-USD
1728554400,1.715,1.746,1.715,1.737,522.84,IO-USD
1728558000,1.735,1.757,1.735,1.757,5329.49,IO-USD
1728561600,1.708,1.758,1.758,1.72,3166.31,IO-USD
1728565200,1.69,1.741,1.715,1.719,12617.1,IO-USD
1728568800,1.694,1.72,1.713,1.709,6559.43,IO-USD
1728572400,1.667,1.716,1.694,1.691,5531.14,IO-USD
1728576000,1.668,1.705,1.696,1.668,6001.99,IO-USD
1728579600,1.639,1.673,1.664,1.653,4381.53,IO-USD
1728583200,1.642,1.679,1.648,1.679,29051.34,IO-USD
1728586800,1.669,1.695,1.678,1.683,9874.38,IO-USD
1728590400,1.672,1.692,1.683,1.681,26582.77,IO-USD
1728594000,1.672,1.701,1.68,1.7,19146.58,IO-USD
1728597600,1.691,1.715,1.707,1.7,44083.82,IO-USD
1728601200,1.701,1.718,1.706,1.718,34577.21,IO-USD
1728604800,1.709,1.727,1.716,1.719,35758.48,IO-USD
1728608400,1.708,1.746,1.719,1.738,42215.34,IO-USD
1728612000,1.728,1.745,1.74,1.741,13533.01,IO-USD
1728615600,1.734,1.75,1.739,1.742,17391.44,IO-USD
1728619200,1.713,1.785,1.744,1.735,14413.96,IO-USD
1728622800,1.728,1.747,1.735,1.731,6533.14,IO-USD
1728626400,1.727,1.753,1.731,1.746,3850.97,IO-USD
1728630000,1.736,1.753,1.744,1.747,1434.75,IO-USD
1728633600,1.728,1.747,1.747,1.732,993.44,IO-USD
1728637200,1.715,1.751,1.731,1.746,2676.65,IO-USD
1728640800,1.731,1.757,1.748,1.744,2319.1,IO-USD
1728644400,1.733,1.746,1.746,1.739,4934.24,IO-USD
1728648000,1.736,1.761,1.74,1.748,1741.8,IO-USD
1728651600,1.74,1.788,1.749,1.776,9040.82,IO-USD
1728655200,1.77,1.8,1.778,1.798,21364.06,IO-USD
1728658800,1.785,1.845,1.801,1.831,20492.71,IO-USD
1728662400,1.81,1.915,1.839,1.915,86310.47,IO-USD
1728666000,1.886,1.929,1.912,1.908,44414.39,IO-USD
1728669600,1.872,1.936,1.903,1.872,147718.32,IO-USD
1728673200,1.87,1.931,1.892,1.907,9004.77,IO-USD
1728676800,1.882,1.943,1.882,1.92,19037.26,IO-USD
1728680400,1.91,1.955,1.934,1.919,18243.36,IO-USD
1728684000,1.895,1.937,1.915,1.914,24248.16,IO-USD
1728687600,1.881,1.948,1.908,1.892,4905.23,IO-USD
1728691200,1.895,1.938,1.897,1.918,11739.1,IO-USD
1728694800,1.9,1.954,1.918,1.932,8849.71,IO-USD
1728698400,1.898,1.949,1.939,1.917,14462.44,IO-USD
1728702000,1.909,1.954,1.918,1.924,6759.48,IO-USD
1728705600,1.905,2.07,1.928,1.947,42371.87,IO-USD
1728709200,1.896,1.976,1.951,1.957,124004.51,IO-USD
1728712800,1.943,2.022,1.966,1.987,24373.87,IO-USD
1728716400,1.927,1.998,1.987,1.943,11767.9,IO-USD
1728720000,1.935,1.973,1.973,1.943,4191.06,IO-USD
1728723600,1.929,1.969,1.969,1.929,2046.41,IO-USD
1728727200,1.922,1.984,1.924,1.95,9824.23,IO-USD
1728730800,1.924,1.962,1.933,1.925,9792.28,IO-USD
1728734400,1.899,1.949,1.944,1.928,13010.93,IO-USD
1728738000,1.902,1.929,1.909,1.908,8583.0,IO-USD
1728741600,1.877,1.927,1.907,1.912,23859.54,IO-USD
1728745200,1.868,1.926,1.902,1.889,25820.45,IO-USD
1728748800,1.878,1.928,1.889,1.878,9843.43,IO-USD
1728752400,1.853,1.901,1.877,1.873,20065.48,IO-USD
1728756000,1.821,1.928,1.873,1.875,14613.15,IO-USD
1728759600,1.86,1.877,1.863,1.869,1087.21,IO-USD
1728763200,1.862,1.903,1.862,1.867,6256.17,IO-USD
1728766800,1.867,1.908,1.897,1.9,13461.11,IO-USD
1728770400,1.888,1.923,1.888,1.909,11109.42,IO-USD
1728774000,1.882,1.923,1.907,1.887,16498.87,IO-USD
1728777600,1.89,1.943,1.921,1.923,15840.47,IO-USD
1728781200,1.875,1.943,1.893,1.875,18633.07,IO-USD
1728784800,1.875,1.944,1.876,1.908,7152.83,IO-USD
1728788400,1.842,1.906,1.906,1.843,10995.34,IO-USD
1728792000,1.836,1.902,1.851,1.899,1923.06,IO-USD
1728795600,1.852,1.904,1.872,1.884,4015.1,IO-USD
1728799200,1.854,1.892,1.891,1.868,7345.78,IO-USD
1728802800,1.846,1.893,1.868,1.854,22900.49,IO-USD
1728806400,1.855,1.873,1.867,1.859,1648.59,IO-USD
1728810000,1.859,1.899,1.86,1.869,3537.37,IO-USD
1728813600,1.847,1.901,1.865,1.861,9171.19,IO-USD
1728817200,1.855,1.874,1.874,1.874,2568.93,IO-USD
1728820800,1.842,1.873,1.85,1.871,2029.38,IO-USD
1728824400,1.838,1.903,1.868,1.899,2663.19,IO-USD
1728828000,1.836,1.903,1.871,1.837,10090.36,IO-USD
1728831600,1.8,1.86,1.835,1.832,9632.33,IO-USD
1728835200,1.803,1.889,1.807,1.854,5030.77,IO-USD
1728838800,1.84,1.873,1.852,1.84,2848.77,IO-USD
1728842400,1.784,1.851,1.851,1.784,4537.16,IO-USD
1728846000,1.797,1.848,1.824,1.84,1292.82,IO-USD
1728849600,1.825,1.847,1.843,1.844,5106.42,IO-USD
1728853200,1.835,1.89,1.847,1.852,7095.65,IO-USD
1728856800,1.879,1.919,1.89,1.879,3158.36,IO-USD
1728860400,1.809,1.902,1.88,1.883,8324.75,IO-USD
1728864000,1.853,1.887,1.883,1.887,1001.4,IO-USD
1728867600,1.877,1.935,1.877,1.913,17163.54,IO-USD
1728871200,1.867,1.907,1.898,1.872,4711.2,IO-USD
1728874800,1.89,1.988,1.89,1.965,13666.1,IO-USD
1728878400,1.98,2.054,1.986,1.998,50143.65,IO-USD
1728882000,1.936,2.007,1.972,1.972,8566.93,IO-USD
1728885600,1.953,2.009,1.974,2.007,4973.12,IO-USD
1728889200,1.995,2.031,2.01,2.016,4761.4,IO-USD
1728892800,1.974,2.03,2.017,2.002,10228.61,IO-USD
1728896400,1.975,2.009,1.999,1.997,5875.14,IO-USD
1728900000,1.984,2.008,1.988,1.984,10156.27,IO-USD
1728903600,1.982,2.005,1.982,2.0,2300.95,IO-USD
1728907200,1.991,2.008,2.006,1.991,2144.73,IO-USD
1728910800,1.975,2.01,1.987,2.003,7035.85,IO-USD
1728914400,1.992,2.084,1.994,2.063,157022.17,IO-USD
1728918000,2.043,2.14,2.073,2.082,140576.83,IO-USD
