time,low,high,open,close,volume,symbol
1739462400,1.778,2.0,1.92,1.83,429335.61,IP-USD
1739466000,1.742,2.2,1.83,1.799,1209218.22,IP-USD
1739469600,1.734,1.88,1.799,1.869,408529.03,IP-USD
1739473200,1.807,2.04,1.867,2.033,654300.1,IP-USD
1739476800,1.811,2.05,2.033,1.949,418146.42,IP-USD
1739480400,1.853,2.029,1.949,1.95,392329.02,IP-USD
1739484000,1.86,2.17,1.95,2.17,510526.82,IP-USD
1739487600,1.95,2.17,2.17,2.067,458379.11,IP-USD
1739491200,2.011,2.218,2.066,2.094,761430.3,IP-USD
1739494800,1.926,2.095,2.083,2.004,466608.61,IP-USD
1739498400,1.874,2.044,2.004,1.91,302588.66,IP-USD
1739502000,1.907,2.124,1.911,2.019,449093.88,IP-USD
1739505600,1.902,2.069,2.025,1.902,281325.09,IP-USD
1739509200,1.823,1.923,1.916,1.899,230053.22,IP-USD
1739512800,1.82,1.907,1.899,1.851,165743.1,IP-USD
1739516400,1.82,1.898,1.859,1.824,90958.92,IP-USD
1739520000,1.815,1.871,1.824,1.826,78890.96,IP-USD
1739523600,1.804,1.935,1.829,1.904,75239.38,IP-USD
1739527200,1.844,1.936,1.902,1.853,62049.65,IP-USD
1739530800,1.822,1.877,1.857,1.844,72674.65,IP-USD
1739534400,1.798,1.868,1.84,1.843,218273.41,IP-USD
1739538000,1.816,1.884,1.839,1.844,94152.34,IP-USD
1739541600,1.833,1.922,1.845,1.885,116900.59,IP-USD
1739545200,1.851,1.899,1.889,1.881,78557.88,IP-USD
1739548800,1.856,1.984,1.891,1.984,138960.99,IP-USD
1739552400,1.927,2.083,1.976,2.021,251156.54,IP-USD
1739556000,1.896,2.031,2.031,1.901,195260.18,IP-USD
1739559600,1.859,1.929,1.908,1.87,215542.95,IP-USD
1739563200,1.859,1.912,1.871,1.885,95304.49,IP-USD
1739566800,1.865,1.917,1.891,1.896,80884.31,IP-USD
1739570400,1.825,1.905,1.893,1.836,182590.2,IP-USD
1739574000,1.833,1.95,1.836,1.912,102485.84,IP-USD
1739577600,1.843,1.921,1.906,1.86,208075.44,IP-USD
1739581200,1.838,1.88,1.864,1.872,81023.71,IP-USD
1739584800,1.806,1.88,1.871,1.821,143374.29,IP-USD
1739588400,1.816,1.854,1.817,1.828,92116.13,IP-USD
1739592000,1.794,1.837,1.827,1.806,92011.39,IP-USD
1739595600,1.789,1.831,1.81,1.821,66230.51,IP-USD
1739599200,1.782,1.821,1.821,1.786,147439.64,IP-USD
1739602800,1.768,1.805,1.794,1.795,119437.0,IP-USD
1739606400,1.772,1.815,1.792,1.814,42658.32,IP-USD
1739610000,1.766,1.815,1.815,1.782,35626.15,IP-USD
1739613600,1.739,1.783,1.783,1.756,80507.98,IP-USD
1739617200,1.694,1.76,1.756,1.702,90067.91,IP-USD
1739620800,1.651,1.707,1.702,1.661,110394.44,IP-USD
1739624400,1.629,1.669,1.66,1.631,167294.65,IP-USD
1739628000,1.591,1.634,1.634,1.613,205914.61,IP-USD
1739631600,1.528,1.626,1.614,1.545,221771.47,IP-USD
1739635200,1.44,1.558,1.545,1.493,503219.81,IP-USD
1739638800,1.444,1.51,1.494,1.468,232758.65,IP-USD
1739642400,1.459,1.569,1.464,1.543,274189.16,IP-USD
1739646000,1.51,1.565,1.546,1.518,115707.19,IP-USD
1739649600,1.464,1.532,1.52,1.469,90439.07,IP-USD
1739653200,1.452,1.492,1.473,1.474,87529.84,IP-USD
1739656800,1.429,1.496,1.474,1.47,126957.77,IP-USD
1739660400,1.466,1.508,1.473,1.472,125747.69,IP-USD
1739664000,1.449,1.495,1.47,1.489,107260.91,IP-USD
1739667600,1.481,1.621,1.489,1.507,371831.79,IP-USD
1739671200,1.435,1.509,1.506,1.436,185329.61,IP-USD
1739674800,1.366,1.445,1.442,1.377,302372.23,IP-USD
1739678400,1.377,1.445,1.38,1.422,149320.67,IP-USD
1739682000,1.411,1.49,1.422,1.463,194417.08,IP-USD
1739685600,1.409,1.471,1.461,1.424,119698.92,IP-USD
