time,low,high,open,close,volume,symbol
1640995200,0.08485,0.08855,0.08511,0.08791,14770393,JASMY-USD
1640998800,0.0878,0.09062,0.08794,0.08939,23272556,JASMY-USD
1641002400,0.08806,0.08981,0.0894,0.08954,10131215,JASMY-USD
1641006000,0.08871,0.092,0.08954,0.09002,18975036,JASMY-USD
1641009600,0.08804,0.0915,0.09005,0.08896,16041438,JASMY-USD
1641013200,0.08883,0.0915,0.08895,0.08929,13940731,JASMY-USD
1641016800,0.0871,0.08934,0.08929,0.08809,9748767,JASMY-USD
1641020400,0.08726,0.08888,0.0879,0.08852,5532821,JASMY-USD
1641024000,0.08711,0.08899,0.08854,0.08751,3095362,JASMY-USD
1641027600,0.08617,0.08809,0.08747,0.08744,9756023,JASMY-USD
1641031200,0.087,0.08906,0.0876,0.08785,17333569,JASMY-USD
1641034800,0.08425,0.08819,0.08775,0.08443,10275464,JASMY-USD
1641038400,0.0844,0.08639,0.08442,0.08554,5390686,JASMY-USD
1641042000,0.08539,0.08701,0.08555,0.0863,3567814,JASMY-USD
1641045600,0.086,0.08759,0.08629,0.08607,3522393,JASMY-USD
1641049200,0.08566,0.08781,0.086,0.08689,5557156,JASMY-USD
1641052800,0.0862,0.08876,0.08695,0.08641,7944293,JASMY-USD
1641056400,0.08626,0.08745,0.0864,0.0868,6051656,JASMY-USD
1641060000,0.0865,0.08888,0.08681,0.08807,5798099,JASMY-USD
1641063600,0.08733,0.08875,0.08808,0.08767,4422519,JASMY-USD
1641067200,0.08661,0.08823,0.08767,0.08763,3854816,JASMY-USD
1641070800,0.08687,0.08805,0.08755,0.08732,3608606,JASMY-USD
1641074400,0.08533,0.08739,0.08724,0.08608,10131510,JASMY-USD
1641078000,0.08457,0.08678,0.08603,0.08625,10361748,JASMY-USD
1641081600,0.08521,0.0865,0.08615,0.08648,4594581,JASMY-USD
1641085200,0.08597,0.08749,0.08646,0.08647,9420165,JASMY-USD
1641088800,0.0846,0.08665,0.08638,0.08485,6247174,JASMY-USD
1641092400,0.08424,0.08544,0.08485,0.08512,11425606,JASMY-USD
1641096000,0.08467,0.08646,0.08511,0.08603,6403145,JASMY-USD
1641099600,0.08548,0.08653,0.08589,0.08564,3620001,JASMY-USD
1641103200,0.0845,0.08569,0.08567,0.08485,3154001,JASMY-USD
1641106800,0.08475,0.08625,0.0849,0.08526,2586087,JASMY-USD
1641110400,0.08431,0.0859,0.08524,0.08531,3612952,JASMY-USD
1641114000,0.08473,0.08591,0.08527,0.0848,1886267,JASMY-USD
1641117600,0.08474,0.08583,0.08477,0.08505,1799541,JASMY-USD
1641121200,0.0845,0.08552,0.08509,0.08479,2860269,JASMY-USD
1641124800,0.0844,0.08491,0.08475,0.08449,1196238,JASMY-USD
1641128400,0.08401,0.08482,0.08452,0.08407,3500326,JASMY-USD
1641132000,0.083,0.08457,0.08408,0.08349,6056246,JASMY-USD
1641135600,0.0831,0.08457,0.0835,0.08423,6109508,JASMY-USD
1641139200,0.08338,0.08547,0.08421,0.0853,6611549,JASMY-USD
1641142800,0.0845,0.08576,0.08542,0.08499,7172184,JASMY-USD
1641146400,0.08331,0.08524,0.08497,0.08438,7219005,JASMY-USD
1641150000,0.08352,0.08493,0.08439,0.08369,5178436,JASMY-USD
1641153600,0.0836,0.08436,0.0837,0.08411,3735833,JASMY-USD
1641157200,0.08361,0.08481,0.08401,0.08449,3767394,JASMY-USD
1641160800,0.08406,0.08509,0.08447,0.08439,4777358,JASMY-USD
1641164400,0.08432,0.08505,0.08439,0.08444,3357953,JASMY-USD
1641168000,0.08418,0.08488,0.08448,0.08424,3696971,JASMY-USD
1641171600,0.08356,0.08463,0.08425,0.08366,5741089,JASMY-USD
1641175200,0.08344,0.08888,0.0837,0.08812,31351027,JASMY-USD
1641178800,0.08638,0.09236,0.08817,0.0916,32038623,JASMY-USD
1641182400,0.08715,0.09214,0.09164,0.08822,54143227,JASMY-USD
1641186000,0.08645,0.08892,0.08824,0.08726,13144408,JASMY-USD
1641189600,0.08629,0.08816,0.08729,0.08652,5819665,JASMY-USD
1641193200,0.08567,0.0879,0.08646,0.08747,5160069,JASMY-USD
1641196800,0.08691,0.08879,0.08741,0.08813,7599732,JASMY-USD
1641200400,0.08609,0.08865,0.08815,0.08806,14076597,JASMY-USD
1641204000,0.08658,0.08835,0.08805,0.08694,4083710,JASMY-USD
1641207600,0.08639,0.08789,0.08695,0.08695,2668520,JASMY-USD
1641211200,0.08606,0.08752,0.08692,0.08661,4262892,JASMY-USD
1641214800,0.08603,0.08689,0.08663,0.08615,4204959,JASMY-USD
1641218400,0.08523,0.08658,0.08612,0.08534,5446275,JASMY-USD
1641222000,0.08519,0.08679,0.08538,0.0853,3944483,JASMY-USD
1641225600,0.0845,0.0864,0.0853,0.08489,6990477,JASMY-USD
1641229200,0.08451,0.0861,0.08487,0.08577,5275238,JASMY-USD
1641232800,0.08564,0.08687,0.08577,0.08641,6432535,JASMY-USD
1641236400,0.08551,0.08675,0.08639,0.08563,6688849,JASMY-USD
1641240000,0.084,0.08565,0.08565,0.08433,9343942,JASMY-USD
1641243600,0.084,0.08517,0.0843,0.0844,6647787,JASMY-USD
1641247200,0.08414,0.08646,0.08435,0.08572,6358590,JASMY-USD
1641250800,0.08526,0.08699,0.08572,0.0855,11068553,JASMY-USD
1641254400,0.08457,0.08589,0.08553,0.08493,3400693,JASMY-USD
1641258000,0.08429,0.08644,0.08485,0.0859,7158844,JASMY-USD
1641261600,0.08447,0.08591,0.0859,0.0849,7124462,JASMY-USD
1641265200,0.08446,0.08525,0.08489,0.08486,4955760,JASMY-USD
1641268800,0.084,0.08511,0.08475,0.08408,4305009,JASMY-USD
1641272400,0.08364,0.0846,0.08408,0.08368,2841727,JASMY-USD
1641276000,0.08355,0.08467,0.08368,0.0842,2167740,JASMY-USD
1641279600,0.08262,0.08425,0.08419,0.08361,6601651,JASMY-USD
1641283200,0.08293,0.08371,0.08352,0.08346,1707922,JASMY-USD
1641286800,0.08334,0.08418,0.08346,0.08404,2393502,JASMY-USD
1641290400,0.08381,0.08425,0.08404,0.08393,1698116,JASMY-USD
1641294000,0.08393,0.08621,0.08393,0.0857,4845916,JASMY-USD
1641297600,0.08373,0.08637,0.08571,0.08423,4285175,JASMY-USD
