time,low,high,open,close,volume,symbol
1762200000,0.06986,0.0879,0.0735,0.0746,4026044.8,KITE-USD
1762203600,0.073,0.089,0.074,0.0785,6554221.5,KITE-USD
1762207200,0.07749,0.087,0.0781,0.08487,3623968.8,KITE-USD
1762210800,0.0785,0.08816,0.085,0.0789,4622949.8,KITE-USD
1762214400,0.07185,0.0789,0.0789,0.07228,3769237.8,KITE-USD
1762218000,0.07036,0.0744,0.07184,0.07121,1372248.7,KITE-USD
1762221600,0.06827,0.07225,0.07115,0.072,2330187.2,KITE-USD
1762225200,0.07104,0.07482,0.07182,0.07104,1942755.4,KITE-USD
1762228800,0.07011,0.07308,0.071,0.07117,1589949.6,KITE-USD
1762232400,0.06497,0.07203,0.07096,0.06546,1437478.0,KITE-USD
1762236000,0.0651,0.06751,0.0654,0.06726,520837.3,KITE-USD
1762239600,0.06382,0.06795,0.06726,0.06382,450346.1,KITE-USD
1762243200,0.06085,0.06829,0.06382,0.06671,2612333.1,KITE-USD
1762246800,0.0655,0.06965,0.06665,0.06706,665525.6,KITE-USD
1762250400,0.0649,0.06793,0.06706,0.06793,555087.7,KITE-USD
1762254000,0.0673,0.07236,0.06747,0.0673,386787.4,KITE-USD
1762257600,0.06558,0.06791,0.06773,0.0656,655720.4,KITE-USD
1762261200,0.06476,0.06869,0.0656,0.06865,340622.5,KITE-USD
1762264800,0.06736,0.07146,0.06891,0.0708,687508.9,KITE-USD
1762268400,0.06921,0.07899,0.0708,0.0699,1923587.8,KITE-USD
1762272000,0.06665,0.07039,0.07005,0.06824,810014.2,KITE-USD
1762275600,0.06656,0.07025,0.06824,0.06852,275929.3,KITE-USD
1762279200,0.06453,0.06884,0.06812,0.06637,589979.0,KITE-USD
1762282800,0.0644,0.06772,0.06637,0.06487,850398.3,KITE-USD
1762286400,0.06152,0.06835,0.0644,0.06792,5015846.8,KITE-USD
1762290000,0.06498,0.07079,0.06756,0.0681,411362.6,KITE-USD
1762293600,0.06745,0.07016,0.06816,0.06788,264445.5,KITE-USD
1762297200,0.06776,0.06983,0.06808,0.06841,403008.0,KITE-USD
1762300800,0.065,0.0707,0.06924,0.0676,400140.8,KITE-USD
1762304400,0.06702,0.07338,0.06882,0.07124,246093.1,KITE-USD
1762308000,0.07133,0.09037,0.07133,0.08954,5264204.1,KITE-USD
1762311600,0.08885,0.13493,0.08954,0.0945,16046731.2,KITE-USD
1762315200,0.09283,0.10444,0.09478,0.09682,7998502.8,KITE-USD
1762318800,0.0873,0.1032,0.0969,0.08964,3208545.4,KITE-USD
1762322400,0.08895,0.09536,0.08988,0.09096,3235262.0,KITE-USD
1762326000,0.08955,0.09871,0.09088,0.09557,1537135.8,KITE-USD
1762329600,0.088,0.09658,0.096,0.08929,2404499.3,KITE-USD
1762333200,0.0887,0.09546,0.08872,0.09466,1625939.7,KITE-USD
1762336800,0.0851,0.09496,0.09496,0.08654,1030441.4,KITE-USD
1762340400,0.0826,0.08659,0.08649,0.08503,1300431.1,KITE-USD
1762344000,0.08334,0.08809,0.08502,0.08375,2497890.8,KITE-USD
1762347600,0.08165,0.08799,0.08371,0.08759,2080398.8,KITE-USD
1762351200,0.08261,0.08769,0.08767,0.0859,1967209.6,KITE-USD
1762354800,0.08267,0.09567,0.08595,0.09132,2830969.6,KITE-USD
