time,low,high,open,close,volume,symbol
1640995200,19.49,20.06,19.53,19.99,192159.42,LINK-USD
1640998800,19.9,20.21,19.98,20.0,93744.92,LINK-USD
1641002400,19.85,20.12,20.0,19.87,165318.1,LINK-USD
1641006000,19.72,19.9,19.87,19.76,273089.93,LINK-USD
1641009600,19.52,19.81,19.77,19.53,115068.18,LINK-USD
1641013200,19.54,20.0,19.54,19.83,154257.25,LINK-USD
1641016800,19.68,19.89,19.82,19.7,34644.95,LINK-USD
1641020400,19.63,19.89,19.7,19.8,68926.09,LINK-USD
1641024000,19.8,19.91,19.81,19.85,81533.39,LINK-USD
1641027600,19.72,19.94,19.85,19.78,27104.7,LINK-USD
1641031200,19.55,19.87,19.78,19.65,54829.93,LINK-USD
1641034800,19.61,19.78,19.65,19.61,32570.74,LINK-USD
1641038400,19.62,19.85,19.63,19.82,33608.2,LINK-USD
1641042000,19.75,19.89,19.83,19.8,34368.39,LINK-USD
1641045600,19.76,19.92,19.79,19.84,50556.72,LINK-USD
1641049200,19.8,20.11,19.83,20.06,64890.15,LINK-USD
1641052800,19.99,20.18,20.04,20.1,70559.53,LINK-USD
1641056400,20.0,20.36,20.13,20.33,96166.11,LINK-USD
1641060000,20.26,20.48,20.33,20.31,114946.29,LINK-USD
1641063600,20.18,20.41,20.32,20.21,68253.44,LINK-USD
1641067200,20.21,20.44,20.22,20.34,57106.1,LINK-USD
1641070800,20.3,20.45,20.36,20.39,55464.85,LINK-USD
1641074400,20.28,20.51,20.39,20.45,49976.46,LINK-USD
1641078000,20.38,20.8,20.47,20.75,97485.68,LINK-USD
1641081600,20.57,21.12,20.75,21.06,225103.66,LINK-USD
1641085200,20.91,21.31,21.06,20.98,109073.75,LINK-USD
1641088800,20.84,20.99,20.98,20.86,71271.03,LINK-USD
1641092400,20.85,21.09,20.86,21.05,57493.14,LINK-USD
1641096000,20.63,21.17,21.06,20.72,91038.19,LINK-USD
1641099600,20.69,20.97,20.72,20.88,76850.79,LINK-USD
1641103200,20.74,20.88,20.88,20.75,64561.05,LINK-USD
1641106800,20.72,20.8,20.76,20.75,46801.88,LINK-USD
1641110400,20.73,20.96,20.76,20.9,46322.26,LINK-USD
1641114000,20.89,21.12,20.91,21.07,92273.45,LINK-USD
1641117600,20.93,21.1,21.06,20.97,17716.85,LINK-USD
1641121200,20.94,21.17,20.94,21.08,16859.59,LINK-USD
1641124800,20.92,21.33,21.06,21.24,49737.3,LINK-USD
1641128400,21.12,21.37,21.25,21.31,91743.69,LINK-USD
1641132000,21.2,21.45,21.3,21.3,79388.87,LINK-USD
1641135600,21.18,21.45,21.31,21.43,75294.7,LINK-USD
1641139200,21.43,22.05,21.43,21.94,267792.94,LINK-USD
1641142800,21.78,22.22,21.99,22.13,234301.94,LINK-USD
1641146400,21.64,22.18,22.14,21.95,179612.22,LINK-USD
1641150000,21.9,22.19,21.96,22.0,174674.94,LINK-USD
1641153600,21.92,22.1,21.99,21.95,71506.3,LINK-USD
1641157200,21.83,22.0,21.92,21.9,86318.62,LINK-USD
1641160800,21.73,21.96,21.9,21.76,41769.79,LINK-USD
1641164400,21.67,21.91,21.77,21.88,58928.19,LINK-USD
1641168000,21.68,21.94,21.88,21.74,60493.63,LINK-USD
1641171600,21.45,21.81,21.76,21.52,91926.8,LINK-USD
1641175200,21.35,21.54,21.51,21.47,193806.88,LINK-USD
1641178800,21.26,21.52,21.47,21.37,53370.89,LINK-USD
1641182400,21.3,21.46,21.38,21.33,31106.6,LINK-USD
1641186000,21.3,21.68,21.33,21.68,62713.88,LINK-USD
1641189600,21.53,21.7,21.68,21.56,36288.95,LINK-USD
1641193200,21.5,21.71,21.54,21.69,23682.14,LINK-USD
1641196800,21.7,22.06,21.7,21.97,72455.12,LINK-USD
1641200400,21.87,22.22,21.97,22.13,68757.73,LINK-USD
