time,low,high,open,close,volume,symbol
1640995200,0.12561,0.13336,0.13334,0.13034,11217545,MDT-USD
1640998800,0.12973,0.13196,0.13034,0.12989,2685686,MDT-USD
1641002400,0.1275,0.13585,0.12989,0.13499,9973162,MDT-USD
1641006000,0.1321,0.14153,0.13497,0.13807,11666494,MDT-USD
1641009600,0.13201,0.13988,0.13813,0.13225,7109993,MDT-USD
1641013200,0.13019,0.13439,0.13201,0.13185,2806848,MDT-USD
1641016800,0.13045,0.13349,0.13131,0.1331,1492574,MDT-USD
1641020400,0.13111,0.13352,0.13285,0.13233,861567,MDT-USD
1641024000,0.13088,0.13263,0.13235,0.13097,543208,MDT-USD
1641027600,0.13121,0.13352,0.13141,0.13283,1126246,MDT-USD
1641031200,0.13191,0.13407,0.13307,0.13317,530156,MDT-USD
1641034800,0.13144,0.13547,0.13248,0.13416,1746954,MDT-USD
1641038400,0.13196,0.13538,0.1337,0.13275,1076956,MDT-USD
1641042000,0.1317,0.13407,0.13275,0.13243,1294385,MDT-USD
1641045600,0.13144,0.13405,0.13248,0.1315,1374687,MDT-USD
1641049200,0.13,0.13256,0.13156,0.131,1900267,MDT-USD
1641052800,0.12755,0.13234,0.13151,0.12947,2759911,MDT-USD
1641056400,0.12926,0.13215,0.12985,0.132,1667682,MDT-USD
1641060000,0.13099,0.1331,0.132,0.13161,1926322,MDT-USD
1641063600,0.1289,0.13181,0.13115,0.12934,1172890,MDT-USD
1641067200,0.12889,0.13077,0.12902,0.12889,1316406,MDT-USD
1641070800,0.12882,0.13112,0.12899,0.13032,1517431,MDT-USD
1641074400,0.12919,0.13076,0.13032,0.13031,770668,MDT-USD
1641078000,0.12871,0.13075,0.13019,0.12947,1520596,MDT-USD
1641081600,0.128,0.13161,0.12901,0.13069,1679693,MDT-USD
1641085200,0.12985,0.1321,0.13069,0.13075,817073,MDT-USD
1641088800,0.12679,0.13194,0.13093,0.13109,2843027,MDT-USD
1641092400,0.1299,0.13121,0.13065,0.13097,627750,MDT-USD
1641096000,0.12908,0.13195,0.13097,0.13077,1698161,MDT-USD
1641099600,0.13038,0.13167,0.13074,0.13107,560363,MDT-USD
1641103200,0.12994,0.13106,0.13105,0.13013,715206,MDT-USD
1641106800,0.1302,0.13248,0.13049,0.13218,1032885,MDT-USD
1641110400,0.13057,0.1331,0.13218,0.13173,2704964,MDT-USD
1641114000,0.13113,0.13221,0.13178,0.13138,425076,MDT-USD
1641117600,0.13101,0.13219,0.1314,0.13107,575856,MDT-USD
1641121200,0.13081,0.13208,0.13107,0.13081,537847,MDT-USD
1641124800,0.12923,0.13114,0.1308,0.13028,1176444,MDT-USD
1641128400,0.12989,0.13175,0.13017,0.13091,609822,MDT-USD
1641132000,0.1295,0.1309,0.13034,0.12987,603998,MDT-USD
1641135600,0.1295,0.13065,0.1299,0.13024,1206757,MDT-USD
1641139200,0.12944,0.13126,0.12993,0.13063,1394759,MDT-USD
1641142800,0.12925,0.13079,0.13025,0.12966,1514595,MDT-USD
1641146400,0.1245,0.13032,0.12966,0.12758,3257372,MDT-USD
