time,low,high,open,close,volume,symbol
1753372800,0.1715,0.196,0.176,0.1786,1791540.2,MPLX-USD
1753376400,0.1782,0.1947,0.1786,0.1909,1549507.2,MPLX-USD
1753380000,0.1861,0.1932,0.1909,0.1918,703055.4,MPLX-USD
1753383600,0.184,0.1931,0.1918,0.1882,435033.2,MPLX-USD
1753387200,0.1824,0.1897,0.1882,0.1837,281156.3,MPLX-USD
1753390800,0.1749,0.1836,0.1836,0.175,902941.8,MPLX-USD
1753394400,0.1732,0.177,0.175,0.1759,181832.7,MPLX-USD
1753398000,0.1744,0.1784,0.1759,0.1777,218499.0,MPLX-USD
1753401600,0.172,0.1783,0.1778,0.1743,293901.6,MPLX-USD
1753405200,0.1713,0.1744,0.1742,0.1733,68050.2,MPLX-USD
1753408800,0.1709,0.1751,0.1733,0.1729,71991.9,MPLX-USD
1753412400,0.1674,0.1744,0.1729,0.1687,116317.7,MPLX-USD
1753416000,0.165,0.1688,0.1688,0.165,24929.5,MPLX-USD
1753419600,0.1624,0.1657,0.1652,0.1638,32953.4,MPLX-USD
1753423200,0.1612,0.1638,0.1638,0.1619,38402.2,MPLX-USD
1753426800,0.1612,0.1631,0.162,0.1614,17356.0,MPLX-USD
1753430400,0.1613,0.1635,0.1616,0.162,27513.1,MPLX-USD
1753434000,0.1614,0.1656,0.1621,0.1635,38965.9,MPLX-USD
1753437600,0.1635,0.1653,0.1635,0.1638,25052.5,MPLX-USD
1753441200,0.1634,0.1657,0.1639,0.165,15880.7,MPLX-USD
1753444800,0.1638,0.1701,0.1649,0.1686,117994.7,MPLX-USD
1753448400,0.1681,0.1717,0.1686,0.1714,117806.2,MPLX-USD
1753452000,0.1672,0.1722,0.1714,0.1679,102700.4,MPLX-USD
1753455600,0.1677,0.1701,0.168,0.1696,114201.0,MPLX-USD
1753459200,0.1685,0.1703,0.1695,0.1694,19479.1,MPLX-USD
1753462800,0.1694,0.1714,0.1695,0.1714,11986.1,MPLX-USD
1753466400,0.1698,0.1726,0.1715,0.171,92980.1,MPLX-USD
1753470000,0.1702,0.1714,0.171,0.1705,66827.8,MPLX-USD
1753473600,0.1703,0.1748,0.1706,0.174,53140.1,MPLX-USD
1753477200,0.1734,0.1771,0.174,0.1767,107363.5,MPLX-USD
1753480800,0.1754,0.1774,0.1768,0.1774,18024.0,MPLX-USD
1753484400,0.1765,0.1797,0.1775,0.1795,38113.6,MPLX-USD
1753488000,0.1799,0.1956,0.18,0.1875,703253.3,MPLX-USD
1753491600,0.1818,0.1883,0.1874,0.1837,285599.7,MPLX-USD
1753495200,0.1782,0.1846,0.1837,0.1798,258728.9,MPLX-USD
1753495200,0.1782,0.1846,0.1837,0.1798,258728.9,MPLX-USD
1753498800,0.1737,0.1797,0.1797,0.1763,144924.3,MPLX-USD
1753502400,0.1726,0.1763,0.1763,0.1731,42834.5,MPLX-USD
1753506000,0.1698,0.1731,0.1731,0.1704,41780.4,MPLX-USD
1753509600,0.1677,0.1704,0.1703,0.1682,8134.2,MPLX-USD
1753513200,0.166,0.1711,0.1683,0.1705,56595.4,MPLX-USD
1753516800,0.1695,0.1727,0.1705,0.1726,92616.2,MPLX-USD
1753520400,0.1706,0.1725,0.1725,0.1714,22100.6,MPLX-USD
1753524000,0.1712,0.1733,0.1714,0.1726,22956.6,MPLX-USD
1753527600,0.1716,0.1728,0.1725,0.1723,21972.7,MPLX-USD
1753531200,0.17,0.1729,0.1723,0.1724,51383.5,MPLX-USD
1753534800,0.1718,0.1741,0.1724,0.1724,84764.4,MPLX-USD
1753538400,0.168,0.1741,0.1726,0.1691,67643.7,MPLX-USD
1753542000,0.1647,0.169,0.169,0.1662,89001.8,MPLX-USD
1753545600,0.1644,0.1681,0.1661,0.1657,35556.7,MPLX-USD
1753549200,0.1644,0.1663,0.1656,0.1662,26806.1,MPLX-USD
1753552800,0.166,0.1679,0.1662,0.167,37391.1,MPLX-USD
1753556400,0.1671,0.1691,0.1671,0.1676,36950.8,MPLX-USD
1753560000,0.1673,0.1681,0.1676,0.1674,6660.3,MPLX-USD
1753563600,0.1655,0.1674,0.1674,0.1672,27251.4,MPLX-USD
1753567200,0.167,0.1688,0.1672,0.1675,85272.9,MPLX-USD
1753570800,0.1654,0.1676,0.1674,0.1657,72556.9,MPLX-USD
1753574400,0.1648,0.1668,0.1657,0.1666,31082.1,MPLX-USD
1753578000,0.1667,0.1719,0.1667,0.1712,28956.7,MPLX-USD
1753581600,0.1714,0.1742,0.1714,0.1737,41988.0,MPLX-USD
1753585200,0.1718,0.1763,0.1738,0.1723,91364.7,MPLX-USD
1753588800,0.1714,0.1728,0.1723,0.1728,14385.2,MPLX-USD
1753592400,0.172,0.1745,0.1727,0.1744,24497.3,MPLX-USD
1753596000,0.1723,0.1743,0.1743,0.1725,10993.8,MPLX-USD
1753599600,0.172,0.1729,0.1726,0.1723,2883.0,MPLX-USD
1753603200,0.1716,0.1724,0.1722,0.1721,10009.7,MPLX-USD
1753606800,0.1713,0.1721,0.1721,0.172,12525.8,MPLX-USD
