time,low,high,open,close,volume,symbol
1658426400,1.425,1.498,1.496,1.47,27161.45,MTL-USD
1658430000,1.453,1.476,1.471,1.476,18358.54,MTL-USD
1658433600,1.466,1.482,1.475,1.469,19814.91,MTL-USD
1658437200,1.462,1.479,1.47,1.466,14584.02,MTL-USD
1658440800,1.45,1.478,1.471,1.461,22609.52,MTL-USD
1658444400,1.46,1.495,1.461,1.464,4152.26,MTL-USD
1658448000,1.462,1.489,1.467,1.478,20061.46,MTL-USD
1658451600,1.449,1.479,1.471,1.452,4635.01,MTL-USD
1658455200,1.451,1.462,1.454,1.451,1664.28,MTL-USD
1658458800,1.434,1.456,1.454,1.446,5419.88,MTL-USD
1658462400,1.438,1.453,1.446,1.453,4448.19,MTL-USD
1658466000,1.436,1.459,1.453,1.457,4527.77,MTL-USD
1658469600,1.456,1.478,1.459,1.461,16039.97,MTL-USD
1658473200,1.451,1.469,1.462,1.453,9961.92,MTL-USD
1658476800,1.452,1.465,1.453,1.459,3176.61,MTL-USD
1658480400,1.461,1.473,1.467,1.469,1363.92,MTL-USD
1658484000,1.454,1.468,1.463,1.454,651.91,MTL-USD
1658487600,1.449,1.475,1.453,1.471,2965.03,MTL-USD
1658491200,1.462,1.475,1.475,1.468,1471.16,MTL-USD
1658494800,1.44,1.468,1.465,1.44,9685.16,MTL-USD
1658498400,1.417,1.451,1.444,1.444,13442.54,MTL-USD
1658502000,1.408,1.444,1.444,1.41,2142.55,MTL-USD
1658505600,1.407,1.424,1.41,1.419,5503.44,MTL-USD
1658509200,1.408,1.423,1.423,1.418,1033.95,MTL-USD
1658512800,1.416,1.433,1.416,1.43,1222.92,MTL-USD
1658516400,1.355,1.438,1.431,1.37,4060.89,MTL-USD
1658520000,1.357,1.385,1.373,1.371,10416.67,MTL-USD
1658523600,1.375,1.39,1.378,1.384,3813.73,MTL-USD
1658527200,1.38,1.398,1.384,1.395,1822.35,MTL-USD
1658530800,1.388,1.399,1.399,1.395,220.1,MTL-USD
1658534400,1.382,1.42,1.394,1.414,2660.81,MTL-USD
1658538000,1.403,1.419,1.419,1.407,791.64,MTL-USD
1658541600,1.399,1.408,1.403,1.399,1858.07,MTL-USD
