time,low,high,open,close,volume,symbol
1662652800,0.1741,0.1777,0.1777,0.1741,66351.6,OCEAN-USD
1662656400,0.1734,0.1756,0.1739,0.175,167961.9,OCEAN-USD
1662660000,0.1741,0.1756,0.1747,0.175,132003.7,OCEAN-USD
1662663600,0.174,0.1751,0.175,0.175,335549.8,OCEAN-USD
1662667200,0.175,0.1808,0.175,0.1756,451784.9,OCEAN-USD
1662670800,0.1734,0.1759,0.1753,0.1742,39989.0,OCEAN-USD
1662674400,0.1718,0.1744,0.1741,0.1725,47537.2,OCEAN-USD
1662678000,0.1718,0.1731,0.1728,0.1727,114037.5,OCEAN-USD
1662681600,0.1726,0.1757,0.1727,0.1757,86770.5,OCEAN-USD
1662685200,0.1746,0.176,0.1755,0.1752,205443.2,OCEAN-USD
1662688800,0.1752,0.1762,0.1756,0.1752,38101.4,OCEAN-USD
1662692400,0.1752,0.1787,0.1752,0.1778,23600.0,OCEAN-USD
1662696000,0.1776,0.1813,0.1777,0.1804,103523.7,OCEAN-USD
1662699600,0.1798,0.1814,0.1806,0.1803,58174.4,OCEAN-USD
1662703200,0.1795,0.1816,0.1812,0.1801,24210.4,OCEAN-USD
1662706800,0.1786,0.1804,0.1801,0.1796,22890.1,OCEAN-USD
1662710400,0.1794,0.1816,0.1796,0.1807,6941.7,OCEAN-USD
1662714000,0.1782,0.1796,0.1795,0.1796,33296.8,OCEAN-USD
1662717600,0.178,0.1804,0.1795,0.1791,12602.6,OCEAN-USD
1662721200,0.178,0.1797,0.1797,0.1794,109002.9,OCEAN-USD
1662724800,0.1795,0.1819,0.1795,0.1797,47595.8,OCEAN-USD
1662728400,0.1786,0.1825,0.1797,0.1815,138877.1,OCEAN-USD
1662732000,0.1795,0.1847,0.1817,0.1826,94672.0,OCEAN-USD
1662735600,0.1806,0.1831,0.1827,0.1811,67596.7,OCEAN-USD
1662739200,0.1801,0.1824,0.1811,0.182,19941.6,OCEAN-USD
1662742800,0.1784,0.182,0.182,0.1785,234451.6,OCEAN-USD
1662746400,0.1759,0.1786,0.1785,0.176,27929.0,OCEAN-USD
1662750000,0.176,0.1776,0.1763,0.1776,22344.0,OCEAN-USD
1662753600,0.1774,0.1812,0.1776,0.1803,43991.8,OCEAN-USD
1662757200,0.1788,0.181,0.1802,0.1791,41870.9,OCEAN-USD
1662760800,0.1787,0.1801,0.1792,0.1795,38849.4,OCEAN-USD
1662764400,0.1777,0.1813,0.1796,0.1809,71767.6,OCEAN-USD
1662768000,0.1804,0.1861,0.1804,0.186,64312.7,OCEAN-USD
1662771600,0.1825,0.1861,0.1861,0.1828,161357.0,OCEAN-USD
1662775200,0.1839,0.1851,0.184,0.185,74084.1,OCEAN-USD
1662778800,0.1827,0.1848,0.1846,0.1842,24988.4,OCEAN-USD
1662782400,0.1812,0.1853,0.1844,0.1821,64045.2,OCEAN-USD
1662786000,0.1818,0.1843,0.1818,0.1841,61311.9,OCEAN-USD
1662789600,0.1847,0.1901,0.1847,0.1868,86254.7,OCEAN-USD
1662793200,0.1824,0.1875,0.1867,0.185,103802.0,OCEAN-USD
1662796800,0.1837,0.1881,0.185,0.1857,145673.7,OCEAN-USD
1662800400,0.1856,0.1884,0.1862,0.1857,32111.0,OCEAN-USD
1662804000,0.1837,0.1856,0.1855,0.1839,73251.6,OCEAN-USD
1662807600,0.1837,0.1858,0.184,0.185,23186.1,OCEAN-USD
1662811200,0.1846,0.1862,0.1852,0.186,19359.7,OCEAN-USD
1662814800,0.1849,0.1874,0.186,0.1856,56223.0,OCEAN-USD
1662818400,0.1846,0.1896,0.1861,0.1846,154473.4,OCEAN-USD
1662822000,0.1856,0.1879,0.1856,0.1871,30535.1,OCEAN-USD
1662825600,0.1839,0.1872,0.1868,0.1845,65911.6,OCEAN-USD
1662829200,0.1833,0.1849,0.1847,0.1837,47269.2,OCEAN-USD
1662832800,0.1838,0.1849,0.1838,0.1843,29160.2,OCEAN-USD
1662836400,0.1836,0.1844,0.1842,0.1836,22337.2,OCEAN-USD
1662840000,0.1814,0.1838,0.1837,0.1828,22351.7,OCEAN-USD
1662843600,0.182,0.1844,0.1827,0.1834,17752.1,OCEAN-USD
1662847200,0.183,0.1845,0.1833,0.1833,27690.4,OCEAN-USD
1662850800,0.1822,0.1853,0.1837,0.1825,81193.6,OCEAN-USD
1662854400,0.1834,0.1854,0.1841,0.1847,72993.1,OCEAN-USD
