time,low,high,open,close,volume,symbol
1643738400,3.8,4.14,4.1,3.89,243290.25,ORCA-USD
1643742000,3.69,4.05,3.9,3.91,178415.19,ORCA-USD
1643745600,3.72,3.94,3.91,3.77,59089.02,ORCA-USD
1643749200,3.51,3.77,3.77,3.64,86981.68,ORCA-USD
1643752800,3.49,3.73,3.63,3.51,42066.91,ORCA-USD
1643756400,3.51,3.89,3.51,3.63,62455.77,ORCA-USD
1643760000,3.58,3.75,3.63,3.61,24479.92,ORCA-USD
1643763600,3.59,3.75,3.6,3.63,20647.06,ORCA-USD
1643767200,3.51,3.63,3.6,3.53,57479.29,ORCA-USD
1643770800,3.45,3.53,3.53,3.5,35177.83,ORCA-USD
1643774400,3.45,3.52,3.49,3.5,26332.03,ORCA-USD
1643778000,3.4,3.5,3.5,3.44,21840.56,ORCA-USD
1643781600,3.41,3.47,3.44,3.44,13581.82,ORCA-USD
1643785200,3.39,3.48,3.44,3.48,27601.66,ORCA-USD
1643788800,3.41,3.59,3.42,3.58,6154.56,ORCA-USD
1643792400,3.42,3.57,3.57,3.49,9105.86,ORCA-USD
1643796000,3.51,3.61,3.57,3.6,1677.91,ORCA-USD
1643799600,3.49,3.63,3.6,3.51,18375.56,ORCA-USD
1643803200,3.46,3.6,3.51,3.52,4274.63,ORCA-USD
1643806800,3.51,3.67,3.52,3.66,8626.08,ORCA-USD
1643810400,3.49,3.69,3.66,3.5,16089.73,ORCA-USD
1643814000,3.39,3.55,3.5,3.55,25745.0,ORCA-USD
1643817600,3.34,3.57,3.54,3.42,54201.49,ORCA-USD
1643821200,3.36,3.48,3.42,3.48,27653.08,ORCA-USD
1643824800,3.43,3.8,3.48,3.78,205959.6,ORCA-USD
1643828400,3.43,3.83,3.76,3.62,179638.93,ORCA-USD
1643832000,3.41,3.69,3.62,3.49,97950.84,ORCA-USD
1643835600,3.29,3.5,3.49,3.41,106358.62,ORCA-USD
1643839200,3.26,3.42,3.38,3.35,78513.27,ORCA-USD
1643842800,3.3,3.67,3.34,3.43,82871.09,ORCA-USD
1643846400,3.37,3.59,3.43,3.59,47944.04,ORCA-USD
1643850000,3.43,3.61,3.59,3.47,52310.83,ORCA-USD
1643853600,3.31,3.48,3.48,3.41,62591.46,ORCA-USD
1643857200,3.32,3.47,3.41,3.39,33953.78,ORCA-USD
1643860800,3.35,3.46,3.36,3.41,30483.82,ORCA-USD
1643864400,3.28,3.46,3.39,3.45,45169.97,ORCA-USD
1643868000,3.35,3.48,3.46,3.48,18262.13,ORCA-USD
1643871600,3.38,3.74,3.41,3.53,71076.82,ORCA-USD
1643875200,3.41,3.59,3.52,3.44,38875.62,ORCA-USD
1643878800,3.35,3.48,3.46,3.42,34239.92,ORCA-USD
1643882400,3.25,3.44,3.42,3.29,27339.79,ORCA-USD
1643886000,3.25,3.64,3.29,3.38,33384.49,ORCA-USD
1643889600,3.34,3.53,3.39,3.38,25225.79,ORCA-USD
1643893200,3.31,3.45,3.39,3.42,51797.84,ORCA-USD
1643896800,3.33,3.44,3.42,3.39,29221.75,ORCA-USD
1643900400,3.31,3.44,3.37,3.44,42294.58,ORCA-USD
1643904000,3.38,3.55,3.45,3.39,32411.47,ORCA-USD
1643907600,3.36,3.43,3.39,3.42,19205.99,ORCA-USD
1643911200,3.35,3.42,3.42,3.36,27266.92,ORCA-USD
1643914800,3.28,3.4,3.35,3.3,53395.16,ORCA-USD
1643918400,3.25,3.32,3.27,3.29,44152.27,ORCA-USD
1643922000,3.29,3.47,3.31,3.46,37172.03,ORCA-USD
1643925600,3.25,3.54,3.43,3.36,76608.76,ORCA-USD
1643929200,3.29,3.37,3.33,3.34,42230.0,ORCA-USD
