time,low,high,open,close,volume,symbol
1640995200,6.38,6.46,6.41,6.46,7351.08,ORN-USD
1640998800,6.45,6.61,6.46,6.6,20351.77,ORN-USD
1641002400,6.56,6.93,6.58,6.68,65435.03,ORN-USD
1641006000,6.63,6.83,6.69,6.81,29941.45,ORN-USD
1641009600,6.65,6.93,6.83,6.71,56104.36,ORN-USD
1641013200,6.68,7.05,6.71,6.7,48364.83,ORN-USD
1641016800,6.55,6.7,6.69,6.56,16155.31,ORN-USD
1641020400,6.5,6.72,6.55,6.72,20247.58,ORN-USD
1641024000,6.7,6.96,6.73,6.95,24657.91,ORN-USD
1641027600,6.65,6.96,6.95,6.79,27110.31,ORN-USD
1641031200,6.53,6.82,6.79,6.55,23824.1,ORN-USD
1641034800,6.35,6.56,6.52,6.38,20170.01,ORN-USD
1641038400,6.32,6.42,6.36,6.33,9897.39,ORN-USD
1641042000,6.3,6.35,6.34,6.34,11469.26,ORN-USD
1641045600,6.19,6.35,6.33,6.19,10321.68,ORN-USD
1641049200,6.18,6.31,6.19,6.21,13652.29,ORN-USD
1641052800,6.22,6.38,6.23,6.37,11087.02,ORN-USD
1641056400,6.32,6.52,6.37,6.49,11448.18,ORN-USD
1641060000,6.43,6.52,6.47,6.44,4746.08,ORN-USD
1641063600,6.33,6.46,6.46,6.34,8399.07,ORN-USD
1641067200,6.29,6.35,6.34,6.31,5414.74,ORN-USD
1641070800,6.24,6.34,6.31,6.24,6164.98,ORN-USD
1641074400,6.22,6.31,6.25,6.27,10025.13,ORN-USD
1641078000,6.24,6.31,6.27,6.3,16487.77,ORN-USD
1641081600,6.2,6.29,6.29,6.2,9199.92,ORN-USD
1641085200,6.19,6.23,6.21,6.2,2058.33,ORN-USD
1641088800,6.19,6.23,6.19,6.22,3618.64,ORN-USD
1641092400,6.2,6.25,6.23,6.24,4792.34,ORN-USD
1641096000,6.2,6.25,6.24,6.2,3042.13,ORN-USD
1641099600,6.19,6.25,6.2,6.22,4692.28,ORN-USD
1641103200,6.21,6.27,6.24,6.27,846.12,ORN-USD
1641106800,6.25,6.33,6.25,6.3,3648.47,ORN-USD
1641110400,6.27,6.33,6.3,6.31,1437.78,ORN-USD
1641114000,6.31,6.37,6.33,6.34,2374.31,ORN-USD
1641117600,6.32,6.36,6.34,6.32,1860.94,ORN-USD
1641121200,6.23,6.34,6.34,6.23,8514.81,ORN-USD
1641124800,6.22,6.29,6.25,6.27,4764.14,ORN-USD
1641128400,6.19,6.28,6.28,6.19,1099.55,ORN-USD
1641132000,6.12,6.21,6.19,6.13,7405.19,ORN-USD
1641135600,6.12,6.16,6.14,6.16,3317.2,ORN-USD
1641139200,6.13,6.21,6.14,6.2,3891.96,ORN-USD
1641142800,6.19,6.25,6.21,6.23,4581.66,ORN-USD
1641146400,6.02,6.24,6.21,6.1,16405.32,ORN-USD
1641150000,6.11,6.14,6.12,6.13,2215.12,ORN-USD
1641153600,6.09,6.14,6.14,6.09,2958.11,ORN-USD
1641157200,6.05,6.11,6.09,6.06,6764.45,ORN-USD
1641160800,6.05,6.09,6.07,6.09,2088.85,ORN-USD
1641164400,6.04,6.1,6.09,6.07,2791.92,ORN-USD
1641168000,5.98,6.07,6.07,6.05,7997.41,ORN-USD
1641171600,6.0,6.04,6.04,6.02,2230.4,ORN-USD
1641175200,5.99,6.02,6.0,6.0,2439.91,ORN-USD
1641178800,5.94,6.01,5.99,5.97,1477.74,ORN-USD
1641182400,5.95,5.98,5.95,5.97,863.16,ORN-USD
1641186000,5.95,6.12,5.97,6.09,2371.0,ORN-USD
1641189600,6.11,6.18,6.11,6.17,2590.86,ORN-USD
1641193200,6.06,6.17,6.17,6.08,1225.26,ORN-USD
1641196800,6.03,6.09,6.08,6.06,3295.06,ORN-USD
1641200400,6.0,6.06,6.05,6.03,951.87,ORN-USD
1641204000,6.0,6.09,6.03,6.08,3597.32,ORN-USD
1641207600,6.08,6.15,6.08,6.14,861.63,ORN-USD
1641211200,6.07,6.18,6.15,6.1,2383.47,ORN-USD
1641214800,6.08,6.14,6.08,6.11,2556.5,ORN-USD
1641218400,6.01,6.15,6.11,6.01,2455.12,ORN-USD
1641222000,5.92,6.06,6.04,5.93,3264.35,ORN-USD
1641225600,5.8,5.92,5.91,5.86,6629.43,ORN-USD
1641229200,5.81,5.87,5.85,5.86,1851.12,ORN-USD
1641232800,5.83,5.91,5.88,5.83,1567.17,ORN-USD
1641236400,5.8,5.85,5.83,5.8,1862.16,ORN-USD
1641240000,5.69,5.83,5.79,5.76,14489.44,ORN-USD
1641243600,5.72,5.78,5.76,5.75,1080.4,ORN-USD
1641247200,5.74,5.9,5.76,5.82,14918.1,ORN-USD
1641250800,5.81,5.83,5.83,5.81,2014.73,ORN-USD
1641254400,5.71,5.82,5.82,5.71,14225.93,ORN-USD
1641258000,5.7,5.74,5.7,5.7,1079.44,ORN-USD
1641261600,5.7,5.73,5.72,5.73,627.78,ORN-USD
1641265200,5.68,5.73,5.71,5.71,2731.99,ORN-USD
1641268800,5.69,5.75,5.7,5.7,2577.34,ORN-USD
1641272400,5.7,5.74,5.7,5.71,745.05,ORN-USD
1641276000,5.69,5.73,5.71,5.73,525.28,ORN-USD
1641279600,5.72,5.76,5.72,5.75,584.34,ORN-USD
1641283200,5.75,5.77,5.75,5.76,682.33,ORN-USD
1641286800,5.76,5.82,5.76,5.82,1915.29,ORN-USD
1641290400,5.82,5.97,5.82,5.95,7347.73,ORN-USD
1641294000,5.85,5.94,5.94,5.87,782.65,ORN-USD
1641297600,5.83,5.87,5.85,5.83,2797.86,ORN-USD
1641301200,5.83,5.93,5.83,5.91,2293.44,ORN-USD
1641304800,5.92,6.06,5.93,6.01,6026.83,ORN-USD
1641308400,5.96,6.05,6.02,5.96,2802.71,ORN-USD
1641312000,5.94,6.13,5.98,6.06,12478.9,ORN-USD
1641315600,6.01,6.18,6.04,6.07,6322.71,ORN-USD
1641319200,5.83,6.08,6.06,5.91,2749.35,ORN-USD
1641322800,5.88,6.05,5.89,6.04,4024.15,ORN-USD
1641326400,5.94,6.07,6.05,6.0,5112.52,ORN-USD
1641330000,5.94,6.01,6.01,5.97,3486.48,ORN-USD
1641333600,5.92,5.98,5.98,5.93,1561.58,ORN-USD
1641337200,5.85,5.94,5.92,5.85,4047.91,ORN-USD
1641340800,5.85,5.92,5.87,5.91,1329.95,ORN-USD
1641344400,5.87,6.02,5.93,6.02,2607.5,ORN-USD
1641348000,5.96,6.04,6.01,5.96,990.92,ORN-USD
1641351600,5.97,6.0,6.0,5.97,305.68,ORN-USD
1641355200,5.97,6.06,5.97,6.04,1313.89,ORN-USD
1641358800,6.01,6.05,6.03,6.03,295.31,ORN-USD
1641362400,6.02,6.09,6.04,6.08,1752.02,ORN-USD
1641366000,6.06,6.11,6.06,6.11,1041.78,ORN-USD
1641369600,6.11,6.15,6.11,6.13,1207.72,ORN-USD
1641373200,6.11,6.15,6.13,6.14,192.13,ORN-USD
1641376800,6.14,6.21,6.14,6.15,1832.05,ORN-USD
1641380400,6.03,6.16,6.16,6.03,1299.14,ORN-USD
1641384000,5.97,6.09,6.03,6.02,5207.09,ORN-USD
1641387600,6.03,6.18,6.03,6.11,5839.26,ORN-USD
1641391200,6.01,6.12,6.12,6.06,3891.76,ORN-USD
1641394800,5.99,6.08,6.08,5.99,5279.63,ORN-USD
1641398400,5.97,6.0,5.98,5.99,1439.44,ORN-USD
1641402000,5.9,6.0,5.99,5.91,1342.89,ORN-USD
1641405600,5.88,6.01,5.92,6.0,10966.43,ORN-USD
1641409200,5.63,6.02,5.99,5.64,38120.61,ORN-USD
1641412800,5.47,5.64,5.63,5.48,16492.22,ORN-USD
1641416400,5.38,5.53,5.48,5.42,14799.82,ORN-USD
1641420000,5.19,5.43,5.42,5.39,10745.45,ORN-USD
1641423600,5.36,5.49,5.41,5.4,3623.93,ORN-USD
1641427200,5.35,5.42,5.4,5.41,2954.02,ORN-USD
1641430800,5.3,5.41,5.41,5.3,6325.26,ORN-USD
1641434400,5.26,5.32,5.3,5.29,4289.44,ORN-USD
1641438000,5.24,5.3,5.3,5.24,2068.61,ORN-USD
1641441600,5.2,5.29,5.26,5.27,4107.95,ORN-USD
1641445200,5.24,5.31,5.27,5.24,7596.53,ORN-USD
1641448800,5.24,5.28,5.24,5.25,873.55,ORN-USD
1641452400,5.28,5.34,5.28,5.32,590.5,ORN-USD
1641456000,5.27,5.37,5.34,5.27,2024.08,ORN-USD
1641459600,5.11,5.27,5.27,5.12,4507.18,ORN-USD
1641463200,5.06,5.14,5.12,5.13,3285.53,ORN-USD
1641466800,5.1,5.15,5.12,5.11,551.35,ORN-USD
1641470400,5.07,5.13,5.11,5.13,2063.16,ORN-USD
1641474000,5.15,5.25,5.15,5.23,2535.48,ORN-USD
1641477600,5.2,5.26,5.25,5.2,1973.74,ORN-USD
1641481200,5.14,5.2,5.19,5.2,2587.91,ORN-USD
1641484800,5.18,5.24,5.2,5.21,3490.99,ORN-USD
1641488400,5.19,5.27,5.22,5.21,1493.22,ORN-USD
1641492000,5.22,5.35,5.22,5.32,5902.61,ORN-USD
1641495600,5.3,5.39,5.31,5.34,4465.7,ORN-USD
1641499200,5.26,5.43,5.35,5.28,6244.04,ORN-USD
1641502800,5.25,5.34,5.28,5.32,5655.31,ORN-USD
1641506400,5.32,5.47,5.32,5.41,8072.43,ORN-USD
1641510000,5.39,5.49,5.41,5.45,4081.41,ORN-USD
