time,low,high,open,close,volume,symbol
1640995200,8.72,8.97,8.78,8.87,9185.274,PERP-USD
1640998800,8.82,8.89,8.87,8.83,3258.96,PERP-USD
1641002400,8.73,8.87,8.82,8.83,5863.879,PERP-USD
1641006000,8.8,8.86,8.83,8.8,1590.653,PERP-USD
1641009600,8.76,8.81,8.81,8.79,931.735,PERP-USD
1641013200,8.75,8.88,8.79,8.84,1347.975,PERP-USD
1641016800,8.79,8.89,8.84,8.79,464.05,PERP-USD
1641020400,8.79,8.83,8.79,8.83,80.36,PERP-USD
1641024000,8.82,8.87,8.85,8.82,23.372,PERP-USD
1641027600,8.82,8.89,8.84,8.86,189.715,PERP-USD
1641031200,8.74,8.84,8.82,8.76,191.589,PERP-USD
1641034800,8.75,8.78,8.77,8.77,207.33,PERP-USD
1641038400,8.76,8.82,8.78,8.82,23.786,PERP-USD
1641042000,8.78,8.86,8.79,8.86,346.108,PERP-USD
1641045600,8.8,8.88,8.84,8.88,322.336,PERP-USD
1641049200,8.82,8.92,8.86,8.88,382.884,PERP-USD
1641052800,8.87,9.0,8.87,8.92,10085.543,PERP-USD
1641056400,8.9,9.04,8.92,9.03,12776.113,PERP-USD
1641060000,8.99,9.06,9.02,9.01,2764.751,PERP-USD
1641063600,8.97,9.03,9.02,8.99,864.238,PERP-USD
1641067200,8.97,9.1,8.99,9.07,1676.845,PERP-USD
1641070800,9.01,9.11,9.07,9.01,651.257,PERP-USD
1641074400,8.97,9.08,9.01,9.02,9763.722,PERP-USD
1641078000,8.99,9.16,9.02,9.15,7019.28,PERP-USD
1641081600,9.07,9.16,9.13,9.1,2524.002,PERP-USD
1641085200,9.06,9.1,9.1,9.09,410.403,PERP-USD
1641088800,9.07,9.11,9.08,9.11,67.414,PERP-USD
1641092400,9.07,9.11,9.11,9.11,1111.374,PERP-USD
1641096000,9.02,9.11,9.08,9.02,385.156,PERP-USD
1641099600,8.96,9.02,9.02,8.97,1388.633,PERP-USD
1641103200,8.94,8.99,8.97,8.97,823.049,PERP-USD
1641106800,8.95,8.97,8.97,8.95,41.396,PERP-USD
1641110400,8.92,8.97,8.95,8.97,314.617,PERP-USD
1641114000,8.95,9.0,8.95,8.97,340.371,PERP-USD
1641117600,8.95,8.98,8.98,8.95,108.021,PERP-USD
1641121200,8.91,8.99,8.97,8.93,1739.969,PERP-USD
1641124800,8.85,8.92,8.92,8.87,510.929,PERP-USD
1641128400,8.86,8.9,8.9,8.86,458.212,PERP-USD
1641132000,8.87,8.91,8.87,8.89,378.988,PERP-USD
1641135600,8.77,8.93,8.89,8.88,2978.328,PERP-USD
1641139200,8.88,8.96,8.91,8.94,1234.945,PERP-USD
1641142800,8.9,8.99,8.93,8.94,1976.823,PERP-USD
1641146400,8.87,8.96,8.96,8.92,8676.594,PERP-USD
1641150000,8.89,9.03,8.92,8.97,4730.73,PERP-USD
1641153600,8.95,9.0,8.98,8.98,258.806,PERP-USD
1641157200,8.97,9.02,8.98,9.01,3074.286,PERP-USD
1641160800,9.0,9.06,9.0,9.0,2707.558,PERP-USD
1641164400,8.96,9.11,9.0,9.07,3258.103,PERP-USD
1641168000,8.99,9.07,9.07,8.99,280.29,PERP-USD
1641171600,8.97,9.06,9.0,9.03,1189.883,PERP-USD
1641175200,9.01,9.05,9.03,9.02,896.713,PERP-USD
1641178800,8.88,9.02,9.02,8.88,1769.746,PERP-USD
1641182400,8.86,8.9,8.88,8.88,439.264,PERP-USD
1641186000,8.85,8.91,8.88,8.89,461.128,PERP-USD
1641189600,8.89,8.93,8.89,8.91,454.15,PERP-USD
1641193200,8.9,8.94,8.91,8.94,145.388,PERP-USD
1641196800,8.93,8.97,8.94,8.95,54.624,PERP-USD
1641200400,8.9,8.96,8.96,8.93,18.793,PERP-USD
1641204000,8.91,8.96,8.94,8.96,1827.143,PERP-USD
1641207600,8.96,8.99,8.98,8.96,320.63,PERP-USD
1641211200,8.95,9.0,8.98,8.97,431.715,PERP-USD
1641214800,8.97,9.43,8.97,9.16,17693.956,PERP-USD
1641218400,9.13,9.21,9.17,9.15,8607.015,PERP-USD
1641222000,9.15,9.22,9.16,9.15,594.87,PERP-USD
1641225600,8.83,9.19,9.16,9.05,28197.936,PERP-USD
1641229200,9.03,9.16,9.03,9.16,2067.139,PERP-USD
1641232800,9.1,9.16,9.16,9.12,1109.739,PERP-USD
1641236400,9.08,9.14,9.1,9.12,1209.176,PERP-USD
1641240000,9.03,9.11,9.11,9.03,1079.975,PERP-USD
1641243600,9.03,9.08,9.04,9.04,306.134,PERP-USD
1641247200,9.03,9.18,9.05,9.18,1956.555,PERP-USD
1641250800,9.18,9.24,9.19,9.22,2281.558,PERP-USD
1641254400,9.1,9.23,9.22,9.11,914.972,PERP-USD
1641258000,9.06,9.13,9.1,9.06,327.824,PERP-USD
1641261600,9.06,9.15,9.09,9.13,392.121,PERP-USD
1641265200,9.08,9.11,9.11,9.1,482.623,PERP-USD
1641268800,9.07,9.12,9.1,9.09,315.828,PERP-USD
1641272400,9.09,9.13,9.09,9.12,69.131,PERP-USD
1641276000,9.1,9.17,9.12,9.14,1576.791,PERP-USD
1641279600,9.12,9.16,9.13,9.16,231.465,PERP-USD
1641283200,9.14,9.16,9.14,9.15,40.668,PERP-USD
1641286800,9.08,9.16,9.14,9.08,1344.173,PERP-USD
1641290400,9.06,9.18,9.08,9.18,1214.283,PERP-USD
1641294000,9.18,9.45,9.18,9.44,25408.336,PERP-USD
1641297600,9.3,9.45,9.43,9.3,4858.977,PERP-USD
1641301200,9.29,9.57,9.32,9.43,29729.075,PERP-USD
1641304800,9.36,9.47,9.44,9.39,4431.611,PERP-USD
1641308400,9.28,9.42,9.39,9.28,5369.924,PERP-USD
1641312000,9.25,9.3,9.3,9.25,200.586,PERP-USD
1641315600,9.24,9.27,9.26,9.25,383.224,PERP-USD
1641319200,9.15,9.29,9.26,9.18,30504.94,PERP-USD
1641322800,9.14,9.32,9.18,9.32,3880.531,PERP-USD
1641326400,9.28,9.34,9.32,9.31,599.283,PERP-USD
1641330000,9.27,9.31,9.3,9.28,693.615,PERP-USD
1641333600,9.27,9.32,9.28,9.28,2716.461,PERP-USD
1641337200,9.3,9.35,9.3,9.32,2239.641,PERP-USD
1641340800,9.26,9.4,9.3,9.36,7370.489,PERP-USD
1641344400,9.34,9.4,9.37,9.36,15194.846,PERP-USD
1641348000,9.35,9.39,9.35,9.38,256.524,PERP-USD
1641351600,9.28,9.38,9.36,9.3,827.502,PERP-USD
1641355200,9.27,9.32,9.3,9.27,539.32,PERP-USD
1641358800,9.26,9.3,9.27,9.27,104.028,PERP-USD
1641362400,9.27,9.31,9.28,9.31,34.795,PERP-USD
1641366000,9.2,9.31,9.31,9.23,597.467,PERP-USD
1641369600,9.21,9.43,9.25,9.38,4768.123,PERP-USD
1641373200,9.37,9.53,9.39,9.5,13154.426,PERP-USD
1641376800,9.42,9.52,9.5,9.45,1850.869,PERP-USD
1641380400,9.29,9.48,9.45,9.29,2113.248,PERP-USD
1641384000,8.96,9.3,9.27,9.11,18207.946,PERP-USD
1641387600,9.11,9.16,9.13,9.14,4533.448,PERP-USD
1641391200,9.11,9.17,9.17,9.17,1982.508,PERP-USD
1641394800,9.13,9.19,9.16,9.15,1251.923,PERP-USD
1641398400,9.08,9.15,9.13,9.11,1776.085,PERP-USD
1641402000,9.03,9.21,9.11,9.21,19277.612,PERP-USD
1641405600,9.19,9.28,9.2,9.28,3085.249,PERP-USD
1641409200,8.72,9.34,9.28,8.92,17489.977,PERP-USD
1641412800,8.86,9.12,8.88,9.06,3841.711,PERP-USD
1641416400,9.03,9.14,9.06,9.11,4503.514,PERP-USD
1641420000,8.79,9.14,9.12,9.13,5928.893,PERP-USD
1641423600,9.1,9.42,9.12,9.32,1863.928,PERP-USD
1641427200,9.17,9.34,9.33,9.24,2702.346,PERP-USD
1641430800,9.07,9.23,9.23,9.11,2134.339,PERP-USD
1641434400,9.09,9.17,9.11,9.16,1516.797,PERP-USD
1641438000,8.83,9.14,9.14,8.83,4180.021,PERP-USD
1641441600,8.74,8.87,8.83,8.82,1482.873,PERP-USD
1641445200,8.79,8.88,8.79,8.81,210.343,PERP-USD
1641448800,8.66,8.87,8.84,8.66,6293.03,PERP-USD
1641452400,8.64,8.7,8.66,8.66,1166.708,PERP-USD
1641456000,8.36,8.64,8.64,8.42,8812.601,PERP-USD
1641459600,8.21,8.39,8.39,8.24,4260.004,PERP-USD
1641463200,8.15,8.29,8.24,8.28,1716.164,PERP-USD
1641466800,8.24,8.33,8.29,8.3,438.101,PERP-USD
1641470400,8.25,8.37,8.26,8.37,2345.78,PERP-USD
1641474000,8.36,8.5,8.38,8.47,8705.253,PERP-USD
1641477600,8.42,8.54,8.47,8.51,5355.675,PERP-USD
1641481200,8.44,8.52,8.5,8.51,3030.48,PERP-USD
1641484800,8.48,8.52,8.51,8.49,1518.4,PERP-USD
1641488400,8.4,8.51,8.51,8.48,21108.343,PERP-USD
1641492000,8.42,8.51,8.49,8.51,13529.851,PERP-USD
1641495600,8.5,8.54,8.51,8.5,1589.846,PERP-USD
1641499200,8.49,8.58,8.5,8.55,7562.275,PERP-USD
1641502800,8.53,8.56,8.54,8.54,2848.814,PERP-USD
1641506400,8.55,8.59,8.56,8.59,1498.104,PERP-USD
1641510000,8.55,8.72,8.57,8.72,2046.371,PERP-USD
1641513600,8.53,8.75,8.72,8.53,1683.388,PERP-USD
1641517200,8.47,8.58,8.57,8.48,1176.241,PERP-USD
1641520800,8.32,8.49,8.48,8.34,1856.249,PERP-USD
1641524400,8.11,8.34,8.34,8.12,3986.881,PERP-USD
1641528000,7.95,8.14,8.1,8.13,3108.565,PERP-USD
1641531600,8.15,8.31,8.15,8.19,874.737,PERP-USD
1641535200,8.03,8.21,8.19,8.03,3487.752,PERP-USD
1641538800,7.95,8.29,7.99,8.25,1603.756,PERP-USD
1641542400,8.12,8.33,8.22,8.23,5316.815,PERP-USD
1641546000,8.21,8.27,8.23,8.23,214.612,PERP-USD
1641549600,8.16,8.23,8.22,8.16,174.901,PERP-USD
1641553200,8.15,8.32,8.15,8.32,3413.526,PERP-USD
1641556800,8.29,8.42,8.32,8.42,456.172,PERP-USD
1641560400,8.21,8.51,8.42,8.22,3332.95,PERP-USD
1641564000,8.21,8.4,8.23,8.39,2936.685,PERP-USD
1641567600,8.19,8.39,8.39,8.35,2682.922,PERP-USD
1641571200,8.23,8.61,8.36,8.6,1250.517,PERP-USD
1641574800,8.45,8.64,8.6,8.61,5120.075,PERP-USD
1641578400,8.58,8.65,8.61,8.62,1754.904,PERP-USD
1641582000,8.61,8.76,8.62,8.67,3089.516,PERP-USD
1641585600,8.66,8.74,8.67,8.73,1373.965,PERP-USD
1641589200,8.66,8.73,8.72,8.67,2175.658,PERP-USD
1641592800,8.62,8.74,8.67,8.65,2482.572,PERP-USD
1641596400,8.61,8.78,8.62,8.78,1742.822,PERP-USD
1641600000,8.74,8.92,8.77,8.88,4369.558,PERP-USD
