time,low,high,open,close,volume,symbol
1642096800,2.41,3.25,3.2,2.45,213410.69,PRO-USD
1642100400,2.34,2.82,2.45,2.49,272191.97,PRO-USD
1642104000,2.36,2.78,2.59,2.69,212860.09,PRO-USD
1642107600,2.41,2.7,2.69,2.49,320154.11,PRO-USD
1642111200,2.4,2.7,2.49,2.69,182062.3,PRO-USD
1642114800,2.45,2.72,2.69,2.47,187806.28,PRO-USD
1642118400,2.45,3.18,2.52,3.16,441341.17,PRO-USD
1642122000,3.0,3.79,3.16,3.08,606980.04,PRO-USD
1642125600,2.87,3.43,3.08,3.13,228710.34,PRO-USD
1642129200,3.08,4.2,3.17,3.61,694416.64,PRO-USD
1642132800,3.2,3.68,3.61,3.39,382570.51,PRO-USD
1642136400,3.12,3.66,3.39,3.27,197809.94,PRO-USD
1642140000,3.25,3.82,3.25,3.78,182952.46,PRO-USD
1642143600,3.53,4.0,3.74,3.94,229575.06,PRO-USD
1642147200,3.62,4.0,3.87,3.69,125397.1,PRO-USD
1642150800,3.35,3.85,3.69,3.63,95543.28,PRO-USD
1642154400,3.46,4.48,3.62,3.8,203981.71,PRO-USD
1642158000,3.57,4.12,3.79,3.91,217264.99,PRO-USD
1642161600,3.75,3.97,3.93,3.89,105186.2,PRO-USD
1642165200,3.48,4.4,3.84,4.14,219579.92,PRO-USD
1642168800,3.73,4.33,4.25,3.89,334018.47,PRO-USD
1642172400,3.65,4.1,3.93,3.65,201104.24,PRO-USD
1642176000,3.62,3.91,3.65,3.78,166947.94,PRO-USD
1642179600,3.53,3.78,3.78,3.6,176244.06,PRO-USD
1642183200,3.26,3.66,3.59,3.39,244036.16,PRO-USD
1642186800,3.26,3.51,3.36,3.47,124247.96,PRO-USD
1642190400,3.24,3.72,3.46,3.32,329447.4,PRO-USD
1642194000,3.23,3.5,3.32,3.39,161350.75,PRO-USD
1642197600,3.11,3.48,3.39,3.21,173534.26,PRO-USD
1642201200,3.11,3.25,3.21,3.11,126331.5,PRO-USD
1642204800,2.98,3.2,3.11,3.01,185480.18,PRO-USD
1642208400,2.99,3.19,3.0,3.11,111179.76,PRO-USD
1642212000,3.06,3.26,3.15,3.15,62453.05,PRO-USD
1642215600,3.02,3.22,3.15,3.06,59713.76,PRO-USD
1642219200,3.0,3.13,3.02,3.13,33927.76,PRO-USD
1642222800,2.93,3.13,3.12,2.96,67195.53,PRO-USD
1642226400,2.91,2.99,2.96,2.93,70441.58,PRO-USD
1642230000,2.83,2.98,2.92,2.89,92307.56,PRO-USD
1642233600,2.87,2.98,2.91,2.88,40140.3,PRO-USD
1642237200,2.74,2.93,2.93,2.75,67799.99,PRO-USD
1642240800,2.7,2.99,2.75,2.98,82101.03,PRO-USD
1642244400,2.87,3.06,2.98,2.89,67608.02,PRO-USD
1642248000,2.76,3.07,2.92,3.05,58191.99,PRO-USD
1642251600,2.84,3.05,3.05,2.93,61691.45,PRO-USD
1642255200,2.85,3.0,2.93,2.89,96383.28,PRO-USD
1642258800,2.8,2.99,2.88,2.88,95590.29,PRO-USD
1642262400,2.83,2.96,2.88,2.93,60617.22,PRO-USD
1642266000,2.84,2.95,2.93,2.87,76236.9,PRO-USD
1642269600,2.83,2.91,2.85,2.89,55794.57,PRO-USD
