time,low,high,open,close,volume,symbol
1655913600,0.1334,0.152,0.1434,0.1508,152523.2,PRQ-USD
1655917200,0.1465,0.1595,0.1523,0.1564,376738.0,PRQ-USD
1655920800,0.1421,0.1578,0.1553,0.1454,222867.9,PRQ-USD
1655924400,0.144,0.1534,0.1444,0.1512,161896.3,PRQ-USD
1655928000,0.1459,0.1558,0.1512,0.1459,291133.9,PRQ-USD
1655931600,0.1415,0.1469,0.1459,0.1469,178099.6,PRQ-USD
1655935200,0.1434,0.1475,0.146,0.1434,58033.1,PRQ-USD
1655938800,0.1426,0.1481,0.1437,0.1432,83872.0,PRQ-USD
1655942400,0.1387,0.1444,0.1442,0.1409,127017.5,PRQ-USD
1655946000,0.1399,0.1501,0.1414,0.1453,181145.9,PRQ-USD
1655949600,0.1407,0.1477,0.1453,0.1465,50850.2,PRQ-USD
1655953200,0.146,0.185,0.146,0.1772,513238.2,PRQ-USD
1655956800,0.1457,0.1776,0.1763,0.1466,283364.8,PRQ-USD
1655960400,0.1432,0.147,0.1468,0.1438,47802.1,PRQ-USD
1655964000,0.1448,0.1487,0.1448,0.1473,11075.2,PRQ-USD
1655967600,0.1445,0.1493,0.1477,0.1445,5024.7,PRQ-USD
1655971200,0.1444,0.1472,0.1447,0.1448,9680.2,PRQ-USD
1655974800,0.1443,0.1466,0.1459,0.1444,31401.4,PRQ-USD
1655978400,0.1401,0.1455,0.1444,0.1406,43231.6,PRQ-USD
1655982000,0.1401,0.1428,0.1401,0.1402,45140.4,PRQ-USD
1655985600,0.14,0.1447,0.1409,0.1447,45790.3,PRQ-USD
1655989200,0.1418,0.1448,0.1448,0.1418,26534.7,PRQ-USD
1655992800,0.1369,0.1419,0.1419,0.137,53853.3,PRQ-USD
1655996400,0.1242,0.1401,0.1369,0.13,114280.3,PRQ-USD
1656000000,0.1265,0.131,0.1307,0.129,107702.3,PRQ-USD
1656003600,0.1274,0.131,0.1282,0.1295,149917.5,PRQ-USD
1656007200,0.1295,0.1312,0.1302,0.1302,129671.6,PRQ-USD
1656010800,0.1296,0.131,0.1301,0.1296,36726.8,PRQ-USD
1656014400,0.1296,0.132,0.1298,0.1297,64109.4,PRQ-USD
1656018000,0.1296,0.1315,0.1298,0.1301,156685.3,PRQ-USD
1656021600,0.1297,0.1332,0.1303,0.1319,78678.3,PRQ-USD
