time,low,high,open,close,volume,symbol
1669741200,3.2,3.366,3.293,3.264,57838.09,PYR-USD
1669744800,3.12,3.264,3.264,3.131,15982.42,PYR-USD
1669748400,3.05,3.137,3.132,3.095,17800.0,PYR-USD
1669752000,3.08,3.15,3.099,3.125,5306.35,PYR-USD
1669755600,3.095,3.167,3.13,3.108,4350.97,PYR-USD
1669759200,3.103,3.135,3.104,3.115,3196.1,PYR-USD
1669762800,3.06,3.116,3.114,3.111,8013.56,PYR-USD
1669766400,3.104,3.208,3.104,3.176,7642.15,PYR-USD
1669770000,3.159,3.23,3.191,3.198,12253.36,PYR-USD
1669773600,3.206,3.238,3.213,3.206,2703.61,PYR-USD
1669777200,3.166,3.206,3.203,3.166,4226.08,PYR-USD
1669780800,3.135,3.171,3.158,3.171,1169.68,PYR-USD
1669784400,3.17,3.24,3.18,3.223,4073.0,PYR-USD
1669788000,3.179,3.224,3.221,3.189,635.43,PYR-USD
1669791600,3.188,3.203,3.198,3.199,254.96,PYR-USD
1669795200,3.2,3.249,3.203,3.244,800.39,PYR-USD
1669795200,3.2,3.249,3.203,3.244,800.39,PYR-USD
1669798800,3.165,3.241,3.241,3.205,2204.68,PYR-USD
1669802400,3.175,3.196,3.186,3.196,647.01,PYR-USD
1669806000,3.187,3.206,3.196,3.187,75.86,PYR-USD
1669809600,3.16,3.189,3.184,3.16,831.17,PYR-USD
1669813200,3.144,3.167,3.167,3.149,1101.91,PYR-USD
1669816800,3.142,3.172,3.142,3.17,1781.18,PYR-USD
1669820400,3.152,3.188,3.167,3.169,3308.05,PYR-USD
1669824000,3.158,3.187,3.172,3.183,16508.98,PYR-USD
1669827600,3.108,3.197,3.186,3.108,6727.5,PYR-USD
1669831200,3.102,3.178,3.119,3.169,7325.97,PYR-USD
1669834800,3.169,3.215,3.169,3.175,3399.69,PYR-USD
1669838400,3.169,3.278,3.175,3.209,9119.71,PYR-USD
1669842000,3.2,3.262,3.2,3.262,2977.49,PYR-USD
1669845600,3.232,3.269,3.262,3.246,6478.42,PYR-USD
1669849200,3.226,3.273,3.237,3.263,4982.68,PYR-USD
1669852800,3.193,3.263,3.263,3.211,6068.36,PYR-USD
1669856400,3.187,3.213,3.207,3.202,7326.66,PYR-USD
1669860000,3.185,3.206,3.202,3.2,4712.98,PYR-USD
1669863600,3.2,3.232,3.2,3.221,8776.58,PYR-USD
1669867200,3.227,3.264,3.227,3.251,9703.03,PYR-USD
1669870800,3.25,3.3,3.251,3.273,17404.6,PYR-USD
1669874400,3.261,3.31,3.272,3.271,18375.37,PYR-USD
1669878000,3.251,3.309,3.288,3.256,8098.45,PYR-USD
1669881600,3.24,3.309,3.258,3.286,5823.57,PYR-USD
1669885200,3.263,3.308,3.283,3.296,4663.75,PYR-USD
1669888800,3.284,3.308,3.299,3.307,3398.17,PYR-USD
1669892400,3.266,3.307,3.289,3.291,5147.71,PYR-USD
1669896000,3.27,3.387,3.291,3.303,6386.01,PYR-USD
1669899600,3.254,3.339,3.3,3.265,7508.11,PYR-USD
1669903200,3.193,3.279,3.261,3.24,5540.2,PYR-USD
1669906800,3.231,3.381,3.235,3.322,12133.23,PYR-USD
1669910400,3.249,3.39,3.322,3.249,9290.52,PYR-USD
1669914000,3.195,3.252,3.244,3.246,8740.95,PYR-USD
1669917600,3.232,3.249,3.246,3.238,2227.4,PYR-USD
1669921200,3.215,3.365,3.232,3.279,4272.15,PYR-USD
1669924800,3.21,3.31,3.243,3.225,6403.59,PYR-USD
1669928400,3.201,3.3,3.214,3.21,4777.27,PYR-USD
1669932000,3.21,3.237,3.21,3.214,1499.79,PYR-USD
1669935600,3.199,3.219,3.215,3.217,2307.01,PYR-USD
1669939200,3.199,3.252,3.201,3.252,4394.87,PYR-USD
1669942800,3.223,3.252,3.237,3.238,1998.27,PYR-USD
1669946400,3.182,3.238,3.235,3.209,6106.89,PYR-USD
1669950000,3.19,3.211,3.209,3.206,1246.67,PYR-USD
1669953600,3.188,3.209,3.194,3.196,1600.3,PYR-USD
1669957200,3.19,3.219,3.195,3.198,792.94,PYR-USD
1669960800,3.173,3.202,3.198,3.175,1364.58,PYR-USD
1669964400,3.141,3.188,3.172,3.156,3954.84,PYR-USD
1669968000,3.127,3.163,3.154,3.16,4485.65,PYR-USD
1669971600,3.157,3.177,3.161,3.177,520.6,PYR-USD
1669975200,3.163,3.193,3.183,3.189,624.25,PYR-USD
1669978800,3.178,3.195,3.187,3.184,1336.36,PYR-USD
1669982400,3.194,3.224,3.194,3.221,1501.65,PYR-USD
1669986000,3.133,3.235,3.234,3.154,2429.12,PYR-USD
1669989600,3.154,3.177,3.156,3.177,1358.46,PYR-USD
1669993200,3.167,3.188,3.176,3.185,540.8,PYR-USD
1669996800,3.161,3.19,3.183,3.189,6230.89,PYR-USD
1670000400,3.171,3.194,3.189,3.183,3026.86,PYR-USD
1670004000,3.171,3.194,3.183,3.176,3058.58,PYR-USD
1670007600,3.178,3.211,3.178,3.203,5175.84,PYR-USD
1670011200,3.204,3.23,3.204,3.23,2195.29,PYR-USD
1670014800,3.193,3.238,3.234,3.194,1156.93,PYR-USD
1670018400,3.185,3.201,3.194,3.186,2289.05,PYR-USD
1670022000,3.189,3.206,3.189,3.206,891.19,PYR-USD
1670025600,3.184,3.229,3.212,3.213,2703.52,PYR-USD
1670029200,3.201,3.224,3.214,3.223,1049.59,PYR-USD
1670032800,3.181,3.222,3.222,3.19,3683.79,PYR-USD
1670036400,3.172,3.19,3.189,3.177,3992.54,PYR-USD
