time,low,high,open,close,volume,symbol
1741795200,0.61,0.709,0.7,0.6535,1714310.78,RED-USD
1741795200,0.61,0.709,0.7,0.6535,1714310.78,RED-USD
1741798800,0.6216,0.663,0.6535,0.634,586743.18,RED-USD
1741802400,0.59,0.6419,0.6367,0.6248,543379.22,RED-USD
1741806000,0.5952,0.6439,0.6255,0.6006,341679.28,RED-USD
1741809600,0.5713,0.6209,0.6019,0.5825,793791.01,RED-USD
1741813200,0.5662,0.588,0.5785,0.5755,397018.54,RED-USD
1741816800,0.5601,0.5891,0.5773,0.5825,255174.73,RED-USD
1741820400,0.5693,0.6067,0.5844,0.5877,222317.55,RED-USD
1741824000,0.5554,0.6095,0.5799,0.5695,883798.18,RED-USD
1741827600,0.5695,0.5999,0.5707,0.5957,227601.19,RED-USD
1741831200,0.5769,0.6117,0.5944,0.597,404044.32,RED-USD
1741834800,0.58,0.64,0.5971,0.6099,543273.86,RED-USD
1741838400,0.5821,0.6227,0.608,0.6227,319252.26,RED-USD
1741842000,0.6046,0.6433,0.6208,0.624,602698.31,RED-USD
1741845600,0.6097,0.6395,0.6216,0.6301,136554.81,RED-USD
1741849200,0.6101,0.64,0.6298,0.6249,566312.92,RED-USD
1741852800,0.5752,0.6262,0.6215,0.6037,495552.71,RED-USD
1741856400,0.5858,0.6086,0.6037,0.5898,91640.09,RED-USD
1741860000,0.5731,0.6032,0.5914,0.5754,152682.99,RED-USD
1741863600,0.565,0.5827,0.5761,0.5794,167781.91,RED-USD
1741867200,0.5574,0.5841,0.5793,0.5581,337990.72,RED-USD
1741870800,0.5359,0.5723,0.5599,0.5419,484008.8,RED-USD
1741874400,0.535,0.549,0.5411,0.546,223125.33,RED-USD
1741878000,0.5324,0.5586,0.546,0.5372,360012.94,RED-USD
1741881600,0.53,0.545,0.5369,0.5342,235628.22,RED-USD
1741885200,0.5234,0.5451,0.535,0.5272,224741.05,RED-USD
1741888800,0.5228,0.5397,0.5274,0.5342,185316.47,RED-USD
1741892400,0.529,0.5384,0.5355,0.534,88007.01,RED-USD
1741896000,0.5252,0.5399,0.532,0.528,143764.47,RED-USD
1741899600,0.5225,0.5354,0.528,0.5343,239488.56,RED-USD
1741903200,0.5327,0.5479,0.5344,0.5437,346043.95,RED-USD
1741906800,0.5347,0.5476,0.5443,0.5371,105107.1,RED-USD
1741910400,0.51,0.5477,0.5357,0.521,243429.89,RED-USD
1741914000,0.5056,0.5272,0.5213,0.5204,389380.88,RED-USD
1741917600,0.515,0.5231,0.5202,0.519,77461.49,RED-USD
1741921200,0.511,0.5261,0.5188,0.5172,146668.6,RED-USD
1741924800,0.5125,0.5362,0.5168,0.516,597198.93,RED-USD
1741928400,0.5084,0.5165,0.5165,0.5107,85302.8,RED-USD
1741932000,0.5042,0.5152,0.5099,0.5139,93924.25,RED-USD
1741935600,0.5101,0.517,0.5142,0.5112,62317.74,RED-USD
1741939200,0.5117,0.5275,0.5117,0.5212,86584.64,RED-USD
1741942800,0.5146,0.528,0.5212,0.524,97846.93,RED-USD
1741946400,0.5152,0.5253,0.5231,0.5179,60668.33,RED-USD
1741950000,0.5106,0.522,0.5188,0.511,199768.55,RED-USD
1741953600,0.5096,0.5159,0.511,0.5124,47987.09,RED-USD
1741957200,0.5074,0.5174,0.513,0.5151,36738.38,RED-USD
1741960800,0.5118,0.5328,0.5139,0.5321,137310.9,RED-USD
1741964400,0.5224,0.5464,0.5326,0.5313,518159.85,RED-USD
1741968000,0.5272,0.584,0.5307,0.5617,786158.96,RED-USD
1741971600,0.552,0.5766,0.5619,0.5674,245818.88,RED-USD
1741975200,0.5458,0.5804,0.5684,0.5469,399690.76,RED-USD
1741978800,0.546,0.5761,0.5464,0.5668,226782.05,RED-USD
1741982400,0.5511,0.5793,0.5673,0.5554,189330.45,RED-USD
1741986000,0.5436,0.5696,0.5556,0.5631,95601.62,RED-USD
1741989600,0.5506,0.57,0.5635,0.5547,262689.67,RED-USD
1741993200,0.5542,0.5658,0.5551,0.5648,176441.03,RED-USD
1741996800,0.55,0.5799,0.565,0.5577,378998.87,RED-USD
1742000400,0.5577,0.5745,0.5577,0.571,361221.11,RED-USD
1742004000,0.5565,0.5882,0.57,0.5681,434145.38,RED-USD
1742007600,0.5681,0.5981,0.5681,0.589,758056.85,RED-USD
1742011200,0.5785,0.6006,0.5882,0.5883,548794.13,RED-USD
1742014800,0.5883,0.6349,0.5883,0.6229,691113.6,RED-USD
1742018400,0.6012,0.6437,0.6244,0.6311,387647.22,RED-USD
1742022000,0.6139,0.645,0.6298,0.6256,387465.35,RED-USD
