time,low,high,open,close,volume,symbol
1640995200,2.94,2.99,2.94,2.98,56286.31,RLC-USD
1640998800,2.97,3.01,2.98,2.98,52731.63,RLC-USD
1641002400,2.97,3.0,2.98,2.98,25166.24,RLC-USD
1641006000,2.98,3.0,2.98,2.99,15526.52,RLC-USD
1641009600,2.95,3.0,2.99,2.97,21193.82,RLC-USD
1641013200,2.96,3.02,2.97,2.99,44763.49,RLC-USD
1641016800,2.97,3.01,2.99,2.97,17146.06,RLC-USD
1641020400,2.97,3.01,2.97,3.0,25273.49,RLC-USD
1641024000,2.99,3.02,3.0,3.0,19293.42,RLC-USD
1641027600,2.98,3.01,3.0,3.0,23717.75,RLC-USD
1641031200,2.95,3.0,3.0,2.97,26319.27,RLC-USD
1641034800,2.97,3.01,2.98,2.98,24206.86,RLC-USD
1641038400,2.98,3.01,2.98,3.0,7491.77,RLC-USD
1641042000,2.99,3.01,3.01,3.01,21966.63,RLC-USD
1641045600,2.99,3.02,3.01,3.0,19084.55,RLC-USD
1641049200,3.0,3.05,3.0,3.02,44636.83,RLC-USD
1641052800,3.01,3.04,3.03,3.03,24671.55,RLC-USD
1641056400,3.0,3.05,3.02,3.03,47054.49,RLC-USD
1641060000,3.02,3.04,3.04,3.03,21205.17,RLC-USD
1641063600,3.01,3.04,3.03,3.02,11224.74,RLC-USD
1641067200,3.02,3.05,3.02,3.04,19601.49,RLC-USD
1641070800,3.03,3.08,3.03,3.04,45796.65,RLC-USD
1641074400,3.03,3.07,3.04,3.06,40025.96,RLC-USD
1641078000,3.05,3.11,3.06,3.11,33642.76,RLC-USD
1641081600,3.06,3.13,3.11,3.08,42426.29,RLC-USD
1641085200,3.06,3.1,3.08,3.09,41636.79,RLC-USD
1641088800,3.08,3.14,3.09,3.12,66620.91,RLC-USD
1641092400,3.1,3.13,3.11,3.12,32088.22,RLC-USD
1641096000,3.08,3.15,3.12,3.1,85502.4,RLC-USD
1641099600,3.1,3.13,3.1,3.13,26280.73,RLC-USD
1641103200,3.11,3.14,3.12,3.13,14537.99,RLC-USD
1641106800,3.11,3.14,3.13,3.13,19213.91,RLC-USD
1641110400,3.09,3.18,3.13,3.17,43464.47,RLC-USD
1641114000,3.15,3.2,3.18,3.18,62510.85,RLC-USD
