time,low,high,open,close,volume,symbol
1643914800,3.2,3.42,3.27,3.25,137934.03,RNDR-USD
1643918400,3.22,3.35,3.24,3.25,105466.01,RNDR-USD
1643922000,3.24,3.36,3.25,3.34,52959.61,RNDR-USD
1643925600,3.28,3.39,3.35,3.33,77106.08,RNDR-USD
1643929200,3.31,3.37,3.33,3.36,29937.39,RNDR-USD
1643932800,3.31,3.43,3.35,3.31,38971.74,RNDR-USD
1643936400,3.27,3.35,3.33,3.31,33697.4,RNDR-USD
1643940000,3.3,3.35,3.31,3.32,33898.71,RNDR-USD
1643943600,3.28,3.35,3.33,3.28,28769.66,RNDR-USD
1643947200,3.27,3.31,3.28,3.27,21240.6,RNDR-USD
1643950800,3.25,3.44,3.27,3.41,45359.93,RNDR-USD
1643954400,3.38,3.57,3.41,3.42,60043.16,RNDR-USD
1643958000,3.41,3.48,3.42,3.42,23070.77,RNDR-USD
1643961600,3.38,3.48,3.42,3.4,19859.35,RNDR-USD
1643965200,3.36,3.44,3.4,3.39,26721.43,RNDR-USD
1643968800,3.31,3.43,3.39,3.34,13530.75,RNDR-USD
1643972400,3.32,3.44,3.32,3.4,31640.71,RNDR-USD
1643976000,3.34,3.45,3.4,3.37,29639.4,RNDR-USD
1643979600,3.26,3.41,3.37,3.26,38796.54,RNDR-USD
1643983200,3.25,3.32,3.26,3.29,30968.86,RNDR-USD
1643986800,3.28,3.61,3.29,3.52,74038.68,RNDR-USD
1643990400,3.49,3.67,3.52,3.62,69306.7,RNDR-USD
1643994000,3.51,3.64,3.64,3.54,52141.46,RNDR-USD
1643997600,3.46,3.55,3.55,3.52,30300.83,RNDR-USD
1644001200,3.51,3.66,3.52,3.6,32725.9,RNDR-USD
1644004800,3.57,3.66,3.6,3.6,71962.34,RNDR-USD
1644008400,3.53,3.64,3.6,3.62,43081.69,RNDR-USD
1644012000,3.5,3.66,3.62,3.5,45808.75,RNDR-USD
1644015600,3.5,3.65,3.5,3.6,40189.28,RNDR-USD
1644019200,3.55,3.66,3.6,3.6,42702.2,RNDR-USD
1644022800,3.5,3.61,3.6,3.51,22791.2,RNDR-USD
1644026400,3.5,3.7,3.51,3.67,41569.19,RNDR-USD
1644030000,3.66,3.75,3.67,3.71,40230.22,RNDR-USD
1644033600,3.69,3.86,3.71,3.79,56471.12,RNDR-USD
1644037200,3.77,3.92,3.79,3.88,35503.73,RNDR-USD
1644040800,3.84,3.96,3.88,3.95,44611.07,RNDR-USD
1644044400,3.72,4.0,3.93,3.78,62084.11,RNDR-USD
1644048000,3.74,3.86,3.78,3.82,31749.13,RNDR-USD
1644051600,3.75,3.87,3.82,3.78,23197.98,RNDR-USD
1644055200,3.72,3.81,3.78,3.75,24992.79,RNDR-USD
1644058800,3.73,3.79,3.75,3.74,18617.71,RNDR-USD
1644062400,3.73,3.83,3.74,3.81,13194.57,RNDR-USD
1644066000,3.81,3.94,3.81,3.92,27686.34,RNDR-USD
1644069600,3.87,3.95,3.92,3.91,78958.0,RNDR-USD
1644073200,3.89,4.01,3.91,3.93,78638.21,RNDR-USD
1644076800,3.75,3.96,3.93,3.77,42472.83,RNDR-USD
1644080400,3.64,3.79,3.77,3.75,49440.72,RNDR-USD
1644084000,3.73,3.82,3.75,3.78,30466.81,RNDR-USD
1644087600,3.71,3.8,3.78,3.71,23772.57,RNDR-USD
1644091200,3.7,3.77,3.71,3.76,25701.5,RNDR-USD
1644094800,3.73,3.79,3.76,3.77,14689.61,RNDR-USD
1644098400,3.69,3.78,3.77,3.71,30631.49,RNDR-USD
1644102000,3.69,3.74,3.71,3.7,19286.43,RNDR-USD
1644105600,3.69,3.78,3.7,3.73,23357.31,RNDR-USD
1644109200,3.72,3.85,3.73,3.8,64447.84,RNDR-USD
1644112800,3.79,3.85,3.8,3.83,27904.27,RNDR-USD
1644116400,3.74,3.84,3.83,3.74,21400.16,RNDR-USD
1644120000,3.65,3.77,3.74,3.7,16868.2,RNDR-USD
1644123600,3.67,3.73,3.7,3.71,25445.61,RNDR-USD
1644127200,3.69,3.74,3.72,3.7,10270.66,RNDR-USD
1644130800,3.66,3.75,3.7,3.72,15102.25,RNDR-USD
1644134400,3.68,3.74,3.72,3.72,11589.72,RNDR-USD
1644138000,3.7,3.74,3.72,3.71,6956.57,RNDR-USD
1644141600,3.66,3.77,3.72,3.67,13758.17,RNDR-USD
1644145200,3.66,3.74,3.67,3.71,6975.45,RNDR-USD
1644148800,3.6,3.74,3.71,3.64,14849.11,RNDR-USD
1644152400,3.59,3.67,3.64,3.64,12763.99,RNDR-USD
1644156000,3.53,3.69,3.64,3.53,35865.52,RNDR-USD
1644159600,3.5,3.58,3.53,3.54,44553.06,RNDR-USD
1644163200,3.52,3.58,3.54,3.56,17155.64,RNDR-USD
