time,low,high,open,close,volume,symbol
1722358800,0.63,0.71,0.71,0.65,265522.52,SD-USD
1722362400,0.587,0.665,0.6428,0.587,237061.01,SD-USD
1722366000,0.5826,0.6236,0.5899,0.5963,76713.84,SD-USD
1722369600,0.5812,0.624,0.5961,0.618,197100.75,SD-USD
1722373200,0.6013,0.6216,0.6177,0.6013,25624.8,SD-USD
1722376800,0.5881,0.6125,0.6014,0.5993,54440.03,SD-USD
1722380400,0.5713,0.5982,0.5982,0.5867,86895.19,SD-USD
1722384000,0.5707,0.5836,0.5794,0.5784,90610.43,SD-USD
1722387600,0.5692,0.579,0.579,0.5692,13372.77,SD-USD
1722391200,0.5682,0.6093,0.5747,0.6041,131743.21,SD-USD
1722394800,0.5739,0.6029,0.6012,0.5767,80512.72,SD-USD
1722398400,0.5721,0.5772,0.5767,0.5721,9812.46,SD-USD
1722402000,0.5679,0.575,0.5701,0.574,25772.72,SD-USD
1722405600,0.574,0.5789,0.5744,0.578,12413.3,SD-USD
1722409200,0.5706,0.5849,0.5761,0.5849,28958.25,SD-USD
1722412800,0.5782,0.5833,0.5811,0.5833,1533.96,SD-USD
1722416400,0.5701,0.5816,0.5792,0.5701,5757.75,SD-USD
1722420000,0.5718,0.58,0.5724,0.5728,9910.37,SD-USD
1722423600,0.5558,0.5801,0.5728,0.558,38458.72,SD-USD
1722427200,0.5442,0.5586,0.558,0.5505,28962.47,SD-USD
1722430800,0.5483,0.5699,0.5493,0.5647,73228.37,SD-USD
1722434400,0.5596,0.5654,0.5643,0.5642,13261.28,SD-USD
1722438000,0.5616,0.57,0.564,0.5668,25946.92,SD-USD
1722441600,0.518,0.5679,0.5669,0.532,262908.48,SD-USD
1722445200,0.5228,0.533,0.5325,0.5271,34156.53,SD-USD
1722448800,0.525,0.5357,0.5294,0.5339,49787.77,SD-USD
1722452400,0.5166,0.5356,0.5306,0.5193,27720.71,SD-USD
1722456000,0.5143,0.522,0.5168,0.5177,9887.58,SD-USD
1722459600,0.5163,0.5195,0.5163,0.5185,12131.92,SD-USD
1722463200,0.515,0.5185,0.5185,0.515,6477.42,SD-USD
1722466800,0.515,0.5196,0.5172,0.5171,10166.99,SD-USD
1722470400,0.5154,0.5233,0.518,0.5214,23579.65,SD-USD
1722474000,0.5197,0.5499,0.5197,0.5336,119055.74,SD-USD
1722477600,0.5171,0.5424,0.534,0.5171,74384.6,SD-USD
1722481200,0.5186,0.525,0.5217,0.5242,9102.35,SD-USD
1722484800,0.5183,0.5245,0.5245,0.5206,14123.64,SD-USD
1722488400,0.515,0.5231,0.5219,0.515,19111.36,SD-USD
1722492000,0.5138,0.5199,0.5152,0.518,9986.45,SD-USD
1722495600,0.5139,0.518,0.5145,0.5166,5756.11,SD-USD
1722499200,0.5138,0.5206,0.5164,0.5179,12389.55,SD-USD
1722502800,0.5135,0.5197,0.5155,0.5177,7636.45,SD-USD
1722506400,0.5116,0.5207,0.5177,0.5188,28338.4,SD-USD
1722510000,0.5093,0.5186,0.5163,0.5132,15033.35,SD-USD
1722513600,0.5095,0.5159,0.5134,0.5139,7869.01,SD-USD
1722517200,0.5117,0.5164,0.5139,0.5154,5641.94,SD-USD
1722520800,0.5105,0.52,0.5145,0.5185,19695.55,SD-USD
1722524400,0.51,0.5186,0.5186,0.514,14320.75,SD-USD
1722528000,0.511,0.5178,0.5137,0.5111,23755.64,SD-USD
1722531600,0.4986,0.5131,0.5116,0.5,59995.8,SD-USD
1722535200,0.4978,0.5082,0.5,0.504,31732.42,SD-USD
1722538800,0.4957,0.5088,0.5,0.5061,36733.24,SD-USD
1722542400,0.4981,0.509,0.5061,0.5061,15189.48,SD-USD
1722546000,0.5013,0.51,0.5061,0.5077,7939.0,SD-USD
1722549600,0.5072,0.5174,0.5077,0.5132,30989.83,SD-USD
1722553200,0.5109,0.5152,0.5151,0.5119,8186.09,SD-USD
1722556800,0.512,0.5256,0.512,0.5256,30235.76,SD-USD
1722560400,0.5239,0.5357,0.5255,0.5348,34246.51,SD-USD
1722564000,0.5299,0.5371,0.5348,0.53,18591.41,SD-USD
1722567600,0.5249,0.5341,0.5341,0.5338,13915.22,SD-USD
1722571200,0.5279,0.5388,0.529,0.528,20872.72,SD-USD
1722574800,0.5243,0.5323,0.5313,0.5243,8209.88,SD-USD
1722578400,0.5175,0.5271,0.5271,0.5175,8745.91,SD-USD
1722582000,0.5145,0.5174,0.5174,0.5174,2837.57,SD-USD
1722585600,0.502,0.5168,0.5168,0.5048,4758.91,SD-USD
1722589200,0.5008,0.5067,0.5026,0.5052,3643.11,SD-USD
1722592800,0.501,0.5092,0.501,0.5031,6953.11,SD-USD
1722596400,0.5031,0.5206,0.5031,0.5206,15864.83,SD-USD
1722600000,0.5156,0.5245,0.5192,0.5212,34309.05,SD-USD
1722603600,0.5196,0.5217,0.5205,0.5213,10441.39,SD-USD
1722607200,0.5196,0.5215,0.5205,0.5207,15592.11,SD-USD
1722610800,0.505,0.5215,0.5206,0.5085,40968.81,SD-USD
1722614400,0.505,0.5118,0.5116,0.5118,20535.97,SD-USD
1722618000,0.505,0.5119,0.5082,0.5118,19683.81,SD-USD
1722621600,0.5088,0.5119,0.5119,0.5118,3157.84,SD-USD
1722625200,0.5083,0.5156,0.5088,0.5138,20981.28,SD-USD
1722628800,0.505,0.5119,0.5113,0.5115,28192.26,SD-USD
1722632400,0.5,0.5121,0.5118,0.5031,30053.4,SD-USD
1722636000,0.4986,0.5068,0.5031,0.5056,19560.45,SD-USD
1722639600,0.475,0.5036,0.5034,0.4777,29530.38,SD-USD
1722643200,0.4681,0.4789,0.4776,0.4729,24154.41,SD-USD
1722646800,0.4716,0.48,0.4754,0.4737,29444.07,SD-USD
1722650400,0.4726,0.4915,0.4726,0.4871,83112.33,SD-USD
1722654000,0.4812,0.49,0.4877,0.4886,13365.21,SD-USD
1722657600,0.485,0.4915,0.4886,0.4898,7378.79,SD-USD
1722661200,0.4842,0.4923,0.4901,0.4896,10064.82,SD-USD
1722664800,0.488,0.4923,0.4896,0.4916,4762.69,SD-USD
1722668400,0.487,0.4923,0.4899,0.4873,8682.34,SD-USD
1722672000,0.4881,0.5199,0.49,0.5016,27916.73,SD-USD
1722675600,0.4928,0.5001,0.5001,0.4979,4862.85,SD-USD
1722679200,0.4947,0.5016,0.4979,0.4988,6313.46,SD-USD
1722682800,0.4969,0.5041,0.4993,0.5027,11801.92,SD-USD
1722686400,0.4977,0.5036,0.5025,0.5014,1832.98,SD-USD
1722690000,0.4974,0.5038,0.5014,0.5,12406.69,SD-USD
1722693600,0.492,0.5019,0.4989,0.4982,21764.29,SD-USD
1722697200,0.4897,0.4994,0.4982,0.4897,19839.29,SD-USD
1722700800,0.4825,0.4934,0.4934,0.4856,34811.37,SD-USD
1722704400,0.4749,0.488,0.4844,0.4805,13736.7,SD-USD
1722708000,0.477,0.4855,0.4841,0.4824,22284.52,SD-USD
1722711600,0.4794,0.4859,0.4825,0.4848,10793.73,SD-USD
1722715200,0.4816,0.4884,0.4848,0.4837,12204.36,SD-USD
