time,low,high,open,close,volume,symbol
1757433600,1.3531,1.3864,1.38,1.3614,95335.35,SPX-USD
1757437200,1.3454,1.3721,1.3613,1.3501,71848.86,SPX-USD
1757440800,1.337,1.3733,1.3501,1.3653,147457.69,SPX-USD
1757444400,1.3638,1.4293,1.3653,1.3979,267569.15,SPX-USD
1757448000,1.3739,1.423,1.3979,1.4127,184551.31,SPX-USD
1757451600,1.3776,1.4187,1.4127,1.3933,235668.95,SPX-USD
1757455200,1.381,1.4026,1.3907,1.3952,124094.69,SPX-USD
1757458800,1.383,1.4052,1.3951,1.4018,77588.16,SPX-USD
1757462400,1.3658,1.4071,1.4071,1.3774,93666.55,SPX-USD
1757466000,1.3733,1.4186,1.3787,1.4159,39581.35,SPX-USD
1757469600,1.4109,1.4684,1.4172,1.4681,177501.75,SPX-USD
1757473200,1.4439,1.4774,1.4631,1.4612,102722.11,SPX-USD
1757476800,1.4285,1.4648,1.4611,1.4406,29990.39,SPX-USD
1757480400,1.4188,1.4403,1.438,1.4218,34192.07,SPX-USD
1757484000,1.4183,1.4565,1.4288,1.455,72034.72,SPX-USD
1757487600,1.4444,1.4876,1.4551,1.4501,41540.86,SPX-USD
1757491200,1.4468,1.4796,1.4501,1.4696,25198.7,SPX-USD
1757494800,1.4551,1.4885,1.4747,1.4641,69742.23,SPX-USD
1757498400,1.4226,1.4577,1.4577,1.4337,46094.16,SPX-USD
1757502000,1.41,1.4381,1.4379,1.4223,15829.1,SPX-USD
1757505600,1.4216,1.4693,1.4223,1.4513,71575.02,SPX-USD
1757509200,1.4417,1.476,1.4489,1.4523,79353.53,SPX-USD
1757512800,1.4417,1.4769,1.4533,1.4575,184312.84,SPX-USD
1757516400,1.4541,1.4887,1.4576,1.4706,124196.48,SPX-USD
1757520000,1.4257,1.4668,1.4576,1.4533,65724.91,SPX-USD
1757523600,1.4068,1.4588,1.4572,1.4241,77523.07,SPX-USD
1757527200,1.3935,1.45,1.4197,1.4075,181804.89,SPX-USD
1757530800,1.3759,1.4108,1.4098,1.3884,31182.06,SPX-USD
1757534400,1.3868,1.4022,1.3874,1.3995,16670.54,SPX-USD
1757538000,1.3936,1.4088,1.4002,1.4024,14564.17,SPX-USD
1757541600,1.3963,1.4128,1.4063,1.4089,9557.5,SPX-USD
1757545200,1.4074,1.4421,1.4089,1.4369,31380.92,SPX-USD
1757548800,1.4256,1.4483,1.4369,1.4391,14349.83,SPX-USD
1757552400,1.4297,1.4496,1.4391,1.4398,29358.21,SPX-USD
1757556000,1.4301,1.4407,1.438,1.4327,16125.34,SPX-USD
1757559600,1.4255,1.4402,1.4373,1.4395,9168.82,SPX-USD
1757563200,1.4167,1.4373,1.4324,1.4195,19841.29,SPX-USD
1757566800,1.4136,1.4261,1.4136,1.4161,97391.66,SPX-USD
1757570400,1.4122,1.4542,1.4161,1.4382,147072.46,SPX-USD
1757574000,1.4213,1.4407,1.4382,1.4317,18671.72,SPX-USD
1757577600,1.4281,1.436,1.4317,1.4305,5848.02,SPX-USD
1757581200,1.427,1.4505,1.4318,1.4329,8830.79,SPX-USD
1757584800,1.4225,1.4374,1.435,1.437,6615.32,SPX-USD
1757588400,1.4248,1.4452,1.4362,1.4326,9612.26,SPX-USD
1757592000,1.4068,1.4555,1.4348,1.4351,16271.31,SPX-USD
1757595600,1.4068,1.4365,1.4355,1.434,12010.56,SPX-USD
1757599200,1.3892,1.4327,1.4307,1.4078,14315.48,SPX-USD
1757602800,1.3944,1.415,1.4109,1.3969,6655.56,SPX-USD
1757606400,1.3947,1.4202,1.4006,1.4072,8066.87,SPX-USD
1757610000,1.3969,1.4232,1.401,1.4049,10800.88,SPX-USD
1757613600,1.3814,1.4087,1.4049,1.3919,19248.76,SPX-USD
1757617200,1.3865,1.4079,1.3906,1.4048,16690.13,SPX-USD
1757620800,1.376,1.4127,1.4038,1.4127,24492.9,SPX-USD
1757624400,1.361,1.4387,1.4119,1.4189,23919.44,SPX-USD
1757628000,1.4153,1.453,1.4153,1.4464,47193.18,SPX-USD
1757631600,1.4428,1.4684,1.4496,1.4683,92046.73,SPX-USD
1757635200,1.4333,1.488,1.4681,1.4364,135641.29,SPX-USD
1757638800,1.4143,1.4443,1.4364,1.4143,27763.08,SPX-USD
1757642400,1.4122,1.4258,1.4154,1.4194,15105.76,SPX-USD
1757646000,1.406,1.4273,1.4194,1.4095,29917.93,SPX-USD
1757649600,1.4072,1.4179,1.411,1.411,6976.67,SPX-USD
1757653200,1.4075,1.4291,1.4108,1.4195,8093.3,SPX-USD
1757656800,1.4131,1.4249,1.423,1.4144,37383.37,SPX-USD
1757660400,1.4141,1.4305,1.4159,1.4167,3997.84,SPX-USD
1757664000,1.395,1.4182,1.4174,1.4125,16820.87,SPX-USD
1757667600,1.3931,1.4152,1.4079,1.3973,71974.62,SPX-USD
1757671200,1.3856,1.4178,1.3972,1.4098,27684.52,SPX-USD
1757674800,1.4043,1.4684,1.4097,1.4395,17958.33,SPX-USD
1757678400,1.414,1.45,1.4393,1.4498,11763.08,SPX-USD
1757682000,1.4293,1.4589,1.4517,1.4583,13856.86,SPX-USD
1757685600,1.441,1.4755,1.4583,1.4519,29195.57,SPX-USD
1757689200,1.4264,1.4472,1.447,1.4414,20215.03,SPX-USD
1757692800,1.4348,1.4786,1.4411,1.4647,50499.82,SPX-USD
1757696400,1.4496,1.4844,1.4649,1.4672,28318.07,SPX-USD
1757700000,1.4632,1.4888,1.4632,1.4888,11931.49,SPX-USD
1757703600,1.4772,1.5,1.4887,1.4973,16657.56,SPX-USD
1757707200,1.4425,1.4975,1.4974,1.4542,40223.56,SPX-USD
1757710800,1.4487,1.4611,1.4549,1.4592,7170.48,SPX-USD
1757714400,1.4551,1.4851,1.4551,1.4671,14903.4,SPX-USD
1757718000,1.4643,1.4729,1.4663,1.4703,18078.73,SPX-USD
1757721600,1.4657,1.4991,1.4685,1.4907,36615.17,SPX-USD
1757725200,1.471,1.5079,1.495,1.4729,50970.38,SPX-USD
1757728800,1.4497,1.4751,1.4729,1.4559,11624.55,SPX-USD
1757732400,1.4563,1.4717,1.4579,1.4672,46048.63,SPX-USD
1757736000,1.4566,1.4745,1.4672,1.4578,11391.69,SPX-USD
1757739600,1.4422,1.4577,1.4577,1.4522,9806.15,SPX-USD
1757743200,1.4473,1.4619,1.4518,1.4519,7304.56,SPX-USD
1757746800,1.4263,1.4546,1.4516,1.4263,4329.87,SPX-USD
1757750400,1.4261,1.4518,1.4268,1.4518,6870.55,SPX-USD
1757754000,1.4506,1.4784,1.4531,1.4696,52647.37,SPX-USD
1757757600,1.4694,1.4968,1.4694,1.4779,8375.1,SPX-USD
1757761200,1.4651,1.4945,1.477,1.4865,9756.63,SPX-USD
1757764800,1.4784,1.4905,1.4856,1.4809,25579.61,SPX-USD
1757768400,1.445,1.4911,1.4754,1.4624,26356.86,SPX-USD
1757772000,1.4416,1.4641,1.4454,1.4533,10658.5,SPX-USD
1757775600,1.4435,1.4813,1.4681,1.4441,9150.31,SPX-USD
1757779200,1.4216,1.4553,1.4471,1.4235,13888.43,SPX-USD
1757782800,1.4075,1.4342,1.42,1.4258,14075.63,SPX-USD
1757786400,1.4203,1.4367,1.4233,1.4363,10191.8,SPX-USD
1757790000,1.4281,1.441,1.4359,1.4363,15030.98,SPX-USD
1757793600,1.4341,1.4716,1.4342,1.4716,4836.08,SPX-USD
1757797200,1.4584,1.4823,1.4712,1.4673,7594.55,SPX-USD
1757800800,1.4524,1.4711,1.4693,1.4638,85624.22,SPX-USD
1757804400,1.4623,1.4756,1.4649,1.4708,6265.69,SPX-USD
1757808000,1.4425,1.4735,1.4728,1.4459,16005.29,SPX-USD
1757811600,1.4217,1.4489,1.4411,1.4471,53812.55,SPX-USD
1757815200,1.4444,1.4635,1.4471,1.4559,21374.51,SPX-USD
1757818800,1.4142,1.4563,1.4563,1.4154,18287.46,SPX-USD
1757822400,1.3937,1.4156,1.4156,1.4052,20873.6,SPX-USD
1757826000,1.4052,1.426,1.4052,1.4177,6700.37,SPX-USD
