time,low,high,open,close,volume,symbol
1749744000,0.2496,0.2844,0.2843,0.2575,2329291.0,SQD-USD
1749747600,0.252,0.2709,0.2575,0.2649,1230221.4,SQD-USD
1749751200,0.2551,0.2667,0.2648,0.2602,1266148.6,SQD-USD
1749754800,0.2554,0.2629,0.2601,0.2588,366144.0,SQD-USD
1749758400,0.2429,0.2588,0.2586,0.244,687141.6,SQD-USD
1749762000,0.2456,0.2515,0.2456,0.2477,130116.5,SQD-USD
1749765600,0.2479,0.2541,0.2479,0.2523,113515.7,SQD-USD
1749769200,0.252,0.2612,0.252,0.255,357825.1,SQD-USD
1749772800,0.2341,0.2551,0.2551,0.2358,1145971.0,SQD-USD
1749776400,0.2194,0.2361,0.2349,0.2337,754911.8,SQD-USD
1749780000,0.2251,0.2368,0.2323,0.2348,373217.4,SQD-USD
1749783600,0.2324,0.2409,0.2347,0.2395,221482.0,SQD-USD
1749787200,0.2338,0.2423,0.2399,0.2381,218288.6,SQD-USD
1749790800,0.2363,0.2411,0.2377,0.2397,107471.1,SQD-USD
1749794400,0.2384,0.2464,0.24,0.2447,87928.7,SQD-USD
1749798000,0.2401,0.2448,0.2436,0.2442,69662.7,SQD-USD
1749801600,0.2406,0.2455,0.2443,0.243,60943.3,SQD-USD
1749805200,0.2384,0.2433,0.2425,0.2418,58463.0,SQD-USD
1749808800,0.2388,0.2535,0.2397,0.2451,607293.6,SQD-USD
1749812400,0.2415,0.2466,0.2458,0.2447,228953.7,SQD-USD
1749816000,0.241,0.2449,0.2431,0.2441,117390.2,SQD-USD
1749819600,0.2327,0.2454,0.2439,0.239,698107.6,SQD-USD
1749823200,0.2313,0.2417,0.2363,0.2417,269076.2,SQD-USD
1749826800,0.2379,0.2419,0.2417,0.2382,268188.0,SQD-USD
1749830400,0.2375,0.242,0.2387,0.2393,276476.0,SQD-USD
1749834000,0.2357,0.2386,0.2375,0.2368,91806.8,SQD-USD
1749837600,0.231,0.2371,0.2369,0.2321,122388.2,SQD-USD
1749841200,0.2255,0.2321,0.2321,0.2286,272361.5,SQD-USD
1749844800,0.2226,0.2292,0.2286,0.2288,252612.6,SQD-USD
1749848400,0.2281,0.2375,0.2286,0.2362,189800.8,SQD-USD
