time,low,high,open,close,volume,symbol
1642701600,2.18,2.49,2.49,2.22,724924.91,STX-USD
1642705200,2.11,2.29,2.23,2.17,581540.03,STX-USD
1642708800,2.08,2.2,2.17,2.1,165972.61,STX-USD
1642712400,1.97,2.11,2.1,1.99,499011.84,STX-USD
1642716000,1.97,2.04,2.0,2.04,133983.69,STX-USD
1642719600,1.94,2.08,2.04,1.97,86401.86,STX-USD
1642723200,1.9,1.98,1.94,1.97,162323.14,STX-USD
1642726800,1.77,1.97,1.97,1.79,427621.05,STX-USD
1642730400,1.78,1.85,1.8,1.79,262060.65,STX-USD
1642734000,1.75,1.82,1.79,1.76,320622.49,STX-USD
1642737600,1.76,1.81,1.77,1.79,126801.46,STX-USD
1642741200,1.78,1.83,1.79,1.81,133521.6,STX-USD
1642744800,1.8,1.86,1.81,1.82,85510.64,STX-USD
1642748400,1.8,1.85,1.82,1.85,52882.41,STX-USD
1642752000,1.84,1.86,1.85,1.86,33981.35,STX-USD
1642755600,1.81,1.86,1.86,1.81,34912.21,STX-USD
1642759200,1.8,1.83,1.81,1.8,18872.85,STX-USD
1642762800,1.79,1.82,1.82,1.81,23712.71,STX-USD
1642766400,1.7,1.81,1.81,1.74,61537.27,STX-USD
1642770000,1.73,1.77,1.74,1.75,35614.56,STX-USD
1642773600,1.72,1.77,1.74,1.74,84215.06,STX-USD
1642777200,1.73,1.79,1.73,1.79,24873.62,STX-USD
1642780800,1.78,1.93,1.79,1.9,331877.99,STX-USD
1642784400,1.77,1.93,1.9,1.82,125953.22,STX-USD
1642788000,1.77,1.94,1.83,1.92,181800.58,STX-USD
1642791600,1.8,1.94,1.87,1.82,178012.37,STX-USD
1642795200,1.75,1.83,1.82,1.78,214430.4,STX-USD
1642795200,1.75,1.83,1.82,1.78,214430.4,STX-USD
1642798800,1.63,1.82,1.8,1.7,252987.63,STX-USD
1642802400,1.63,1.72,1.7,1.68,187180.43,STX-USD
1642806000,1.65,1.74,1.68,1.68,99805.26,STX-USD
1642809600,1.62,1.7,1.67,1.67,95943.06,STX-USD
1642813200,1.64,1.67,1.67,1.67,67193.27,STX-USD
1642816800,1.62,1.67,1.67,1.65,56089.64,STX-USD
1642820400,1.6,1.67,1.65,1.6,55663.3,STX-USD
1642824000,1.55,1.62,1.6,1.56,98414.09,STX-USD
1642827600,1.49,1.56,1.56,1.51,47288.12,STX-USD
1642831200,1.46,1.54,1.51,1.47,65900.48,STX-USD
1642834800,1.41,1.5,1.47,1.43,86916.94,STX-USD
1642838400,1.42,1.47,1.43,1.44,70169.64,STX-USD
1642842000,1.3,1.44,1.42,1.33,192455.01,STX-USD
1642845600,1.27,1.39,1.33,1.39,95919.59,STX-USD
1642849200,1.33,1.4,1.39,1.38,28531.4,STX-USD
1642852800,1.38,1.46,1.38,1.43,96026.0,STX-USD
1642856400,1.42,1.48,1.44,1.42,53779.74,STX-USD
1642860000,1.39,1.45,1.42,1.39,60553.43,STX-USD
1642863600,1.36,1.42,1.4,1.38,98348.36,STX-USD
1642867200,1.34,1.43,1.36,1.4,71872.12,STX-USD
1642870800,1.36,1.41,1.4,1.36,47660.13,STX-USD
1642874400,1.32,1.39,1.36,1.34,114419.36,STX-USD
1642878000,1.32,1.38,1.34,1.36,78632.99,STX-USD
1642881600,1.33,1.43,1.36,1.42,198606.17,STX-USD
1642885200,1.38,1.42,1.41,1.4,89286.88,STX-USD
1642888800,1.37,1.42,1.42,1.4,43849.58,STX-USD
1642892400,1.38,1.46,1.39,1.44,95896.44,STX-USD
1642896000,1.4,1.48,1.43,1.46,174827.12,STX-USD
