time,low,high,open,close,volume,symbol
1659456000,0.02892,0.037,0.03695,0.02928,6450081,TONE-USD
1659459600,0.02805,0.032,0.02934,0.03107,10706166,TONE-USD
1659463200,0.0288,0.03194,0.03107,0.0312,3869114,TONE-USD
1659466800,0.03014,0.03199,0.0312,0.03127,2266307,TONE-USD
1659470400,0.02882,0.03143,0.03127,0.02882,2196322,TONE-USD
1659474000,0.02921,0.036,0.02992,0.03251,7913133,TONE-USD
1659477600,0.03077,0.03467,0.03251,0.0316,3822921,TONE-USD
1659481200,0.03021,0.0334,0.03173,0.03261,3921290,TONE-USD
1659484800,0.03066,0.03396,0.03221,0.03228,2231270,TONE-USD
1659488400,0.03031,0.0326,0.03235,0.03063,940710,TONE-USD
1659492000,0.02871,0.03137,0.031,0.03036,2694181,TONE-USD
1659495600,0.03,0.03158,0.03006,0.03045,1811699,TONE-USD
1659499200,0.02907,0.03118,0.03044,0.02976,553589,TONE-USD
1659502800,0.02925,0.0325,0.02979,0.03,1717372,TONE-USD
1659506400,0.0292,0.03118,0.03,0.0292,471413,TONE-USD
1659510000,0.02901,0.0308,0.02919,0.02958,582766,TONE-USD
1659513600,0.02841,0.03054,0.02958,0.02854,412657,TONE-USD
1659517200,0.02849,0.03041,0.02957,0.02975,313872,TONE-USD
1659520800,0.02854,0.03069,0.02975,0.02977,620392,TONE-USD
1659524400,0.02876,0.03159,0.02943,0.03159,776752,TONE-USD
1659528000,0.03034,0.03193,0.03146,0.03074,962694,TONE-USD
1659531600,0.03,0.03067,0.03067,0.03003,595105,TONE-USD
1659535200,0.03004,0.03099,0.03004,0.03097,916830,TONE-USD
1659538800,0.03017,0.03099,0.03087,0.0308,628228,TONE-USD
1659542400,0.02795,0.03094,0.03054,0.03034,3981458,TONE-USD
1659546000,0.02788,0.03044,0.03032,0.02879,1823079,TONE-USD
1659549600,0.02843,0.02946,0.02872,0.02884,857388,TONE-USD
1659553200,0.02788,0.02897,0.02858,0.02877,725685,TONE-USD
1659556800,0.02814,0.02882,0.02869,0.02865,283876,TONE-USD
1659560400,0.024,0.02879,0.02837,0.02771,2665283,TONE-USD
1659564000,0.02707,0.0285,0.02755,0.02814,1645058,TONE-USD
1659567600,0.02707,0.02849,0.02814,0.02759,1210382,TONE-USD
1659571200,0.025,0.0279,0.0276,0.02699,3302586,TONE-USD
1659574800,0.02657,0.02846,0.027,0.0269,1231096,TONE-USD
1659578400,0.02658,0.02847,0.02713,0.02767,666463,TONE-USD
1659582000,0.02685,0.02808,0.028,0.02795,738291,TONE-USD
1659585600,0.02703,0.02909,0.02801,0.02755,1021754,TONE-USD
1659589200,0.02712,0.028,0.02749,0.02772,440875,TONE-USD
1659592800,0.02601,0.02772,0.02769,0.02644,1447710,TONE-USD
1659596400,0.0252,0.02642,0.02614,0.02602,1223539,TONE-USD
1659600000,0.02528,0.02624,0.02601,0.0257,724746,TONE-USD
1659603600,0.02501,0.02606,0.02556,0.02548,573187,TONE-USD
1659607200,0.02506,0.02646,0.02548,0.02573,476372,TONE-USD
1659610800,0.02561,0.0271,0.02574,0.02705,538046,TONE-USD
1659614400,0.02651,0.02848,0.02708,0.02781,1908515,TONE-USD
1659618000,0.02741,0.02847,0.02799,0.02764,636247,TONE-USD
1659621600,0.02741,0.02892,0.02743,0.02755,640033,TONE-USD
1659625200,0.02596,0.02754,0.02754,0.02662,1786546,TONE-USD
1659628800,0.0255,0.02671,0.02653,0.02573,619957,TONE-USD
1659632400,0.0255,0.02736,0.02552,0.02684,1180592,TONE-USD
1659636000,0.02501,0.02711,0.02677,0.02558,1659930,TONE-USD
1659639600,0.02503,0.02574,0.0255,0.02566,497941,TONE-USD
1659643200,0.02501,0.02594,0.02566,0.02571,639810,TONE-USD
1659646800,0.02537,0.02589,0.02568,0.02578,200689,TONE-USD
1659650400,0.0255,0.02699,0.02582,0.02658,863245,TONE-USD
1659654000,0.02619,0.027,0.02658,0.02678,569507,TONE-USD
1659657600,0.02646,0.027,0.02678,0.02668,346783,TONE-USD
1659661200,0.02659,0.034,0.0267,0.02858,10252244,TONE-USD
1659664800,0.02764,0.02923,0.02865,0.02843,888135,TONE-USD
1659668400,0.02764,0.02939,0.02843,0.0293,1261470,TONE-USD
1659672000,0.02844,0.03239,0.02935,0.03199,4674990,TONE-USD
1659675600,0.02894,0.03239,0.032,0.02958,2387198,TONE-USD
1659679200,0.02932,0.03151,0.02958,0.03073,1369014,TONE-USD
