time,low,high,open,close,volume,symbol
1753819200,0.6634,0.74,0.6634,0.694,226465.09,TREE-USD
1753822800,0.6754,0.7149,0.694,0.6892,437999.04,TREE-USD
1753826400,0.6672,0.7006,0.6885,0.6712,473637.95,TREE-USD
1753830000,0.6541,0.6839,0.6712,0.6737,257538.1,TREE-USD
1753833600,0.6552,0.704,0.6737,0.6934,295506.0,TREE-USD
1753837200,0.6791,0.7507,0.6899,0.7115,624832.84,TREE-USD
1753840800,0.66,0.7169,0.7115,0.6652,271726.18,TREE-USD
1753844400,0.6443,0.6747,0.6644,0.6488,217074.1,TREE-USD
1753848000,0.62,0.6691,0.6487,0.62,208864.8,TREE-USD
1753851600,0.5553,0.6296,0.6215,0.5623,295364.96,TREE-USD
1753855200,0.5609,0.5822,0.5638,0.5782,141950.76,TREE-USD
1753858800,0.5725,0.6084,0.5816,0.574,266171.37,TREE-USD
1753862400,0.5685,0.5963,0.5726,0.5786,421563.11,TREE-USD
1753866000,0.5534,0.58,0.5799,0.5797,423612.59,TREE-USD
1753869600,0.5699,0.5903,0.5878,0.5754,205952.35,TREE-USD
1753873200,0.5617,0.5814,0.5749,0.567,101098.99,TREE-USD
1753876800,0.5587,0.5792,0.5672,0.5701,104541.34,TREE-USD
1753880400,0.5377,0.5775,0.5691,0.5506,151355.05,TREE-USD
1753884000,0.5218,0.5502,0.5502,0.5444,279068.65,TREE-USD
1753887600,0.5256,0.5442,0.5442,0.5354,337829.62,TREE-USD
1753891200,0.507,0.54,0.5346,0.5119,579091.17,TREE-USD
1753894800,0.5029,0.5334,0.5121,0.5334,448794.43,TREE-USD
1753898400,0.5195,0.536,0.5315,0.522,429908.51,TREE-USD
1753902000,0.5097,0.5506,0.5222,0.5395,531218.8,TREE-USD
1753905600,0.5288,0.5474,0.5396,0.5405,481332.26,TREE-USD
1753909200,0.5299,0.5433,0.5406,0.5405,388145.22,TREE-USD
