time,low,high,open,close,volume,symbol
1737482400,39.7,45.09,39.8,43.11,443087.159,TRUMP-USD
1737486000,41.06,44.71,43.1,41.96,408741.372,TRUMP-USD
1737489600,41.65,44.91,41.97,43.88,487537.981,TRUMP-USD
1737493200,43.35,49.26,43.88,48.0,813874.891,TRUMP-USD
1737496800,40.11,48.59,48.0,40.7,719347.06,TRUMP-USD
1737500400,35.0,45.29,40.68,43.84,1293934.676,TRUMP-USD
1737504000,42.43,44.53,43.84,42.95,390351.677,TRUMP-USD
1737507600,40.7,43.45,42.94,42.01,374350.888,TRUMP-USD
1737511200,40.93,42.93,42.01,41.18,254661.324,TRUMP-USD
1737514800,40.74,42.15,41.18,41.29,248669.3,TRUMP-USD
1737518400,40.48,41.8,41.3,41.78,207652.13,TRUMP-USD
1737522000,41.59,43.63,41.79,43.62,265432.564,TRUMP-USD
1737525600,42.22,43.82,43.58,43.01,152633.5,TRUMP-USD
1737529200,42.38,43.89,43.01,42.51,120400.755,TRUMP-USD
1737532800,40.87,42.66,42.53,41.65,123679.655,TRUMP-USD
1737536400,41.14,42.05,41.65,41.71,37648.249,TRUMP-USD
1737540000,41.12,42.39,41.72,41.73,58450.545,TRUMP-USD
1737543600,41.38,42.4,41.67,42.12,63254.208,TRUMP-USD
1737547200,41.56,42.44,42.11,42.08,88882.63,TRUMP-USD
1737550800,41.5,42.77,42.06,41.75,133697.026,TRUMP-USD
1737554400,39.1,41.83,41.75,40.14,241904.378,TRUMP-USD
1737558000,38.15,40.3,40.14,38.72,267070.16,TRUMP-USD
1737561600,37.8,39.16,38.72,38.9,235889.65,TRUMP-USD
1737565200,38.6,39.91,38.9,39.17,202427.282,TRUMP-USD
1737568800,37.36,39.44,39.19,38.02,182581.636,TRUMP-USD
1737572400,37.44,39.28,38.05,39.15,147454.182,TRUMP-USD
1737576000,39.0,39.8,39.15,39.43,137408.201,TRUMP-USD
1737579600,38.44,39.74,39.43,38.55,175407.584,TRUMP-USD
1737583200,37.01,38.77,38.55,37.24,132689.679,TRUMP-USD
1737586800,35.91,37.62,37.17,36.82,277039.447,TRUMP-USD
1737590400,36.02,38.56,36.81,37.93,301125.858,TRUMP-USD
1737594000,37.7,39.22,37.95,38.15,316356.457,TRUMP-USD
1737597600,37.37,38.26,38.17,37.97,155492.148,TRUMP-USD
1737601200,37.19,38.1,37.97,37.48,103606.96,TRUMP-USD
1737604800,36.48,37.55,37.48,36.94,134948.627,TRUMP-USD
1737608400,36.91,37.7,36.94,37.67,71403.598,TRUMP-USD
1737612000,36.6,37.67,37.67,36.76,92719.817,TRUMP-USD
1737615600,36.03,37.56,36.76,37.12,132605.214,TRUMP-USD
1737619200,36.33,37.23,37.14,36.55,95452.297,TRUMP-USD
1737622800,35.52,36.7,36.53,35.78,125601.369,TRUMP-USD
1737626400,35.19,36.29,35.79,35.68,122908.218,TRUMP-USD
1737630000,35.66,36.34,35.66,36.15,88300.81,TRUMP-USD
1737633600,35.01,36.18,36.13,35.52,136391.563,TRUMP-USD
1737637200,34.12,35.93,35.5,35.47,283929.902,TRUMP-USD
1737640800,34.75,38.17,35.47,37.02,497709.933,TRUMP-USD
1737644400,35.55,38.5,37.03,38.01,663717.383,TRUMP-USD
1737648000,37.06,39.74,37.99,37.23,450066.582,TRUMP-USD
1737651600,36.57,37.33,37.25,37.06,187237.972,TRUMP-USD
1737655200,35.93,37.18,37.06,36.01,211727.667,TRUMP-USD
1737658800,35.31,36.25,36.0,35.64,135207.406,TRUMP-USD
1737662400,35.53,37.74,35.61,35.81,417493.422,TRUMP-USD
1737666000,34.11,35.89,35.82,34.69,263295.015,TRUMP-USD
1737669600,34.57,35.37,34.68,35.27,146394.019,TRUMP-USD
1737673200,34.59,35.5,35.29,34.71,163141.145,TRUMP-USD
1737676800,33.08,34.99,34.68,33.19,327187.036,TRUMP-USD
1737680400,32.04,33.72,33.21,32.37,291899.048,TRUMP-USD
1737684000,31.83,32.78,32.36,32.3,252348.349,TRUMP-USD
1737687600,32.03,33.43,32.29,33.15,240194.889,TRUMP-USD
1737691200,32.75,33.93,33.13,33.86,194820.569,TRUMP-USD
1737694800,33.67,34.86,33.84,34.79,330449.272,TRUMP-USD
1737698400,34.09,34.97,34.77,34.53,135580.702,TRUMP-USD
1737702000,34.16,34.91,34.55,34.4,90379.985,TRUMP-USD
1737705600,34.11,35.44,34.4,35.1,106318.49,TRUMP-USD
1737709200,34.44,35.21,35.1,34.62,87786.987,TRUMP-USD
1737712800,34.1,34.68,34.61,34.65,77163.773,TRUMP-USD
1737716400,34.11,34.69,34.66,34.35,54982.095,TRUMP-USD
1737720000,33.37,34.47,34.35,34.0,120598.212,TRUMP-USD
1737723600,33.78,34.33,33.97,33.86,88099.654,TRUMP-USD
1737727200,33.5,34.2,33.86,33.7,124140.465,TRUMP-USD
1737730800,32.76,33.77,33.68,33.09,135815.018,TRUMP-USD
1737734400,32.54,33.45,33.09,32.68,84875.406,TRUMP-USD
1737738000,32.44,33.91,32.66,33.56,221925.627,TRUMP-USD
1737741600,33.3,33.87,33.55,33.4,76445.133,TRUMP-USD
1737745200,32.56,33.48,33.39,32.79,102720.824,TRUMP-USD
1737748800,31.04,32.86,32.79,31.56,229842.186,TRUMP-USD
1737752400,31.3,31.95,31.57,31.57,169138.89,TRUMP-USD
1737756000,30.52,31.6,31.56,30.61,186728.767,TRUMP-USD
1737759600,29.05,30.77,30.61,30.19,382057.481,TRUMP-USD
1737763200,27.27,30.19,30.19,27.91,718089.094,TRUMP-USD
1737766800,27.77,29.27,27.91,28.73,485226.162,TRUMP-USD
1737770400,28.26,29.23,28.72,28.46,262744.123,TRUMP-USD
1737774000,28.1,29.84,28.46,29.51,249384.686,TRUMP-USD
1737777600,28.38,29.52,29.51,28.63,212901.225,TRUMP-USD
1737781200,27.98,28.79,28.62,28.14,195881.619,TRUMP-USD
1737784800,27.83,28.84,28.14,27.95,148714.822,TRUMP-USD
1737788400,27.3,28.12,27.95,27.56,233432.33,TRUMP-USD
1737792000,27.4,28.27,27.56,27.58,254942.703,TRUMP-USD
1737795600,26.3,27.88,27.59,26.59,396959.437,TRUMP-USD
1737799200,25.71,26.62,26.6,26.43,346560.762,TRUMP-USD
1737802800,26.44,28.49,26.44,26.91,343414.909,TRUMP-USD
1737806400,26.42,27.12,26.89,27.11,176693.007,TRUMP-USD
1737810000,27.1,28.25,27.1,27.58,340191.876,TRUMP-USD
1737813600,27.12,27.68,27.57,27.51,161632.381,TRUMP-USD
1737817200,27.12,28.05,27.51,27.4,251999.168,TRUMP-USD
1737820800,26.86,27.89,27.4,27.74,223219.111,TRUMP-USD
1737824400,27.6,29.49,27.74,29.46,330574.597,TRUMP-USD
1737828000,28.76,29.99,29.44,28.94,264827.725,TRUMP-USD
1737831600,28.64,29.29,28.94,29.07,184426.993,TRUMP-USD
1737835200,29.01,30.64,29.08,30.16,377640.68,TRUMP-USD
1737838800,28.79,30.63,30.15,29.07,267135.674,TRUMP-USD
1737842400,28.83,29.65,29.08,29.13,182411.961,TRUMP-USD
1737846000,28.76,29.36,29.13,28.88,136666.809,TRUMP-USD
1737849600,28.86,31.0,28.87,30.98,284605.93,TRUMP-USD
1737853200,30.53,32.57,30.98,30.99,727770.163,TRUMP-USD
1737856800,30.16,31.01,31.0,30.34,213264.536,TRUMP-USD
1737860400,30.14,30.65,30.33,30.47,169082.74,TRUMP-USD
1737864000,30.29,31.23,30.48,30.88,143355.521,TRUMP-USD
1737867600,30.89,32.29,30.9,31.37,391894.961,TRUMP-USD
1737871200,30.89,31.38,31.37,31.14,159963.151,TRUMP-USD
1737874800,30.74,31.9,31.14,30.89,155160.965,TRUMP-USD
1737878400,30.4,31.22,30.89,30.84,113812.066,TRUMP-USD
1737882000,29.18,30.9,30.84,29.53,162331.613,TRUMP-USD
1737885600,28.54,29.78,29.52,29.17,227715.906,TRUMP-USD
1737889200,29.07,29.74,29.18,29.65,111301.146,TRUMP-USD
1737892800,29.12,30.01,29.68,29.19,166953.238,TRUMP-USD
1737896400,29.15,29.8,29.21,29.35,115436.665,TRUMP-USD
1737900000,28.85,29.51,29.35,29.44,151860.541,TRUMP-USD
1737903600,28.75,29.48,29.45,29.14,200047.612,TRUMP-USD
1737907200,28.57,29.39,29.12,29.2,202930.031,TRUMP-USD
1737910800,28.25,29.29,29.21,28.79,290113.671,TRUMP-USD
1737914400,28.56,29.23,28.79,29.13,140067.883,TRUMP-USD
1737918000,29.06,29.69,29.12,29.41,189726.603,TRUMP-USD
1737921600,28.85,29.57,29.41,28.89,139693.7,TRUMP-USD
1737925200,27.73,28.9,28.9,27.8,172898.649,TRUMP-USD
1737928800,27.71,28.38,27.8,28.16,143823.917,TRUMP-USD
1737932400,27.07,28.15,28.15,27.38,274431.453,TRUMP-USD
1737936000,26.99,27.9,27.38,27.12,297927.278,TRUMP-USD
1737939600,26.3,27.44,27.13,26.69,338688.847,TRUMP-USD
1737943200,26.03,27.06,26.69,26.46,342802.228,TRUMP-USD
1737946800,26.32,27.18,26.47,26.89,211087.584,TRUMP-USD
1737950400,26.47,26.89,26.89,26.67,196361.092,TRUMP-USD
1737954000,26.08,26.96,26.66,26.46,189673.634,TRUMP-USD
1737957600,25.18,26.49,26.47,25.41,295258.199,TRUMP-USD
1737961200,24.61,26.28,25.39,25.79,335395.986,TRUMP-USD
1737964800,25.45,26.23,25.78,26.12,204309.785,TRUMP-USD
1737968400,25.9,26.56,26.13,26.2,115207.663,TRUMP-USD
1737972000,25.68,26.22,26.21,25.74,69709.929,TRUMP-USD
1737975600,25.72,26.49,25.72,26.03,110749.864,TRUMP-USD
1737979200,25.99,27.31,26.01,26.99,149450.098,TRUMP-USD
1737982800,26.61,27.55,26.99,26.69,259994.552,TRUMP-USD
1737986400,26.63,27.64,26.69,27.45,194138.622,TRUMP-USD
1737990000,27.07,27.78,27.45,27.17,169775.032,TRUMP-USD
1737993600,26.66,27.88,27.18,26.83,171125.781,TRUMP-USD
1737997200,26.38,27.09,26.81,26.62,233413.717,TRUMP-USD
1738000800,26.1,26.86,26.62,26.33,151698.607,TRUMP-USD
1738004400,26.17,26.68,26.31,26.31,69761.404,TRUMP-USD
1738008000,26.28,27.45,26.3,27.26,217068.179,TRUMP-USD
1738011600,26.88,27.52,27.25,27.12,142544.108,TRUMP-USD
1738015200,27.03,27.52,27.12,27.32,89096.935,TRUMP-USD
1738018800,27.33,28.22,27.33,28.0,129535.248,TRUMP-USD
1738022400,27.75,29.26,28.02,28.89,310097.289,TRUMP-USD
1738026000,28.37,29.61,28.88,29.13,484433.644,TRUMP-USD
1738029600,28.56,30.3,29.13,30.14,459538.227,TRUMP-USD
1738033200,29.33,30.36,30.14,29.4,290500.912,TRUMP-USD
1738036800,29.39,30.47,29.41,29.77,210199.792,TRUMP-USD
1738040400,29.5,30.36,29.77,30.02,189526.323,TRUMP-USD
1738044000,29.09,30.14,30.02,29.18,135929.432,TRUMP-USD
1738047600,29.03,29.68,29.19,29.32,94147.49,TRUMP-USD
1738051200,29.05,29.63,29.33,29.18,68888.488,TRUMP-USD
1738054800,28.79,29.39,29.17,29.39,73078.725,TRUMP-USD
1738058400,29.21,29.52,29.36,29.39,78701.651,TRUMP-USD
1738062000,29.39,30.29,29.39,29.92,133649.248,TRUMP-USD
1738065600,29.25,30.3,29.91,29.35,215006.83,TRUMP-USD
1738069200,29.27,30.08,29.35,29.83,173986.48,TRUMP-USD
1738072800,28.94,29.86,29.85,29.16,205993.941,TRUMP-USD
1738076400,29.13,30.07,29.18,29.91,165783.957,TRUMP-USD
1738080000,29.03,29.95,29.92,29.2,180203.491,TRUMP-USD
1738083600,29.18,29.8,29.22,29.51,130027.857,TRUMP-USD
1738087200,28.27,29.53,29.5,28.36,265676.289,TRUMP-USD
1738090800,28.0,28.46,28.34,28.27,195609.022,TRUMP-USD
1738094400,26.77,28.42,28.28,27.24,441394.303,TRUMP-USD
1738098000,26.34,27.64,27.26,26.51,253720.65,TRUMP-USD
1738101600,26.25,27.14,26.51,27.05,124065.978,TRUMP-USD
1738105200,26.85,27.52,27.03,27.34,158359.237,TRUMP-USD
1738108800,27.01,27.46,27.33,27.05,75282.65,TRUMP-USD
1738112400,27.06,27.62,27.06,27.58,103921.8,TRUMP-USD
1738116000,27.5,28.09,27.6,27.55,161034.15,TRUMP-USD
1738119600,27.13,27.73,27.56,27.15,102673.083,TRUMP-USD
1738123200,27.16,27.4,27.18,27.21,42916.582,TRUMP-USD
1738126800,27.12,27.7,27.19,27.7,53913.719,TRUMP-USD
1738130400,27.66,28.29,27.7,28.24,126245.336,TRUMP-USD
1738134000,27.8,28.26,28.24,27.97,37248.832,TRUMP-USD
1738137600,27.73,28.22,27.97,27.85,58706.032,TRUMP-USD
1738141200,27.3,27.9,27.84,27.46,84969.83,TRUMP-USD
1738144800,27.39,27.7,27.46,27.67,26174.038,TRUMP-USD
1738148400,27.47,27.79,27.67,27.74,29071.97,TRUMP-USD
1738152000,27.22,27.75,27.75,27.36,32799.857,TRUMP-USD
1738155600,26.67,27.56,27.36,26.91,173533.155,TRUMP-USD
1738159200,26.67,27.42,26.9,27.34,128200.379,TRUMP-USD
1738162800,26.98,27.56,27.35,27.06,168834.248,TRUMP-USD
1738166400,26.81,27.1,27.07,26.97,51256.176,TRUMP-USD
1738170000,26.93,27.56,26.96,27.3,85251.094,TRUMP-USD
1738173600,27.1,27.87,27.3,27.71,92476.901,TRUMP-USD
1738177200,26.26,28.09,27.7,27.67,568452.693,TRUMP-USD
1738180800,27.31,28.48,27.66,28.01,506946.268,TRUMP-USD
1738184400,27.64,28.71,28.01,28.19,210470.796,TRUMP-USD
1738188000,27.76,28.34,28.19,27.76,66350.087,TRUMP-USD
1738191600,27.15,28.01,27.77,27.25,127317.76,TRUMP-USD
1738195200,26.98,27.62,27.26,27.57,72963.672,TRUMP-USD
1738195200,26.98,27.62,27.26,27.57,72963.672,TRUMP-USD
1738198800,27.43,28.09,27.55,27.79,105809.04,TRUMP-USD
1738202400,27.66,28.14,27.79,28.05,89618.405,TRUMP-USD
1738206000,27.69,28.2,28.05,28.15,95494.731,TRUMP-USD
1738209600,27.95,28.32,28.15,28.08,94618.698,TRUMP-USD
1738213200,27.62,28.16,28.08,27.87,69417.685,TRUMP-USD
1738216800,27.57,28.0,27.88,27.6,36787.066,TRUMP-USD
1738220400,27.36,27.65,27.61,27.62,43766.931,TRUMP-USD
1738224000,27.4,27.72,27.62,27.44,69268.344,TRUMP-USD
1738227600,27.44,27.81,27.46,27.44,61198.719,TRUMP-USD
1738231200,27.27,27.44,27.44,27.31,38062.393,TRUMP-USD
1738234800,27.18,27.49,27.34,27.33,21974.075,TRUMP-USD
1738238400,26.97,27.39,27.33,27.01,124619.373,TRUMP-USD
1738242000,26.81,27.44,27.01,27.4,104917.878,TRUMP-USD
1738245600,27.28,27.82,27.38,27.69,101244.053,TRUMP-USD
1738249200,27.43,27.88,27.67,27.48,68948.337,TRUMP-USD
1738252800,27.37,27.7,27.49,27.55,39317.299,TRUMP-USD
1738256400,27.12,27.57,27.56,27.25,69910.828,TRUMP-USD
1738260000,26.88,27.29,27.25,27.02,161721.015,TRUMP-USD
1738263600,26.57,27.02,27.02,26.84,181185.653,TRUMP-USD
1738267200,26.16,26.85,26.85,26.49,115074.893,TRUMP-USD
1738270800,26.43,26.85,26.48,26.44,77075.842,TRUMP-USD
1738274400,26.03,26.58,26.44,26.24,118769.089,TRUMP-USD
1738278000,25.78,26.48,26.22,26.06,173747.319,TRUMP-USD
1738281600,25.35,26.2,26.07,26.13,221357.248,TRUMP-USD
1738285200,26.04,26.3,26.11,26.24,66563.127,TRUMP-USD
1738288800,25.91,26.39,26.23,25.93,62766.954,TRUMP-USD
1738292400,25.36,25.95,25.92,25.62,158123.565,TRUMP-USD
1738296000,25.41,25.74,25.62,25.57,82118.286,TRUMP-USD
1738299600,25.52,25.91,25.56,25.87,39798.131,TRUMP-USD
1738303200,25.68,25.95,25.88,25.81,51760.183,TRUMP-USD
1738306800,25.61,26.03,25.79,25.67,34412.49,TRUMP-USD
