time,low,high,open,close,volume,symbol
1681833600,0.04813,0.05072,0.05,0.04822,2037646,TVK-USD
1681837200,0.04686,0.04822,0.04821,0.04752,746234,TVK-USD
1681840800,0.04726,0.0485,0.04788,0.04733,958239,TVK-USD
1681844400,0.047,0.048,0.04742,0.04766,775989,TVK-USD
1681848000,0.04708,0.04884,0.04763,0.04792,4425841,TVK-USD
1681851600,0.04731,0.04801,0.0478,0.04754,292420,TVK-USD
1681855200,0.04731,0.04803,0.04732,0.048,292503,TVK-USD
1681858800,0.04799,0.04847,0.048,0.04817,88593,TVK-USD
1681862400,0.04776,0.04848,0.04833,0.048,174519,TVK-USD
1681866000,0.0475,0.04884,0.04783,0.04836,383538,TVK-USD
1681869600,0.04781,0.0485,0.04804,0.04807,168427,TVK-USD
1681873200,0.04731,0.04814,0.04801,0.04734,303256,TVK-USD
1681876800,0.04708,0.04793,0.04731,0.04738,1148887,TVK-USD
1681880400,0.04726,0.04888,0.04735,0.04781,1334102,TVK-USD
1681884000,0.04722,0.04788,0.04777,0.04783,283876,TVK-USD
1681887600,0.0475,0.04809,0.04757,0.04787,256204,TVK-USD
1681891200,0.04468,0.04791,0.04791,0.04505,835896,TVK-USD
1681894800,0.04431,0.04559,0.045,0.04487,885383,TVK-USD
1681898400,0.04425,0.04505,0.04465,0.04503,255752,TVK-USD
1681902000,0.04457,0.04535,0.04503,0.04528,167651,TVK-USD
1681905600,0.04461,0.04521,0.04521,0.04462,89314,TVK-USD
1681909200,0.04447,0.04505,0.0446,0.04461,277752,TVK-USD
1681912800,0.04465,0.04526,0.04486,0.04511,127756,TVK-USD
1681916400,0.04455,0.04519,0.045,0.04478,430847,TVK-USD
1681920000,0.04455,0.04488,0.04468,0.04486,56156,TVK-USD
1681923600,0.04353,0.0448,0.0448,0.04432,359146,TVK-USD
1681927200,0.04372,0.04442,0.04442,0.04392,121413,TVK-USD
1681930800,0.0437,0.0443,0.04392,0.04418,374404,TVK-USD
1681934400,0.04391,0.04434,0.04418,0.04426,59615,TVK-USD
1681938000,0.04292,0.04434,0.04426,0.04348,366771,TVK-USD
