time,low,high,open,close,volume,symbol
1755705600,0.2836,0.3049,0.3,0.288,812182.7,USELESS-USD
1755709200,0.2846,0.2938,0.2879,0.2893,498932.8,USELESS-USD
1755712800,0.2795,0.2907,0.2897,0.2832,497929.9,USELESS-USD
1755716400,0.2815,0.2947,0.2833,0.2932,737912.1,USELESS-USD
1755720000,0.2893,0.2979,0.2926,0.2965,619477.9,USELESS-USD
1755723600,0.287,0.2964,0.2964,0.2875,322753.7,USELESS-USD
1755727200,0.2775,0.2881,0.2876,0.2776,609869.5,USELESS-USD
1755730800,0.2713,0.2789,0.2775,0.2728,996169.4,USELESS-USD
1755734400,0.2723,0.2804,0.2723,0.2782,868738.3,USELESS-USD
1755738000,0.2724,0.281,0.2782,0.2777,652938.4,USELESS-USD
1755741600,0.2434,0.2793,0.2774,0.2593,2192925.1,USELESS-USD
1755745200,0.2533,0.2698,0.2591,0.2575,1321733.8,USELESS-USD
1755748800,0.2533,0.2633,0.2575,0.2633,1096499.4,USELESS-USD
1755752400,0.2557,0.2608,0.2602,0.2572,383276.6,USELESS-USD
1755756000,0.2488,0.2581,0.2569,0.2488,443212.0,USELESS-USD
1755759600,0.2485,0.2524,0.2489,0.2512,122858.9,USELESS-USD
1755763200,0.2451,0.2517,0.2509,0.2451,204838.8,USELESS-USD
1755766800,0.2401,0.2472,0.2459,0.2417,283298.6,USELESS-USD
1755770400,0.2318,0.2417,0.2417,0.2322,445416.3,USELESS-USD
1755774000,0.2285,0.2365,0.2324,0.2324,323994.2,USELESS-USD
1755777600,0.2272,0.2344,0.2323,0.2292,449539.7,USELESS-USD
1755781200,0.2277,0.2339,0.2292,0.2277,2149444.5,USELESS-USD
1755784800,0.2236,0.2329,0.2275,0.2257,1742038.2,USELESS-USD
1755788400,0.2216,0.2282,0.2263,0.2231,1019508.4,USELESS-USD
1755792000,0.2197,0.224,0.223,0.2213,481815.9,USELESS-USD
1755795600,0.2175,0.2249,0.2212,0.2237,945982.7,USELESS-USD
1755799200,0.2235,0.23,0.2237,0.2263,731341.1,USELESS-USD
1755802800,0.2204,0.2276,0.2263,0.2204,750526.7,USELESS-USD
1755806400,0.2186,0.2231,0.2205,0.2204,635309.7,USELESS-USD
1755810000,0.219,0.2241,0.2203,0.2217,572131.7,USELESS-USD
1755813600,0.2197,0.2232,0.2217,0.22,242530.1,USELESS-USD
1755817200,0.2139,0.2201,0.22,0.2145,481228.8,USELESS-USD
1755820800,0.2144,0.2233,0.2144,0.222,678472.8,USELESS-USD
1755824400,0.2202,0.2323,0.2221,0.2322,833295.5,USELESS-USD
1755828000,0.2304,0.2381,0.232,0.2361,1699786.2,USELESS-USD
1755831600,0.2286,0.2381,0.2361,0.2321,591318.9,USELESS-USD
1755835200,0.2312,0.236,0.2321,0.2322,337291.9,USELESS-USD
1755838800,0.2279,0.2328,0.2321,0.2292,60009.5,USELESS-USD
1755842400,0.2282,0.232,0.2293,0.2308,230581.6,USELESS-USD
1755846000,0.2279,0.2323,0.2313,0.2281,54007.5,USELESS-USD
1755849600,0.2286,0.2326,0.2286,0.229,114791.1,USELESS-USD
1755853200,0.2268,0.2306,0.2293,0.2268,70802.9,USELESS-USD
1755856800,0.2182,0.2264,0.2264,0.2214,217841.6,USELESS-USD
1755860400,0.2197,0.2219,0.2213,0.2209,77127.7,USELESS-USD
1755864000,0.211,0.221,0.2205,0.211,572545.0,USELESS-USD
1755867600,0.212,0.2189,0.212,0.2189,768270.6,USELESS-USD
1755871200,0.2188,0.2565,0.2188,0.239,5357599.1,USELESS-USD
1755874800,0.2386,0.2465,0.239,0.2417,991349.9,USELESS-USD
1755878400,0.2398,0.2511,0.2422,0.2415,336528.8,USELESS-USD
1755882000,0.2423,0.2641,0.2423,0.262,828709.6,USELESS-USD
1755885600,0.2547,0.2789,0.2619,0.2694,1816588.1,USELESS-USD
1755889200,0.2638,0.2693,0.2693,0.2641,951819.4,USELESS-USD
1755892800,0.264,0.2776,0.2643,0.2763,820128.4,USELESS-USD
1755896400,0.2742,0.282,0.2767,0.2785,916136.3,USELESS-USD
1755900000,0.2726,0.2793,0.2784,0.2736,915217.4,USELESS-USD
1755903600,0.2714,0.2849,0.2738,0.2825,1171901.4,USELESS-USD
1755907200,0.2739,0.282,0.282,0.2761,854370.3,USELESS-USD
1755910800,0.2693,0.2775,0.276,0.2705,741842.9,USELESS-USD
1755914400,0.2631,0.2754,0.2702,0.275,1211987.1,USELESS-USD
1755918000,0.2674,0.2758,0.2749,0.2688,552993.9,USELESS-USD
1755921600,0.2649,0.2779,0.269,0.2768,871133.9,USELESS-USD
1755925200,0.2764,0.2879,0.2767,0.2856,1308344.3,USELESS-USD
1755928800,0.2831,0.2946,0.2856,0.2884,740963.5,USELESS-USD
1755932400,0.2742,0.2877,0.2874,0.2744,592738.8,USELESS-USD
1755936000,0.2723,0.2801,0.2743,0.2801,418359.3,USELESS-USD
1755939600,0.2768,0.2822,0.28,0.2783,278818.6,USELESS-USD
1755943200,0.2747,0.2814,0.2781,0.2775,340681.1,USELESS-USD
1755946800,0.2776,0.2894,0.2779,0.2862,554375.1,USELESS-USD
1755950400,0.2774,0.2958,0.2862,0.2782,1176841.6,USELESS-USD
1755954000,0.2729,0.2784,0.2783,0.2732,882539.1,USELESS-USD
1755957600,0.2725,0.2786,0.2736,0.2736,519691.5,USELESS-USD
1755961200,0.2717,0.2758,0.2735,0.2727,405649.2,USELESS-USD
1755964800,0.2666,0.2745,0.273,0.2694,470547.7,USELESS-USD
1755968400,0.266,0.2709,0.2687,0.268,320804.4,USELESS-USD
1755972000,0.2672,0.2722,0.2678,0.2691,766117.2,USELESS-USD
1755975600,0.2684,0.272,0.2691,0.2694,614544.8,USELESS-USD
1755979200,0.2681,0.2717,0.2694,0.2717,225809.6,USELESS-USD
1755982800,0.2669,0.274,0.2718,0.2736,531232.8,USELESS-USD
1755986400,0.2731,0.2784,0.2732,0.2784,201212.8,USELESS-USD
1755990000,0.2783,0.2857,0.2783,0.2804,381345.2,USELESS-USD
1755993600,0.2806,0.2875,0.2806,0.2849,981751.2,USELESS-USD
1755997200,0.2827,0.2888,0.2856,0.2874,845548.1,USELESS-USD
1756000800,0.2788,0.2918,0.2873,0.2818,1414696.5,USELESS-USD
1756004400,0.276,0.2818,0.2818,0.2808,861603.7,USELESS-USD
1756008000,0.28,0.2855,0.2809,0.2855,462936.6,USELESS-USD
1756011600,0.2824,0.2916,0.2854,0.2863,1591263.3,USELESS-USD
1756015200,0.278,0.2873,0.2863,0.2792,400348.7,USELESS-USD
1756018800,0.2762,0.2814,0.2793,0.2762,153736.6,USELESS-USD
1756022400,0.2745,0.2809,0.2765,0.2797,265853.8,USELESS-USD
1756026000,0.2698,0.2794,0.2794,0.2702,779711.5,USELESS-USD
1756029600,0.2555,0.2724,0.2702,0.2555,615243.0,USELESS-USD
1756033200,0.2528,0.2591,0.2556,0.2577,414771.7,USELESS-USD
1756036800,0.2548,0.2634,0.2577,0.2616,729834.3,USELESS-USD
1756040400,0.2617,0.2707,0.2617,0.2668,736558.6,USELESS-USD
1756044000,0.2587,0.2669,0.2669,0.2634,525932.4,USELESS-USD
1756047600,0.2633,0.2739,0.2634,0.2702,810468.1,USELESS-USD
1756051200,0.265,0.273,0.2702,0.2674,980928.0,USELESS-USD
1756054800,0.266,0.2789,0.2675,0.2764,307792.8,USELESS-USD
1756058400,0.2764,0.2918,0.2764,0.2846,882553.8,USELESS-USD
1756062000,0.2625,0.2885,0.2847,0.2682,883971.4,USELESS-USD
1756065600,0.2599,0.269,0.2682,0.2601,1105674.8,USELESS-USD
1756069200,0.2589,0.2651,0.2602,0.2618,708003.7,USELESS-USD
1756072800,0.2594,0.2641,0.2623,0.263,688745.2,USELESS-USD
1756076400,0.2622,0.2667,0.263,0.2637,144705.9,USELESS-USD
1756080000,0.2557,0.2913,0.2637,0.261,1740251.1,USELESS-USD
1756083600,0.2571,0.2722,0.261,0.2717,794090.4,USELESS-USD
1756087200,0.27,0.2768,0.2717,0.2741,757671.6,USELESS-USD
1756090800,0.263,0.2743,0.2738,0.263,525690.8,USELESS-USD
1756094400,0.2589,0.2681,0.2634,0.2598,1931619.9,USELESS-USD
1756098000,0.2507,0.2616,0.2599,0.2512,1729723.5,USELESS-USD
1756101600,0.2445,0.2527,0.2513,0.2445,3181394.8,USELESS-USD
1756105200,0.2384,0.2476,0.2444,0.242,944443.5,USELESS-USD
1756108800,0.2394,0.2437,0.242,0.2401,382734.0,USELESS-USD
1756112400,0.2364,0.2403,0.2401,0.2382,721467.3,USELESS-USD
1756116000,0.2254,0.2387,0.2386,0.2271,1138106.8,USELESS-USD
1756119600,0.2251,0.2399,0.2271,0.2371,1254149.8,USELESS-USD
1756123200,0.2348,0.241,0.2381,0.2385,717465.6,USELESS-USD
1756126800,0.2336,0.243,0.2387,0.243,2089388.2,USELESS-USD
1756130400,0.2424,0.2488,0.2432,0.2478,920184.9,USELESS-USD
1756134000,0.2425,0.2508,0.2488,0.2437,780093.6,USELESS-USD
1756137600,0.241,0.2473,0.2434,0.241,700042.4,USELESS-USD
1756141200,0.2359,0.241,0.241,0.2371,558077.2,USELESS-USD
1756144800,0.2353,0.2409,0.237,0.2395,302377.0,USELESS-USD
