time,low,high,open,close,volume,symbol
1695232800,0.2,0.3,0.2,0.2995,98523,VARA-USD
1695236400,0.2312,0.33,0.2995,0.26607,1987634,VARA-USD
1695240000,0.2625,0.29314,0.265,0.2742,1373043,VARA-USD
1695243600,0.27311,0.2959,0.27311,0.28997,1194291,VARA-USD
1695247200,0.27415,0.3,0.28999,0.27415,1289113,VARA-USD
1695250800,0.26465,0.28076,0.27415,0.26861,1175456,VARA-USD
1695254400,0.265,0.27189,0.26871,0.265,443994,VARA-USD
1695258000,0.24,0.26688,0.26533,0.24641,779664,VARA-USD
1695261600,0.24637,0.2538,0.24637,0.2512,644893,VARA-USD
1695265200,0.24273,0.25189,0.2512,0.24599,390198,VARA-USD
1695268800,0.24418,0.25899,0.24418,0.25877,305383,VARA-USD
1695272400,0.25666,0.26425,0.25877,0.26416,289637,VARA-USD
1695276000,0.26335,0.27007,0.26335,0.27007,247754,VARA-USD
1695279600,0.22357,0.27147,0.27007,0.22483,342185,VARA-USD
1695283200,0.22001,0.25153,0.22597,0.2306,211418,VARA-USD
1695286800,0.14224,0.23238,0.22815,0.18828,1154374,VARA-USD
1695290400,0.17001,0.224,0.188,0.18705,390608,VARA-USD
1695294000,0.1777,0.20935,0.18302,0.18131,320285,VARA-USD
1695297600,0.159,0.198,0.1808,0.17,205478,VARA-USD
1695301200,0.165,0.227,0.17,0.22105,1122084,VARA-USD
1695304800,0.18797,0.24414,0.22793,0.18797,1309235,VARA-USD
1695308400,0.18583,0.18941,0.18754,0.18749,480525,VARA-USD
1695312000,0.171,0.19167,0.18749,0.17487,774073,VARA-USD
1695315600,0.15,0.1815,0.175,0.16795,1572170,VARA-USD
1695319200,0.167,0.18037,0.167,0.17252,648879,VARA-USD
1695322800,0.172,0.18277,0.17252,0.18184,432255,VARA-USD
1695326400,0.17,0.18681,0.18025,0.18405,790658,VARA-USD
1695330000,0.182,0.19719,0.18335,0.19164,1015530,VARA-USD
1695333600,0.175,0.19164,0.19164,0.17886,928287,VARA-USD
1695337200,0.175,0.18087,0.17991,0.17544,298063,VARA-USD
1695340800,0.17476,0.18417,0.17527,0.1814,324076,VARA-USD
1695344400,0.17812,0.19284,0.1817,0.19218,535771,VARA-USD
1695348000,0.18432,0.19219,0.19218,0.18485,464954,VARA-USD
1695351600,0.17013,0.19558,0.18485,0.18372,1156147,VARA-USD
1695355200,0.17639,0.18536,0.18164,0.17811,205781,VARA-USD
1695358800,0.17472,0.17784,0.1767,0.17677,146527,VARA-USD
1695362400,0.176,0.18341,0.17677,0.18121,299841,VARA-USD
1695366000,0.173,0.18065,0.18065,0.17528,183636,VARA-USD
1695369600,0.172,0.17642,0.17528,0.17303,100940,VARA-USD
1695373200,0.1707,0.17376,0.172,0.17216,102542,VARA-USD
1695376800,0.17005,0.173,0.17235,0.17132,73379,VARA-USD
1695380400,0.17078,0.17974,0.17132,0.17663,292472,VARA-USD
1695384000,0.17412,0.17736,0.17625,0.17649,130220,VARA-USD
1695387600,0.17601,0.1831,0.17649,0.18032,288938,VARA-USD
1695391200,0.16911,0.18057,0.18032,0.17144,457995,VARA-USD
1695394800,0.17124,0.1747,0.17145,0.17292,135545,VARA-USD
1695398400,0.17191,0.1745,0.17296,0.17209,89590,VARA-USD
1695402000,0.17183,0.17478,0.17209,0.17224,93406,VARA-USD
1695405600,0.16748,0.17329,0.17307,0.16875,283064,VARA-USD
1695409200,0.16749,0.17079,0.16802,0.17079,191671,VARA-USD
1695412800,0.1635,0.17078,0.17078,0.16453,428141,VARA-USD
1695416400,0.16371,0.16647,0.16453,0.16464,313117,VARA-USD
1695420000,0.157,0.16474,0.16373,0.16086,654746,VARA-USD
1695423600,0.15841,0.16337,0.15958,0.16337,302960,VARA-USD
1695427200,0.16214,0.1675,0.16337,0.1622,222777,VARA-USD
1695430800,0.1622,0.16429,0.16271,0.16366,89006,VARA-USD
1695434400,0.16272,0.16464,0.16324,0.16423,74381,VARA-USD
1695438000,0.16163,0.16423,0.16423,0.16379,124889,VARA-USD
1695441600,0.15599,0.164,0.16289,0.15612,196359,VARA-USD
1695445200,0.15578,0.15875,0.15611,0.15767,96427,VARA-USD
1695448800,0.15695,0.15831,0.15767,0.15698,51369,VARA-USD
1695452400,0.15581,0.15698,0.15698,0.15581,34498,VARA-USD
1695456000,0.1535,0.15677,0.15579,0.15438,76901,VARA-USD
1695459600,0.1511,0.15438,0.15438,0.15208,103907,VARA-USD
1695463200,0.151,0.15298,0.15209,0.15264,164083,VARA-USD
1695466800,0.1525,0.15585,0.15263,0.15522,122113,VARA-USD
1695470400,0.15363,0.15905,0.15434,0.15853,142785,VARA-USD
1695474000,0.15769,0.1595,0.15853,0.15808,95064,VARA-USD
1695477600,0.15171,0.15943,0.15943,0.15412,263514,VARA-USD
1695481200,0.15343,0.15555,0.15411,0.15346,66036,VARA-USD
1695484800,0.15134,0.15499,0.15343,0.15238,105693,VARA-USD
1695488400,0.15067,0.15308,0.15141,0.15127,112771,VARA-USD
1695492000,0.14983,0.1523,0.15127,0.1523,146782,VARA-USD
1695495600,0.15099,0.1548,0.15161,0.15478,82343,VARA-USD
1695499200,0.15473,0.15838,0.1548,0.15709,149101,VARA-USD
1695502800,0.15361,0.15726,0.15726,0.15451,125734,VARA-USD
1695506400,0.1525,0.15422,0.15406,0.15393,59094,VARA-USD
1695510000,0.1532,0.15454,0.15357,0.15423,26343,VARA-USD
1695513600,0.15295,0.15441,0.15423,0.15395,36040,VARA-USD
1695517200,0.15121,0.15395,0.15395,0.15121,62986,VARA-USD
1695520800,0.14508,0.1522,0.15165,0.146,405601,VARA-USD
1695524400,0.14306,0.15249,0.146,0.14936,622096,VARA-USD
1695528000,0.14589,0.15027,0.14936,0.1459,141903,VARA-USD
1695531600,0.14581,0.14748,0.14591,0.14606,189543,VARA-USD
1695535200,0.14603,0.14732,0.14606,0.14729,39750,VARA-USD
1695538800,0.14654,0.1473,0.147,0.14726,47350,VARA-USD
1695542400,0.14654,0.14802,0.14654,0.14802,43459,VARA-USD
1695546000,0.14745,0.14899,0.1475,0.14899,38033,VARA-USD
1695549600,0.14745,0.14843,0.14834,0.14746,20573,VARA-USD
1695553200,0.14705,0.1484,0.14839,0.14809,21163,VARA-USD
1695556800,0.14738,0.14857,0.14776,0.14834,13388,VARA-USD
1695560400,0.14544,0.14822,0.14822,0.14544,82810,VARA-USD
1695564000,0.14411,0.14651,0.14544,0.14492,88814,VARA-USD
1695567600,0.14316,0.14488,0.14413,0.14316,185283,VARA-USD
1695571200,0.14316,0.14828,0.14388,0.14406,188306,VARA-USD
1695574800,0.14306,0.14513,0.14402,0.14307,90965,VARA-USD
1695578400,0.14307,0.14612,0.14307,0.14495,83421,VARA-USD
1695582000,0.14307,0.14582,0.14538,0.14307,157367,VARA-USD
1695585600,0.14306,0.14431,0.14324,0.14368,61724,VARA-USD
1695589200,0.144,0.14431,0.14431,0.14411,10206,VARA-USD
1695592800,0.144,0.14697,0.14411,0.14622,74942,VARA-USD
1695596400,0.14622,0.14768,0.1464,0.14732,155043,VARA-USD
