time,low,high,open,close,volume,symbol
1654790400,6.73,7.9,7.4,7.12,18096.949,WAMPL-USD
1654794000,6.5,7.2,7.12,6.59,8358.887,WAMPL-USD
1654797600,6.47,7.0,6.65,6.77,3723.763,WAMPL-USD
1654801200,6.3,6.84,6.77,6.3,859.762,WAMPL-USD
1654804800,6.0,6.73,6.1,6.0,412.642,WAMPL-USD
1654808400,5.94,6.59,6.0,6.4,515.568,WAMPL-USD
1654812000,5.9,6.56,6.55,6.56,1900.637,WAMPL-USD
1654815600,5.75,6.56,6.56,6.09,6244.265,WAMPL-USD
1654819200,6.07,6.35,6.1,6.33,1713.222,WAMPL-USD
1654822800,6.07,6.39,6.33,6.39,593.058,WAMPL-USD
1654826400,6.07,6.38,6.38,6.28,664.874,WAMPL-USD
1654830000,5.95,6.34,6.33,6.19,1155.062,WAMPL-USD
1654833600,6.19,6.39,6.19,6.31,946.573,WAMPL-USD
1654837200,6.07,6.32,6.31,6.11,566.064,WAMPL-USD
1654840800,5.87,6.09,6.05,6.09,1138.764,WAMPL-USD
1654844400,6.03,6.09,6.07,6.08,97.933,WAMPL-USD
1654848000,6.04,6.08,6.08,6.07,190.473,WAMPL-USD
1654851600,5.99,6.07,6.07,6.0,194.662,WAMPL-USD
1654855200,5.99,6.0,6.0,6.0,128.697,WAMPL-USD
1654858800,5.73,6.0,6.0,5.84,559.75,WAMPL-USD
1654862400,5.72,5.92,5.82,5.74,721.949,WAMPL-USD
1654866000,5.77,5.93,5.77,5.88,436.167,WAMPL-USD
1654869600,5.77,6.09,5.88,5.88,2148.968,WAMPL-USD
1654873200,5.84,6.15,5.88,6.15,910.42,WAMPL-USD
1654876800,5.81,6.05,5.97,5.9,422.987,WAMPL-USD
1654880400,5.71,5.98,5.8,5.88,629.413,WAMPL-USD
1654884000,5.68,5.89,5.88,5.89,1488.751,WAMPL-USD
1654887600,5.67,5.96,5.89,5.72,2626.336,WAMPL-USD
1654891200,5.69,5.94,5.71,5.94,501.273,WAMPL-USD
1654894800,5.75,6.03,5.93,5.75,650.79,WAMPL-USD
1654898400,5.73,5.94,5.76,5.94,603.741,WAMPL-USD
1654902000,5.75,5.94,5.94,5.93,473.423,WAMPL-USD
1654905600,5.75,5.92,5.86,5.89,343.611,WAMPL-USD
1654909200,5.47,5.93,5.87,5.47,496.103,WAMPL-USD
1654912800,4.14,5.9,5.46,5.81,1046.542,WAMPL-USD
1654916400,5.74,5.92,5.89,5.9,304.127,WAMPL-USD
1654920000,5.74,5.88,5.88,5.74,25.809,WAMPL-USD
1654923600,5.79,5.92,5.86,5.79,59.365,WAMPL-USD
1654927200,5.75,5.9,5.79,5.89,74.129,WAMPL-USD
1654930800,5.73,5.9,5.8,5.83,493.325,WAMPL-USD
1654934400,5.69,5.88,5.83,5.74,26.76,WAMPL-USD
1654938000,5.71,5.77,5.74,5.71,183.538,WAMPL-USD
1654941600,5.52,5.77,5.72,5.62,495.747,WAMPL-USD
1654945200,5.59,5.77,5.73,5.59,417.683,WAMPL-USD
1654948800,5.56,5.78,5.78,5.56,196.414,WAMPL-USD
1654952400,5.58,5.72,5.62,5.72,151.879,WAMPL-USD
1654956000,5.51,5.71,5.67,5.51,675.276,WAMPL-USD
1654959600,5.35,5.61,5.49,5.38,531.148,WAMPL-USD
1654963200,5.38,5.68,5.39,5.47,256.921,WAMPL-USD
1654966800,5.5,5.62,5.59,5.55,526.997,WAMPL-USD
1654970400,5.51,5.56,5.51,5.56,107.036,WAMPL-USD
1654974000,5.5,5.53,5.53,5.51,389.909,WAMPL-USD
1654977600,5.51,5.55,5.51,5.51,37.72,WAMPL-USD
1654981200,5.5,5.52,5.52,5.52,224.288,WAMPL-USD
1654984800,5.52,5.55,5.52,5.55,56.817,WAMPL-USD
1654988400,5.51,5.56,5.55,5.55,69.77,WAMPL-USD
1654992000,5.47,5.55,5.55,5.54,871.809,WAMPL-USD
1654995600,5.49,5.55,5.5,5.54,135.768,WAMPL-USD
1654999200,5.32,5.56,5.55,5.39,912.34,WAMPL-USD
1655002800,5.36,5.45,5.37,5.43,21.372,WAMPL-USD
1655006400,5.37,5.46,5.37,5.46,99.879,WAMPL-USD
1655010000,5.36,5.42,5.4,5.42,95.622,WAMPL-USD
1655013600,5.17,5.36,5.36,5.36,1486.799,WAMPL-USD
1655017200,5.25,5.39,5.27,5.35,113.092,WAMPL-USD
1655020800,5.26,5.36,5.27,5.31,57.775,WAMPL-USD
1655024400,5.42,5.48,5.42,5.44,60.276,WAMPL-USD
1655028000,5.35,5.4,5.36,5.4,20.474,WAMPL-USD
1655031600,5.4,5.79,5.4,5.5,1759.729,WAMPL-USD
1655035200,5.29,5.5,5.5,5.46,504.432,WAMPL-USD
1655038800,5.27,5.41,5.32,5.27,306.034,WAMPL-USD
1655042400,5.25,5.52,5.33,5.52,173.439,WAMPL-USD
1655046000,5.41,5.58,5.5,5.44,192.121,WAMPL-USD
1655049600,5.43,5.58,5.5,5.53,67.555,WAMPL-USD
1655053200,5.37,5.42,5.42,5.38,124.848,WAMPL-USD
1655056800,5.39,5.54,5.39,5.48,259.746,WAMPL-USD
1655060400,5.47,5.5,5.5,5.49,101.693,WAMPL-USD
1655064000,5.35,5.5,5.5,5.43,160.818,WAMPL-USD
1655067600,5.27,5.42,5.38,5.27,132.26,WAMPL-USD
1655071200,5.28,5.3,5.3,5.28,16.141,WAMPL-USD
1655074800,5.31,5.5,5.39,5.4,448.837,WAMPL-USD
1655078400,5.29,5.36,5.34,5.3,87.371,WAMPL-USD
1655082000,5.04,5.35,5.29,5.35,137.46,WAMPL-USD
1655085600,4.96,5.12,5.12,5.0,1009.889,WAMPL-USD
1655089200,4.96,5.18,4.99,5.18,657.443,WAMPL-USD
1655092800,5.08,5.24,5.16,5.08,60.388,WAMPL-USD
1655096400,5.0,5.16,5.08,5.0,254.085,WAMPL-USD
1655100000,4.99,5.13,5.0,5.13,315.76,WAMPL-USD
1655103600,4.98,5.13,5.13,4.98,10.775,WAMPL-USD
1655107200,4.75,4.97,4.97,4.9,208.847,WAMPL-USD
1655110800,4.98,5.01,5.01,4.98,0.189,WAMPL-USD
1655114400,4.91,4.99,4.98,4.91,171.283,WAMPL-USD
1655118000,4.36,4.9,4.9,4.4,2565.494,WAMPL-USD
1655121600,4.32,4.61,4.4,4.5,124.482,WAMPL-USD
1655125200,4.41,4.59,4.44,4.44,161.396,WAMPL-USD
1655128800,4.39,4.59,4.42,4.53,310.684,WAMPL-USD
1655132400,4.43,4.65,4.44,4.51,90.818,WAMPL-USD
1655136000,4.42,4.67,4.51,4.42,116.738,WAMPL-USD
1655139600,4.42,4.73,4.42,4.73,242.222,WAMPL-USD
