time,low,high,open,close,volume,symbol
1727280000,0.029511,0.031,0.031,0.0298,4379911,WELL-USD
1727283600,0.029677,0.031,0.0298,0.030589,3195418,WELL-USD
1727287200,0.029513,0.0306,0.029924,0.02989,1141196,WELL-USD
1727290800,0.02951,0.03051,0.02997,0.03009,788800,WELL-USD
1727294400,0.02951,0.030301,0.02982,0.03021,685663,WELL-USD
1727298000,0.02973,0.03249,0.03021,0.030698,6696782,WELL-USD
1727301600,0.030698,0.0341,0.030698,0.033607,11658149,WELL-USD
1727305200,0.032721,0.036285,0.03363,0.03584,10162399,WELL-USD
1727308800,0.03584,0.03773,0.03584,0.03644,10795205,WELL-USD
1727312400,0.035068,0.03704,0.03682,0.035811,3544573,WELL-USD
1727316000,0.0357,0.0375,0.03585,0.035989,4221477,WELL-USD
1727319600,0.0355,0.036736,0.036,0.03621,3332509,WELL-USD
1727323200,0.03556,0.03676,0.03621,0.035893,2849918,WELL-USD
1727326800,0.0349,0.036,0.035893,0.03548,2910999,WELL-USD
1727330400,0.03486,0.03548,0.035275,0.0352,826167,WELL-USD
1727334000,0.033715,0.035293,0.035218,0.034288,1569689,WELL-USD
1727337600,0.03365,0.03457,0.034462,0.03391,2010872,WELL-USD
1727341200,0.033022,0.033908,0.033748,0.033217,1052416,WELL-USD
1727344800,0.032226,0.03344,0.033219,0.03251,1481982,WELL-USD
1727348400,0.032144,0.03301,0.032224,0.032896,1223354,WELL-USD
1727352000,0.032692,0.03377,0.03295,0.03342,2206421,WELL-USD
1727355600,0.033358,0.0357,0.03336,0.035411,6602171,WELL-USD
1727359200,0.034729,0.04,0.035422,0.038999,12020638,WELL-USD
1727362800,0.037886,0.041593,0.039021,0.041424,11200521,WELL-USD
1727366400,0.03844,0.041819,0.041424,0.038699,12157536,WELL-USD
1727370000,0.037599,0.03921,0.038726,0.038535,5141769,WELL-USD
1727373600,0.038143,0.03949,0.038534,0.0385,5992625,WELL-USD
1727377200,0.037801,0.039,0.03854,0.03841,3533902,WELL-USD
1727380800,0.037756,0.039,0.03841,0.037756,3909729,WELL-USD
1727384400,0.037442,0.038651,0.037744,0.03801,2059755,WELL-USD
1727388000,0.0375,0.03841,0.03841,0.037632,2738563,WELL-USD
1727391600,0.03718,0.038261,0.037632,0.037293,2694112,WELL-USD
1727395200,0.036781,0.038072,0.037291,0.037389,1596941,WELL-USD
1727395200,0.036781,0.038072,0.037291,0.037389,1596941,WELL-USD
1727398800,0.0365,0.037531,0.037015,0.036522,1256216,WELL-USD
1727402400,0.036522,0.0383,0.036881,0.03799,2559602,WELL-USD
1727406000,0.037431,0.0388,0.03799,0.03806,1424904,WELL-USD
1727409600,0.037525,0.0394,0.037791,0.03865,4439535,WELL-USD
1727413200,0.037447,0.038939,0.038409,0.037598,1564546,WELL-USD
1727416800,0.037016,0.037839,0.037598,0.037221,947677,WELL-USD
1727420400,0.037,0.037702,0.03726,0.037,778751,WELL-USD
1727424000,0.036877,0.037999,0.037369,0.036877,568434,WELL-USD
1727427600,0.036872,0.037757,0.036872,0.037378,613057,WELL-USD
1727431200,0.036625,0.037724,0.037098,0.036849,760850,WELL-USD
1727434800,0.0366,0.03754,0.036849,0.036673,982314,WELL-USD
1727438400,0.03603,0.037759,0.036673,0.036267,1088832,WELL-USD
1727442000,0.035,0.036308,0.036267,0.035326,3995082,WELL-USD
1727445600,0.03332,0.03611,0.035459,0.035133,3991288,WELL-USD
1727449200,0.035133,0.036138,0.035134,0.035742,1009545,WELL-USD
1727452800,0.035211,0.036518,0.035741,0.035595,3281954,WELL-USD
1727456400,0.0347,0.035571,0.035472,0.034737,1806820,WELL-USD
1727460000,0.034701,0.03553,0.03496,0.035089,860584,WELL-USD
1727463600,0.034822,0.035667,0.034822,0.035207,778459,WELL-USD
1727467200,0.034853,0.035555,0.035424,0.034923,519025,WELL-USD
1727470800,0.034904,0.036,0.034918,0.03552,528932,WELL-USD
1727474400,0.034791,0.035982,0.03566,0.035538,430958,WELL-USD
1727478000,0.035102,0.036545,0.035251,0.0361,2262671,WELL-USD
1727481600,0.035678,0.036979,0.0361,0.036631,5473970,WELL-USD
1727485200,0.036537,0.03746,0.036643,0.037448,1864885,WELL-USD
1727488800,0.036884,0.037516,0.037446,0.037151,637240,WELL-USD
1727492400,0.03591,0.037368,0.037152,0.03602,1948389,WELL-USD
1727496000,0.03596,0.036543,0.036215,0.03648,450789,WELL-USD
1727499600,0.035899,0.036782,0.036195,0.035908,928313,WELL-USD
1727503200,0.03553,0.036215,0.035868,0.035596,452280,WELL-USD
1727506800,0.035596,0.036498,0.036182,0.035869,155020,WELL-USD
1727510400,0.035494,0.036276,0.035494,0.035599,100818,WELL-USD
1727514000,0.0349,0.036203,0.035844,0.035263,616682,WELL-USD
1727517600,0.034532,0.03538,0.034952,0.035075,550522,WELL-USD
1727521200,0.034577,0.035199,0.035074,0.03462,884223,WELL-USD
1727524800,0.0344,0.034819,0.034647,0.034819,461037,WELL-USD
1727528400,0.034364,0.034979,0.034672,0.034785,294570,WELL-USD
1727532000,0.0348,0.036002,0.034969,0.035339,1784348,WELL-USD
1727535600,0.034469,0.035417,0.034898,0.034703,1440461,WELL-USD
1727539200,0.03419,0.035223,0.03489,0.03521,840872,WELL-USD
1727542800,0.034092,0.03484,0.034528,0.034647,411877,WELL-USD
1727546400,0.033565,0.034604,0.034251,0.034146,1890803,WELL-USD
1727550000,0.033802,0.034471,0.034121,0.034287,349039,WELL-USD
1727553600,0.034241,0.03513,0.034241,0.034698,2826286,WELL-USD
1727557200,0.0344,0.035076,0.034576,0.03471,1103444,WELL-USD
1727560800,0.033801,0.034617,0.034617,0.033801,1375374,WELL-USD
1727564400,0.03267,0.034265,0.033812,0.033034,4351825,WELL-USD
1727568000,0.0326,0.033525,0.033141,0.033394,1444184,WELL-USD
1727571600,0.033,0.0338,0.033281,0.033689,541344,WELL-USD
1727575200,0.033096,0.03422,0.0337,0.033691,1484758,WELL-USD
1727578800,0.033501,0.033804,0.03369,0.033517,237432,WELL-USD
1727582400,0.0335,0.033823,0.033777,0.033823,125936,WELL-USD
