time,low,high,open,close,volume,symbol
1731528000,4.006,4.4,4.299,4.024,53696.99,WIF-USD
1731531600,3.873,4.249,4.055,4.063,520309.76,WIF-USD
1731535200,4.0,4.33,4.063,4.055,516692.41,WIF-USD
1731538800,3.983,4.289,4.048,4.18,509089.45,WIF-USD
1731542400,4.1,4.263,4.176,4.208,395428.3,WIF-USD
1731546000,3.923,4.335,4.2,4.278,523865.72,WIF-USD
1731549600,4.104,4.297,4.272,4.127,515219.13,WIF-USD
1731553200,3.965,4.141,4.127,4.076,435773.56,WIF-USD
1731556800,4.017,4.145,4.076,4.111,253398.32,WIF-USD
1731560400,4.063,4.283,4.106,4.244,301881.26,WIF-USD
1731564000,4.111,4.331,4.242,4.121,177340.49,WIF-USD
1731567600,4.015,4.119,4.117,4.058,121566.7,WIF-USD
1731571200,4.044,4.229,4.06,4.205,114815.2,WIF-USD
1731574800,4.162,4.364,4.205,4.334,189030.43,WIF-USD
1731578400,4.083,4.34,4.324,4.099,188336.49,WIF-USD
1731582000,3.925,4.122,4.097,4.019,160756.31,WIF-USD
1731585600,3.91,4.074,4.019,4.007,250469.24,WIF-USD
1731589200,3.985,4.136,4.003,4.016,283372.95,WIF-USD
1731592800,3.85,4.138,4.016,3.85,267271.48,WIF-USD
1731596400,3.75,3.977,3.856,3.939,493106.72,WIF-USD
1731600000,3.888,4.073,3.942,4.031,331747.18,WIF-USD
1731603600,3.997,4.176,4.038,4.022,246500.75,WIF-USD
1731607200,3.966,4.05,4.022,4.009,162376.14,WIF-USD
1731610800,3.962,4.089,4.011,4.016,205204.87,WIF-USD
1731614400,3.944,4.048,4.018,3.982,225781.88,WIF-USD
1731618000,3.9,4.123,3.978,3.922,304650.3,WIF-USD
1731621600,3.714,3.948,3.921,3.714,307078.17,WIF-USD
1731625200,3.526,3.727,3.715,3.592,384372.97,WIF-USD
1731628800,3.546,3.7,3.591,3.546,911797.94,WIF-USD
1731632400,3.418,3.576,3.544,3.559,817719.86,WIF-USD
1731636000,3.489,3.601,3.553,3.584,168112.94,WIF-USD
1731639600,3.524,3.582,3.582,3.543,143899.89,WIF-USD
1731643200,3.37,3.547,3.537,3.4,199232.47,WIF-USD
1731646800,3.372,3.502,3.392,3.487,158309.09,WIF-USD
1731650400,3.484,3.602,3.484,3.59,228402.46,WIF-USD
1731654000,3.552,3.603,3.589,3.554,86208.96,WIF-USD
1731657600,3.527,3.643,3.557,3.617,80373.39,WIF-USD
1731661200,3.608,3.736,3.614,3.696,105090.03,WIF-USD
