time,low,high,open,close,volume,symbol
1760547600,0.7001,0.7329,0.7001,0.7122,430673.19,YB-USD
1760551200,0.6827,0.7191,0.7146,0.6874,302649.84,YB-USD
1760554800,0.6337,0.6937,0.6867,0.64,281024.47,YB-USD
1760558400,0.6332,0.6642,0.6418,0.6597,259628.07,YB-USD
1760562000,0.64,0.7003,0.6567,0.6959,197246.05,YB-USD
1760565600,0.6513,0.7149,0.6972,0.6513,349810.82,YB-USD
1760569200,0.6462,0.69,0.6538,0.668,122964.64,YB-USD
1760572800,0.6637,0.6863,0.6683,0.6754,101197.02,YB-USD
1760576400,0.6779,0.7225,0.6779,0.7152,245398.81,YB-USD
1760580000,0.7095,0.7626,0.7177,0.7482,544896.13,YB-USD
1760583600,0.7043,0.7605,0.7517,0.7207,282774.22,YB-USD
1760587200,0.6835,0.7225,0.7182,0.6876,274685.05,YB-USD
1760590800,0.6624,0.6936,0.6881,0.6677,131678.75,YB-USD
1760594400,0.6536,0.6884,0.672,0.6765,73843.08,YB-USD
1760598000,0.67,0.69,0.6807,0.6719,111075.59,YB-USD
1760601600,0.576,0.6718,0.6718,0.5958,479337.3,YB-USD
1760605200,0.55,0.6093,0.5949,0.5836,453152.63,YB-USD
1760608800,0.5817,0.61,0.5838,0.5971,142342.28,YB-USD
1760612400,0.5827,0.5982,0.5974,0.5891,98224.54,YB-USD
1760616000,0.5844,0.6093,0.5891,0.6008,112505.41,YB-USD
1760619600,0.5537,0.6068,0.6015,0.5711,188582.09,YB-USD
1760623200,0.5568,0.583,0.5699,0.5719,231938.2,YB-USD
1760626800,0.5178,0.5762,0.5712,0.5332,243732.57,YB-USD
1760630400,0.5018,0.5428,0.5335,0.5356,326828.06,YB-USD
1760634000,0.5225,0.5354,0.5354,0.534,72458.53,YB-USD
1760637600,0.5247,0.5488,0.533,0.5349,98628.44,YB-USD
1760641200,0.5181,0.5372,0.5344,0.5321,26166.03,YB-USD
1760644800,0.5314,0.5533,0.5324,0.5482,81514.24,YB-USD
1760648400,0.5402,0.572,0.5509,0.5628,58571.51,YB-USD
1760652000,0.554,0.5649,0.5626,0.5618,66481.8,YB-USD
1760655600,0.554,0.5741,0.5612,0.5648,180866.13,YB-USD
1760659200,0.5576,0.5774,0.565,0.5666,167745.54,YB-USD
1760662800,0.5449,0.5745,0.5668,0.5549,444301.02,YB-USD
1760666400,0.5529,0.5712,0.5548,0.5586,204752.6,YB-USD
1760670000,0.5596,0.6528,0.5596,0.6196,947633.05,YB-USD
1760673600,0.6048,0.6306,0.6199,0.6219,412250.02,YB-USD
1760677200,0.5943,0.6424,0.6216,0.6023,315749.95,YB-USD
1760680800,0.5706,0.605,0.6009,0.581,221189.07,YB-USD
1760684400,0.5264,0.5838,0.5812,0.5371,417301.52,YB-USD
1760688000,0.504,0.5415,0.5369,0.5304,508558.52,YB-USD
1760691600,0.515,0.5338,0.53,0.5186,262410.59,YB-USD
1760695200,0.4639,0.5234,0.5191,0.4797,651271.23,YB-USD
1760695200,0.4639,0.5234,0.5191,0.4797,651271.23,YB-USD
1760698800,0.4766,0.5098,0.4805,0.5011,273760.27,YB-USD
1760702400,0.496,0.5075,0.5008,0.4984,189023.2,YB-USD
1760706000,0.4823,0.5039,0.4978,0.4934,144560.56,YB-USD
1760709600,0.4765,0.4946,0.492,0.4814,270453.44,YB-USD
1760713200,0.479,0.5038,0.4812,0.5024,301087.5,YB-USD
1760716800,0.4754,0.5091,0.5028,0.4772,379726.5,YB-USD
1760720400,0.4718,0.4894,0.477,0.487,110396.54,YB-USD
1760724000,0.4858,0.5008,0.4874,0.4972,145053.71,YB-USD
1760727600,0.4892,0.5014,0.5002,0.497,70523.7,YB-USD
1760731200,0.4911,0.5086,0.4969,0.4947,252388.75,YB-USD
1760734800,0.4929,0.5146,0.4954,0.5084,145603.55,YB-USD
1760738400,0.5068,0.5205,0.508,0.5182,189767.11,YB-USD
1760742000,0.5188,0.5491,0.5188,0.5484,78190.04,YB-USD
1760745600,0.5064,0.5483,0.5483,0.5064,167973.61,YB-USD
1760749200,0.5044,0.5191,0.5087,0.5174,102103.49,YB-USD
1760752800,0.515,0.5292,0.5176,0.5277,178235.09,YB-USD
1760756400,0.5255,0.5447,0.528,0.5288,148246.76,YB-USD
1760760000,0.5172,0.534,0.5269,0.5236,71982.48,YB-USD
1760763600,0.5127,0.5355,0.5244,0.5351,69852.65,YB-USD
1760767200,0.5264,0.5449,0.5352,0.5376,168015.24,YB-USD
1760770800,0.5319,0.5552,0.5357,0.5335,91945.63,YB-USD
1760774400,0.5312,0.56,0.534,0.5517,547859.84,YB-USD
1760778000,0.5248,0.5521,0.5517,0.532,288530.36,YB-USD
1760781600,0.518,0.5401,0.5337,0.518,15941.68,YB-USD
1760785200,0.518,0.5278,0.5204,0.5236,25744.32,YB-USD
1760788800,0.5048,0.5228,0.5222,0.5145,55467.89,YB-USD
1760792400,0.4664,0.5138,0.5138,0.4784,458147.03,YB-USD
1760796000,0.4729,0.4839,0.4782,0.4765,101351.76,YB-USD
1760799600,0.4729,0.4871,0.4765,0.4772,29962.39,YB-USD
1760803200,0.456,0.4792,0.4768,0.4704,185898.83,YB-USD
1760806800,0.4666,0.4831,0.4704,0.48,56915.52,YB-USD
1760810400,0.47,0.4806,0.48,0.4742,34540.99,YB-USD
1760814000,0.472,0.4787,0.4735,0.473,59021.77,YB-USD
1760817600,0.4728,0.4812,0.4728,0.4742,66631.15,YB-USD
1760821200,0.4653,0.4742,0.4732,0.473,101567.69,YB-USD
1760824800,0.4656,0.4742,0.4724,0.4656,137925.36,YB-USD
1760828400,0.4653,0.4779,0.4656,0.4714,129767.59,YB-USD
1760832000,0.4626,0.4762,0.4714,0.4684,89198.16,YB-USD
1760835600,0.46,0.4684,0.4684,0.4615,135966.73,YB-USD
1760839200,0.4357,0.4633,0.4615,0.4426,1186935.11,YB-USD
1760842800,0.4362,0.4538,0.4415,0.4492,284041.89,YB-USD
1760846400,0.4381,0.4502,0.4502,0.4407,145556.67,YB-USD
1760850000,0.4371,0.4525,0.4405,0.444,179016.97,YB-USD
1760853600,0.4317,0.4492,0.4441,0.4397,150959.31,YB-USD
1760857200,0.4313,0.4393,0.4393,0.4367,26515.45,YB-USD
1760860800,0.4114,0.4434,0.4368,0.4228,199660.49,YB-USD
1760864400,0.4167,0.436,0.4227,0.4303,59781.46,YB-USD
1760868000,0.4234,0.4337,0.4318,0.4337,47051.6,YB-USD
1760871600,0.4266,0.4374,0.4318,0.4285,67399.18,YB-USD
1760875200,0.4247,0.4373,0.4284,0.4353,34927.07,YB-USD
1760878800,0.4313,0.4485,0.4368,0.4452,141556.07,YB-USD
1760882400,0.442,0.4515,0.4453,0.4439,129125.19,YB-USD
1760886000,0.4388,0.4488,0.4442,0.4433,29798.9,YB-USD
1760889600,0.4376,0.4506,0.4431,0.4442,64556.36,YB-USD
1760893200,0.4434,0.4546,0.4448,0.4462,144206.36,YB-USD
1760896800,0.4368,0.4495,0.4463,0.4408,169264.03,YB-USD
1760900400,0.4409,0.4476,0.4409,0.4473,91768.84,YB-USD
1760904000,0.4388,0.4504,0.447,0.4498,89067.35,YB-USD
1760907600,0.4374,0.4512,0.4497,0.445,140499.69,YB-USD
1760911200,0.4425,0.4508,0.4454,0.4434,108607.8,YB-USD
1760914800,0.4351,0.444,0.4433,0.4392,86461.37,YB-USD
1760918400,0.4256,0.4399,0.4391,0.437,113847.69,YB-USD
1760922000,0.4284,0.439,0.437,0.4308,107631.18,YB-USD
1760925600,0.4226,0.439,0.4307,0.4378,127880.19,YB-USD
1760929200,0.4347,0.4635,0.4376,0.4626,316671.62,YB-USD
1760932800,0.457,0.4647,0.463,0.4598,167788.86,YB-USD
1760936400,0.4512,0.4709,0.4597,0.4621,308544.15,YB-USD
1760940000,0.4594,0.47,0.4618,0.4636,91874.37,YB-USD
1760943600,0.4482,0.4674,0.4644,0.4496,53621.39,YB-USD
1760947200,0.4392,0.45,0.4488,0.4461,17508.08,YB-USD
1760950800,0.4446,0.4582,0.4446,0.4528,18069.77,YB-USD
1760954400,0.4351,0.4544,0.453,0.4373,62786.8,YB-USD
1760958000,0.4305,0.442,0.437,0.4374,121771.12,YB-USD
1760961600,0.4324,0.4427,0.4373,0.4358,55218.09,YB-USD
1760965200,0.4312,0.4407,0.4359,0.4337,91434.9,YB-USD
1760968800,0.4266,0.4343,0.4336,0.4318,66738.85,YB-USD
1760972400,0.4141,0.4361,0.4319,0.4172,188285.2,YB-USD
1760976000,0.4072,0.418,0.4174,0.4142,81935.41,YB-USD
1760979600,0.4128,0.4207,0.4147,0.4147,31772.82,YB-USD
1760983200,0.4089,0.4156,0.4148,0.4134,109808.67,YB-USD
1760986800,0.4091,0.418,0.4128,0.4126,26548.65,YB-USD
1760990400,0.41,0.4384,0.4124,0.4152,261740.01,YB-USD
1760994000,0.4156,0.4204,0.4159,0.4193,5032.71,YB-USD
1760997600,0.418,0.4269,0.4198,0.4229,25054.67,YB-USD
1761001200,0.4229,0.4284,0.4242,0.4248,30433.24,YB-USD
1761004800,0.4224,0.4337,0.4252,0.4335,203351.43,YB-USD
1761008400,0.429,0.4418,0.4331,0.4318,166816.11,YB-USD
1761012000,0.4262,0.4372,0.4321,0.4294,63230.89,YB-USD
1761015600,0.4217,0.4316,0.4295,0.423,47328.62,YB-USD
1761019200,0.4073,0.4238,0.4231,0.4115,89608.98,YB-USD
1761022800,0.4071,0.4157,0.4115,0.4078,144964.38,YB-USD
1761026400,0.3868,0.4076,0.4076,0.3963,258344.67,YB-USD
1761030000,0.3909,0.3962,0.3962,0.3938,26135.84,YB-USD
1761033600,0.3836,0.3937,0.3937,0.3882,48550.06,YB-USD
1761037200,0.3875,0.3946,0.3881,0.3879,5042.26,YB-USD
1761040800,0.3885,0.4082,0.3885,0.3976,10454.44,YB-USD
1761044400,0.3917,0.398,0.3964,0.3934,10218.97,YB-USD
1761048000,0.3867,0.3977,0.3934,0.387,37308.78,YB-USD
1761051600,0.3822,0.3916,0.3874,0.384,39970.47,YB-USD
1761055200,0.3844,0.4034,0.3844,0.4034,42043.7,YB-USD
1761058800,0.3982,0.4044,0.4024,0.4044,54143.07,YB-USD
1761062400,0.3941,0.4088,0.4042,0.3958,16562.75,YB-USD
1761066000,0.3869,0.4014,0.3958,0.4005,32464.97,YB-USD
1761069600,0.3937,0.4007,0.4005,0.3965,63472.28,YB-USD
1761073200,0.39,0.398,0.3964,0.3906,42745.87,YB-USD
1761076800,0.3788,0.3939,0.391,0.3882,800031.58,YB-USD
1761080400,0.3651,0.3893,0.3888,0.3781,62862.88,YB-USD
1761084000,0.3647,0.3751,0.3741,0.3732,91051.74,YB-USD
1761087600,0.3679,0.375,0.3735,0.3741,113233.06,YB-USD
1761091200,0.3684,0.3761,0.3761,0.3685,478711.83,YB-USD
1761094800,0.3624,0.3734,0.3685,0.3734,352131.48,YB-USD
1761098400,0.3693,0.375,0.3735,0.3733,54095.94,YB-USD
1761102000,0.3738,0.3814,0.3738,0.3778,22224.09,YB-USD
1761105600,0.3787,0.3809,0.3787,0.3794,5807.37,YB-USD
1761109200,0.3772,0.3831,0.3781,0.3822,81887.01,YB-USD
1761112800,0.3744,0.3824,0.3815,0.3744,12237.66,YB-USD
1761116400,0.3712,0.3743,0.3738,0.3723,40115.56,YB-USD
1761120000,0.3671,0.372,0.372,0.3695,66814.28,YB-USD
1761123600,0.3596,0.3703,0.3695,0.3601,69029.47,YB-USD
1761127200,0.357,0.3704,0.3593,0.3699,26554.29,YB-USD
1761130800,0.368,0.3845,0.3699,0.3845,41394.16,YB-USD
1761134400,0.3826,0.3971,0.384,0.3947,28522.65,YB-USD
1761138000,0.3821,0.3972,0.3948,0.3954,115475.84,YB-USD
1761141600,0.39,0.4215,0.3966,0.4186,153755.1,YB-USD
1761145200,0.3948,0.4194,0.4186,0.4171,389501.46,YB-USD
1761148800,0.4062,0.4188,0.4164,0.4079,576209.53,YB-USD
1761152400,0.399,0.4088,0.4073,0.3999,262288.06,YB-USD
1761156000,0.3929,0.401,0.3998,0.395,64057.38,YB-USD
1761159600,0.395,0.4052,0.395,0.3986,57999.77,YB-USD
1761163200,0.3987,0.4047,0.3987,0.4011,81318.37,YB-USD
1761166800,0.3883,0.4006,0.4006,0.3892,102505.04,YB-USD
1761170400,0.386,0.3974,0.3893,0.3892,100956.08,YB-USD
1761174000,0.3896,0.4047,0.3896,0.4027,171881.7,YB-USD
1761177600,0.3952,0.4142,0.4032,0.4122,117797.61,YB-USD
1761181200,0.4118,0.444,0.4118,0.4354,1038222.56,YB-USD
1761184800,0.4343,0.4615,0.4348,0.4615,621798.87,YB-USD
1761188400,0.4347,0.5042,0.4609,0.4558,1715971.62,YB-USD
1761192000,0.4497,0.4745,0.4559,0.4665,3075606.44,YB-USD
1761195600,0.4578,0.4781,0.4668,0.468,645139.35,YB-USD
1761199200,0.4473,0.468,0.468,0.4517,391825.77,YB-USD
1761202800,0.4338,0.4522,0.4515,0.448,255607.48,YB-USD
1761206400,0.4439,0.4671,0.4479,0.4652,260845.66,YB-USD
1761210000,0.463,0.4863,0.465,0.4748,478761.48,YB-USD
1761213600,0.4528,0.4798,0.4752,0.4578,335095.35,YB-USD
1761217200,0.4503,0.4747,0.4581,0.4551,494510.91,YB-USD
1761220800,0.4505,0.4848,0.4551,0.4833,532807.32,YB-USD
1761224400,0.4774,0.5094,0.4834,0.5088,495170.0,YB-USD
1761228000,0.485,0.5209,0.5086,0.5034,2176750.4,YB-USD
1761231600,0.4759,0.5044,0.5038,0.4816,420527.87,YB-USD
1761235200,0.4691,0.4896,0.4815,0.4845,964573.31,YB-USD
1761238800,0.4764,0.4899,0.4836,0.4819,472722.03,YB-USD
1761242400,0.4761,0.491,0.4818,0.4907,359759.94,YB-USD
1761246000,0.4759,0.4995,0.4905,0.4788,455173.74,YB-USD
1761249600,0.4568,0.4792,0.4789,0.4659,1135231.09,YB-USD
1761253200,0.4588,0.4726,0.4658,0.4695,312226.0,YB-USD
1761256800,0.4644,0.4784,0.4694,0.474,480144.68,YB-USD
1761260400,0.474,0.4863,0.475,0.4815,515333.07,YB-USD
1761264000,0.48,0.5229,0.4813,0.5162,1487787.6,YB-USD
1761267600,0.496,0.518,0.5162,0.4997,1296233.6,YB-USD
1761271200,0.493,0.5038,0.4998,0.4979,276202.05,YB-USD
1761274800,0.4841,0.5019,0.498,0.4951,514248.57,YB-USD
1761278400,0.488,0.5153,0.4951,0.5097,635133.89,YB-USD
1761282000,0.4945,0.5116,0.5099,0.496,206669.72,YB-USD
1761285600,0.4814,0.4967,0.4958,0.4869,167950.35,YB-USD
1761289200,0.4724,0.4868,0.4868,0.4748,145266.66,YB-USD
1761292800,0.4669,0.4804,0.4744,0.4767,88875.7,YB-USD
1761296400,0.4751,0.4872,0.4764,0.4782,59254.96,YB-USD
1761300000,0.4573,0.478,0.478,0.4676,119549.2,YB-USD
1761303600,0.4601,0.4682,0.4675,0.467,74183.29,YB-USD
1761307200,0.4629,0.4844,0.4666,0.4708,69695.04,YB-USD
1761310800,0.459,0.4742,0.4705,0.4648,139943.04,YB-USD
1761314400,0.4614,0.4736,0.4647,0.4692,91498.96,YB-USD
1761318000,0.4585,0.4695,0.4693,0.4614,69240.36,YB-USD
1761321600,0.4584,0.4773,0.4616,0.4629,110596.09,YB-USD
1761325200,0.4526,0.4653,0.4627,0.4526,71268.96,YB-USD
1761328800,0.4529,0.4619,0.4532,0.4619,28672.06,YB-USD
1761332400,0.462,0.4719,0.462,0.468,65697.23,YB-USD
1761336000,0.4672,0.4779,0.4672,0.4778,93038.01,YB-USD
1761339600,0.4752,0.4834,0.4778,0.4806,69712.55,YB-USD
1761343200,0.4795,0.4862,0.4805,0.4806,567419.62,YB-USD
1761346800,0.4759,0.4876,0.4804,0.4766,1230268.91,YB-USD
1761350400,0.4724,0.481,0.4768,0.4756,107315.85,YB-USD
1761354000,0.4758,0.4953,0.4758,0.4861,86579.22,YB-USD
1761357600,0.4799,0.4894,0.4862,0.4845,178225.68,YB-USD
1761361200,0.476,0.4924,0.4847,0.4872,81028.57,YB-USD
1761364800,0.4813,0.4938,0.4874,0.4814,32737.32,YB-USD
1761368400,0.4734,0.4854,0.4819,0.475,62423.79,YB-USD
1761372000,0.4616,0.4765,0.4756,0.4643,70509.18,YB-USD
1761375600,0.458,0.4656,0.4643,0.4616,106894.58,YB-USD
1761379200,0.4603,0.4783,0.4615,0.4756,20605.2,YB-USD
1761382800,0.4707,0.4789,0.4758,0.4745,11782.29,YB-USD
1761386400,0.473,0.4961,0.4746,0.494,63165.23,YB-USD
1761390000,0.4917,0.5076,0.4937,0.5003,103413.01,YB-USD
1761393600,0.4981,0.527,0.5004,0.5211,451420.72,YB-USD
1761397200,0.5024,0.5221,0.522,0.5056,172672.88,YB-USD
1761400800,0.49,0.5052,0.5048,0.4984,75397.88,YB-USD
1761404400,0.4989,0.5037,0.4989,0.5011,1054.16,YB-USD
1761426000,0.5479,0.5667,0.564,0.5514,46105.22,YB-USD
1761429600,0.5418,0.562,0.5517,0.5571,230500.0,YB-USD
1761433200,0.553,0.5735,0.5568,0.565,212535.56,YB-USD
1761436800,0.5547,0.5799,0.5652,0.568,219973.51,YB-USD
1761440400,0.566,0.6232,0.5669,0.5876,2073465.06,YB-USD
1761444000,0.5739,0.6031,0.588,0.5755,1072568.96,YB-USD
1761447600,0.5681,0.5842,0.5756,0.5787,588570.58,YB-USD
1761451200,0.5612,0.5787,0.5781,0.5748,154736.62,YB-USD
1761454800,0.566,0.5828,0.5752,0.5725,167847.83,YB-USD
1761458400,0.5637,0.5815,0.5727,0.5801,145792.13,YB-USD
1761462000,0.5665,0.5831,0.58,0.5674,304036.01,YB-USD
1761465600,0.5642,0.5732,0.5672,0.5658,268354.56,YB-USD
1761469200,0.5519,0.5658,0.5657,0.558,102637.85,YB-USD
1761472800,0.5534,0.5617,0.558,0.5546,57904.44,YB-USD
1761476400,0.5468,0.567,0.555,0.5625,46986.91,YB-USD
1761480000,0.5558,0.5658,0.5625,0.5624,57858.67,YB-USD
1761483600,0.5621,0.5777,0.5625,0.5627,107771.31,YB-USD
1761487200,0.5594,0.5764,0.5632,0.5735,207477.93,YB-USD
1761490800,0.5669,0.5796,0.5737,0.5674,107281.31,YB-USD
1761494400,0.5612,0.6124,0.5681,0.6124,222816.48,YB-USD
1761498000,0.5832,0.6163,0.6121,0.5858,377127.82,YB-USD
1761501600,0.5624,0.5926,0.5857,0.5659,241354.97,YB-USD
1761505200,0.5573,0.5658,0.5646,0.5608,110694.52,YB-USD
1761508800,0.5484,0.5641,0.5608,0.5497,228089.31,YB-USD
1761512400,0.5498,0.5566,0.55,0.5533,53288.09,YB-USD
1761516000,0.5534,0.5837,0.5536,0.5788,197439.06,YB-USD
1761519600,0.5699,0.5839,0.5792,0.5724,97794.93,YB-USD
1761523200,0.5599,0.5779,0.5726,0.5715,196291.93,YB-USD
1761526800,0.561,0.5766,0.5722,0.561,115175.91,YB-USD
1761530400,0.5519,0.565,0.5607,0.5619,118876.52,YB-USD
1761534000,0.5551,0.5707,0.5628,0.5567,95716.25,YB-USD
1761537600,0.5571,0.5712,0.5574,0.5582,143975.15,YB-USD
1761541200,0.5492,0.5647,0.559,0.5507,173072.52,YB-USD
1761544800,0.5303,0.5516,0.5502,0.543,137195.59,YB-USD
1761548400,0.5271,0.5444,0.543,0.5351,279263.61,YB-USD
1761552000,0.5206,0.5366,0.534,0.5208,160452.17,YB-USD
1761555600,0.5118,0.5233,0.5208,0.5227,161511.17,YB-USD
1761559200,0.5127,0.5225,0.5225,0.5141,72971.9,YB-USD
1761562800,0.506,0.5163,0.5147,0.509,92341.58,YB-USD
1761566400,0.5034,0.5153,0.5094,0.5066,37183.08,YB-USD
1761570000,0.4955,0.5089,0.5064,0.5023,42806.88,YB-USD
1761573600,0.494,0.5054,0.5025,0.4946,76648.75,YB-USD
1761577200,0.4872,0.4958,0.4945,0.4922,60129.79,YB-USD
1761580800,0.4821,0.5017,0.4924,0.4907,148514.79,YB-USD
1761584400,0.4883,0.4971,0.4907,0.4951,141731.07,YB-USD
1761588000,0.49,0.4995,0.4949,0.4935,138322.28,YB-USD
1761591600,0.4914,0.5351,0.4936,0.5342,388285.28,YB-USD
1761595200,0.5234,0.576,0.534,0.572,486054.4,YB-USD
1761595200,0.5234,0.576,0.534,0.572,486054.4,YB-USD
1761598800,0.555,0.5903,0.5718,0.5673,362765.58,YB-USD
1761602400,0.5676,0.5935,0.5676,0.5809,264456.04,YB-USD
1761606000,0.5748,0.6086,0.5804,0.596,329669.94,YB-USD
1761609600,0.5888,0.612,0.5948,0.599,513469.74,YB-USD
1761613200,0.5874,0.612,0.5989,0.602,228245.02,YB-USD
1761616800,0.5597,0.6019,0.6019,0.5778,309259.22,YB-USD
1761620400,0.569,0.5886,0.577,0.5798,101038.85,YB-USD
1761624000,0.566,0.5941,0.5802,0.5662,128581.42,YB-USD
1761627600,0.5601,0.5722,0.5668,0.5702,76083.14,YB-USD
1761631200,0.5603,0.5792,0.5708,0.5631,98737.86,YB-USD
1761634800,0.5618,0.5746,0.5623,0.5663,101051.3,YB-USD
1761638400,0.5636,0.5762,0.5664,0.5688,76908.62,YB-USD
1761642000,0.5524,0.57,0.5686,0.5613,93279.22,YB-USD
1761645600,0.5479,0.5688,0.5611,0.56,99735.32,YB-USD
1761649200,0.5452,0.5611,0.5601,0.5481,102684.31,YB-USD
1761652800,0.542,0.5756,0.5482,0.5664,288503.66,YB-USD
1761656400,0.5596,0.5764,0.567,0.5642,200600.77,YB-USD
1761660000,0.5382,0.5656,0.564,0.5497,142949.97,YB-USD
1761663600,0.5506,0.5663,0.5506,0.5642,157230.58,YB-USD
1761667200,0.5629,0.5951,0.5641,0.5824,459109.68,YB-USD
1761670800,0.5737,0.5898,0.5822,0.5879,234583.75,YB-USD
1761674400,0.5746,0.5925,0.5888,0.5776,313936.39,YB-USD
1761678000,0.5685,0.5895,0.5784,0.5841,156099.72,YB-USD
1761681600,0.5784,0.5982,0.5836,0.5947,224730.36,YB-USD
1761685200,0.5766,0.5954,0.5946,0.5788,98710.07,YB-USD
1761688800,0.5723,0.5863,0.579,0.5788,93803.95,YB-USD
1761692400,0.5636,0.5825,0.579,0.5692,182230.45,YB-USD
1761696000,0.5462,0.5706,0.568,0.5572,206234.29,YB-USD
1761699600,0.5566,0.6041,0.5577,0.6,486731.33,YB-USD
1761703200,0.5973,0.6307,0.5996,0.6075,707195.65,YB-USD
1761706800,0.5998,0.6132,0.6073,0.6095,145188.68,YB-USD
1761710400,0.6022,0.6164,0.6096,0.6054,345025.46,YB-USD
1761714000,0.5852,0.6104,0.605,0.6069,248244.17,YB-USD
1761717600,0.6048,0.6469,0.6068,0.632,711786.26,YB-USD
1761721200,0.5996,0.6337,0.631,0.6002,519505.19,YB-USD
1761724800,0.5951,0.6254,0.5998,0.6136,236200.64,YB-USD
1761728400,0.6045,0.6325,0.6134,0.6218,227961.15,YB-USD
1761732000,0.603,0.6216,0.6216,0.6128,114886.28,YB-USD
1761735600,0.606,0.6164,0.613,0.6096,77335.78,YB-USD
1761739200,0.6045,0.6256,0.6094,0.6186,95998.39,YB-USD
1761742800,0.5922,0.6178,0.617,0.5978,121148.86,YB-USD
1761746400,0.5979,0.6111,0.598,0.5994,87686.53,YB-USD
1761750000,0.5854,0.6152,0.5994,0.6152,118673.98,YB-USD
1761753600,0.6076,0.629,0.6143,0.6225,236083.19,YB-USD
1761757200,0.6176,0.6337,0.623,0.6227,105438.73,YB-USD
1761760800,0.6184,0.643,0.623,0.6371,324896.3,YB-USD
1761764400,0.6277,0.6702,0.6379,0.6316,402582.16,YB-USD
1761768000,0.6272,0.6453,0.6319,0.6372,251628.64,YB-USD
1761771600,0.6344,0.6598,0.6364,0.6556,178316.13,YB-USD
1761775200,0.6534,0.6894,0.6558,0.6858,278682.4,YB-USD
1761778800,0.6578,0.6908,0.6858,0.67,272041.62,YB-USD
1761782400,0.6555,0.6855,0.6704,0.6817,144201.37,YB-USD
1761786000,0.6652,0.69,0.6817,0.6694,147323.12,YB-USD
1761789600,0.6556,0.6784,0.6692,0.6673,137099.4,YB-USD
1761793200,0.6464,0.671,0.6673,0.6574,274287.59,YB-USD
1761796800,0.6472,0.6668,0.657,0.6598,342668.83,YB-USD
1761800400,0.6488,0.6747,0.6594,0.6606,79792.01,YB-USD
1761804000,0.6493,0.6658,0.6604,0.6594,56962.51,YB-USD
1761807600,0.6514,0.6705,0.6592,0.6564,81466.86,YB-USD
1761811200,0.6455,0.6632,0.6568,0.653,71560.84,YB-USD
1761814800,0.6242,0.652,0.6514,0.6296,54476.12,YB-USD
1761818400,0.6298,0.6478,0.6298,0.646,60413.21,YB-USD
1761822000,0.6403,0.6612,0.6462,0.642,198999.59,YB-USD
1761825600,0.6422,0.6593,0.6422,0.6551,141204.01,YB-USD
1761829200,0.6422,0.6582,0.6554,0.6482,41204.69,YB-USD
1761832800,0.5952,0.6512,0.6484,0.6034,269678.78,YB-USD
