time,low,high,open,close,volume,symbol
1640995200,60.46,61.68,60.46,61.66,372.593,ZEN-USD
1640998800,61.18,61.87,61.63,61.22,3547.578,ZEN-USD
1641002400,61.26,61.79,61.34,61.44,607.386,ZEN-USD
1641006000,61.07,61.55,61.44,61.36,1169.49,ZEN-USD
1641009600,60.8,61.36,61.36,60.84,857.608,ZEN-USD
1641013200,60.84,61.95,60.84,61.55,1253.582,ZEN-USD
1641016800,61.3,61.72,61.59,61.35,37.392,ZEN-USD
1641020400,61.23,61.74,61.3,61.58,69.069,ZEN-USD
1641024000,61.5,61.87,61.59,61.68,25.384,ZEN-USD
1641027600,61.18,61.64,61.63,61.43,33.19,ZEN-USD
1641031200,60.66,61.67,61.67,61.11,40.806,ZEN-USD
1641034800,61.01,61.32,61.09,61.01,64.478,ZEN-USD
1641038400,61.03,61.76,61.03,61.76,862.583,ZEN-USD
1641042000,61.65,61.89,61.71,61.83,145.586,ZEN-USD
1641045600,61.58,61.89,61.78,61.6,51.269,ZEN-USD
1641049200,61.65,62.42,61.65,62.12,268.991,ZEN-USD
1641052800,62.14,62.72,62.17,62.72,160.441,ZEN-USD
1641056400,62.35,63.39,62.73,63.37,146.276,ZEN-USD
1641060000,62.96,63.37,63.28,63.27,659.764,ZEN-USD
1641063600,63.14,63.6,63.22,63.51,311.999,ZEN-USD
1641067200,63.33,63.84,63.55,63.61,116.913,ZEN-USD
1641070800,63.63,64.11,63.76,63.7,1133.249,ZEN-USD
1641074400,63.64,63.95,63.7,63.72,234.462,ZEN-USD
1641078000,63.42,64.17,63.62,64.02,485.095,ZEN-USD
1641081600,63.88,64.41,64.18,63.88,604.082,ZEN-USD
1641085200,63.45,63.87,63.86,63.51,297.913,ZEN-USD
1641088800,63.42,64.18,63.44,63.5,302.904,ZEN-USD
1641092400,63.3,63.63,63.5,63.3,113.733,ZEN-USD
1641096000,62.18,63.51,63.42,62.69,408.482,ZEN-USD
1641099600,62.66,63.31,62.72,63.13,280.404,ZEN-USD
1641103200,62.97,63.3,63.19,62.97,59.859,ZEN-USD
1641106800,62.96,63.2,62.97,62.98,72.136,ZEN-USD
1641110400,62.74,63.56,62.98,63.5,192.366,ZEN-USD
1641114000,63.39,63.89,63.48,63.69,67.145,ZEN-USD
1641117600,63.51,63.91,63.87,63.83,78.719,ZEN-USD
1641121200,63.44,63.92,63.88,63.44,22.255,ZEN-USD
1641124800,63.14,63.91,63.36,63.63,104.11,ZEN-USD
1641128400,63.34,63.63,63.61,63.49,54.848,ZEN-USD
1641132000,63.42,63.73,63.44,63.69,144.487,ZEN-USD
1641135600,63.7,64.37,63.7,64.37,198.924,ZEN-USD
1641139200,64.34,65.16,64.38,65.16,292.15,ZEN-USD
1641142800,64.88,65.34,65.17,64.89,78.594,ZEN-USD
1641146400,63.24,64.98,64.81,64.2,2139.057,ZEN-USD
1641150000,63.88,64.7,64.15,64.06,1808.456,ZEN-USD
1641153600,64.08,64.73,64.08,64.67,480.808,ZEN-USD
1641157200,64.67,65.15,64.69,65.03,208.233,ZEN-USD
1641160800,65.0,65.39,65.01,65.27,207.568,ZEN-USD
1641164400,64.92,65.25,65.25,64.92,220.265,ZEN-USD
1641168000,64.56,65.71,64.96,65.03,192.784,ZEN-USD
1641171600,64.88,65.62,64.99,65.18,319.505,ZEN-USD
1641175200,64.57,65.48,65.11,65.25,227.221,ZEN-USD
1641178800,64.22,65.57,65.48,64.6,248.693,ZEN-USD
1641182400,64.28,66.0,64.6,64.6,853.209,ZEN-USD
1641186000,64.63,65.88,64.63,65.54,273.386,ZEN-USD
1641189600,65.12,65.55,65.44,65.29,58.096,ZEN-USD
1641193200,64.96,65.34,65.34,65.05,54.134,ZEN-USD
1641196800,64.83,65.93,65.06,65.06,236.927,ZEN-USD
1641200400,64.45,65.65,65.19,65.65,270.07,ZEN-USD
1641204000,65.31,66.28,65.66,66.28,130.663,ZEN-USD
1641207600,66.06,66.66,66.29,66.18,219.35,ZEN-USD
1641211200,65.71,66.28,66.22,65.8,243.42,ZEN-USD
1641214800,65.87,66.21,65.89,66.05,142.897,ZEN-USD
1641218400,65.69,66.48,66.08,65.79,432.846,ZEN-USD
1641222000,64.74,65.85,65.76,65.01,159.996,ZEN-USD
1641225600,63.08,64.97,64.97,63.36,265.875,ZEN-USD
1641229200,63.31,63.93,63.63,63.89,470.247,ZEN-USD
1641232800,63.34,64.04,63.84,63.44,686.522,ZEN-USD
1641236400,63.22,64.03,63.58,63.38,415.885,ZEN-USD
1641240000,61.87,63.44,63.44,62.31,384.273,ZEN-USD
1641243600,62.37,63.15,62.49,62.99,285.622,ZEN-USD
1641247200,62.97,63.73,62.97,63.37,330.971,ZEN-USD
1641250800,63.32,63.69,63.51,63.5,695.928,ZEN-USD
1641254400,62.45,63.84,63.39,62.79,1956.142,ZEN-USD
1641258000,62.36,63.16,62.73,62.44,484.484,ZEN-USD
1641261600,61.99,62.81,62.35,62.54,280.995,ZEN-USD
1641265200,62.22,63.21,62.6,63.0,170.077,ZEN-USD
1641268800,62.59,63.04,62.93,62.59,433.016,ZEN-USD
1641272400,62.56,63.38,62.58,63.02,19.192,ZEN-USD
1641276000,62.99,63.46,63.13,63.46,905.214,ZEN-USD
1641279600,63.15,63.61,63.47,63.61,128.817,ZEN-USD
1641283200,63.44,64.21,63.62,63.98,1068.34,ZEN-USD
1641286800,63.79,64.22,64.08,63.96,102.453,ZEN-USD
1641290400,63.77,64.42,63.98,64.31,212.396,ZEN-USD
1641294000,64.13,64.53,64.42,64.19,43.063,ZEN-USD
1641297600,63.82,64.14,64.14,64.08,300.763,ZEN-USD
1641301200,63.95,64.99,63.95,64.99,142.618,ZEN-USD
1641304800,64.75,65.95,65.0,65.68,90.673,ZEN-USD
1641308400,65.65,66.28,65.74,65.76,510.801,ZEN-USD
1641312000,65.61,66.28,65.7,65.85,361.025,ZEN-USD
1641315600,65.55,66.41,65.9,65.58,765.554,ZEN-USD
1641319200,64.05,66.15,65.72,64.23,1678.977,ZEN-USD
1641322800,63.96,65.58,64.26,65.5,257.82,ZEN-USD
1641326400,65.51,66.66,65.51,66.34,373.907,ZEN-USD
1641330000,65.74,66.82,66.53,65.93,808.9,ZEN-USD
1641333600,65.38,65.92,65.92,65.51,473.418,ZEN-USD
1641337200,64.4,65.52,65.48,64.42,915.901,ZEN-USD
1641340800,64.01,65.55,64.58,65.54,338.653,ZEN-USD
1641344400,64.94,65.71,65.45,65.47,265.429,ZEN-USD
1641348000,65.02,66.07,65.49,65.89,157.145,ZEN-USD
1641351600,65.74,66.66,65.98,66.29,317.114,ZEN-USD
1641355200,66.15,67.38,66.28,66.79,376.239,ZEN-USD
1641358800,66.75,67.73,66.75,66.98,291.795,ZEN-USD
1641362400,66.75,67.85,67.05,67.85,241.993,ZEN-USD
1641366000,67.46,67.92,67.81,67.82,324.158,ZEN-USD
1641369600,67.3,68.13,67.84,68.13,89.975,ZEN-USD
1641373200,67.77,68.64,68.14,68.64,182.562,ZEN-USD
1641376800,68.18,68.63,68.63,68.51,133.599,ZEN-USD
1641380400,67.28,68.54,68.52,67.96,646.804,ZEN-USD
1641384000,66.83,68.48,68.06,68.05,285.534,ZEN-USD
1641387600,68.07,69.64,68.1,68.8,1002.304,ZEN-USD
1641391200,67.88,69.16,68.92,68.89,299.583,ZEN-USD
1641394800,68.25,69.01,68.86,68.6,427.229,ZEN-USD
1641398400,67.2,68.44,68.44,67.41,417.173,ZEN-USD
1641402000,65.5,67.54,67.41,65.5,272.327,ZEN-USD
1641405600,65.13,66.62,65.64,65.76,1906.198,ZEN-USD
1641409200,62.06,65.75,65.75,62.42,1362.383,ZEN-USD
1641412800,60.81,63.03,62.39,61.28,1596.625,ZEN-USD
1641416400,60.68,62.27,61.31,60.96,1017.6,ZEN-USD
1641420000,57.17,61.4,60.95,60.42,1179.686,ZEN-USD
1641423600,59.92,61.16,60.35,60.33,587.082,ZEN-USD
1641427200,59.74,60.77,60.3,60.51,472.781,ZEN-USD
1641430800,59.16,60.67,60.56,59.59,669.79,ZEN-USD
1641434400,58.72,59.54,59.46,59.11,1534.903,ZEN-USD
1641438000,57.88,59.02,59.0,57.88,582.147,ZEN-USD
1641441600,57.73,58.8,58.02,58.5,399.613,ZEN-USD
1641445200,58.25,59.19,58.25,58.5,251.559,ZEN-USD
1641448800,57.96,58.78,58.49,58.23,785.47,ZEN-USD
1641452400,58.24,58.93,58.24,58.58,353.708,ZEN-USD
1641456000,57.31,58.47,58.47,57.92,303.055,ZEN-USD
1641459600,56.47,57.94,57.94,56.88,302.955,ZEN-USD
1641463200,56.98,57.93,56.98,57.63,111.536,ZEN-USD
1641466800,56.83,57.77,57.74,57.66,252.891,ZEN-USD
1641470400,56.52,57.65,57.65,57.38,735.039,ZEN-USD
1641474000,56.94,58.08,57.39,58.07,576.733,ZEN-USD
1641477600,57.18,58.18,58.09,57.52,520.539,ZEN-USD
1641481200,56.44,57.45,57.38,57.35,1598.266,ZEN-USD
1641484800,56.89,57.71,57.44,57.59,190.367,ZEN-USD
1641488400,57.25,58.08,57.52,57.85,460.157,ZEN-USD
1641492000,57.81,58.41,57.88,58.23,559.005,ZEN-USD
1641495600,57.83,58.38,58.18,57.88,452.603,ZEN-USD
1641499200,57.3,58.14,57.85,57.52,159.085,ZEN-USD
1641502800,57.46,57.86,57.59,57.46,642.057,ZEN-USD
1641506400,57.48,58.14,57.6,58.03,137.769,ZEN-USD
1641510000,57.67,58.13,58.04,57.79,812.37,ZEN-USD
1641513600,56.88,57.85,57.85,57.4,660.725,ZEN-USD
1641517200,56.61,57.51,57.41,57.35,1269.36,ZEN-USD
1641520800,56.52,57.3,57.3,56.52,580.216,ZEN-USD
1641524400,53.3,56.76,56.51,53.71,2393.854,ZEN-USD
1641528000,52.11,54.41,53.69,54.25,2657.023,ZEN-USD
1641531600,53.55,54.23,54.09,54.06,600.406,ZEN-USD
1641535200,52.56,54.09,53.98,52.79,676.783,ZEN-USD
1641538800,52.12,53.55,52.79,53.55,513.225,ZEN-USD
