time,low,high,open,close,volume,symbol
1757959200,0.9131,0.9339,0.931,0.9246,69094.6,ZKC-USD
1757962800,0.8759,0.9434,0.9299,0.9017,1386981.61,ZKC-USD
1757966400,0.8928,0.944,0.9016,0.9328,1043207.87,ZKC-USD
1757970000,0.9241,0.9922,0.9338,0.9594,1504407.63,ZKC-USD
1757973600,0.93,0.9697,0.9594,0.9376,229272.16,ZKC-USD
1757977200,0.9316,0.9649,0.9397,0.944,202801.59,ZKC-USD
1757980800,0.8991,0.9565,0.9502,0.9262,250298.45,ZKC-USD
1757984400,0.9055,0.9588,0.9272,0.9188,355773.92,ZKC-USD
1757988000,0.88,0.9283,0.9224,0.8881,268079.65,ZKC-USD
1757991600,0.8665,0.8995,0.8876,0.8831,282326.96,ZKC-USD
1757995200,0.8556,0.891,0.8825,0.8746,184060.54,ZKC-USD
1757995200,0.8556,0.891,0.8825,0.8746,184060.54,ZKC-USD
1757998800,0.8641,0.8869,0.8746,0.8704,87855.12,ZKC-USD
1758002400,0.8579,0.8832,0.87,0.8708,126221.62,ZKC-USD
1758006000,0.8697,0.8866,0.8705,0.8863,84027.58,ZKC-USD
1758009600,0.884,0.9111,0.886,0.8902,62211.05,ZKC-USD
1758013200,0.8145,0.8938,0.8927,0.822,127998.34,ZKC-USD
1758016800,0.7869,0.842,0.8258,0.7924,181644.78,ZKC-USD
1758020400,0.7804,0.8117,0.7918,0.7983,230398.36,ZKC-USD
1758024000,0.7877,0.8376,0.7983,0.8156,332890.07,ZKC-USD
1758027600,0.7836,0.8212,0.8168,0.8,389775.33,ZKC-USD
1758031200,0.7861,0.812,0.8,0.8061,199138.71,ZKC-USD
1758034800,0.757,0.8055,0.8055,0.7687,431928.13,ZKC-USD
1758038400,0.7341,0.77,0.7687,0.7511,718710.64,ZKC-USD
1758042000,0.7463,0.7729,0.7513,0.7591,374670.99,ZKC-USD
1758045600,0.7562,0.7759,0.7596,0.7698,303195.78,ZKC-USD
1758049200,0.7675,0.7892,0.7696,0.7819,376365.26,ZKC-USD
1758052800,0.775,0.7951,0.7826,0.785,571379.13,ZKC-USD
1758056400,0.7827,0.8033,0.7854,0.7842,549921.29,ZKC-USD
1758060000,0.78,0.7922,0.7846,0.7827,346982.79,ZKC-USD
1758063600,0.78,0.8109,0.7816,0.805,215958.73,ZKC-USD
1758067200,0.7572,0.8283,0.805,0.768,421659.42,ZKC-USD
1758070800,0.7537,0.775,0.768,0.7661,658734.52,ZKC-USD
1758074400,0.7485,0.7723,0.766,0.7627,501489.62,ZKC-USD
1758078000,0.7423,0.7673,0.7644,0.7525,317171.21,ZKC-USD
1758081600,0.7448,0.7564,0.7537,0.7514,121879.69,ZKC-USD
1758085200,0.7371,0.7649,0.7524,0.7496,339145.31,ZKC-USD
1758088800,0.7133,0.7527,0.7494,0.7307,280199.75,ZKC-USD
1758092400,0.7255,0.7398,0.73,0.7348,165052.57,ZKC-USD
1758096000,0.7161,0.7343,0.7343,0.722,171032.61,ZKC-USD
1758099600,0.7219,0.7364,0.722,0.7325,94271.41,ZKC-USD
1758103200,0.7204,0.7384,0.733,0.7215,106550.77,ZKC-USD
1758106800,0.7204,0.736,0.7231,0.7311,84057.0,ZKC-USD
1758110400,0.723,0.7403,0.7308,0.7279,316866.37,ZKC-USD
1758114000,0.7265,0.7409,0.7276,0.7372,165640.21,ZKC-USD
1758117600,0.7357,0.7477,0.7376,0.739,257066.61,ZKC-USD
1758121200,0.7386,0.76,0.7388,0.7486,185334.56,ZKC-USD
1758124800,0.7356,0.7663,0.7474,0.7659,282936.77,ZKC-USD
1758128400,0.7222,0.7688,0.7659,0.7312,233043.41,ZKC-USD
1758132000,0.7288,0.7521,0.7312,0.7445,285788.95,ZKC-USD
1758135600,0.7454,0.7618,0.7454,0.7601,196251.05,ZKC-USD
1758139200,0.7448,0.7665,0.7604,0.747,90178.95,ZKC-USD
1758142800,0.7405,0.7599,0.7466,0.7524,102473.77,ZKC-USD
1758146400,0.7533,0.769,0.7537,0.7666,250299.18,ZKC-USD
1758150000,0.763,0.7798,0.7666,0.7741,330111.99,ZKC-USD
1758153600,0.7537,0.7902,0.7728,0.7593,255133.07,ZKC-USD
1758157200,0.752,0.8024,0.7592,0.7778,680687.49,ZKC-USD
1758160800,0.769,0.7953,0.7786,0.779,465190.31,ZKC-USD
1758164400,0.7749,0.7951,0.779,0.7894,204500.12,ZKC-USD
1758168000,0.7784,0.794,0.7908,0.7812,100192.18,ZKC-USD
1758171600,0.7767,0.7988,0.7809,0.7938,112338.78,ZKC-USD
1758175200,0.7696,0.7939,0.7939,0.7733,144160.59,ZKC-USD
1758178800,0.7607,0.7812,0.773,0.765,182840.65,ZKC-USD
1758182400,0.7568,0.7742,0.7644,0.7739,67698.56,ZKC-USD
1758186000,0.77,0.7806,0.7732,0.7714,45908.35,ZKC-USD
1758189600,0.7486,0.7728,0.7716,0.7536,96532.87,ZKC-USD
1758193200,0.7445,0.7566,0.7537,0.7449,93130.55,ZKC-USD
1758196800,0.745,0.7562,0.7454,0.7482,23798.56,ZKC-USD
1758200400,0.7452,0.7526,0.7487,0.7508,124349.61,ZKC-USD
1758204000,0.748,0.7557,0.7504,0.7483,82736.88,ZKC-USD
1758207600,0.7404,0.7521,0.7484,0.7516,160930.32,ZKC-USD
1758211200,0.7518,0.7762,0.7518,0.7729,230095.01,ZKC-USD
1758214800,0.7684,0.7775,0.7724,0.7708,66420.08,ZKC-USD
1758218400,0.7649,0.7775,0.7704,0.7717,125933.81,ZKC-USD
1758222000,0.7624,0.7731,0.7714,0.7667,68511.5,ZKC-USD
1758225600,0.7665,0.7786,0.7665,0.7778,48350.37,ZKC-USD
1758229200,0.7708,0.7802,0.7789,0.7708,21206.37,ZKC-USD
1758232800,0.766,0.7763,0.7707,0.7693,108550.75,ZKC-USD
1758236400,0.7598,0.7793,0.7688,0.7753,167782.32,ZKC-USD
1758240000,0.7616,0.7811,0.7752,0.7702,125491.22,ZKC-USD
1758243600,0.7621,0.7746,0.7703,0.7675,26742.31,ZKC-USD
1758247200,0.7504,0.7674,0.7674,0.7504,127999.27,ZKC-USD
1758250800,0.728,0.751,0.751,0.7322,303464.75,ZKC-USD
1758254400,0.7208,0.7383,0.7329,0.736,77152.58,ZKC-USD
1758258000,0.7279,0.7397,0.7358,0.7301,74091.47,ZKC-USD
1758261600,0.7283,0.7349,0.7301,0.7284,48995.82,ZKC-USD
1758265200,0.7236,0.74,0.7285,0.7355,89908.3,ZKC-USD
1758268800,0.7303,0.7384,0.7357,0.738,21139.23,ZKC-USD
1758272400,0.7282,0.7437,0.7386,0.7346,29307.45,ZKC-USD
1758276000,0.7337,0.7409,0.7346,0.7398,54648.73,ZKC-USD
1758279600,0.7299,0.7414,0.7412,0.7338,48429.43,ZKC-USD
1758283200,0.7262,0.7366,0.7348,0.7337,162091.85,ZKC-USD
1758286800,0.721,0.7433,0.7337,0.7401,347391.11,ZKC-USD
1758290400,0.72,0.7401,0.7401,0.7257,134465.83,ZKC-USD
1758294000,0.7126,0.7252,0.7252,0.724,176670.05,ZKC-USD
1758297600,0.7233,0.7375,0.724,0.7358,79476.55,ZKC-USD
1758301200,0.7301,0.7376,0.7365,0.7362,105681.43,ZKC-USD
1758304800,0.7326,0.7415,0.7372,0.7382,59262.79,ZKC-USD
1758308400,0.7347,0.7427,0.7386,0.7351,131512.82,ZKC-USD
1758312000,0.7336,0.7403,0.7351,0.7362,64298.32,ZKC-USD
1758315600,0.7351,0.7393,0.7356,0.7385,67099.37,ZKC-USD
1758319200,0.7338,0.7399,0.7389,0.7365,94004.95,ZKC-USD
1758322800,0.727,0.7367,0.7364,0.7355,14550.79,ZKC-USD
1758326400,0.7364,0.7562,0.7364,0.7556,212469.43,ZKC-USD
1758330000,0.7496,0.7742,0.755,0.7715,447304.25,ZKC-USD
1758333600,0.7574,0.7813,0.7716,0.7809,472913.79,ZKC-USD
1758337200,0.7624,0.7873,0.7815,0.7709,377428.84,ZKC-USD
1758340800,0.7623,0.7725,0.7694,0.7652,212460.93,ZKC-USD
1758344400,0.7607,0.78,0.7662,0.7792,248623.49,ZKC-USD
1758348000,0.7691,0.7826,0.7786,0.7707,328194.01,ZKC-USD
1758351600,0.7658,0.7745,0.7686,0.7716,95280.45,ZKC-USD
1758355200,0.768,0.7728,0.7708,0.7728,20339.84,ZKC-USD
1758358800,0.7676,0.7833,0.7741,0.7731,163578.59,ZKC-USD
1758362400,0.7726,0.8245,0.773,0.8002,893992.81,ZKC-USD
1758366000,0.7985,0.832,0.8027,0.8255,542363.74,ZKC-USD
1758369600,0.8094,0.8437,0.8255,0.8112,769567.65,ZKC-USD
1758373200,0.7899,0.8201,0.811,0.7999,317449.8,ZKC-USD
1758376800,0.7884,0.813,0.7999,0.813,275774.03,ZKC-USD
1758380400,0.801,0.8239,0.8125,0.8182,475654.57,ZKC-USD
1758384000,0.8036,0.8226,0.819,0.8036,156538.18,ZKC-USD
1758387600,0.8028,0.822,0.8034,0.8165,125779.34,ZKC-USD
1758391200,0.8004,0.8186,0.8166,0.8051,195502.48,ZKC-USD
1758394800,0.7965,0.8101,0.8051,0.8076,229418.38,ZKC-USD
1758398400,0.8083,0.8188,0.8083,0.8158,204692.67,ZKC-USD
1758402000,0.8121,0.8219,0.8158,0.818,117442.65,ZKC-USD
1758405600,0.8092,0.8211,0.8178,0.8159,55942.05,ZKC-USD
1758409200,0.814,0.833,0.816,0.8241,260162.63,ZKC-USD
1758412800,0.8118,0.8623,0.824,0.8474,597767.91,ZKC-USD
1758416400,0.8248,0.8575,0.8499,0.852,381005.57,ZKC-USD
1758420000,0.8432,0.8768,0.852,0.8711,870544.67,ZKC-USD
1758423600,0.8558,0.879,0.8711,0.8635,577578.88,ZKC-USD
1758427200,0.8368,0.8699,0.8631,0.8448,396072.23,ZKC-USD
1758430800,0.8416,0.868,0.8448,0.8628,290011.7,ZKC-USD
1758434400,0.8596,0.9363,0.8626,0.9128,773197.52,ZKC-USD
1758438000,0.8797,0.9274,0.9136,0.8944,465693.95,ZKC-USD
1758441600,0.894,0.9216,0.8958,0.9001,424780.81,ZKC-USD
1758445200,0.8426,0.9016,0.9001,0.8478,394480.5,ZKC-USD
1758448800,0.8448,0.8624,0.8478,0.8495,159850.71,ZKC-USD
1758452400,0.8165,0.8603,0.8494,0.822,135467.35,ZKC-USD
1758456000,0.8137,0.8404,0.8218,0.8166,225505.89,ZKC-USD
1758459600,0.8128,0.8381,0.8154,0.831,182209.81,ZKC-USD
1758463200,0.828,0.8463,0.8306,0.8433,259328.39,ZKC-USD
1758466800,0.8304,0.8566,0.8427,0.8326,408872.95,ZKC-USD
1758470400,0.8196,0.8406,0.8326,0.8293,240258.15,ZKC-USD
1758474000,0.814,0.829,0.829,0.8223,102846.81,ZKC-USD
1758477600,0.8165,0.8258,0.8227,0.8208,33315.25,ZKC-USD
1758481200,0.8118,0.8381,0.8208,0.8361,104639.36,ZKC-USD
1758484800,0.8346,0.8475,0.8361,0.8422,126529.7,ZKC-USD
1758488400,0.8387,0.8495,0.8415,0.8453,123949.1,ZKC-USD
1758492000,0.8313,0.8492,0.8452,0.8465,126907.07,ZKC-USD
1758495600,0.8388,0.8559,0.8465,0.8542,268573.02,ZKC-USD
1758499200,0.7843,0.858,0.8548,0.7948,1026603.54,ZKC-USD
1758502800,0.7723,0.7961,0.7946,0.7748,405811.57,ZKC-USD
1758506400,0.7626,0.7819,0.7748,0.7645,213478.85,ZKC-USD
1758510000,0.7551,0.774,0.7642,0.7664,324900.05,ZKC-USD
1758513600,0.7596,0.7711,0.7663,0.7661,206782.43,ZKC-USD
1758517200,0.7537,0.7704,0.7654,0.7537,422466.8,ZKC-USD
1758520800,0.698,0.7536,0.7536,0.7354,442093.62,ZKC-USD
1758524400,0.7257,0.7372,0.7352,0.7272,43505.24,ZKC-USD
1758528000,0.7254,0.7337,0.7274,0.729,32933.45,ZKC-USD
1758531600,0.7103,0.728,0.7277,0.7118,59427.34,ZKC-USD
1758535200,0.7085,0.7263,0.7125,0.7263,75962.34,ZKC-USD
1758538800,0.7,0.7285,0.7253,0.7064,237699.27,ZKC-USD
1758542400,0.6994,0.7088,0.7068,0.7034,109782.43,ZKC-USD
1758546000,0.6976,0.708,0.7034,0.708,88566.23,ZKC-USD
1758549600,0.6878,0.7085,0.7082,0.69,269643.08,ZKC-USD
1758553200,0.6765,0.69,0.69,0.68,281632.58,ZKC-USD
1758556800,0.6406,0.6815,0.6801,0.6476,470671.55,ZKC-USD
1758560400,0.6456,0.6644,0.6478,0.6639,214574.59,ZKC-USD
1758564000,0.659,0.6733,0.6636,0.6622,254846.09,ZKC-USD
1758567600,0.6539,0.6643,0.6616,0.6605,565319.11,ZKC-USD
1758571200,0.6603,0.6718,0.6606,0.6676,162731.23,ZKC-USD
1758574800,0.6595,0.6773,0.6675,0.6737,319938.34,ZKC-USD
1758578400,0.6652,0.6794,0.6738,0.6681,398791.62,ZKC-USD
1758582000,0.6628,0.6718,0.6682,0.6662,231465.53,ZKC-USD
1758585600,0.6377,0.6688,0.6658,0.6398,360369.48,ZKC-USD
1758589200,0.6227,0.6437,0.6403,0.6272,439500.39,ZKC-USD
1758592800,0.6201,0.6316,0.6285,0.6308,591288.41,ZKC-USD
