time,low,high,open,close,volume,symbol
1761955200,0.162,0.162,0.162,0.162,1169.37,1INCH-USD
1761958800,0.162,0.163,0.163,0.162,17320.41,1INCH-USD
1761962400,0.162,0.164,0.162,0.164,4366.31,1INCH-USD
1761966000,0.163,0.165,0.164,0.164,2402.37,1INCH-USD
1761969600,0.163,0.163,0.163,0.163,2076.2,1INCH-USD
1761973200,0.163,0.163,0.163,0.163,900.0,1INCH-USD
1761976800,0.162,0.163,0.162,0.163,9257.97,1INCH-USD
1761980400,0.162,0.165,0.162,0.165,15059.4,1INCH-USD
1761987600,0.165,0.166,0.166,0.165,17050.7,1INCH-USD
1761991200,0.165,0.165,0.165,0.165,34041.09,1INCH-USD
1761994800,0.165,0.167,0.165,0.167,20225.24,1INCH-USD
1761998400,0.166,0.167,0.166,0.167,3493.5,1INCH-USD
1762002000,0.166,0.167,0.167,0.166,12455.04,1INCH-USD
1762005600,0.166,0.169,0.167,0.169,25490.39,1INCH-USD
1762009200,0.168,0.171,0.169,0.17,4297.44,1INCH-USD
1762012800,0.169,0.176,0.171,0.17,546525.48,1INCH-USD
1762016400,0.169,0.171,0.17,0.17,47390.99,1INCH-USD
1762020000,0.169,0.17,0.17,0.17,42606.81,1INCH-USD
1762027200,0.17,0.171,0.171,0.171,7367.62,1INCH-USD
1762030800,0.17,0.171,0.171,0.17,8093.29,1INCH-USD
1762034400,0.169,0.171,0.17,0.169,9641.45,1INCH-USD
1762041600,0.168,0.17,0.169,0.168,29849.26,1INCH-USD
1762045200,0.167,0.168,0.167,0.168,5051.14,1INCH-USD
1762052400,0.168,0.169,0.168,0.169,1556.55,1INCH-USD
1762063200,0.17,0.171,0.17,0.171,6697.94,1INCH-USD
1762066800,0.171,0.171,0.171,0.171,5477.04,1INCH-USD
1762070400,0.169,0.17,0.169,0.17,332.91,1INCH-USD
1762077600,0.169,0.172,0.17,0.172,2520.78,1INCH-USD
1762084800,0.17,0.173,0.173,0.17,23209.94,1INCH-USD
1762088400,0.17,0.171,0.171,0.17,12129.72,1INCH-USD
1762092000,0.167,0.17,0.17,0.168,38270.25,1INCH-USD
1762095600,0.167,0.168,0.168,0.167,725.07,1INCH-USD
1762099200,0.166,0.17,0.166,0.169,36584.3,1INCH-USD
1762102800,0.168,0.169,0.169,0.169,3225.18,1INCH-USD
1762106400,0.168,0.169,0.169,0.169,7475.6,1INCH-USD
1762110000,0.168,0.168,0.168,0.168,649.95,1INCH-USD
1762113600,0.169,0.169,0.169,0.169,3537.38,1INCH-USD
1762117200,0.169,0.17,0.169,0.17,15152.77,1INCH-USD
1762124400,0.171,0.173,0.171,0.172,21796.64,1INCH-USD
1762128000,0.17,0.172,0.172,0.17,2170.12,1INCH-USD
1762131600,0.168,0.171,0.171,0.168,3599.35,1INCH-USD
1762135200,0.167,0.168,0.168,0.167,16124.27,1INCH-USD
1762138800,0.161,0.167,0.167,0.161,7049.17,1INCH-USD
1762142400,0.159,0.161,0.161,0.161,34913.97,1INCH-USD
1762146000,0.159,0.162,0.161,0.159,6956.17,1INCH-USD
1762149600,0.158,0.159,0.159,0.159,18415.41,1INCH-USD
1762153200,0.159,0.16,0.159,0.159,13087.11,1INCH-USD
1762156800,0.16,0.16,0.16,0.16,6009.06,1INCH-USD
1762160400,0.159,0.161,0.161,0.159,778.75,1INCH-USD
1762164000,0.157,0.159,0.159,0.158,26648.79,1INCH-USD
1762167600,0.158,0.159,0.158,0.159,10236.69,1INCH-USD
1762171200,0.157,0.159,0.159,0.157,22899.45,1INCH-USD
1762174800,0.157,0.159,0.157,0.159,12661.86,1INCH-USD
1762178400,0.157,0.158,0.158,0.157,11331.47,1INCH-USD
1762182000,0.146,0.157,0.157,0.15,229075.98,1INCH-USD
1762185600,0.151,0.153,0.151,0.153,27107.72,1INCH-USD
1762189200,0.153,0.156,0.154,0.154,94193.14,1INCH-USD
1762192800,0.154,0.154,0.154,0.154,1959.25,1INCH-USD
1762196400,0.152,0.153,0.152,0.152,8674.13,1INCH-USD
1762200000,0.149,0.151,0.151,0.15,14352.08,1INCH-USD
1762203600,0.15,0.151,0.151,0.151,8537.32,1INCH-USD
1762207200,0.149,0.151,0.151,0.15,38606.1,1INCH-USD
1762210800,0.15,0.152,0.15,0.152,30263.53,1INCH-USD
1762214400,0.151,0.157,0.151,0.154,58252.49,1INCH-USD
1762218000,0.154,0.155,0.154,0.155,8952.98,1INCH-USD
1762221600,0.153,0.155,0.155,0.154,24563.49,1INCH-USD
1762225200,0.154,0.155,0.154,0.155,6576.02,1INCH-USD
1762228800,0.154,0.155,0.154,0.155,7696.66,1INCH-USD
1762232400,0.148,0.151,0.151,0.148,16248.65,1INCH-USD
1762236000,0.148,0.151,0.148,0.148,26955.51,1INCH-USD
1762239600,0.146,0.148,0.148,0.146,21027.49,1INCH-USD
1762243200,0.146,0.149,0.146,0.147,45710.54,1INCH-USD
1762246800,0.148,0.148,0.148,0.148,3818.15,1INCH-USD
1762250400,0.148,0.149,0.148,0.149,3915.63,1INCH-USD
1762254000,0.148,0.15,0.15,0.148,3150.0,1INCH-USD
1762257600,0.147,0.148,0.148,0.148,2317.35,1INCH-USD
1762261200,0.147,0.148,0.147,0.148,5974.81,1INCH-USD
1762264800,0.147,0.152,0.148,0.152,7263.59,1INCH-USD
1762268400,0.15,0.152,0.152,0.15,21928.36,1INCH-USD
1762272000,0.146,0.15,0.15,0.146,15147.49,1INCH-USD
1762275600,0.143,0.148,0.145,0.146,74177.75,1INCH-USD
1762279200,0.141,0.146,0.146,0.146,79006.72,1INCH-USD
1762282800,0.143,0.146,0.145,0.143,28783.27,1INCH-USD
1762286400,0.137,0.145,0.144,0.143,77294.04,1INCH-USD
1762290000,0.138,0.144,0.143,0.144,79534.76,1INCH-USD
1762293600,0.143,0.146,0.143,0.146,39109.98,1INCH-USD
1762297200,0.145,0.146,0.146,0.145,5954.63,1INCH-USD
1762300800,0.143,0.146,0.145,0.143,3093.99,1INCH-USD
1762304400,0.14,0.144,0.142,0.144,9980.53,1INCH-USD
1762308000,0.146,0.147,0.146,0.147,6838.06,1INCH-USD
1762311600,0.147,0.15,0.148,0.149,4033.64,1INCH-USD
1762315200,0.148,0.149,0.149,0.149,10593.77,1INCH-USD
1762318800,0.149,0.149,0.149,0.149,3000.0,1INCH-USD
1762322400,0.148,0.149,0.149,0.148,2550.0,1INCH-USD
1762326000,0.148,0.149,0.148,0.149,10213.88,1INCH-USD
1762329600,0.147,0.149,0.148,0.148,10941.19,1INCH-USD
1762333200,0.148,0.149,0.148,0.149,1712.16,1INCH-USD
1762336800,0.147,0.147,0.147,0.147,750.0,1INCH-USD
1762340400,0.15,0.152,0.15,0.152,5102.77,1INCH-USD
1762344000,0.15,0.151,0.15,0.151,21380.1,1INCH-USD
1762347600,0.15,0.152,0.15,0.152,18578.34,1INCH-USD
1762351200,0.151,0.153,0.151,0.152,16801.13,1INCH-USD
1762354800,0.151,0.152,0.151,0.152,9452.16,1INCH-USD
1762358400,0.152,0.157,0.152,0.157,99526.15,1INCH-USD
1762362000,0.156,0.169,0.157,0.165,452201.44,1INCH-USD
1762365600,0.163,0.172,0.164,0.172,146702.21,1INCH-USD
