time,low,high,open,close,volume,symbol
1761955200,0.708,0.72,0.716,0.72,17123.55,AKT-USD
1761958800,0.717,0.73,0.721,0.721,45379.79,AKT-USD
1761962400,0.713,0.724,0.72,0.724,9905.35,AKT-USD
1761966000,0.724,0.745,0.724,0.737,93275.26,AKT-USD
1761969600,0.733,0.757,0.735,0.745,223632.78,AKT-USD
1761973200,0.735,0.746,0.746,0.741,28265.97,AKT-USD
1761976800,0.74,0.761,0.74,0.759,79876.37,AKT-USD
1761980400,0.73,0.763,0.76,0.738,187799.61,AKT-USD
1761984000,0.736,0.742,0.738,0.741,29546.25,AKT-USD
1761987600,0.734,0.739,0.739,0.737,28684.99,AKT-USD
1761991200,0.736,0.743,0.737,0.742,25315.82,AKT-USD
1761994800,0.737,0.746,0.742,0.739,41443.95,AKT-USD
1761998400,0.739,0.757,0.739,0.756,51792.48,AKT-USD
1762002000,0.746,0.761,0.755,0.754,90828.66,AKT-USD
1762005600,0.73,0.756,0.755,0.732,97316.15,AKT-USD
1762009200,0.724,0.745,0.732,0.736,142527.59,AKT-USD
1762012800,0.732,0.737,0.735,0.733,25820.13,AKT-USD
1762016400,0.73,0.735,0.733,0.73,15516.83,AKT-USD
1762020000,0.73,0.739,0.731,0.738,13854.57,AKT-USD
1762023600,0.731,0.737,0.737,0.734,7774.85,AKT-USD
1762027200,0.734,0.739,0.734,0.736,16069.23,AKT-USD
1762030800,0.724,0.738,0.737,0.724,42820.5,AKT-USD
1762034400,0.723,0.726,0.725,0.725,18717.07,AKT-USD
1762038000,0.724,0.731,0.725,0.727,39093.6,AKT-USD
1762041600,0.715,0.726,0.726,0.717,25920.73,AKT-USD
1762045200,0.713,0.722,0.717,0.713,33245.07,AKT-USD
1762048800,0.706,0.718,0.714,0.709,36851.05,AKT-USD
1762052400,0.706,0.711,0.708,0.708,13198.52,AKT-USD
1762056000,0.706,0.719,0.708,0.719,31040.08,AKT-USD
1762059600,0.708,0.718,0.718,0.713,19869.79,AKT-USD
1762063200,0.711,0.719,0.712,0.719,15575.56,AKT-USD
1762066800,0.715,0.728,0.719,0.724,29233.17,AKT-USD
1762070400,0.721,0.727,0.724,0.722,24131.5,AKT-USD
1762074000,0.71,0.723,0.72,0.71,17053.53,AKT-USD
1762077600,0.698,0.709,0.709,0.702,60922.97,AKT-USD
1762081200,0.699,0.712,0.702,0.71,8680.13,AKT-USD
1762084800,0.708,0.716,0.711,0.713,9324.76,AKT-USD
1762088400,0.703,0.715,0.714,0.705,17252.02,AKT-USD
1762092000,0.679,0.708,0.703,0.681,164374.42,AKT-USD
1762095600,0.678,0.691,0.68,0.685,69866.59,AKT-USD
1762099200,0.679,0.697,0.686,0.695,59534.66,AKT-USD
1762102800,0.693,0.699,0.696,0.693,24970.96,AKT-USD
1762106400,0.689,0.695,0.693,0.689,9891.08,AKT-USD
1762110000,0.681,0.688,0.688,0.685,10125.21,AKT-USD
1762113600,0.682,0.692,0.685,0.691,28283.3,AKT-USD
1762117200,0.69,0.693,0.691,0.693,12015.48,AKT-USD
1762120800,0.692,0.702,0.692,0.7,26508.54,AKT-USD
1762124400,0.701,0.714,0.701,0.71,44600.4,AKT-USD
1762128000,0.687,0.711,0.711,0.687,15876.95,AKT-USD
1762131600,0.669,0.688,0.687,0.673,43052.41,AKT-USD
1762135200,0.664,0.674,0.673,0.67,52085.22,AKT-USD
1762138800,0.65,0.671,0.67,0.651,54649.08,AKT-USD
1762142400,0.648,0.658,0.651,0.657,58167.69,AKT-USD
1762146000,0.65,0.663,0.657,0.651,50655.88,AKT-USD
1762149600,0.648,0.664,0.649,0.663,22842.06,AKT-USD
1762153200,0.656,0.665,0.663,0.656,17705.87,AKT-USD
