time,low,high,open,close,volume,symbol
1761955200,0.1758,0.1768,0.1768,0.1766,80008.0,ALGO-USD
1761958800,0.176,0.1775,0.1768,0.176,336492.0,ALGO-USD
1761962400,0.1752,0.1772,0.176,0.1771,136059.3,ALGO-USD
1761966000,0.1774,0.1784,0.1774,0.1781,82024.1,ALGO-USD
1761969600,0.177,0.1783,0.1781,0.1773,97054.6,ALGO-USD
1761973200,0.176,0.1771,0.1768,0.1764,197340.2,ALGO-USD
1761976800,0.176,0.1769,0.1765,0.1769,126763.9,ALGO-USD
1761980400,0.1767,0.1787,0.1769,0.1783,116860.5,ALGO-USD
1761984000,0.1777,0.1789,0.1784,0.1787,252099.3,ALGO-USD
1761987600,0.1774,0.1791,0.1788,0.1777,162885.5,ALGO-USD
1761991200,0.1773,0.1782,0.1777,0.1782,8217.8,ALGO-USD
1761994800,0.1776,0.1789,0.1785,0.1787,85358.8,ALGO-USD
1761998400,0.1781,0.1791,0.1788,0.1781,100634.6,ALGO-USD
1762002000,0.1768,0.1788,0.1785,0.178,209457.4,ALGO-USD
1762005600,0.1763,0.1782,0.1781,0.1769,435640.3,ALGO-USD
1762009200,0.1771,0.1786,0.1771,0.1783,221481.8,ALGO-USD
1762012800,0.1779,0.1795,0.1783,0.1793,469138.7,ALGO-USD
1762016400,0.1787,0.1801,0.1789,0.1797,447196.2,ALGO-USD
1762020000,0.1793,0.1803,0.1799,0.1802,377856.4,ALGO-USD
1762023600,0.1796,0.1802,0.1802,0.1799,411294.2,ALGO-USD
1762027200,0.1799,0.1812,0.1801,0.1803,235575.7,ALGO-USD
1762030800,0.1778,0.1804,0.1804,0.1782,502974.8,ALGO-USD
1762034400,0.1782,0.1788,0.1783,0.1787,351149.0,ALGO-USD
1762038000,0.1784,0.1793,0.1786,0.1793,145647.5,ALGO-USD
1762041600,0.178,0.1791,0.1791,0.1785,270038.4,ALGO-USD
1762045200,0.1776,0.1787,0.1785,0.1778,235505.7,ALGO-USD
1762048800,0.1776,0.1793,0.1777,0.1782,184731.0,ALGO-USD
1762052400,0.1778,0.1785,0.1782,0.178,45658.0,ALGO-USD
1762056000,0.1776,0.1797,0.1779,0.1796,181545.1,ALGO-USD
1762059600,0.1786,0.1799,0.1795,0.1798,406932.9,ALGO-USD
1762063200,0.1793,0.18,0.1796,0.1799,202632.7,ALGO-USD
1762066800,0.1796,0.1806,0.1797,0.18,94935.8,ALGO-USD
1762070400,0.179,0.1802,0.18,0.1794,94540.4,ALGO-USD
1762074000,0.1784,0.1803,0.1794,0.1788,200464.6,ALGO-USD
1762077600,0.1772,0.1791,0.1788,0.1781,213572.1,ALGO-USD
1762081200,0.1779,0.1803,0.1781,0.1803,410938.1,ALGO-USD
1762084800,0.1795,0.1807,0.1801,0.1795,578736.9,ALGO-USD
1762088400,0.1776,0.1796,0.1794,0.1779,290828.4,ALGO-USD
1762092000,0.1747,0.1782,0.1779,0.1753,360433.2,ALGO-USD
1762095600,0.1746,0.1761,0.1753,0.1746,235317.0,ALGO-USD
1762099200,0.1728,0.1757,0.1746,0.1757,399253.3,ALGO-USD
1762102800,0.1746,0.176,0.1756,0.1754,269199.4,ALGO-USD
1762106400,0.1742,0.1754,0.1752,0.1744,217043.0,ALGO-USD
1762110000,0.1734,0.1746,0.1745,0.1746,471582.5,ALGO-USD
1762113600,0.1739,0.175,0.1744,0.175,157862.9,ALGO-USD
1762117200,0.1747,0.1759,0.1751,0.1753,127533.9,ALGO-USD
1762120800,0.1748,0.1761,0.1753,0.1755,282485.4,ALGO-USD
1762124400,0.1757,0.179,0.1757,0.1781,839452.0,ALGO-USD
1762128000,0.176,0.1788,0.1781,0.176,98783.7,ALGO-USD
1762131600,0.174,0.1762,0.1757,0.174,106401.5,ALGO-USD
1762135200,0.1723,0.1744,0.1739,0.1735,287844.5,ALGO-USD
1762138800,0.1685,0.174,0.1738,0.1685,1288848.0,ALGO-USD
1762142400,0.1673,0.1692,0.1685,0.1692,934719.4,ALGO-USD
1762146000,0.1675,0.1699,0.1691,0.1675,452949.4,ALGO-USD
1762149600,0.1655,0.1683,0.1677,0.1668,978571.7,ALGO-USD
1762153200,0.1663,0.1688,0.1668,0.1682,191077.5,ALGO-USD
1762156800,0.1662,0.1685,0.1683,0.1674,262678.4,ALGO-USD
1762160400,0.1655,0.1692,0.1673,0.1658,318954.9,ALGO-USD
1762164000,0.1638,0.1666,0.1659,0.1646,595824.8,ALGO-USD
1762167600,0.1647,0.167,0.1647,0.1664,445167.4,ALGO-USD
1762171200,0.1662,0.1676,0.1663,0.1666,571277.4,ALGO-USD
1762174800,0.1662,0.1692,0.1666,0.1683,414176.3,ALGO-USD
