time,low,high,open,close,volume,symbol
1761955200,0.278,0.28,0.278,0.28,16215.704,ALICE-USD
1761958800,0.281,0.283,0.281,0.281,16461.593,ALICE-USD
1761962400,0.279,0.282,0.28,0.282,23525.563,ALICE-USD
1761966000,0.282,0.283,0.283,0.282,3125.87,ALICE-USD
1761969600,0.281,0.282,0.281,0.281,7472.671,ALICE-USD
1761973200,0.28,0.282,0.281,0.28,6148.563,ALICE-USD
1761976800,0.28,0.283,0.28,0.283,13868.94,ALICE-USD
1761980400,0.285,0.287,0.285,0.286,25075.765,ALICE-USD
1761984000,0.284,0.286,0.285,0.286,488.988,ALICE-USD
1761987600,0.284,0.285,0.285,0.284,1894.973,ALICE-USD
1761991200,0.282,0.283,0.282,0.283,18040.032,ALICE-USD
1761994800,0.281,0.283,0.283,0.282,22058.579,ALICE-USD
1761998400,0.283,0.284,0.283,0.283,8986.794,ALICE-USD
1762002000,0.279,0.283,0.283,0.28,13262.497,ALICE-USD
1762005600,0.278,0.284,0.281,0.282,81087.263,ALICE-USD
1762009200,0.281,0.285,0.283,0.285,6044.811,ALICE-USD
1762012800,0.28,0.284,0.283,0.28,35888.004,ALICE-USD
1762016400,0.28,0.281,0.28,0.281,2026.202,ALICE-USD
1762020000,0.279,0.281,0.281,0.279,1723.418,ALICE-USD
1762027200,0.278,0.281,0.279,0.28,172198.126,ALICE-USD
1762030800,0.278,0.28,0.279,0.279,53343.33,ALICE-USD
1762034400,0.278,0.28,0.278,0.28,6857.344,ALICE-USD
1762038000,0.28,0.281,0.28,0.281,2974.398,ALICE-USD
1762045200,0.279,0.28,0.279,0.279,6277.587,ALICE-USD
1762048800,0.279,0.281,0.279,0.279,5634.726,ALICE-USD
1762052400,0.279,0.282,0.279,0.282,35000.002,ALICE-USD
1762056000,0.281,0.284,0.282,0.283,27636.887,ALICE-USD
1762059600,0.282,0.283,0.282,0.283,106.992,ALICE-USD
1762066800,0.282,0.285,0.283,0.285,2373.032,ALICE-USD
1762070400,0.283,0.283,0.283,0.283,253.694,ALICE-USD
1762074000,0.277,0.283,0.283,0.278,8422.581,ALICE-USD
1762077600,0.277,0.278,0.278,0.277,25.725,ALICE-USD
1762081200,0.276,0.28,0.276,0.28,19008.013,ALICE-USD
1762084800,0.278,0.28,0.28,0.279,7464.03,ALICE-USD
1762088400,0.273,0.277,0.277,0.273,3047.061,ALICE-USD
1762092000,0.271,0.274,0.273,0.272,6647.917,ALICE-USD
1762095600,0.271,0.274,0.271,0.273,1013.875,ALICE-USD
1762099200,0.268,0.274,0.273,0.272,20672.709,ALICE-USD
1762102800,0.271,0.273,0.273,0.273,8532.195,ALICE-USD
1762110000,0.272,0.276,0.274,0.272,4037.959,ALICE-USD
1762113600,0.273,0.274,0.273,0.274,2185.666,ALICE-USD
1762117200,0.275,0.276,0.276,0.275,172.781,ALICE-USD
1762120800,0.274,0.276,0.276,0.276,6113.851,ALICE-USD
1762124400,0.278,0.28,0.278,0.279,654.5,ALICE-USD
1762128000,0.274,0.28,0.28,0.274,1742.383,ALICE-USD
1762131600,0.271,0.274,0.274,0.271,3696.627,ALICE-USD
1762135200,0.267,0.271,0.271,0.268,4062.849,ALICE-USD
