time,low,high,open,close,volume,symbol
1761958800,0.0246,0.0249,0.0248,0.0246,1728.4,AST-USD
1761966000,0.0242,0.0246,0.0246,0.0244,234288.6,AST-USD
1761973200,0.0244,0.0246,0.0244,0.0244,2588.1,AST-USD
1761976800,0.0238,0.0245,0.0245,0.024,39997.7,AST-USD
1761980400,0.0239,0.0247,0.0239,0.0247,272854.0,AST-USD
1761984000,0.0246,0.025,0.0246,0.025,44903.8,AST-USD
1761987600,0.0238,0.0249,0.0249,0.024,243189.4,AST-USD
1761994800,0.024,0.0241,0.024,0.0241,167.3,AST-USD
1761998400,0.024,0.024,0.024,0.024,1583.0,AST-USD
1762002000,0.0239,0.0242,0.0239,0.0241,57897.3,AST-USD
1762009200,0.0242,0.0244,0.0242,0.0242,77311.2,AST-USD
1762016400,0.024,0.0244,0.0242,0.024,56792.3,AST-USD
1762020000,0.0243,0.0243,0.0243,0.0243,6964.3,AST-USD
1762023600,0.024,0.0243,0.0242,0.0243,12492.7,AST-USD
1762027200,0.0243,0.0243,0.0243,0.0243,2445.2,AST-USD
1762030800,0.0243,0.0246,0.0243,0.0246,23188.3,AST-USD
1762048800,0.0239,0.0244,0.0244,0.0239,100485.5,AST-USD
1762052400,0.0237,0.0241,0.024,0.0237,88572.0,AST-USD
1762059600,0.0237,0.0243,0.0237,0.0241,381033.5,AST-USD
1762074000,0.0241,0.0242,0.0242,0.0241,18402.7,AST-USD
1762088400,0.0241,0.0242,0.0241,0.0242,11546.4,AST-USD
1762095600,0.024,0.0242,0.024,0.0242,822.8,AST-USD
1762099200,0.024,0.0242,0.0242,0.024,30125.8,AST-USD
1762102800,0.0238,0.0241,0.0241,0.0239,240491.2,AST-USD
1762106400,0.0237,0.0242,0.0237,0.0242,104687.6,AST-USD
1762113600,0.0242,0.0242,0.0242,0.0242,322.7,AST-USD
1762120800,0.024,0.0242,0.0242,0.024,22426.3,AST-USD
1762124400,0.024,0.0242,0.0241,0.024,32068.6,AST-USD
1762128000,0.0236,0.0241,0.0241,0.0236,167748.3,AST-USD
1762131600,0.0236,0.0239,0.0238,0.0239,102446.2,AST-USD
1762135200,0.0237,0.024,0.0238,0.024,134821.0,AST-USD
1762138800,0.0237,0.024,0.024,0.0237,116644.7,AST-USD
1762142400,0.0236,0.0237,0.0237,0.0236,117471.1,AST-USD
1762146000,0.0237,0.0239,0.0237,0.0238,37693.7,AST-USD
1762149600,0.0236,0.0241,0.0239,0.0236,752489.0,AST-USD
1762156800,0.0237,0.0241,0.0238,0.024,99426.3,AST-USD
1762160400,0.0237,0.0237,0.0237,0.0237,25600.0,AST-USD
1762171200,0.0235,0.0238,0.0236,0.0235,75548.4,AST-USD
1762174800,0.0231,0.0237,0.0237,0.0231,125133.9,AST-USD
1762178400,0.0231,0.0235,0.0233,0.0231,62361.7,AST-USD
1762182000,0.023,0.0232,0.0232,0.023,37578.5,AST-USD
1762185600,0.0227,0.0279,0.0231,0.0265,6653530.6,AST-USD
1762189200,0.0238,0.0292,0.0265,0.0245,5059480.9,AST-USD
1762192800,0.0234,0.0252,0.0245,0.0246,2008921.1,AST-USD
1762196400,0.023,0.0251,0.0248,0.023,2153279.6,AST-USD
1762200000,0.0175,0.0234,0.0232,0.0213,2293811.2,AST-USD
1762203600,0.0213,0.0239,0.0213,0.0233,1194147.8,AST-USD
1762207200,0.0226,0.0232,0.0229,0.0231,55726.4,AST-USD
1762210800,0.0224,0.023,0.0226,0.0225,173961.2,AST-USD
1762218000,0.0223,0.0232,0.0228,0.023,389808.9,AST-USD
1762221600,0.0226,0.023,0.023,0.0227,8860.6,AST-USD
1762225200,0.0226,0.0233,0.0231,0.023,73527.0,AST-USD
1762228800,0.0226,0.0231,0.023,0.0226,58873.1,AST-USD
1762232400,0.0215,0.023,0.0225,0.0218,637609.6,AST-USD
1762236000,0.0218,0.0226,0.0218,0.0225,100189.8,AST-USD
1762239600,0.0218,0.0225,0.0225,0.0218,2491.5,AST-USD
1762243200,0.0218,0.023,0.0226,0.0218,314046.8,AST-USD
1762250400,0.0218,0.0225,0.0221,0.0218,112480.5,AST-USD
1762254000,0.0219,0.0222,0.0222,0.0219,136.6,AST-USD
1762257600,0.0217,0.0222,0.0218,0.0222,112771.0,AST-USD
1762261200,0.0217,0.0218,0.0218,0.0217,36393.7,AST-USD
1762264800,0.0221,0.0221,0.0221,0.0221,11378.7,AST-USD
1762268400,0.0218,0.0221,0.0218,0.0221,62898.5,AST-USD
1762272000,0.0212,0.0218,0.0218,0.0212,425337.7,AST-USD
1762275600,0.0208,0.0213,0.0212,0.0208,453855.5,AST-USD
1762279200,0.0208,0.021,0.0208,0.0209,4696.0,AST-USD
1762282800,0.0207,0.021,0.0207,0.0207,68863.9,AST-USD
1762286400,0.0201,0.0208,0.0208,0.0201,65513.8,AST-USD
1762290000,0.0195,0.0202,0.0201,0.0201,493257.6,AST-USD
1762293600,0.0197,0.0207,0.0199,0.0207,90419.6,AST-USD
1762297200,0.0208,0.0209,0.0209,0.0208,38736.8,AST-USD
1762300800,0.0207,0.0211,0.0207,0.0211,100027.4,AST-USD
1762308000,0.0207,0.0207,0.0207,0.0207,9597.4,AST-USD
1762311600,0.0206,0.0207,0.0207,0.0206,41310.7,AST-USD
1762315200,0.0207,0.0207,0.0207,0.0207,246.3,AST-USD
1762326000,0.0207,0.0207,0.0207,0.0207,2463.2,AST-USD
1762329600,0.0206,0.0207,0.0207,0.0206,28482.2,AST-USD
1762333200,0.0206,0.0209,0.0206,0.0209,13081.9,AST-USD
1762340400,0.0207,0.021,0.0209,0.0207,26500.5,AST-USD
1762344000,0.0207,0.0213,0.021,0.0208,239923.7,AST-USD
1762351200,0.0206,0.0208,0.0206,0.0208,30443.6,AST-USD
1762354800,0.0207,0.021,0.021,0.0207,5135.3,AST-USD
1762358400,0.0187,0.0206,0.0206,0.0203,392090.0,AST-USD
1762362000,0.0202,0.0203,0.0202,0.0203,23784.4,AST-USD
1762365600,0.0203,0.0213,0.0203,0.021,607952.8,AST-USD
1762369200,0.0208,0.0209,0.0209,0.0208,944.1,AST-USD
1762372800,0.0204,0.0209,0.0209,0.0204,285122.2,AST-USD
1762376400,0.0204,0.0209,0.0204,0.0209,15683.0,AST-USD
1762380000,0.0205,0.0208,0.0208,0.0208,59587.0,AST-USD
1762383600,0.0205,0.0208,0.0206,0.0206,148328.1,AST-USD
1762387200,0.0205,0.0207,0.0206,0.0206,42852.1,AST-USD
1762390800,0.0205,0.0205,0.0205,0.0205,1791.1,AST-USD
1762394400,0.0205,0.0207,0.0205,0.0207,3385.1,AST-USD
1762398000,0.0207,0.0207,0.0207,0.0207,12773.3,AST-USD
1762401600,0.0201,0.021,0.0206,0.021,601985.5,AST-USD
1762405200,0.0208,0.0212,0.0211,0.0208,180201.2,AST-USD
1762408800,0.0203,0.0208,0.0208,0.0205,203531.5,AST-USD
1762412400,0.0202,0.0207,0.0203,0.0206,83141.7,AST-USD
1762416000,0.0204,0.0209,0.0204,0.0208,50966.6,AST-USD
1762419600,0.0204,0.0207,0.0207,0.0204,13156.0,AST-USD
1762423200,0.0202,0.0208,0.0202,0.0205,222901.2,AST-USD
1762426800,0.0205,0.0214,0.0206,0.0209,393921.3,AST-USD
1762430400,0.0201,0.0207,0.0207,0.0201,29457.7,AST-USD
1762434000,0.02,0.0204,0.02,0.0203,10566.7,AST-USD
1762437600,0.0197,0.0201,0.02,0.0201,65270.4,AST-USD
1762441200,0.0198,0.0203,0.0201,0.0203,28676.6,AST-USD
1762444800,0.0202,0.0204,0.0202,0.0204,70.0,AST-USD
1762448400,0.0205,0.0206,0.0206,0.0205,1699.1,AST-USD
1762455600,0.0203,0.0214,0.0206,0.0207,443550.6,AST-USD
1762459200,0.0208,0.0215,0.0208,0.0213,238119.1,AST-USD
1762462800,0.0208,0.0212,0.0212,0.0208,157949.4,AST-USD
1762466400,0.0205,0.0208,0.0208,0.0205,180529.0,AST-USD
1762470000,0.0205,0.0226,0.0208,0.0217,891245.2,AST-USD
1762473600,0.0214,0.0216,0.0216,0.0214,1829.7,AST-USD
1762477200,0.0214,0.0214,0.0214,0.0214,16773.4,AST-USD
1762480800,0.0209,0.0215,0.0214,0.0213,448122.2,AST-USD
1762488000,0.0213,0.0214,0.0213,0.0214,6008.4,AST-USD
1762495200,0.021,0.0215,0.0213,0.021,19733.8,AST-USD
1762498800,0.0209,0.0209,0.0209,0.0209,10408.5,AST-USD
1762506000,0.0206,0.0211,0.0209,0.0211,22187.3,AST-USD
1762509600,0.021,0.0212,0.0212,0.0211,3986.8,AST-USD
