time,low,high,open,close,volume,symbol
1761955200,1.15,1.36,1.33,1.23,75986.17,AVT-USD
1761958800,1.23,1.3,1.23,1.29,6570.3,AVT-USD
1761962400,1.28,1.29,1.29,1.28,24.99,AVT-USD
1761966000,1.28,1.32,1.29,1.29,11239.41,AVT-USD
1761969600,1.29,1.31,1.31,1.29,100.51,AVT-USD
1761976800,1.28,1.29,1.29,1.28,194.58,AVT-USD
1761984000,1.28,1.3,1.28,1.28,409.96,AVT-USD
1761987600,1.28,1.28,1.28,1.28,239.38,AVT-USD
1761991200,1.28,1.32,1.29,1.32,1484.11,AVT-USD
1761994800,1.27,1.31,1.3,1.28,1951.86,AVT-USD
1762002000,1.28,1.31,1.28,1.31,169.21,AVT-USD
1762005600,1.27,1.3,1.28,1.28,1841.97,AVT-USD
1762009200,1.27,1.29,1.29,1.27,1315.87,AVT-USD
1762012800,1.26,1.27,1.27,1.26,71.92,AVT-USD
1762020000,1.23,1.26,1.26,1.25,5612.42,AVT-USD
1762023600,1.24,1.25,1.24,1.24,101.77,AVT-USD
1762027200,1.25,1.26,1.26,1.25,2.44,AVT-USD
1762030800,1.24,1.26,1.26,1.25,27.44,AVT-USD
1762038000,1.23,1.25,1.24,1.24,2639.21,AVT-USD
1762041600,1.24,1.26,1.25,1.26,518.92,AVT-USD
1762045200,1.26,1.28,1.26,1.26,958.76,AVT-USD
1762048800,1.26,1.28,1.28,1.27,1433.65,AVT-USD
1762056000,1.26,1.28,1.27,1.28,315.43,AVT-USD
1762063200,1.27,1.27,1.27,1.27,12.09,AVT-USD
1762066800,1.27,1.28,1.27,1.28,351.72,AVT-USD
1762074000,1.27,1.28,1.27,1.28,88.4,AVT-USD
1762081200,1.27,1.29,1.27,1.27,520.33,AVT-USD
1762084800,1.29,1.29,1.29,1.29,870.87,AVT-USD
1762088400,1.29,1.3,1.29,1.29,1283.94,AVT-USD
1762092000,1.28,1.3,1.29,1.29,369.41,AVT-USD
1762095600,1.3,1.34,1.3,1.34,3467.57,AVT-USD
1762099200,1.3,1.34,1.34,1.31,4393.89,AVT-USD
1762102800,1.3,1.31,1.31,1.3,222.2,AVT-USD
1762110000,1.29,1.31,1.3,1.3,162.92,AVT-USD
1762113600,1.29,1.31,1.3,1.31,65.41,AVT-USD
1762117200,1.28,1.3,1.3,1.29,5408.05,AVT-USD
1762120800,1.28,1.29,1.29,1.28,51.38,AVT-USD
1762124400,1.28,1.31,1.28,1.31,2621.85,AVT-USD
1762128000,1.3,1.31,1.31,1.3,32.51,AVT-USD
1762138800,1.3,1.3,1.3,1.3,3742.24,AVT-USD
1762142400,1.27,1.29,1.29,1.27,885.48,AVT-USD
1762146000,1.26,1.27,1.27,1.26,1053.21,AVT-USD
1762149600,1.24,1.26,1.26,1.24,1493.25,AVT-USD
1762167600,1.24,1.24,1.24,1.24,128.55,AVT-USD
1762178400,1.24,1.25,1.24,1.25,396.89,AVT-USD
1762182000,1.23,1.25,1.25,1.25,1580.63,AVT-USD
1762185600,1.23,1.25,1.23,1.24,1782.32,AVT-USD
1762189200,1.21,1.25,1.25,1.23,7280.56,AVT-USD
1762192800,1.22,1.24,1.22,1.24,2208.93,AVT-USD
1762196400,1.23,1.24,1.24,1.23,1106.47,AVT-USD
1762200000,1.23,1.25,1.24,1.24,1221.64,AVT-USD
1762203600,1.24,1.24,1.24,1.24,557.0,AVT-USD
1762207200,1.2,1.25,1.23,1.2,6329.43,AVT-USD
1762210800,1.22,1.23,1.22,1.23,341.8,AVT-USD
1762214400,1.22,1.22,1.22,1.22,2868.36,AVT-USD
1762218000,1.21,1.23,1.21,1.22,831.55,AVT-USD
1762236000,1.23,1.23,1.23,1.23,439.53,AVT-USD
1762239600,1.22,1.22,1.22,1.22,616.93,AVT-USD
1762243200,1.21,1.22,1.21,1.22,1519.04,AVT-USD
1762246800,1.2,1.22,1.21,1.2,1310.8,AVT-USD
1762250400,1.16,1.2,1.2,1.19,8038.98,AVT-USD
1762254000,1.17,1.19,1.17,1.18,3271.47,AVT-USD
1762257600,1.17,1.21,1.19,1.17,3475.27,AVT-USD
1762261200,1.19,1.22,1.19,1.2,4820.5,AVT-USD
1762268400,1.19,1.2,1.2,1.19,3.25,AVT-USD
1762272000,1.18,1.2,1.2,1.19,924.11,AVT-USD
1762275600,1.15,1.2,1.18,1.18,3921.71,AVT-USD
1762279200,1.14,1.18,1.16,1.17,4080.52,AVT-USD
1762282800,1.15,1.16,1.16,1.15,40.96,AVT-USD
1762286400,1.14,1.16,1.15,1.16,1592.28,AVT-USD
1762290000,1.13,1.16,1.16,1.15,1904.87,AVT-USD
1762293600,1.15,1.22,1.15,1.2,9802.91,AVT-USD
1762297200,1.2,1.25,1.21,1.25,9799.98,AVT-USD
1762300800,1.17,1.29,1.24,1.21,14516.12,AVT-USD
1762304400,1.18,1.21,1.2,1.2,1619.05,AVT-USD
1762308000,1.18,1.22,1.2,1.21,12827.21,AVT-USD
1762311600,1.21,1.21,1.21,1.21,1452.84,AVT-USD
1762315200,1.2,1.2,1.2,1.2,32.0,AVT-USD
1762322400,1.18,1.2,1.19,1.19,219.84,AVT-USD
1762329600,1.19,1.21,1.2,1.19,1033.13,AVT-USD
1762333200,1.18,1.19,1.19,1.18,528.25,AVT-USD
1762336800,1.2,1.22,1.2,1.21,2981.97,AVT-USD
1762344000,1.21,1.22,1.22,1.21,176.26,AVT-USD
1762347600,1.2,1.22,1.22,1.2,82.47,AVT-USD
1762358400,1.19,1.23,1.21,1.19,3511.06,AVT-USD
1762362000,1.19,1.21,1.19,1.19,51.4,AVT-USD
1762365600,1.19,1.2,1.19,1.2,10.51,AVT-USD
1762369200,1.21,1.24,1.21,1.22,2717.15,AVT-USD
1762372800,1.21,1.23,1.22,1.22,2088.58,AVT-USD
1762376400,1.21,1.23,1.22,1.23,472.31,AVT-USD
1762387200,1.22,1.23,1.23,1.23,572.58,AVT-USD
1762394400,1.23,1.23,1.23,1.23,0.84,AVT-USD
1762398000,1.24,1.28,1.24,1.27,4319.58,AVT-USD
1762401600,1.23,1.27,1.27,1.24,715.42,AVT-USD
1762408800,1.24,1.25,1.24,1.25,159.5,AVT-USD
1762416000,1.24,1.24,1.24,1.24,521.75,AVT-USD
1762423200,1.24,1.24,1.24,1.24,586.83,AVT-USD
1762426800,1.21,1.24,1.24,1.23,2825.44,AVT-USD
1762434000,1.21,1.23,1.22,1.21,319.54,AVT-USD
1762437600,1.21,1.22,1.22,1.21,523.48,AVT-USD
1762441200,1.18,1.22,1.22,1.2,8142.72,AVT-USD
1762444800,1.18,1.2,1.2,1.18,925.66,AVT-USD
1762448400,1.19,1.24,1.19,1.21,6958.53,AVT-USD
1762452000,1.18,1.22,1.21,1.21,5226.59,AVT-USD
1762455600,1.2,1.21,1.2,1.2,169.0,AVT-USD
1762459200,1.2,1.2,1.2,1.2,2642.0,AVT-USD
1762473600,1.17,1.2,1.19,1.18,6852.55,AVT-USD
1762477200,1.17,1.19,1.18,1.19,2810.76,AVT-USD
1762480800,1.16,1.21,1.18,1.2,2629.07,AVT-USD
1762484400,1.2,1.21,1.2,1.21,2.24,AVT-USD
1762488000,1.19,1.21,1.21,1.19,249.23,AVT-USD
1762491600,1.19,1.2,1.19,1.19,99.98,AVT-USD
1762495200,1.19,1.2,1.19,1.19,1467.49,AVT-USD
1762498800,1.19,1.21,1.19,1.21,81.51,AVT-USD
1762502400,1.18,1.21,1.2,1.19,2452.55,AVT-USD
1762506000,1.2,1.2,1.2,1.2,64.27,AVT-USD
