time,low,high,open,close,volume,symbol
1761955200,530.78,539.16,534.74,538.95,701.55752972,BCH-USD
1761958800,538.13,544.89,539.08,541.4,711.48589435,BCH-USD
1761962400,540.61,547.62,541.1,544.52,809.53198232,BCH-USD
1761966000,542.21,545.32,544.45,545.14,345.7069057,BCH-USD
1761969600,543.27,546.7,544.89,546.07,190.06650775,BCH-USD
1761973200,545.14,549.8,546.14,549.74,73.48048886,BCH-USD
1761976800,544.64,549.82,549.53,545.85,333.38050731,BCH-USD
1761980400,544.95,547.96,545.92,547.75,153.35221565,BCH-USD
1761984000,547.82,552.36,547.82,551.37,538.9251752,BCH-USD
1761987600,550.83,560.66,551.32,557.51,884.94080223,BCH-USD
1761991200,556.07,561.09,557.64,558.0,731.5599293,BCH-USD
1761994800,556.43,558.92,558.09,556.86,130.69390017,BCH-USD
1761998400,555.45,558.29,556.92,556.03,264.31917399,BCH-USD
1762002000,552.69,556.27,556.02,553.86,142.27541035,BCH-USD
1762005600,550.98,554.67,553.93,552.55,282.05450723,BCH-USD
1762009200,550.55,555.39,552.6,553.0,392.90229862,BCH-USD
1762012800,552.44,557.52,552.99,555.72,189.48202968,BCH-USD
1762016400,553.21,556.07,556.07,553.8,83.36723171,BCH-USD
1762020000,553.36,555.91,554.0,555.91,172.06670692,BCH-USD
1762023600,553.92,556.6,555.71,554.56,332.47945106,BCH-USD
1762027200,552.58,554.76,554.53,553.1,81.73139822,BCH-USD
1762030800,551.6,553.77,553.15,551.94,196.50540063,BCH-USD
1762034400,551.82,555.01,551.91,554.89,302.20289165,BCH-USD
1762038000,552.97,555.1,554.84,553.93,251.96655933,BCH-USD
1762041600,552.8,555.67,553.84,555.17,126.05535447,BCH-USD
1762045200,551.0,555.69,555.13,552.51,362.41042451,BCH-USD
1762048800,550.9,553.47,552.49,552.48,225.36635493,BCH-USD
1762052400,550.41,552.78,552.52,550.55,166.87286418,BCH-USD
1762056000,550.07,553.29,550.5,553.29,237.75991159,BCH-USD
1762059600,547.5,553.76,553.07,548.91,267.73768814,BCH-USD
1762063200,546.79,549.06,548.64,547.74,329.35980729,BCH-USD
1762066800,547.38,552.33,547.83,551.42,262.70351115,BCH-USD
1762070400,549.22,551.88,551.33,551.16,313.57074645,BCH-USD
1762074000,549.82,553.36,551.18,550.27,163.00887924,BCH-USD
1762077600,522.74,550.79,550.47,530.65,5908.63523917,BCH-USD
1762081200,530.01,536.15,530.36,534.05,1348.76667682,BCH-USD
1762084800,531.27,536.06,534.29,534.85,738.85873774,BCH-USD
1762088400,530.04,536.11,534.8,530.16,641.54481841,BCH-USD
1762092000,529.1,532.07,530.21,530.94,427.76559638,BCH-USD
1762095600,530.04,535.93,530.94,534.05,289.12373422,BCH-USD
1762099200,532.03,536.47,533.9,533.39,765.13337146,BCH-USD
1762102800,532.96,534.33,533.29,534.05,167.58979553,BCH-USD
1762106400,532.78,534.88,534.18,533.05,169.9262389,BCH-USD
1762110000,532.15,534.19,533.19,532.79,171.31645607,BCH-USD
1762113600,532.33,534.52,532.71,534.4,123.43327044,BCH-USD
1762117200,532.35,534.6,534.36,533.24,179.84561415,BCH-USD
1762120800,531.26,534.2,533.16,532.28,237.87564401,BCH-USD
1762124400,532.35,537.65,532.35,536.96,460.76170866,BCH-USD
1762128000,532.91,536.94,536.94,533.69,536.15770061,BCH-USD
1762131600,531.83,535.42,533.68,532.72,352.97345053,BCH-USD
1762135200,529.47,535.23,532.67,533.17,601.63208429,BCH-USD
1762138800,526.06,533.27,533.16,526.87,517.99784959,BCH-USD
1762142400,523.84,530.77,526.87,530.77,485.33701744,BCH-USD
1762146000,528.51,534.69,530.77,528.75,198.64025953,BCH-USD
1762149600,522.0,530.3,528.72,527.98,357.42949885,BCH-USD
1762153200,524.0,527.84,527.83,525.91,577.36199832,BCH-USD
1762156800,521.5,528.23,525.84,525.49,337.11705294,BCH-USD
1762160400,519.27,527.49,525.35,521.06,366.54784505,BCH-USD
1762164000,517.45,523.66,520.14,518.77,512.18370198,BCH-USD
1762167600,518.84,525.07,518.84,524.4,234.62853517,BCH-USD
1762171200,521.71,527.71,524.41,522.38,295.35999052,BCH-USD
1762174800,520.37,527.76,522.2,520.54,991.24581555,BCH-USD
1762178400,520.39,524.2,520.73,524.2,425.02611185,BCH-USD
1762182000,493.47,524.5,524.03,509.27,2412.30265421,BCH-USD
1762185600,508.69,519.56,509.28,513.85,707.74810989,BCH-USD
1762189200,513.46,522.0,513.73,521.66,525.72749157,BCH-USD
1762192800,515.28,521.65,521.6,515.84,176.57619557,BCH-USD
1762196400,513.5,517.43,515.72,513.84,198.74752942,BCH-USD
1762200000,506.24,514.68,513.92,506.6,283.82954395,BCH-USD
1762203600,502.25,510.24,506.48,508.62,657.55493875,BCH-USD
1762207200,501.44,508.81,508.48,503.93,527.0139093,BCH-USD
1762210800,499.32,506.05,503.92,505.68,1422.8709564,BCH-USD
1762214400,500.32,509.88,505.6,508.07,719.4389142,BCH-USD
1762218000,506.95,511.7,508.25,508.24,266.75835249,BCH-USD
1762221600,506.36,510.93,508.17,509.58,268.1692321,BCH-USD
1762225200,508.29,512.52,509.28,510.62,402.52690008,BCH-USD
1762228800,508.45,511.69,510.71,508.63,309.70428957,BCH-USD
1762232400,490.76,509.58,508.56,490.83,1248.46333586,BCH-USD
1762236000,491.21,504.56,491.21,498.7,715.0317516,BCH-USD
1762239600,492.4,500.82,498.64,494.22,457.38632076,BCH-USD
1762243200,488.57,498.96,494.23,495.96,324.30703445,BCH-USD
1762246800,493.52,498.24,495.92,494.35,277.27924225,BCH-USD
1762250400,493.68,497.52,494.24,497.14,304.63078787,BCH-USD
1762254000,496.65,503.48,496.96,499.89,1099.80589887,BCH-USD
1762257600,495.67,499.97,499.84,497.03,196.20247866,BCH-USD
1762261200,494.08,497.36,497.04,494.81,124.85090299,BCH-USD
1762264800,491.36,505.52,494.8,504.42,385.83086804,BCH-USD
