time,low,high,open,close,volume,symbol
1765908000,0.003055,0.00308,0.00306,0.00308,6174414,BEAM-USD
1765911600,0.003,0.0031,0.00308,0.003075,24539333,BEAM-USD
1765915200,0.003,0.003099,0.003074,0.003099,7787023,BEAM-USD
1765918800,0.003,0.003099,0.003099,0.003066,3248581,BEAM-USD
1765922400,0.003003,0.003088,0.003066,0.003088,1870459,BEAM-USD
1765926000,0.003002,0.00309,0.003088,0.003065,1692288,BEAM-USD
1765929600,0.003063,0.003065,0.003065,0.003064,814540,BEAM-USD
1765933200,0.003002,0.00309,0.003065,0.003063,6674301,BEAM-USD
1765936800,0.003002,0.003063,0.003063,0.003014,3057962,BEAM-USD
1765940400,0.003006,0.003199,0.003014,0.003042,17247413,BEAM-USD
1765944000,0.003,0.003069,0.003033,0.003069,9131343,BEAM-USD
1765947600,0.003,0.003126,0.003008,0.003016,7631513,BEAM-USD
1765951200,0.003017,0.003087,0.00302,0.003028,1261001,BEAM-USD
1765954800,0.003006,0.003136,0.00303,0.003097,1834992,BEAM-USD
1765958400,0.002998,0.003035,0.003035,0.00301,1452133,BEAM-USD
1765962000,0.002983,0.003051,0.003006,0.003009,1481225,BEAM-USD
1765965600,0.002989,0.00306,0.003009,0.003019,2538321,BEAM-USD
1765969200,0.003002,0.003055,0.003002,0.003042,5181271,BEAM-USD
1765972800,0.002984,0.00305,0.00303,0.003023,7278160,BEAM-USD
1765976400,0.002995,0.00305,0.003023,0.00305,2012301,BEAM-USD
1765980000,0.002963,0.003085,0.00305,0.003058,2926494,BEAM-USD
1765983600,0.002884,0.003089,0.003058,0.002906,18027630,BEAM-USD
1765987200,0.00283,0.002935,0.002915,0.00288,944056,BEAM-USD
1765990800,0.002819,0.002881,0.002875,0.00282,2773650,BEAM-USD
1765994400,0.002803,0.00286,0.002857,0.002817,1118358,BEAM-USD
1765998000,0.0028,0.002838,0.002818,0.002838,1254292,BEAM-USD
1766001600,0.002805,0.002858,0.002838,0.002849,1423307,BEAM-USD
1766005200,0.002819,0.002848,0.002832,0.002819,367680,BEAM-USD
1766008800,0.0028,0.002865,0.002817,0.002865,3726230,BEAM-USD
1766012400,0.002824,0.002865,0.002865,0.002846,412974,BEAM-USD
1766016000,0.002803,0.002852,0.002837,0.002809,246370,BEAM-USD
1766019600,0.002776,0.002809,0.002809,0.002781,232066,BEAM-USD
1766023200,0.00277,0.002823,0.002775,0.002815,227347,BEAM-USD
1766026800,0.002771,0.002809,0.002809,0.002803,219707,BEAM-USD
1766030400,0.002784,0.002806,0.002784,0.002806,256127,BEAM-USD
1766034000,0.002753,0.0028,0.0028,0.002766,588712,BEAM-USD
1766037600,0.002745,0.002768,0.002758,0.002768,171511,BEAM-USD
1766041200,0.002765,0.002792,0.002792,0.00279,22945,BEAM-USD
1766044800,0.002775,0.00279,0.00279,0.002789,63046,BEAM-USD
1766048400,0.002765,0.002786,0.002786,0.00278,1040546,BEAM-USD
1766052000,0.002783,0.002784,0.002783,0.002784,9969,BEAM-USD
1766055600,0.002761,0.002789,0.002783,0.002789,262004,BEAM-USD
1766059200,0.00277,0.002808,0.002772,0.002808,196080,BEAM-USD
1766062800,0.002812,0.002878,0.002812,0.002878,1882700,BEAM-USD
1766066400,0.002833,0.002882,0.002863,0.002848,802135,BEAM-USD
1766070000,0.002847,0.002888,0.002848,0.002851,272345,BEAM-USD
1766073600,0.00276,0.002864,0.002864,0.00276,1629198,BEAM-USD
1766077200,0.002683,0.002761,0.00276,0.002726,206732,BEAM-USD
1766080800,0.002696,0.002741,0.002737,0.002703,82995,BEAM-USD
1766084400,0.002621,0.002695,0.002695,0.002651,363023,BEAM-USD
1766088000,0.002649,0.002691,0.002662,0.002691,127553,BEAM-USD
1766091600,0.002687,0.002708,0.002687,0.002695,417641,BEAM-USD
1766095200,0.002676,0.002709,0.002707,0.002676,422495,BEAM-USD
1766098800,0.00264,0.002686,0.002674,0.002673,2132072,BEAM-USD
1766102400,0.00264,0.002674,0.002674,0.00264,519507,BEAM-USD
1766106000,0.002613,0.002635,0.002633,0.002613,257822,BEAM-USD
1766109600,0.002611,0.002648,0.002611,0.002634,249175,BEAM-USD
1766113200,0.002663,0.002799,0.002674,0.002716,2297888,BEAM-USD
1766116800,0.002715,0.002733,0.002715,0.002715,693429,BEAM-USD
1766120400,0.002694,0.002726,0.002715,0.002705,199703,BEAM-USD
1766124000,0.002701,0.00274,0.002701,0.00274,45886,BEAM-USD
1766127600,0.002717,0.002744,0.002732,0.002744,774231,BEAM-USD
1766131200,0.002718,0.002747,0.002731,0.002747,370697,BEAM-USD
