time,low,high,open,close,volume,symbol
1761955200,1.796,1.808,1.802,1.804,7175.24,BERA-USD
1761958800,1.808,1.818,1.81,1.809,9793.38,BERA-USD
1761962400,1.805,1.822,1.811,1.817,9037.04,BERA-USD
1761966000,1.811,1.831,1.818,1.829,20032.13,BERA-USD
1761969600,1.823,1.832,1.83,1.829,8814.01,BERA-USD
1761973200,1.821,1.833,1.83,1.829,13458.22,BERA-USD
1761976800,1.825,1.833,1.829,1.831,9072.53,BERA-USD
1761980400,1.824,1.839,1.829,1.831,11722.22,BERA-USD
1761984000,1.827,1.844,1.832,1.843,14602.46,BERA-USD
1761987600,1.831,1.848,1.844,1.84,10226.85,BERA-USD
1761991200,1.824,1.843,1.843,1.829,10196.23,BERA-USD
1761994800,1.818,1.841,1.829,1.84,22134.08,BERA-USD
1761998400,1.831,1.849,1.841,1.833,14995.5,BERA-USD
1762002000,1.816,1.834,1.834,1.828,8853.68,BERA-USD
1762005600,1.806,1.83,1.826,1.812,14379.26,BERA-USD
1762009200,1.807,1.824,1.81,1.823,5439.86,BERA-USD
1762012800,1.819,1.839,1.822,1.832,14058.89,BERA-USD
1762016400,1.824,1.829,1.827,1.828,4753.82,BERA-USD
1762020000,1.824,1.839,1.829,1.833,5303.34,BERA-USD
1762023600,1.83,1.836,1.834,1.836,5519.88,BERA-USD
1762027200,1.833,1.844,1.836,1.836,6818.19,BERA-USD
1762030800,1.828,1.846,1.837,1.83,10476.06,BERA-USD
1762034400,1.821,1.835,1.83,1.833,12624.64,BERA-USD
1762038000,1.829,1.844,1.83,1.839,3794.51,BERA-USD
1762041600,1.832,1.841,1.838,1.832,3463.56,BERA-USD
1762045200,1.827,1.838,1.833,1.828,4251.84,BERA-USD
1762048800,1.811,1.827,1.827,1.82,6034.97,BERA-USD
1762052400,1.812,1.819,1.818,1.813,1270.76,BERA-USD
1762056000,1.813,1.824,1.813,1.816,1135.27,BERA-USD
1762059600,1.811,1.818,1.817,1.817,783.5,BERA-USD
1762063200,1.817,1.838,1.819,1.821,7288.15,BERA-USD
1762066800,1.822,1.838,1.822,1.834,4662.41,BERA-USD
1762070400,1.816,1.832,1.832,1.816,6249.59,BERA-USD
1762074000,1.799,1.82,1.819,1.809,12092.67,BERA-USD
1762077600,1.803,1.817,1.807,1.817,9144.3,BERA-USD
1762081200,1.824,1.85,1.826,1.85,1889.65,BERA-USD
1762084800,1.836,1.86,1.85,1.843,148891.29,BERA-USD
1762088400,1.832,1.847,1.843,1.842,21441.17,BERA-USD
1762092000,1.791,1.842,1.837,1.801,41282.72,BERA-USD
1762095600,1.791,1.813,1.802,1.791,13897.49,BERA-USD
1762099200,1.777,1.799,1.796,1.798,6042.64,BERA-USD
1762102800,1.793,1.804,1.801,1.801,4935.13,BERA-USD
1762106400,1.796,1.803,1.797,1.801,4363.63,BERA-USD
1762110000,1.792,1.806,1.798,1.805,3590.71,BERA-USD
1762113600,1.794,1.806,1.806,1.802,1633.16,BERA-USD
1762117200,1.794,1.809,1.8,1.809,5118.18,BERA-USD
1762120800,1.791,1.815,1.812,1.803,9391.89,BERA-USD
1762124400,1.805,1.829,1.805,1.822,9828.86,BERA-USD
1762128000,1.783,1.828,1.824,1.783,10042.8,BERA-USD
1762131600,1.78,1.791,1.782,1.788,6094.61,BERA-USD
1762135200,1.765,1.788,1.787,1.779,4971.21,BERA-USD
1762138800,1.741,1.779,1.779,1.743,24013.57,BERA-USD
